t,x,y,z,time_from_sync
1412.1400125981745,-456,17,83,1382.1441779455918
1412.2150125981743,-456,17,83,1382.2191779455916
1412.415012645858,-450,21,92,1382.4191779932753
1412.490012645858,-449,22,93,1382.4941779932753
1412.6900126935418,-450,14,91,1382.694178040959
1412.7650126935418,-450,14,91,1382.769178040959
1412.9600126267846,-453,15,89,1382.964177974202
1413.0350126267847,-453,15,90,1383.039177974202
1413.2350124360498,-449,27,92,1383.239177783467
1413.31001243605,-449,27,92,1383.3141777834674
1413.5100124837336,-458,21,82,1383.5141778311508
1413.5850124837336,-458,21,82,1383.589177831151
1413.7850125314174,-455,32,84,1383.7891778788346
1413.8600125314174,-454,32,84,1383.8641778788347
1414.0600123406823,-461,28,76,1384.0641776880996
1414.1350123406826,-460,28,76,1384.1391776880998
1414.3350123883663,-456,27,82,1384.3391777357836
1414.4100123883663,-455,27,82,1384.4141777357836
1414.6050123216091,-455,30,83,1384.6091776690264
1414.6800123216092,-455,30,84,1384.6841776690264
1414.880012369293,-454,44,82,1384.8841777167102
1414.955012369293,-454,44,82,1384.9591777167102
1415.155012416977,-463,38,73,1385.1591777643941
1415.2300124169767,-462,37,73,1385.234177764394
1415.4300122262418,-453,46,82,1385.434177573659
1415.505012226242,-453,46,82,1385.5091775736591
1415.7050122739256,-463,45,68,1385.7091776213429
1415.7800122739256,-462,46,68,1385.784177621343
1415.9800123216094,-456,59,72,1385.9841776690266
1416.0550123216094,-456,59,72,1386.0591776690267
1416.2550121308743,-451,55,79,1386.2591774782916
1416.3300121308746,-452,55,79,1386.3341774782918
1416.5300121785583,-459,54,72,1386.5341775259756
1416.6050121785584,-458,54,72,1386.6091775259756
1416.805012226242,-445,63,84,1386.8091775736593
1416.880012226242,-445,62,85,1386.8841775736591
1417.0800120355073,-455,57,76,1387.0841773829245
1417.1550120355073,-455,57,76,1387.1591773829246
1417.355012083191,-456,60,74,1387.3591774306083
1417.430012083191,-456,60,74,1387.4341774306083
1417.625012016434,-458,69,68,1387.6291773638513
1417.700012016434,-458,69,69,1387.7041773638512
1417.9000120641176,-462,63,63,1387.9041774115349
1417.9750120641177,-462,63,64,1387.979177411535
1418.1750121118014,-448,67,80,1388.1791774592186
1418.2500121118014,-448,67,80,1388.2541774592187
1418.4500119210666,-454,68,73,1388.4541772684838
1418.5250119210666,-454,68,73,1388.5291772684839
1418.7250119687503,-457,74,67,1388.7291773161676
1418.8000119687504,-457,74,67,1388.8041773161676
1419.000012016434,-448,68,80,1389.0041773638513
1419.075012016434,-448,68,81,1389.0791773638512
1419.2750118256993,-454,75,71,1389.2791771731165
1419.3500118256993,-454,74,71,1389.3541771731166
1419.550011873383,-464,71,56,1389.5541772208003
1419.625011873383,-464,71,56,1389.6291772208003
1419.8250119210668,-454,83,63,1389.829177268484
1419.9000119210668,-454,83,63,1389.904177268484
1420.100011730332,-456,80,61,1390.1041770777492
1420.175011730332,-456,80,61,1390.1791770777493
1420.3750117780155,-457,80,62,1390.3791771254328
1420.4500117780158,-457,80,62,1390.454177125433
1420.6500118256995,-455,78,66,1390.6541771731168
1420.7250118256995,-455,78,66,1390.7291771731168
1420.925011634965,-453,82,64,1390.9291769823822
1421.0000116349647,-453,82,64,1391.004176982382
1421.1950115682075,-457,85,61,1391.1991769156248
1421.2700115682076,-456,84,61,1391.2741769156248
1421.4700113774727,-454,79,65,1391.47417672489
1421.5450113774727,-454,79,65,1391.54917672489
1421.7450114251565,-453,87,64,1391.7491767725737
1421.8200114251565,-453,87,64,1391.8241767725738
1422.0200114728402,-460,81,54,1392.0241768202575
1422.0950114728405,-459,81,55,1392.0991768202578
1422.2950112821054,-458,79,64,1392.2991766295227
1422.3700112821057,-458,79,64,1392.374176629523
1422.5700113297892,-447,84,74,1392.5741766772064
1422.6450113297892,-447,84,75,1392.6491766772065
1422.845011377473,-448,64,79,1392.8491767248902
1422.920011377473,-448,64,80,1392.9241767248902
1423.120011186738,-447,66,81,1393.1241765341554
1423.1950111867382,-447,66,82,1393.1991765341554
1423.395011234422,-447,64,85,1393.3991765818394
1423.470011234422,-447,64,84,1393.4741765818392
1423.6700112821056,-457,71,66,1393.674176629523
1423.7450112821057,-457,71,67,1393.749176629523
1423.9450110913708,-467,78,50,1393.949176438788
1424.0200110913709,-467,78,50,1394.0241764387881
1424.2200111390546,-457,86,59,1394.2241764864718
1424.2950111390546,-457,86,59,1394.2991764864719
1424.4950111867383,-456,77,65,1394.4991765341556
1424.5700111867384,-456,77,65,1394.5741765341556
1424.770011234422,-458,79,60,1394.7741765818394
1424.845011234422,-458,79,60,1394.8491765818392
1425.045011282106,-455,75,70,1395.0491766295233
1425.120011282106,-455,74,70,1395.1241766295232
1425.3200113297896,-452,65,74,1395.3241766772069
1425.3950113297897,-452,65,75,1395.399176677207
1425.5950113774734,-445,62,87,1395.5991767248906
1425.6700113774734,-445,62,87,1395.6741767248907
1425.8700114251571,-447,65,82,1395.8741767725744
1425.9450114251572,-447,65,82,1395.9491767725744
1426.1400113584,-451,60,81,1396.1441767058172
1426.2150113584,-450,59,82,1396.2191767058173
1426.4150114060835,-456,57,76,1396.4191767535008
1426.4900114060838,-456,57,77,1396.494176753501
1426.6900114537675,-456,54,74,1396.6941768011848
1426.7650114537676,-456,54,74,1396.7691768011848
1426.9650112630327,-449,50,84,1396.96917661045
1427.0400112630327,-449,50,84,1397.04417661045
1427.2400113107165,-451,49,83,1397.2441766581337
1427.3150113107165,-450,49,83,1397.3191766581338
1427.5150113584002,-454,50,81,1397.5191767058175
1427.5900113584005,-454,50,81,1397.5941767058177
1427.790011406084,-454,42,82,1397.7941767535012
1427.865011406084,-454,42,82,1397.8691767535013
1428.0650114537675,-454,51,80,1398.0691768011848
1428.1400114537678,-454,50,81,1398.144176801185
1428.3400115014515,-460,47,74,1398.3441768488688
1428.4150115014515,-460,46,74,1398.4191768488688
1428.6150115491353,-453,50,82,1398.6191768965525
1428.6900115491353,-453,50,82,1398.6941768965526
1428.890011596819,-457,53,76,1398.8941769442363
1428.965011596819,-457,53,76,1398.9691769442363
1429.1650116445028,-458,49,75,1399.16917699192
1429.2400116445028,-458,49,75,1399.24417699192
1429.4400116921863,-454,56,78,1399.4441770396036
1429.5150116921866,-453,56,79,1399.5191770396038
1429.7150117398703,-444,49,93,1399.7191770872876
1429.7900117398704,-444,48,93,1399.7941770872876
1429.990011787554,-456,37,81,1399.9941771349713
1430.065011787554,-456,37,81,1400.0691771349714
1430.2650118352378,-448,43,91,1400.269177182655
1430.340011835238,-448,43,91,1400.3441771826554
1430.540011644503,-451,37,87,1400.5441769919203
1430.615011644503,-451,37,87,1400.6191769919203
1430.8150116921868,-452,43,86,1400.819177039604
1430.8900116921868,-452,43,86,1400.894177039604
1431.0900117398703,-453,37,84,1401.0941770872876
1431.1650117398706,-453,37,85,1401.1691770872878
1431.3650115491355,-462,46,70,1401.3691768965527
1431.4400115491358,-461,46,70,1401.444176896553
1431.6400115968197,-460,45,72,1401.644176944237
1431.7150115968195,-460,45,72,1401.7191769442368
1431.910011768481,-455,46,79,1401.9141771158982
1431.985011768481,-454,46,80,1401.9891771158982
1432.185011816165,-456,47,77,1402.1891771635821
1432.2600118161647,-455,46,78,1402.264177163582
1432.4600118638484,-456,44,78,1402.4641772112657
1432.5350118638485,-456,44,78,1402.5391772112657
1432.7350119115322,-452,41,84,1402.7391772589494
1432.8100119115322,-452,41,84,1402.8141772589495
1433.010011959216,-457,44,78,1403.0141773066332
1433.085011959216,-457,44,79,1403.0891773066332
1433.2850120068997,-462,47,70,1403.289177354317
1433.3600120068998,-462,47,69,1403.364177354317
1433.365011882922,-462,48,70,1403.3691772303393
1433.440011882922,-462,48,72,1403.4441772303392
1433.640011930606,-459,51,75,1403.6441772780233
1433.715011930606,-458,51,75,1403.7191772780232
1433.9100118638487,-454,39,85,1403.914177211266
1433.9850118638487,-454,39,86,1403.989177211266
1434.1850119115325,-447,36,92,1404.1891772589497
1434.2600119115325,-447,36,93,1404.2641772589498
1434.4600119592162,-453,36,86,1404.4641773066335
1434.5350119592165,-452,36,86,1404.5391773066337
1434.7350120069,-451,38,86,1404.7391773543172
1434.8100120069,-451,37,87,1404.8141773543173
1435.0100120545835,-454,42,79,1405.0141774020008
1435.0850120545838,-454,42,79,1405.089177402001
1435.2850121022675,-456,41,79,1405.2891774496848
1435.3600121022675,-455,41,79,1405.3641774496848
1435.555012273929,-455,44,81,1405.5591776213462
1435.630012273929,-454,43,82,1405.6341776213462
1435.830012321613,-456,40,81,1405.8341776690302
1435.9050123216127,-456,40,81,1405.90917766903
1436.105012130878,-455,45,80,1406.1091774782954
1436.180012130878,-455,45,80,1406.1841774782952
1436.3800121785616,-468,46,62,1406.3841775259789
1436.4550121785617,-468,46,63,1406.459177525979
1436.6550122262454,-459,43,73,1406.6591775736626
1436.7300122262454,-459,43,73,1406.7341775736627
1436.9300120355106,-447,35,93,1406.9341773829278
1437.0050120355106,-446,35,94,1407.0091773829279
1437.2050120831943,-455,30,83,1407.2091774306116
1437.2800120831944,-455,30,83,1407.2841774306116
1437.4750120164372,-449,32,91,1407.4791773638544
1437.5500120164372,-449,31,92,1407.5541773638545
1437.750012064121,-447,17,95,1407.7541774115382
1437.825012064121,-447,16,95,1407.8291774115382
1438.0250121118047,-440,12,105,1408.029177459222
1438.1000121118047,-439,12,106,1408.104177459222
1438.30001192107,-448,6,97,1408.3041772684874
1438.37501192107,-448,6,97,1408.3791772684872
1438.5700118543127,-449,12,93,1408.57417720173
1438.6450118543128,-449,11,94,1408.64917720173
1438.8450119019965,-457,6,85,1408.8491772494137
1438.9200119019963,-457,6,84,1408.9241772494136
1439.1200119496802,-458,8,82,1409.1241772970975
1439.1950119496803,-458,8,83,1409.1991772970975
1439.395011997364,-450,4,99,1409.3991773447813
1439.470011997364,-450,4,99,1409.4741773447813
1439.6700118066292,-451,3,94,1409.6741771540464
1439.7450118066292,-451,2,94,1409.7491771540465
1439.945011854313,-454,1,91,1409.9491772017302
1440.020011854313,-454,1,91,1410.0241772017303
1440.2200119019967,-457,-3,86,1410.224177249414
1440.2950119019968,-456,-3,87,1410.299177249414
1440.495011711262,-451,-2,93,1410.4991770586792
1440.570011711262,-450,-2,94,1410.5741770586792
1440.7700117589457,-460,-1,82,1410.774177106363
1440.8450117589457,-460,-1,82,1410.849177106363
1441.0450118066294,-461,-1,82,1411.0491771540467
1441.1200118066297,-461,-1,82,1411.124177154047
1441.3200116158946,-455,-2,87,1411.3241769633119
1441.3950116158946,-455,-2,88,1411.399176963312
1441.5950116635784,-454,-4,87,1411.5991770109956
1441.6700116635784,-454,-4,87,1411.6741770109957
1441.870011711262,-457,-7,86,1411.8741770586792
1441.9450117112622,-457,-8,87,1411.9491770586794
1442.1450115205273,-456,-7,85,1412.1491768679446
1442.2200115205274,-456,-7,85,1412.2241768679446
1442.420011568211,-453,-8,88,1412.4241769156283
1442.495011568211,-453,-8,88,1412.4991769156284
1442.6950116158948,-450,-12,93,1412.699176963312
1442.7700116158949,-450,-12,93,1412.7741769633121
1442.97001142516,-452,-16,92,1412.9741767725773
1443.04501142516,-452,-16,92,1413.0491767725773
1443.2450114728438,-452,-16,89,1413.249176820261
1443.3200114728438,-452,-17,90,1413.324176820261
1443.5200115205275,-456,-22,83,1413.5241768679448
1443.5950115205276,-456,-22,84,1413.5991768679448
1443.790011692189,-453,-20,89,1413.7941770396062
1443.865011692189,-453,-21,90,1413.8691770396063
1444.0600118638504,-451,-21,90,1414.0641772112676
1444.1350118638504,-451,-22,91,1414.1391772112677
1444.335011911534,-464,-19,75,1414.3391772589512
1444.4100119115342,-464,-19,74,1414.4141772589514
1444.610011959218,-460,-12,79,1414.6141773066352
1444.685011959218,-461,-12,79,1414.6891773066352
1444.8800118924607,-460,-20,82,1414.884177239878
1444.9550118924608,-460,-20,83,1414.959177239878
1445.155011701726,-448,-17,94,1415.1591770491432
1445.230011701726,-448,-17,94,1415.2341770491432
1445.4300117494097,-455,-23,87,1415.434177096827
1445.5050117494095,-455,-23,87,1415.5091770968268
1445.7050117970934,-457,-15,86,1415.7091771445107
1445.7800117970935,-457,-14,86,1415.7841771445107
1445.9800118447772,-457,-21,84,1415.9841771921945
1446.0550118447773,-456,-21,84,1416.0591771921945
1446.255011892461,-454,-18,88,1416.2591772398782
1446.330011892461,-454,-18,88,1416.3341772398783
1446.5300119401447,-453,-17,89,1416.534177287562
1446.6050119401448,-453,-17,90,1416.609177287562
1446.8050119878285,-457,-12,87,1416.8091773352457
1446.8800119878283,-457,-12,87,1416.8841773352456
1447.0800120355125,-454,-12,90,1417.0841773829297
1447.1550120355123,-454,-12,90,1417.1591773829296
1447.355012083196,-454,-15,87,1417.3591774306133
1447.430012083196,-454,-15,88,1417.4341774306133
