t,x,y,z,time_from_sync
1463.914999961853,2005,-288,-6843,1430.0016667842865
1463.9199998378754,2001,-287,-6840,1430.0066666603088
1463.9249999523165,1999,-287,-6838,1430.01166677475
1463.9299998283386,1997,-288,-6840,1430.016666650772
1463.9349999427795,1999,-289,-6841,1430.021666765213
1463.939999818802,1999,-292,-6843,1430.0266666412356
1463.9449999332428,2001,-294,-6843,1430.0316667556763
1463.9499998092651,2000,-298,-6837,1430.0366666316986
1463.954999923706,1999,-301,-6835,1430.0416667461395
1463.9599997997284,2001,-302,-6832,1430.0466666221619
1463.9649999141693,2003,-304,-6831,1430.0516667366028
1463.9699997901917,2000,-306,-6832,1430.0566666126251
1463.9749999046326,1996,-305,-6836,1430.061666727066
1463.979999780655,1992,-304,-6842,1430.0666666030884
1463.9849998950958,1992,-303,-6849,1430.0716667175293
1463.9899997711182,1995,-303,-6857,1430.0766665935516
1463.994999885559,1999,-305,-6864,1430.0816667079926
1464.0,1996,-306,-6864,1430.0866668224335
1464.0049998760223,1996,-309,-6864,1430.0916666984558
1464.0099999904633,1996,-311,-6864,1430.0966668128967
1464.0149998664856,1993,-312,-6866,1430.101666688919
1464.0199999809265,1991,-314,-6866,1430.10666680336
1464.0249998569489,1986,-312,-6868,1430.1116666793823
1464.0299999713898,1983,-312,-6866,1430.1166667938232
1464.034999847412,1981,-312,-6864,1430.1216666698456
1464.039999961853,1978,-312,-6860,1430.1266667842865
1464.0449998378754,1977,-313,-6857,1430.1316666603088
1464.0499999523165,1979,-314,-6850,1430.13666677475
1464.0549998283386,1976,-312,-6844,1430.141666650772
1464.0599999427795,1972,-313,-6839,1430.146666765213
1464.064999818802,1966,-313,-6837,1430.1516666412356
1464.0699999332428,1961,-314,-6836,1430.1566667556763
1464.0749998092651,1957,-314,-6836,1430.1616666316986
1464.079999923706,1958,-315,-6836,1430.1666667461395
1464.0849997997284,1963,-316,-6836,1430.1716666221619
1464.0899999141693,1967,-316,-6837,1430.1766667366028
1464.0949997901917,1974,-317,-6843,1430.1816666126251
1464.0999999046326,1976,-318,-6849,1430.186666727066
1464.104999780655,1978,-318,-6853,1430.1916666030884
1464.1099998950958,1981,-319,-6857,1430.1966667175293
1464.1149997711182,1979,-318,-6860,1430.2016665935516
1464.119999885559,1973,-318,-6864,1430.2066667079926
1464.125,1969,-318,-6868,1430.2116668224335
1464.1299998760223,1968,-319,-6872,1430.2166666984558
1464.1349999904633,1970,-321,-6873,1430.2216668128967
1464.1399998664856,1974,-324,-6873,1430.226666688919
1464.1449999809265,1977,-327,-6875,1430.23166680336
1464.1499998569489,1976,-330,-6873,1430.2366666793823
1464.1549999713898,1974,-334,-6873,1430.2416667938232
1464.159999847412,1976,-335,-6872,1430.2466666698456
1464.164999961853,1982,-334,-6870,1430.2516667842865
1464.1699998378754,1990,-332,-6869,1430.2566666603088
1464.1749999523165,1994,-329,-6871,1430.26166677475
1464.1799998283386,1999,-328,-6874,1430.266666650772
1464.1849999427795,2001,-330,-6878,1430.271666765213
1464.189999818802,2000,-332,-6881,1430.2766666412356
1464.1949999332428,1999,-333,-6881,1430.2816667556763
1464.1999998092651,1993,-333,-6883,1430.2866666316986
1464.204999923706,1988,-332,-6886,1430.2916667461395
1464.2099997997284,1984,-331,-6888,1430.2966666221619
1464.2149999141693,1985,-330,-6892,1430.3016667366028
1464.2199997901917,1986,-330,-6895,1430.3066666126251
1464.2249999046326,1994,-329,-6895,1430.311666727066
1464.229999780655,2001,-328,-6890,1430.3166666030884
1464.2349998950958,2009,-327,-6887,1430.3216667175293
1464.2399997711182,2016,-325,-6883,1430.3266665935516
1464.244999885559,2019,-325,-6878,1430.3316667079926
1464.25,2021,-326,-6876,1430.3366668224335
1464.2549998760223,2019,-329,-6870,1430.3416666984558
1464.2599999904633,2017,-333,-6872,1430.3466668128967
1464.2649998664856,2016,-336,-6872,1430.351666688919
1464.2699999809265,2015,-337,-6872,1430.35666680336
1464.2749998569489,2017,-338,-6872,1430.3616666793823
1464.2799999713898,2021,-338,-6870,1430.3666667938232
1464.284999847412,2021,-338,-6867,1430.3716666698456
1464.289999961853,2020,-338,-6865,1430.3766667842865
1464.2949998378754,2014,-339,-6866,1430.3816666603088
1464.2999999523165,2013,-338,-6871,1430.38666677475
1464.3049998283386,2013,-337,-6874,1430.391666650772
1464.3099999427795,2012,-337,-6877,1430.396666765213
1464.314999818802,2012,-336,-6876,1430.4016666412356
1464.3199999332428,2014,-336,-6875,1430.4066667556763
1464.3249998092651,2012,-337,-6876,1430.4116666316986
1464.329999923706,2014,-337,-6877,1430.4166667461395
1464.3349997997284,2015,-338,-6881,1430.4216666221619
1464.3399999141693,2015,-338,-6885,1430.4266667366028
1464.3449997901917,2015,-336,-6886,1430.4316666126251
1464.3499999046326,2013,-336,-6889,1430.436666727066
1464.354999780655,2011,-338,-6890,1430.4416666030884
1464.3599998950958,2007,-341,-6892,1430.4466667175293
1464.3649997711182,2006,-346,-6896,1430.4516665935516
1464.369999885559,2006,-350,-6900,1430.4566667079926
1464.375,2007,-353,-6904,1430.4616668224335
1464.3799998760223,2007,-354,-6907,1430.4666666984558
1464.3849999904633,2006,-356,-6909,1430.4716668128967
1464.3899998664856,2003,-357,-6911,1430.476666688919
1464.3949999809265,2000,-360,-6913,1430.48166680336
1464.3999998569489,1995,-361,-6916,1430.4866666793823
1464.4049999713898,1991,-363,-6918,1430.4916667938232
1464.409999847412,1989,-363,-6918,1430.4966666698456
1464.414999961853,1990,-364,-6918,1430.5016667842865
1464.4199998378754,1992,-365,-6919,1430.5066666603088
1464.4249999523165,2000,-365,-6922,1430.51166677475
1464.4299998283386,2007,-367,-6925,1430.516666650772
1464.4349999427795,2013,-368,-6927,1430.521666765213
1464.439999818802,2017,-367,-6926,1430.5266666412356
1464.4449999332428,2024,-366,-6922,1430.5316667556763
1464.4499998092651,2032,-364,-6922,1430.5366666316986
1464.454999923706,2035,-364,-6917,1430.5416667461395
1464.4599997997284,2033,-365,-6911,1430.5466666221619
1464.4649999141693,2031,-368,-6905,1430.5516667366028
1464.4699997901917,2028,-369,-6904,1430.5566666126251
1464.4749999046326,2026,-372,-6903,1430.561666727066
1464.479999780655,2028,-375,-6908,1430.5666666030884
1464.4849998950958,2033,-377,-6908,1430.5716667175293
1464.4899997711182,2035,-379,-6905,1430.5766665935516
1464.494999885559,2038,-381,-6904,1430.5816667079926
1464.5,2038,-381,-6901,1430.5866668224335
