Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.74743,-1.22547,-7,4.46,2023-12-12 13:31:01+00:00,gps,50.7473,-1.22519,41,8.0,10.63,118.68918,gps [GPS],00:00:01,11.0,0.0,,,,False,27 / 31,1129,8556.9,-,1.4,1.1,0.8,-,-,Ship,13:31:01 GMT,13:31:01.198,13:30:56.896,13:30:56.909,38.27,23.78,75,995.001
50.74737,-1.22533,-8,4.46,2023-12-12 13:31:02+00:00,gps,50.74725,-1.22505,41,8.0,10.96,117.17576,gps [GPS],00:00:01,11.1,0.0,,,,False,28 / 30,1130,8567.9,-,1.5,1.3,0.7,-,-,Ship,13:31:02 GMT,13:31:02.216,13:30:57.915,13:30:57.928,39.44,24.51,75,996.001
50.74732,-1.2252,-7,4.46,2023-12-12 13:31:03+00:00,gps,50.74721,-1.2249,42,8.0,11.02,112.89578,gps [GPS],00:00:01,11.2,0.0,,,,False,30 / 32,1131,8579.1,-,1.8,1.6,0.8,-,-,Ship,13:31:03 GMT,13:31:03.199,13:30:58.897,13:30:58.905,39.66,24.64,75,997.001
50.74728,-1.22505,-8,4.46,2023-12-12 13:31:04+00:00,gps,50.74717,-1.22473,41,8.0,11.1,110.9256,gps [GPS],00:00:01,11.6,0.0,,,,False,28 / 31,1132,8590.6,-,1.5,1.3,0.7,-,-,Ship,13:31:04 GMT,13:31:04.234,13:30:59.932,13:30:59.945,39.96,24.83,75,998.001
50.74723,-1.2249,-8,4.46,2023-12-12 13:31:05+00:00,gps,50.74714,-1.22457,41,8.0,11.24,104.40615,gps [GPS],00:00:01,11.6,0.0,,,,False,29 / 31,1133,8602.3,-,1.5,1.3,0.7,-,-,Ship,13:31:05 GMT,13:31:05.214,13:31:00.913,13:31:00.925,40.46,25.14,75,999.001
50.7472,-1.22475,-7,4.46,2023-12-12 13:31:06+00:00,gps,50.74712,-1.22441,41,8.0,11.07,101.8956,gps [GPS],00:00:01,11.4,0.0,,,,False,29 / 31,1134,8613.7,-,1.4,1.2,0.7,-,-,Ship,13:31:06 GMT,13:31:06.204,13:31:01.902,13:31:01.913,39.84,24.76,75,1000.001
50.74717,-1.22459,-7,4.46,2023-12-12 13:31:07+00:00,gps,50.74712,-1.22425,41,8.0,11.35,97.59475,gps [GPS],00:00:01,11.3,0.0,,,,False,30 / 31,1135,8625.0,-,1.4,1.2,0.7,-,-,Ship,13:31:07 GMT,13:31:07.172,13:31:02.871,13:31:02.880,40.88,25.4,75,1001.001
50.74716,-1.22443,-7,4.46,2023-12-12 13:31:08+00:00,gps,50.74712,-1.22408,41,8.0,11.56,96.777405,gps [GPS],00:00:01,11.4,0.0,,,,False,30 / 31,1136,8636.4,-,1.4,1.2,0.8,-,-,Ship,13:31:08 GMT,13:31:08.218,13:31:03.916,13:31:03.925,41.61,25.85,75,1002.001
50.74714,-1.2242,-7,4.0,2023-12-12 13:31:09+00:00,gps,50.74712,-1.22391,41,6.0,11.84,92.02736,gps [GPS],00:00:01,16.5,0.0,,,,False,30 / 31,1137,8652.9,-,1.8,1.7,0.7,-,-,Ship,13:31:09 GMT,13:31:09.189,13:31:04.887,13:31:04.897,42.61,26.48,75,1003.001
50.74714,-1.22401,-7,3.84,2023-12-12 13:31:10+00:00,gps,50.74713,-1.22373,42,6.0,12.17,90.00699,gps [GPS],00:00:01,13.5,0.0,,,,False,29 / 31,1138,8666.5,-,2.0,1.9,0.7,-,-,Ship,13:31:10 GMT,13:31:10.176,13:31:05.874,13:31:05.883,43.82,27.23,75,1004.001
