t,x,y,z,time_from_sync
1028.914999961853,2602,-9329,-3267,995.0016667842865
1028.9199998378754,2601,-9329,-3266,995.0066666603088
1028.9249999523165,2600,-9329,-3265,995.01166677475
1028.9299998283386,2596,-9327,-3266,995.0166666507721
1028.9349999427795,2593,-9326,-3268,995.021666765213
1028.939999818802,2588,-9325,-3269,995.0266666412356
1028.9449999332428,2581,-9323,-3268,995.0316667556763
1028.9499998092651,2575,-9321,-3265,995.0366666316986
1028.954999923706,2567,-9320,-3263,995.0416667461395
1028.9599997997284,2560,-9321,-3263,995.0466666221619
1028.9649999141693,2555,-9322,-3262,995.0516667366028
1028.9699997901917,2551,-9325,-3262,995.0566666126251
1028.9749999046326,2551,-9326,-3263,995.061666727066
1028.979999780655,2551,-9326,-3260,995.0666666030884
1028.9849998950958,2551,-9327,-3259,995.0716667175293
1028.9899997711182,2548,-9326,-3259,995.0766665935516
1028.994999885559,2543,-9326,-3259,995.0816667079926
1029.0,2536,-9326,-3260,995.0866668224335
1029.0049998760223,2530,-9325,-3261,995.0916666984558
1029.0099999904633,2527,-9324,-3261,995.0966668128967
1029.0149998664856,2527,-9323,-3261,995.1016666889191
1029.0199999809265,2527,-9320,-3255,995.10666680336
1029.0249998569489,2526,-9320,-3250,995.1116666793823
1029.0299999713898,2523,-9320,-3247,995.1166667938232
1029.034999847412,2516,-9320,-3248,995.1216666698456
1029.039999961853,2509,-9320,-3249,995.1266667842865
1029.0449998378754,2502,-9320,-3251,995.1316666603088
1029.0499999523165,2497,-9318,-3254,995.13666677475
1029.0549998283386,2493,-9318,-3253,995.1416666507721
1029.0599999427795,2491,-9318,-3254,995.146666765213
1029.064999818802,2489,-9320,-3252,995.1516666412356
1029.0699999332428,2487,-9322,-3250,995.1566667556763
1029.0749998092651,2483,-9323,-3246,995.1616666316986
1029.079999923706,2480,-9322,-3245,995.1666667461395
1029.0849997997284,2479,-9320,-3245,995.1716666221619
1029.0899999141693,2478,-9318,-3244,995.1766667366028
1029.0949997901917,2476,-9319,-3247,995.1816666126251
1029.0999999046326,2475,-9320,-3250,995.186666727066
1029.104999780655,2474,-9321,-3250,995.1916666030884
1029.1099998950958,2473,-9322,-3253,995.1966667175293
1029.1149997711182,2473,-9323,-3255,995.2016665935516
1029.119999885559,2472,-9323,-3254,995.2066667079926
1029.125,2468,-9323,-3258,995.2116668224335
1029.1299998760223,2467,-9321,-3254,995.2166666984558
1029.1349999904633,2470,-9318,-3253,995.2216668128967
1029.1399998664856,2471,-9316,-3254,995.2266666889191
1029.1449999809265,2474,-9315,-3255,995.23166680336
1029.1499998569489,2475,-9315,-3256,995.2366666793823
1029.1549999713898,2475,-9313,-3256,995.2416667938232
1029.159999847412,2473,-9315,-3253,995.2466666698456
1029.164999961853,2470,-9315,-3251,995.2516667842865
1029.1699998378754,2469,-9316,-3248,995.2566666603088
1029.1749999523165,2471,-9319,-3249,995.26166677475
1029.1799998283386,2475,-9321,-3251,995.2666666507721
1029.1849999427795,2476,-9323,-3252,995.271666765213
1029.189999818802,2475,-9325,-3256,995.2766666412356
1029.1949999332428,2473,-9327,-3257,995.2816667556763
1029.1999998092651,2468,-9327,-3258,995.2866666316986
1029.204999923706,2466,-9326,-3257,995.2916667461395
1029.2099997997284,2462,-9326,-3256,995.2966666221619
1029.2149999141693,2459,-9325,-3258,995.3016667366028
1029.2199997901917,2458,-9324,-3262,995.3066666126251
1029.2249999046326,2456,-9323,-3265,995.311666727066
1029.229999780655,2457,-9322,-3268,995.3166666030884
1029.2349998950958,2457,-9321,-3266,995.3216667175293
1029.2399997711182,2458,-9321,-3264,995.3266665935516
1029.244999885559,2461,-9321,-3262,995.3316667079926
1029.25,2460,-9323,-3259,995.3366668224335
1029.2549998760223,2457,-9324,-3258,995.3416666984558
1029.2599999904633,2456,-9324,-3256,995.3466668128967
1029.2649998664856,2453,-9323,-3255,995.3516666889191
1029.2699999809265,2453,-9321,-3253,995.35666680336
1029.2749998569489,2455,-9321,-3249,995.3616666793823
1029.2799999713898,2455,-9322,-3246,995.3666667938232
1029.284999847412,2455,-9324,-3244,995.3716666698456
1029.289999961853,2454,-9327,-3243,995.3766667842865
1029.2949998378754,2454,-9330,-3241,995.3816666603088
1029.2999999523165,2453,-9331,-3240,995.38666677475
1029.3049998283386,2450,-9333,-3240,995.3916666507721
1029.3099999427795,2447,-9336,-3242,995.396666765213
1029.314999818802,2442,-9338,-3245,995.4016666412356
1029.3199999332428,2438,-9342,-3246,995.4066667556763
1029.3249998092651,2437,-9345,-3242,995.4116666316986
1029.329999923706,2434,-9345,-3239,995.4166667461395
1029.3349997997284,2432,-9347,-3237,995.4216666221619
1029.3399999141693,2430,-9346,-3232,995.4266667366028
1029.3449997901917,2427,-9345,-3233,995.4316666126251
1029.3499999046326,2423,-9343,-3231,995.436666727066
1029.354999780655,2422,-9340,-3229,995.4416666030884
1029.3599998950958,2421,-9338,-3231,995.4466667175293
1029.3649997711182,2423,-9339,-3232,995.4516665935516
1029.369999885559,2424,-9339,-3234,995.4566667079926
1029.375,2423,-9338,-3240,995.4616668224335
1029.3799998760223,2420,-9338,-3246,995.4666666984558
1029.3849999904633,2420,-9339,-3251,995.4716668128967
1029.3899998664856,2421,-9339,-3256,995.4766666889191
1029.3949999809265,2422,-9339,-3262,995.48166680336
1029.3999998569489,2422,-9337,-3271,995.4866666793823
1029.4049999713898,2418,-9334,-3277,995.4916667938232
1029.409999847412,2416,-9333,-3283,995.4966666698456
1029.414999961853,2417,-9330,-3287,995.5016667842865
1029.4199998378754,2419,-9328,-3290,995.5066666603088
1029.4249999523165,2419,-9326,-3292,995.51166677475
1029.4299998283386,2420,-9323,-3295,995.5166666507721
1029.4349999427795,2419,-9323,-3292,995.521666765213
1029.439999818802,2416,-9325,-3289,995.5266666412356
1029.4449999332428,2411,-9327,-3283,995.5316667556763
1029.4499998092651,2408,-9329,-3275,995.5366666316986
1029.454999923706,2404,-9331,-3274,995.5416667461395
1029.4599997997284,2403,-9332,-3272,995.5466666221619
1029.4649999141693,2406,-9333,-3274,995.5516667366028
1029.4699997901917,2408,-9334,-3278,995.5566666126251
1029.4749999046326,2408,-9334,-3279,995.561666727066
1029.479999780655,2406,-9336,-3279,995.5666666030884
1029.4849998950958,2404,-9339,-3278,995.5716667175293
1029.4899997711182,2402,-9343,-3278,995.5766665935516
1029.494999885559,2403,-9348,-3282,995.5816667079926
1029.5,2401,-9353,-3285,995.5866668224335
1029.5049998760223,2400,-9356,-3290,995.5916666984558
1029.5099999904633,2398,-9356,-3292,995.5966668128967
1029.5149998664856,2395,-9353,-3291,995.6016666889191
1029.5199999809265,2395,-9351,-3290,995.60666680336
1029.5249998569489,2395,-9349,-3292,995.6116666793823
1029.5299999713898,2397,-9346,-3294,995.6166667938232
1029.534999847412,2399,-9342,-3299,995.6216666698456
1029.539999961853,2400,-9338,-3300,995.6266667842865
1029.5449998378754,2402,-9334,-3302,995.6316666603088
1029.5499999523165,2400,-9335,-3305,995.63666677475
1029.5549998283386,2399,-9335,-3309,995.6416666507721
1029.5599999427795,2400,-9337,-3314,995.646666765213
1029.564999818802,2402,-9337,-3314,995.6516666412356
1029.5699999332428,2404,-9337,-3314,995.6566667556763
1029.5749998092651,2407,-9335,-3316,995.6616666316986
1029.579999923706,2411,-9334,-3315,995.6666667461395
1029.5849997997284,2411,-9332,-3318,995.6716666221619
1029.5899999141693,2410,-9331,-3320,995.6766667366028
1029.5949997901917,2409,-9334,-3317,995.6816666126251
1029.5999999046326,2407,-9338,-3316,995.686666727066
1029.604999780655,2405,-9341,-3316,995.6916666030884
1029.6099998950958,2404,-9345,-3314,995.6966667175293
1029.6149997711182,2404,-9346,-3315,995.7016665935516
1029.619999885559,2406,-9349,-3320,995.7066667079926
1029.625,2408,-9351,-3322,995.7116668224335
1029.6299998760223,2408,-9352,-3325,995.7166666984558
1029.6349999904633,2408,-9351,-3324,995.7216668128967
1029.6399998664856,2404,-9353,-3320,995.7266666889191
1029.6449999809265,2398,-9354,-3316,995.73166680336
1029.6499998569489,2392,-9355,-3315,995.7366666793823
1029.6549999713898,2384,-9355,-3315,995.7416667938232
1029.659999847412,2376,-9354,-3317,995.7466666698456
1029.664999961853,2370,-9353,-3319,995.7516667842865
1029.6699998378754,2368,-9351,-3321,995.7566666603088
1029.6749999523165,2368,-9350,-3322,995.76166677475
1029.6799998283386,2368,-9346,-3321,995.7666666507721
1029.6849999427795,2369,-9344,-3321,995.771666765213
1029.689999818802,2371,-9343,-3322,995.7766666412356
1029.6949999332428,2371,-9342,-3321,995.7816667556763
1029.6999998092651,2373,-9342,-3324,995.7866666316986
1029.704999923706,2375,-9343,-3326,995.7916667461395
1029.7099997997284,2376,-9342,-3328,995.7966666221619
1029.7149999141693,2376,-9341,-3331,995.8016667366028
1029.7199997901917,2375,-9341,-3332,995.8066666126251
1029.7249999046326,2371,-9341,-3333,995.811666727066
1029.729999780655,2371,-9342,-3337,995.8166666030884
1029.7349998950958,2373,-9344,-3344,995.8216667175293
1029.7399997711182,2377,-9345,-3346,995.8266665935516
1029.744999885559,2380,-9346,-3348,995.8316667079926
1029.75,2384,-9347,-3349,995.8366668224335
1029.7549998760223,2388,-9347,-3350,995.8416666984558
1029.7599999904633,2389,-9346,-3350,995.8466668128967
1029.7649998664856,2389,-9345,-3349,995.8516666889191
1029.7699999809265,2389,-9342,-3348,995.85666680336
1029.7749998569489,2388,-9338,-3348,995.8616666793823
1029.7799999713898,2388,-9336,-3353,995.8666667938232
1029.784999847412,2389,-9334,-3359,995.8716666698456
1029.789999961853,2389,-9334,-3364,995.8766667842865
1029.7949998378754,2383,-9336,-3366,995.8816666603088
1029.7999999523165,2382,-9338,-3361,995.88666677475
1029.8049998283386,2383,-9340,-3355,995.8916666507721
1029.8099999427795,2383,-9338,-3348,995.896666765213
1029.814999818802,2380,-9337,-3347,995.9016666412356
1029.8199999332428,2373,-9337,-3349,995.9066667556763
1029.8249998092651,2366,-9336,-3349,995.9116666316986
1029.829999923706,2364,-9336,-3352,995.9166667461395
1029.8349997997284,2366,-9335,-3353,995.9216666221619
1029.8399999141693,2371,-9335,-3353,995.9266667366028
1029.8449997901917,2377,-9333,-3357,995.9316666126251
1029.8499999046326,2382,-9331,-3357,995.936666727066
1029.854999780655,2388,-9329,-3358,995.9416666030884
1029.8599998950958,2392,-9327,-3360,995.9466667175293
1029.8649997711182,2398,-9326,-3360,995.9516665935516
1029.869999885559,2402,-9327,-3362,995.9566667079926
1029.875,2403,-9328,-3363,995.9616668224335
1029.8799998760223,2401,-9329,-3366,995.9666666984558
1029.8849999904633,2397,-9330,-3367,995.9716668128967
1029.8899998664856,2397,-9333,-3366,995.9766666889191
1029.8949999809265,2397,-9334,-3365,995.98166680336
1029.8999998569489,2399,-9334,-3361,995.9866666793823
1029.9049999713898,2399,-9333,-3358,995.9916667938232
1029.909999847412,2395,-9330,-3360,995.9966666698456
