t,x,y,z,time_from_sync
1025.0450113774064,-493,-23,-118,995.0491767248236
1025.2400113106492,-455,-58,-180,995.2441766580664
1025.3150113106492,-455,-58,-179,995.3191766580665
1025.510011243892,-470,-72,-154,995.5141765913093
1025.585011243892,-470,-73,-153,995.5891765913093
1025.7800114155534,-479,-83,-131,995.7841767629707
1025.8550114155537,-479,-83,-130,995.859176762971
1026.0500113487965,-459,-105,-155,996.0541766962137
1026.1250113487963,-459,-106,-154,996.1291766962136
1026.320011282039,-481,-112,-98,996.3241766294564
1026.3950112820391,-481,-112,-97,996.3991766294564
1026.590011215282,-468,-131,-113,996.5941765626992
1026.665011215282,-468,-132,-112,996.6691765626992
1026.8600111485248,-472,-143,-81,996.864176495942
1026.9350111485248,-472,-144,-80,996.9391764959421
1027.1300113201862,-472,-145,-58,997.1341766676035
1027.2050113201865,-472,-146,-58,997.2091766676037
1027.400011253429,-470,-153,-35,997.4041766008463
1027.475011253429,-470,-154,-34,997.4791766008464
1027.670011186672,-465,-157,-11,997.6741765340892
1027.745011186672,-464,-157,-10,997.7491765340892
1027.9400111199147,-466,-145,15,997.944176467332
1028.0150111199148,-466,-145,16,998.019176467332
1028.2100110531576,-463,-139,30,998.2141764005748
1028.2850110531576,-463,-139,31,998.2891764005749
1028.480011224819,-462,-124,52,998.4841765722363
1028.555011224819,-462,-124,53,998.5591765722363
1028.750011158062,-463,-115,58,998.7541765054793
1028.825011158062,-463,-115,59,998.8291765054792
1029.0200110913047,-450,-113,84,999.024176438722
1029.0950110913047,-450,-114,85,999.099176438722
1029.2900110245475,-452,-110,83,999.2941763719648
1029.3650110245476,-452,-111,84,999.3691763719648
1029.5600109577904,-452,-115,78,999.5641763052076
1029.6350109577904,-452,-116,79,999.6391763052077
1029.8300111294518,-451,-121,77,999.8341764768691
1029.905011129452,-450,-121,78,999.9091764768693
1030.1000110626946,-457,-123,64,1000.1041764101119
1030.1750110626947,-457,-123,64,1000.179176410112
1030.3700109959375,-455,-127,64,1000.3741763433547
1030.4450109959375,-455,-127,65,1000.4491763433548
1030.6400109291803,-457,-129,60,1000.6441762765976
1030.7150109291804,-456,-129,60,1000.7191762765976
1030.9100108624232,-457,-135,54,1000.9141762098404
1030.9850108624232,-457,-135,55,1000.9891762098405
1031.1800110340846,-450,-134,69,1001.1841763815019
1031.2550110340846,-450,-134,69,1001.2591763815019
1031.4500109673274,-461,-118,55,1001.4541763147447
1031.5250109673275,-461,-119,56,1001.5291763147447
1031.7200109005703,-455,-119,73,1001.7241762479875
1031.7950109005703,-455,-120,73,1001.7991762479876
1031.9900108338131,-460,-116,65,1001.9941761812304
1032.0650108338132,-459,-117,65,1002.0691761812304
1032.260010767056,-460,-112,68,1002.2641761144732
1032.335010767056,-460,-113,69,1002.3391761144733
1032.5250108242765,-456,-108,79,1002.5291761716937
1032.6000108242763,-456,-109,81,1002.6041761716936
1032.795010757519,-449,-109,86,1002.7991761049364
1032.8700107575194,-449,-110,87,1002.8741761049366
1033.0650109291807,-448,-108,91,1003.069176276598
1033.1400109291808,-448,-109,92,1003.144176276598
1033.3350111008422,-446,-110,91,1003.3391764482594
1033.4100111008422,-446,-111,92,1003.4141764482595
1033.605011034085,-451,-117,79,1003.6091763815023
1033.680011034085,-451,-117,80,1003.6841763815023
1033.875010967328,-451,-117,82,1003.8791763147453
1033.950010967328,-451,-117,82,1003.9541763147452
1034.1450109005707,-456,-114,73,1004.149176247988
1034.2200109005707,-456,-115,73,1004.224176247988
1034.415011072232,-453,-113,80,1004.4191764196491
1034.4900110722322,-452,-113,80,1004.4941764196494
1034.6850112438935,-453,-110,80,1004.6891765913108
1034.7600112438936,-453,-110,80,1004.7641765913108
1034.9550111771364,-456,-110,75,1004.9591765245536
1035.0300111771364,-456,-110,76,1005.0341765245537
1035.2250111103792,-458,-107,74,1005.2291764577965
1035.3000111103793,-458,-108,75,1005.3041764577965
1035.495011043622,-459,-108,71,1005.4991763910393
1035.570011043622,-459,-108,72,1005.5741763910391
1035.7650112152835,-454,-105,82,1005.7691765627007
1035.8400112152835,-454,-106,83,1005.8441765627008
1036.035011386945,-456,-107,79,1006.0391767343622
1036.110011386945,-455,-107,80,1006.1141767343622
1036.3050113201878,-459,-103,74,1006.309176667605
1036.3800113201878,-458,-104,74,1006.3841766676051
1036.5750112534306,-459,-103,74,1006.5791766008479
1036.6500112534306,-459,-103,74,1006.6541766008479
1036.8450111866734,-459,-104,74,1006.8491765340907
1036.9200111866735,-459,-104,74,1006.9241765340907
1037.1150113583349,-456,-102,79,1007.1191767057521
1037.190011358335,-456,-103,80,1007.1941767057522
1037.3850115299963,-459,-101,77,1007.3891768774135
1037.4600115299963,-459,-102,78,1007.4641768774136
1037.6550114632391,-455,-102,80,1007.6591768106564
1037.7300114632392,-455,-103,81,1007.7341768106564
1037.925011396482,-462,-98,71,1007.9291767438992
1038.000011396482,-462,-99,72,1008.0041767438993
1038.1950113297248,-453,-100,83,1008.1991766771421
1038.2700113297249,-453,-100,84,1008.2741766771421
1038.4650115013862,-454,-102,80,1008.4691768488035
1038.5400115013863,-454,-102,81,1008.5441768488035
1038.7350116730477,-456,-99,81,1008.7391770204649
1038.8100116730477,-456,-100,82,1008.814177020465
1039.0050116062905,-456,-103,82,1009.0091769537078
1039.0800116062906,-456,-103,83,1009.0841769537078
1039.2750115395334,-451,-105,87,1009.2791768869506
1039.3500115395334,-451,-106,88,1009.3541768869507
1039.5450114727762,-443,-112,95,1009.5491768201935
1039.6200114727762,-443,-113,96,1009.6241768201935
1039.8150116444376,-442,-113,95,1009.8191769918549
1039.8900116444377,-443,-114,96,1009.8941769918549
1040.085011816099,-451,-110,81,1010.0891771635163
1040.160011816099,-451,-111,82,1010.1641771635163
1040.355011749342,-450,-108,86,1010.3591770967594
1040.430011749342,-450,-108,87,1010.4341770967592
1040.6250116825847,-454,-106,82,1010.629177030002
1040.7000116825848,-454,-106,83,1010.704177030002
1040.8950116158276,-453,-107,79,1010.8991769632448
1040.9700116158276,-453,-108,80,1010.9741769632449
1041.165011787489,-455,-108,77,1011.1691771349062
1041.240011787489,-455,-108,78,1011.2441771349063
1041.4350119591504,-446,-120,86,1011.4391773065677
1041.5100119591505,-445,-120,87,1011.5141773065677
1041.7050118923933,-435,-141,87,1011.7091772398105
1041.7800118923933,-435,-141,88,1011.7841772398106
1041.975011825636,-445,-151,57,1011.9791771730534
1042.050011825636,-445,-152,58,1012.0541771730532
1042.245011758879,-453,-159,21,1012.2491771062962
1042.320011758879,-453,-160,22,1012.3241771062962
1042.5150119305404,-461,-161,-15,1012.5191772779576
1042.5900119305404,-461,-162,-15,1012.5941772779577
1042.7850121022018,-467,-152,-39,1012.789177449619
1042.8600121022018,-467,-152,-39,1012.8641774496191
1043.0550120354446,-471,-137,-80,1013.0591773828619
1043.130012035445,-471,-137,-79,1013.1341773828622
1043.3250119686877,-481,-101,-104,1013.329177316105
1043.4000119686875,-481,-102,-103,1013.4041773161048
1043.5950119019303,-484,-65,-125,1013.5991772493476
1043.6700119019304,-484,-65,-125,1013.6741772493476
1043.8650120735915,-483,-33,-132,1013.8691774210088
1043.9400120735918,-483,-33,-132,1013.944177421009
1044.1350122452532,-486,5,-128,1014.1391775926704
1044.2100122452532,-485,4,-127,1014.2141775926705
1044.405012178496,-483,38,-121,1014.4091775259133
1044.480012178496,-483,37,-120,1014.4841775259133
1044.6750121117389,-478,78,-98,1014.6791774591561
1044.750012111739,-478,77,-97,1014.7541774591562
1044.9450120449817,-467,102,-87,1014.949177392399
1045.0200120449815,-467,102,-86,1015.0241773923988
1045.2150122166431,-466,114,-35,1015.2191775640604
1045.2900122166432,-466,114,-34,1015.2941775640604
1045.4850123883043,-454,125,0,1015.4891777357216
1045.5600123883046,-454,124,0,1015.5641777357218
1045.7400124550618,-445,108,51,1015.744177802479
1045.8150124550618,-444,107,52,1015.8191778024791
1046.0100126267232,-461,90,38,1016.0141779741405
1046.0850126267233,-461,90,39,1016.0891779741405
1046.280012559966,-439,92,81,1016.2841779073833
1046.355012559966,-439,92,82,1016.3591779073834
1046.550012493209,-441,69,96,1016.5541778406262
1046.625012493209,-441,69,97,1016.6291778406262
1046.8200124264515,-441,32,112,1016.8241777738688
1046.8950124264518,-441,31,113,1016.899177773869
1047.0900125981132,-442,28,112,1017.0941779455304
1047.1650125981132,-442,28,113,1017.1691779455305
1047.3600127697746,-433,10,127,1017.3641781171918
1047.4350127697746,-433,9,128,1017.4391781171919
1047.6300127030174,-441,-24,120,1017.6341780504347
1047.7050127030177,-441,-25,121,1017.709178050435
1047.9000126362605,-426,-23,138,1017.9041779836778
1047.9750126362603,-425,-23,139,1017.9791779836776
1048.1700125695031,-437,-20,126,1018.1741779169204
1048.2450125695032,-437,-21,126,1018.2491779169204
1048.4400127411643,-449,-30,112,1018.4441780885816
1048.5150127411646,-449,-30,113,1018.5191780885818
1048.710012912826,-449,-22,113,1018.7141782602432
1048.785012912826,-448,-22,115,1018.7891782602433
1048.9800128460688,-453,-25,107,1018.9841781934861
1049.0550128460688,-453,-26,107,1019.0591781934861
1049.2500127793116,-441,-31,123,1019.2541781267289
1049.3250127793117,-441,-31,123,1019.329178126729
1049.5200127125545,-445,-33,115,1019.5241780599717
1049.5950127125543,-445,-33,116,1019.5991780599716
1049.790012884216,-438,-41,125,1019.7941782316332
1049.865012884216,-438,-42,125,1019.8691782316332
1050.060013055877,-445,-40,116,1020.0641784032944
1050.1350130558774,-444,-41,117,1020.1391784032946
1050.3300129891202,-436,-45,126,1020.3341783365374
1050.4050129891202,-436,-45,127,1020.4091783365375
1050.600012922363,-445,-46,113,1020.6041782697803
1050.675012922363,-445,-47,114,1020.6791782697803
1050.870012855606,-452,-36,105,1020.8741782030233
1050.945012855606,-452,-36,106,1020.9491782030232
1051.1400130272673,-446,-39,114,1021.1441783746845
1051.215013027267,-446,-40,115,1021.2191783746844
1051.4100131989287,-448,-46,111,1021.414178546346
1051.4850131989288,-447,-47,112,1021.489178546346
1051.6800131321716,-436,-54,126,1021.6841784795888
1051.7550131321716,-436,-55,126,1021.7591784795889
1051.9500130654144,-440,-62,120,1021.9541784128317
1052.0250130654144,-440,-63,121,1022.0291784128317
1052.2200129986572,-437,-71,120,1022.2241783460745
1052.2950129986573,-437,-72,121,1022.2991783460747
1052.490013170319,-431,-83,127,1022.4941785177363
1052.5650131703187,-431,-84,127,1022.5691785177361
1052.76001334198,-428,-89,125,1022.7641786893975
1052.83501334198,-428,-89,126,1022.8391786893973
1053.030013275223,-440,-103,104,1023.0341786226403
1053.105013275223,-440,-103,105,1023.1091786226403
1053.3000132084658,-440,-106,103,1023.3041785558831
1053.3750132084658,-440,-106,104,1023.3791785558832
1053.5700131417086,-444,-110,92,1023.574178489126
1053.645013141709,-444,-110,93,1023.6491784891263
1053.84001331337,-441,-109,99,1023.8441786607874
1053.91501331337,-441,-110,100,1023.9191786607875
1054.1100134850317,-450,-105,88,1024.114178832449
1054.1850134850315,-450,-106,88,1024.1891788324488
1054.3800134182743,-443,-110,96,1024.3841787656916
1054.4550134182743,-443,-110,97,1024.4591787656916
1054.6500133515171,-448,-109,88,1024.6541786989344
1054.7250133515172,-447,-109,88,1024.7291786989344
1054.92001328476,-449,-110,86,1024.9241786321772
1054.99501328476,-449,-111,87,1024.9991786321773
1055.1900134564214,-448,-116,86,1025.1941788038387
1055.2650134564217,-448,-116,87,1025.269178803839
1055.2700135708624,-448,-116,87,1025.2741789182796
1055.3450135708624,-449,-116,87,1025.3491789182797
1055.5400137425238,-445,-133,78,1025.544179089941
1055.6150137425238,-445,-133,79,1025.619179089941
1055.8100136757666,-447,-146,60,1025.814179023184
1055.885013675767,-447,-147,60,1025.8891790231842
1056.0800136090097,-456,-155,23,1026.084178956427
1056.1550136090095,-456,-156,24,1026.1591789564268
1056.3500135422523,-457,-161,15,1026.3541788896696
1056.4250135422524,-457,-161,16,1026.4291788896696
1056.6200134754952,-460,-163,-18,1026.6241788229124
1056.6950134754952,-460,-163,-17,1026.6991788229125
1056.8900136471566,-460,-164,-29,1026.8941789945738
1056.9650136471566,-460,-164,-29,1026.969178994574
1057.1600135803994,-465,-153,-54,1027.1641789278167
1057.2350135803997,-465,-154,-53,1027.239178927817
1057.4300135136425,-468,-143,-76,1027.4341788610598
1057.5050135136423,-468,-143,-75,1027.5091788610596
1057.7000134468851,-474,-130,-81,1027.7041787943024
1057.7750134468852,-474,-130,-80,1027.7791787943024
1057.970013380128,-472,-119,-112,1027.9741787275452
1058.045013380128,-471,-120,-111,1028.0491787275453
1058.2400135517894,-480,-96,-108,1028.2441788992066
1058.3150135517894,-479,-97,-107,1028.3191788992067
1058.5100134850322,-471,-84,-138,1028.5141788324495
1058.5850134850325,-470,-84,-138,1028.5891788324498
1058.780013418275,-465,-69,-154,1028.7841787656923
1058.8550134182751,-465,-69,-154,1028.8591787656924
1059.050013351518,-475,-60,-141,1029.0541786989352
1059.125013351518,-474,-60,-140,1029.1291786989352
1059.3200132847608,-489,-46,-115,1029.324178632178
1059.3950132847608,-489,-47,-115,1029.399178632178
1059.5900134564222,-487,-35,-128,1029.5941788038394
1059.6650134564222,-486,-35,-127,1029.6691788038395
1059.860013389665,-487,-13,-123,1029.8641787370823
1059.935013389665,-487,-13,-122,1029.9391787370823
1060.130013322908,-489,16,-115,1030.1341786703254
1060.205013322908,-488,16,-114,1030.2091786703252
1060.4000132561507,-482,47,-116,1030.404178603568
