t,x,y,z,time_from_sync
1285.6799998283386,-6324,-2839,1239,1255.0
1285.6849999427795,-6330,-2835,1241,1255.005000114441
1285.689999818802,-6332,-2829,1241,1255.0099999904635
1285.6949999332428,-6334,-2827,1243,1255.0150001049042
1285.6999998092651,-6339,-2829,1245,1255.0199999809265
1285.704999923706,-6339,-2828,1246,1255.0250000953674
1285.7099997997284,-6338,-2828,1250,1255.0299999713898
1285.7149999141693,-6335,-2825,1252,1255.0350000858307
1285.7199997901917,-6331,-2820,1256,1255.039999961853
1285.7249999046326,-6329,-2815,1259,1255.045000076294
1285.729999780655,-6328,-2813,1260,1255.0499999523163
1285.7349998950958,-6327,-2809,1261,1255.0550000667572
1285.7399997711182,-6325,-2806,1260,1255.0599999427795
1285.744999885559,-6321,-2801,1260,1255.0650000572205
1285.75,-6318,-2800,1262,1255.0700001716614
1285.7549998760223,-6315,-2801,1265,1255.0750000476837
1285.7599999904633,-6311,-2800,1267,1255.0800001621246
1285.7649998664856,-6309,-2797,1271,1255.085000038147
1285.7699999809265,-6309,-2792,1274,1255.090000152588
1285.7749998569489,-6311,-2787,1279,1255.0950000286102
1285.7799999713898,-6311,-2783,1284,1255.1000001430511
1285.784999847412,-6310,-2779,1288,1255.1050000190735
1285.789999961853,-6309,-2773,1290,1255.1100001335144
1285.7949998378754,-6304,-2767,1291,1255.1150000095367
1285.7999999523165,-6303,-2757,1294,1255.120000123978
1285.8049998283386,-6303,-2752,1296,1255.125
1285.8099999427795,-6307,-2746,1300,1255.130000114441
1285.814999818802,-6313,-2744,1305,1255.1349999904635
1285.8199999332428,-6323,-2744,1308,1255.1400001049042
1285.8249998092651,-6329,-2744,1312,1255.1449999809265
1285.829999923706,-6330,-2744,1316,1255.1500000953674
1285.8349997997284,-6326,-2743,1317,1255.1549999713898
1285.8399999141693,-6323,-2741,1319,1255.1600000858307
1285.8449997901917,-6322,-2739,1321,1255.164999961853
1285.8499999046326,-6322,-2737,1324,1255.170000076294
