t,x,y,z,time_from_sync
1327.6050000190735,-436,124,-403,1310.0033334493637
1327.6150000095367,-436,123,-404,1310.013333439827
1327.625,-436,124,-401,1310.0233334302902
1327.6349999904633,-435,125,-400,1310.0333334207535
1327.6449999809265,-435,124,-401,1310.0433334112167
1327.6549999713898,-435,124,-402,1310.05333340168
1327.664999961853,-436,124,-403,1310.0633333921432
1327.6749999523165,-436,124,-404,1310.0733333826067
1327.6849999427795,-436,123,-405,1310.0833333730698
1327.6949999332428,-436,123,-405,1310.093333363533
1327.704999923706,-436,125,-402,1310.1033333539963
1327.7149999141693,-436,126,-400,1310.1133333444595
1327.7249999046326,-436,126,-402,1310.1233333349228
1327.7349998950958,-435,125,-403,1310.133333325386
1327.744999885559,-436,124,-403,1310.1433333158493
1327.7549998760223,-436,124,-404,1310.1533333063126
1327.7649998664856,-437,124,-404,1310.1633332967758
1327.7750000953674,-437,124,-404,1310.1733335256577
1327.7850000858307,-437,125,-402,1310.183333516121
1327.795000076294,-437,126,-400,1310.1933335065842
1327.8050000667572,-437,125,-401,1310.2033334970474
1327.8150000572205,-437,125,-402,1310.2133334875107
1327.8250000476835,-438,125,-403,1310.2233334779737
1327.835000038147,-438,125,-404,1310.2333334684372
1327.8450000286102,-438,125,-405,1310.2433334589005
1327.8550000190735,-438,125,-406,1310.2533334493637
1327.8650000095367,-438,126,-403,1310.263333439827
1327.875,-437,127,-401,1310.2733334302902
1327.8849999904633,-436,126,-403,1310.2833334207535
1327.8949999809265,-436,126,-404,1310.2933334112167
1327.9049999713898,-436,126,-405,1310.30333340168
1327.914999961853,-436,125,-406,1310.3133333921432
1327.9249999523165,-435,125,-407,1310.3233333826067
1327.9349999427795,-435,126,-403,1310.3333333730698
1327.9449999332428,-435,126,-401,1310.343333363533
1327.954999923706,-434,126,-402,1310.3533333539963
1327.9649999141693,-434,126,-404,1310.3633333444595
1327.9749999046326,-435,126,-405,1310.3733333349228
1327.9849998950958,-434,126,-406,1310.383333325386
1327.994999885559,-434,126,-407,1310.3933333158493
1328.0049998760223,-434,126,-408,1310.4033333063126
1328.0149998664856,-434,128,-406,1310.4133332967758
1328.0250000953674,-434,129,-404,1310.4233335256577
1328.0350000858307,-434,129,-405,1310.433333516121
1328.045000076294,-434,128,-407,1310.4433335065842
1328.0550000667572,-433,128,-408,1310.4533334970474
1328.0650000572205,-433,128,-408,1310.4633334875107
1328.0750000476835,-433,127,-408,1310.4733334779737
1328.085000038147,-433,127,-408,1310.4833334684372
1328.0950000286102,-433,128,-405,1310.4933334589005
1328.1050000190735,-433,129,-403,1310.5033334493637
1328.1150000095367,-433,129,-404,1310.513333439827
1328.125,-433,128,-405,1310.5233334302902
1328.1349999904633,-434,128,-406,1310.5333334207535
1328.1449999809265,-434,128,-407,1310.5433334112167
1328.1549999713898,-434,128,-408,1310.55333340168
1328.164999961853,-434,128,-409,1310.5633333921432
1328.1749999523165,-433,129,-406,1310.5733333826067
1328.1849999427795,-433,130,-403,1310.5833333730698
1328.1949999332428,-433,129,-405,1310.593333363533
1328.204999923706,-433,129,-406,1310.6033333539963
1328.2149999141693,-433,129,-406,1310.6133333444595
1328.2249999046326,-433,129,-407,1310.6233333349228
1328.2349998950958,-433,128,-408,1310.633333325386
1328.244999885559,-433,130,-405,1310.6433333158493
1328.2549998760223,-433,131,-403,1310.6533333063126
1328.2649998664856,-433,131,-405,1310.6633332967758
1328.2750000953674,-432,131,-406,1310.6733335256577
1328.2850000858307,-432,131,-407,1310.683333516121
1328.295000076294,-432,130,-407,1310.6933335065842
1328.3050000667572,-433,130,-407,1310.7033334970474
1328.3150000572205,-433,130,-408,1310.7133334875107
1328.3250000476835,-433,131,-405,1310.7233334779737
1328.335000038147,-432,132,-404,1310.7333334684372
1328.3450000286102,-432,132,-405,1310.7433334589005
1328.3550000190735,-432,132,-406,1310.7533334493637
1328.3650000095367,-432,132,-407,1310.763333439827
1328.375,-432,132,-408,1310.7733334302902
1328.3849999904633,-432,131,-409,1310.7833334207535
1328.3949999809265,-432,131,-410,1310.7933334112167
1328.4049999713898,-432,133,-407,1310.80333340168
1328.414999961853,-431,134,-405,1310.8133333921432
1328.4249999523165,-431,133,-407,1310.8233333826067
1328.4349999427795,-431,132,-408,1310.8333333730698
1328.4449999332428,-432,132,-408,1310.843333363533
1328.454999923706,-432,132,-409,1310.8533333539963
1328.4649999141693,-432,132,-409,1310.8633333444595
1328.4749999046326,-431,132,-410,1310.8733333349228
1328.4849998950958,-432,134,-407,1310.883333325386
1328.494999885559,-431,135,-405,1310.8933333158493
1328.5049998760223,-432,135,-406,1310.9033333063126
1328.5149998664856,-432,134,-407,1310.9133332967758
1328.5199999809265,-432,136,-404,1310.9183334112167
1328.5250000953674,-432,135,-403,1310.9233335256577
1328.539999961853,-431,135,-402,1310.9383333921432
1328.5499999523165,-431,135,-402,1310.9483333826067
1328.5599999427795,-430,135,-402,1310.9583333730698
1328.5699999332428,-431,135,-404,1310.968333363533
1328.579999923706,-431,135,-405,1310.9783333539963
1328.5899999141693,-431,134,-407,1310.9883333444595
1328.5999999046326,-431,134,-408,1310.9983333349228
1328.6099998950958,-431,133,-408,1311.008333325386
1328.619999885559,-432,133,-408,1311.0183333158493
1328.6299998760223,-432,135,-406,1311.0283333063126
1328.6399998664856,-432,136,-404,1311.0383332967758
1328.6500000953674,-432,135,-405,1311.0483335256577
1328.6600000858307,-432,135,-406,1311.058333516121
1328.670000076294,-433,135,-407,1311.0683335065842
1328.6800000667572,-433,134,-407,1311.0783334970474
1328.6900000572205,-433,134,-408,1311.0883334875107
1328.7000000476835,-433,134,-408,1311.0983334779737
1328.710000038147,-433,135,-406,1311.1083334684372
1328.7200000286102,-432,136,-404,1311.1183334589005
1328.7300000190735,-432,135,-405,1311.1283334493637
1328.7400000095367,-432,134,-406,1311.138333439827
1328.75,-431,134,-407,1311.1483334302902
1328.7599999904633,-431,133,-408,1311.1583334207535
1328.7699999809265,-431,132,-410,1311.1683334112167
1328.7799999713898,-431,132,-410,1311.17833340168
1328.789999961853,-431,133,-407,1311.1883333921432
1328.7999999523165,-430,134,-405,1311.1983333826067
1328.8099999427795,-430,134,-407,1311.2083333730698
1328.8199999332428,-431,133,-408,1311.218333363533
