t,x,y,z,time_from_sync
1413.7699999809265,-129.3585205078125,-88.714599609375,-104.7052001953125,1382.001666824023
1413.7749998569489,-129.6441650390625,-88.7091064453125,-104.3756103515625,1382.0066667000453
1413.7799999713898,-129.9737548828125,-88.6981201171875,-103.9910888671875,1382.0116668144863
1413.784999847412,-130.264892578125,-88.692626953125,-103.64501953125,1382.0166666905086
1413.789999961853,-130.6329345703125,-88.6871337890625,-103.216552734375,1382.0216668049495
1413.7949998378754,-130.924072265625,-88.681640625,-102.8485107421875,1382.0266666809719
1413.7999999523165,-131.2481689453125,-88.681640625,-102.4530029296875,1382.031666795413
1413.8049998283386,-131.363525390625,-88.670654296875,-102.2662353515625,1382.0366666714351
1413.8099999427795,-131.605224609375,-88.6651611328125,-101.964111328125,1382.041666785876
1413.814999818802,-131.9512939453125,-88.65966796875,-101.5521240234375,1382.0466666618986
1413.8199999332428,-132.308349609375,-88.648681640625,-101.129150390625,1382.0516667763393
1413.8249998092651,-132.7423095703125,-88.6431884765625,-100.6182861328125,1382.0566666523616
1413.829999923706,-133.0389404296875,-88.6376953125,-100.228271484375,1382.0616667668025
1413.8349997997284,-133.4454345703125,-88.6322021484375,-99.73388671875,1382.0666666428249
1413.8399999141693,-133.912353515625,-88.626708984375,-99.1790771484375,1382.0716667572658
1413.8449997901917,-134.3133544921875,-88.6212158203125,-98.712158203125,1382.0766666332881
1413.8499999046326,-134.5166015625,-88.6102294921875,-98.4539794921875,1382.081666747729
1413.854999780655,-134.7857666015625,-88.604736328125,-98.1243896484375,1382.0866666237514
1413.8599998950958,-135.054931640625,-88.5992431640625,-97.8057861328125,1382.0916667381923
1413.8649997711182,-135.263671875,-88.5882568359375,-97.53662109375,1382.0966666142147
1413.869999885559,-135.538330078125,-88.582763671875,-97.2015380859375,1382.1016667286556
1413.875,-135.7635498046875,-88.57177734375,-96.8994140625,1382.1066668430965
1413.8799998760223,-135.9832763671875,-88.5662841796875,-96.6082763671875,1382.1116667191188
1413.8849999904633,-136.2579345703125,-88.560791015625,-96.26220703125,1382.1166668335597
1413.8899998664856,-136.5325927734375,-88.5552978515625,-95.9271240234375,1382.121666709582
1413.8949999809265,-136.7852783203125,-88.5498046875,-95.6304931640625,1382.126666824023
1413.8999998569489,-136.944580078125,-88.538818359375,-95.4217529296875,1382.1316667000453
1413.9049999713898,-137.2686767578125,-88.5333251953125,-95.0482177734375,1382.1366668144863
1413.909999847412,-137.6531982421875,-88.52783203125,-94.6142578125,1382.1416666905086
1413.914999961853,-138.076171875,-88.5223388671875,-94.1363525390625,1382.1466668049495
1413.9199998378754,-138.3453369140625,-88.5113525390625,-93.80126953125,1382.1516666809719
1413.9249999523165,-138.7408447265625,-88.505859375,-93.3453369140625,1382.156666795413
1413.9299998283386,-139.15283203125,-88.5003662109375,-92.8729248046875,1382.1616666714351
1413.9349999427795,-139.5318603515625,-88.494873046875,-92.43896484375,1382.166666785876
1413.939999818802,-139.74609375,-88.48388671875,-92.186279296875,1382.1716666618986
1413.9449999332428,-139.9822998046875,-88.4783935546875,-91.9061279296875,1382.1766667763393
1413.9499998092651,-140.2679443359375,-88.472900390625,-91.58203125,1382.1816666523616
1413.954999923706,-140.5535888671875,-88.4619140625,-91.2689208984375,1382.1866667668025
1413.9599997997284,-141.04248046875,-88.4564208984375,-90.7525634765625,1382.1916666428249
1413.9649999141693,-141.3006591796875,-88.450927734375,-90.4449462890625,1382.1966667572658
1413.9699997901917,-141.6192626953125,-88.4454345703125,-90.0823974609375,1382.2016666332881
1413.9749999046326,-141.8609619140625,-88.43994140625,-89.7967529296875,1382.206666747729
1413.979999780655,-142.1356201171875,-88.43994140625,-89.5001220703125,1382.2116666237514
1413.9849998950958,-142.283935546875,-88.428955078125,-89.3353271484375,1382.2166667381923
1413.9899997711182,-142.3992919921875,-88.4234619140625,-89.2034912109375,1382.2216666142147
1413.994999885559,-142.613525390625,-88.41796875,-88.96728515625,1382.2266667286556
1414.0,-142.877197265625,-88.406982421875,-88.6651611328125,1382.2316668430965
1414.0049998760223,-143.15185546875,-88.4014892578125,-88.363037109375,1382.2366667191188
1414.0099999904633,-143.4539794921875,-88.3905029296875,-88.04443359375,1382.2416668335597
1414.0149998664856,-143.72314453125,-88.385009765625,-87.7587890625,1382.246666709582
1414.0199999809265,-143.9263916015625,-88.3740234375,-87.550048828125,1382.251666824023
1414.0249998569489,-144.2559814453125,-88.3685302734375,-87.20947265625,1382.2566667000453
1414.0299999713898,-144.5086669921875,-88.3575439453125,-86.934814453125,1382.2616668144863
1414.034999847412,-144.876708984375,-88.35205078125,-86.55029296875,1382.2666666905086
1414.039999961853,-145.206298828125,-88.3465576171875,-86.1822509765625,1382.2716668049495
1414.0449998378754,-145.4864501953125,-88.341064453125,-85.8636474609375,1382.2766666809719
1414.0499999523165,-145.6182861328125,-88.3355712890625,-85.693359375,1382.281666795413
1414.0549998283386,-145.821533203125,-88.330078125,-85.4681396484375,1382.2866666714351
1414.0599999427795,-145.9588623046875,-88.3245849609375,-85.31982421875,1382.291666785876
1414.064999818802,-146.0687255859375,-88.319091796875,-85.2044677734375,1382.2966666618986
1414.0699999332428,-146.3323974609375,-88.3135986328125,-84.9407958984375,1382.3016667763393
1414.0749998092651,-146.6015625,-88.30810546875,-84.6551513671875,1382.3066666523616
1414.079999923706,-146.865234375,-88.3026123046875,-84.3695068359375,1382.3116667668025
1414.0849997997284,-147.1124267578125,-88.297119140625,-84.0728759765625,1382.3166666428249
1414.0899999141693,-147.3541259765625,-88.2916259765625,-83.78173828125,1382.3216667572658
1414.0949997901917,-147.5299072265625,-88.2861328125,-83.5565185546875,1382.3266666332881
1414.0999999046326,-147.6837158203125,-88.275146484375,-83.3697509765625,1382.331666747729
1414.104999780655,-147.908935546875,-88.2696533203125,-83.12255859375,1382.3366666237514
1414.1099998950958,-148.1011962890625,-88.2586669921875,-82.9083251953125,1382.3416667381923
1414.1149997711182,-148.3099365234375,-88.253173828125,-82.6776123046875,1382.3466666142147
1414.119999885559,-148.5186767578125,-88.2421875,-82.44140625,1382.3516667286556
1414.125,-148.88671875,-88.2366943359375,-82.0404052734375,1382.3566668430965
1414.1299998760223,-149.095458984375,-88.231201171875,-81.7822265625,1382.3616667191188
1414.1349999904633,-149.2822265625,-88.2257080078125,-81.551513671875,1382.3666668335597
1414.1399998664856,-149.5623779296875,-88.22021484375,-81.2274169921875,1382.371666709582
1414.1449999809265,-149.8040771484375,-88.2147216796875,-80.9527587890625,1382.376666824023
1414.1499998569489,-150.00732421875,-88.2147216796875,-80.7330322265625,1382.3816667000453
1414.1549999713898,-150.05126953125,-88.209228515625,-80.6671142578125,1382.3866668144863
1414.159999847412,-150.205078125,-88.1982421875,-80.496826171875,1382.3916666905086
1414.164999961853,-150.391845703125,-88.1927490234375,-80.2825927734375,1382.3966668049495
1414.1699998378754,-150.5841064453125,-88.1927490234375,-80.068359375,1382.4016666809719
1414.1749999523165,-150.7928466796875,-88.187255859375,-79.82666015625,1382.406666795413
1414.1799998283386,-150.93017578125,-88.1817626953125,-79.65087890625,1382.4116666714351
1414.1849999427795,-151.160888671875,-88.17626953125,-79.3817138671875,1382.416666785876
1414.189999818802,-151.3861083984375,-88.17626953125,-79.134521484375,1382.4216666618986
1414.1949999332428,-151.534423828125,-88.1707763671875,-78.958740234375,1382.4266667763393
1414.1999998092651,-151.600341796875,-88.165283203125,-78.85986328125,1382.4316666523616
1414.204999923706,-151.7486572265625,-88.154296875,-78.68408203125,1382.4366667668025
1414.2099997997284,-151.9024658203125,-88.1488037109375,-78.5028076171875,1382.4416666428249
1414.2149999141693,-152.259521484375,-88.143310546875,-78.1182861328125,1382.4466667572658
1414.2199997901917,-152.5067138671875,-88.1378173828125,-77.8216552734375,1382.4516666332881
