t,x,y,z,time_from_sync
1413.7699999809265,-6371,-10,5376,1382.001666824023
1413.7749998569489,-6371,-10,5378,1382.0066667000453
1413.7799999713898,-6371,-12,5380,1382.0116668144863
1413.784999847412,-6373,-16,5381,1382.0166666905086
1413.789999961853,-6373,-23,5380,1382.0216668049495
1413.7949998378754,-6372,-26,5381,1382.0266666809719
1413.7999999523165,-6372,-29,5380,1382.031666795413
1413.8049998283386,-6371,-30,5379,1382.0366666714351
1413.8099999427795,-6371,-30,5379,1382.041666785876
1413.814999818802,-6370,-31,5378,1382.0466666618986
1413.8199999332428,-6370,-30,5377,1382.0516667763393
1413.8249998092651,-6369,-29,5376,1382.0566666523616
1413.829999923706,-6367,-27,5375,1382.0616667668025
1413.8349997997284,-6367,-25,5375,1382.0666666428249
1413.8399999141693,-6366,-28,5375,1382.0716667572658
1413.8449997901917,-6366,-30,5374,1382.0766666332881
1413.8499999046326,-6368,-34,5375,1382.081666747729
1413.854999780655,-6368,-36,5377,1382.0866666237514
1413.8599998950958,-6369,-34,5378,1382.0916667381923
1413.8649997711182,-6369,-32,5382,1382.0966666142147
1413.869999885559,-6370,-27,5385,1382.1016667286556
1413.875,-6370,-27,5388,1382.1066668430965
1413.8799998760223,-6369,-26,5393,1382.1116667191188
1413.8849999904633,-6369,-25,5398,1382.1166668335597
1413.8899998664856,-6368,-25,5399,1382.121666709582
1413.8949999809265,-6367,-24,5402,1382.126666824023
1413.8999998569489,-6366,-25,5403,1382.1316667000453
1413.9049999713898,-6364,-28,5405,1382.1366668144863
1413.909999847412,-6363,-31,5406,1382.1416666905086
1413.914999961853,-6363,-33,5407,1382.1466668049495
1413.9199998378754,-6363,-36,5407,1382.1516666809719
1413.9249999523165,-6363,-33,5409,1382.156666795413
1413.9299998283386,-6363,-32,5410,1382.1616666714351
1413.9349999427795,-6364,-31,5412,1382.166666785876
1413.939999818802,-6365,-29,5416,1382.1716666618986
1413.9449999332428,-6368,-28,5417,1382.1766667763393
1413.9499998092651,-6369,-28,5418,1382.1816666523616
1413.954999923706,-6369,-28,5421,1382.1866667668025
1413.9599997997284,-6368,-27,5424,1382.1916666428249
1413.9649999141693,-6364,-30,5427,1382.1966667572658
1413.9699997901917,-6362,-33,5429,1382.2016666332881
1413.9749999046326,-6360,-37,5428,1382.206666747729
1413.979999780655,-6359,-35,5427,1382.2116666237514
1413.9849998950958,-6360,-31,5426,1382.2166667381923
1413.9899997711182,-6361,-28,5425,1382.2216666142147
1413.994999885559,-6361,-24,5425,1382.2266667286556
1414.0,-6359,-30,5428,1382.2316668430965
1414.0049998760223,-6358,-33,5430,1382.2366667191188
1414.0099999904633,-6358,-34,5432,1382.2416668335597
1414.0149998664856,-6357,-38,5433,1382.246666709582
1414.0199999809265,-6354,-37,5434,1382.251666824023
1414.0249998569489,-6351,-37,5438,1382.2566667000453
1414.0299999713898,-6349,-37,5440,1382.2616668144863
1414.034999847412,-6348,-34,5443,1382.2666666905086
1414.039999961853,-6348,-37,5447,1382.2716668049495
1414.0449998378754,-6350,-42,5451,1382.2766666809719
1414.0499999523165,-6352,-42,5455,1382.281666795413
1414.0549998283386,-6356,-42,5459,1382.2866666714351
1414.0599999427795,-6357,-40,5460,1382.291666785876
1414.064999818802,-6355,-37,5462,1382.2966666618986
1414.0699999332428,-6354,-34,5464,1382.3016667763393
1414.0749998092651,-6352,-39,5468,1382.3066666523616
1414.079999923706,-6352,-40,5471,1382.3116667668025
1414.0849997997284,-6352,-40,5470,1382.3166666428249
1414.0899999141693,-6351,-38,5467,1382.3216667572658
1414.0949997901917,-6351,-33,5463,1382.3266666332881
1414.0999999046326,-6349,-29,5463,1382.331666747729
1414.104999780655,-6348,-27,5463,1382.3366666237514
1414.1099998950958,-6347,-26,5466,1382.3416667381923
1414.1149997711182,-6344,-28,5471,1382.3466666142147
1414.119999885559,-6341,-31,5475,1382.3516667286556
1414.125,-6338,-30,5481,1382.3566668430965
1414.1299998760223,-6336,-30,5483,1382.3616667191188
1414.1349999904633,-6333,-31,5484,1382.3666668335597
1414.1399998664856,-6331,-31,5486,1382.371666709582
1414.1449999809265,-6330,-36,5489,1382.376666824023
1414.1499998569489,-6330,-42,5491,1382.3816667000453
1414.1549999713898,-6331,-44,5494,1382.3866668144863
1414.159999847412,-6333,-44,5495,1382.3916666905086
