t,x,y,z,time_from_sync
1447.6050000190735,-436,159,-407,1430.0033334493637
1447.6150000095367,-436,158,-409,1430.013333439827
1447.625,-436,158,-410,1430.0233334302902
1447.6349999904633,-437,157,-411,1430.0333334207535
1447.6449999809265,-437,156,-412,1430.0433334112167
1447.6549999713898,-436,156,-413,1430.05333340168
1447.664999961853,-436,155,-413,1430.0633333921432
1447.6749999523165,-436,156,-411,1430.0733333826067
1447.6849999427795,-436,157,-409,1430.0833333730698
1447.6949999332428,-436,156,-410,1430.093333363533
1447.704999923706,-436,155,-411,1430.1033333539963
1447.7149999141693,-437,154,-411,1430.1133333444595
1447.7249999046326,-437,154,-412,1430.1233333349228
1447.7349998950958,-437,153,-412,1430.133333325386
1447.744999885559,-437,153,-412,1430.1433333158493
1447.7549998760223,-437,153,-409,1430.1533333063126
1447.7649998664856,-437,154,-407,1430.1633332967758
1447.7750000953674,-437,153,-408,1430.1733335256577
1447.7850000858307,-437,153,-409,1430.183333516121
1447.795000076294,-437,153,-409,1430.1933335065842
1447.8050000667572,-438,152,-410,1430.2033334970474
1447.8150000572205,-438,151,-410,1430.2133334875107
1447.8250000476835,-437,152,-406,1430.2233334779737
1447.835000038147,-437,153,-405,1430.2333334684372
1447.8450000286102,-437,152,-406,1430.2433334589005
1447.8550000190735,-437,151,-407,1430.2533334493637
1447.8650000095367,-437,150,-408,1430.263333439827
1447.875,-437,150,-409,1430.2733334302902
1447.8849999904633,-437,149,-409,1430.2833334207535
1447.8949999809265,-436,149,-410,1430.2933334112167
1447.9049999713898,-436,149,-407,1430.30333340168
1447.914999961853,-436,150,-405,1430.3133333921432
1447.9249999523165,-436,149,-407,1430.3233333826067
1447.9349999427795,-436,148,-408,1430.3333333730698
1447.9449999332428,-436,146,-408,1430.343333363533
1447.954999923706,-436,146,-409,1430.3533333539963
1447.960000038147,-436,147,-406,1430.3583334684372
1447.9649999141693,-436,147,-405,1430.3633333444595
1447.9800000190735,-436,147,-403,1430.3783334493637
1448.0,-435,147,-403,1430.3983334302902
1448.0199999809265,-435,144,-407,1430.4183334112167
1448.0299999713898,-436,143,-408,1430.42833340168
1448.039999961853,-436,143,-408,1430.4383333921432
1448.0499999523165,-436,141,-409,1430.4483333826067
1448.0599999427795,-437,140,-409,1430.4583333730698
1448.0699999332428,-437,140,-409,1430.468333363533
1448.079999923706,-436,142,-406,1430.4783333539963
1448.0899999141693,-436,142,-404,1430.4883333444595
1448.0999999046326,-436,141,-405,1430.4983333349228
1448.1099998950958,-436,140,-407,1430.508333325386
1448.119999885559,-436,139,-407,1430.5183333158493
1448.1299998760223,-436,138,-408,1430.5283333063126
1448.1399998664856,-436,138,-408,1430.5383332967758
1448.1500000953674,-437,138,-405,1430.5483335256577
1448.1600000858307,-437,138,-403,1430.558333516121
1448.170000076294,-437,137,-404,1430.5683335065842
1448.1800000667572,-437,137,-405,1430.5783334970474
1448.1900000572205,-437,136,-406,1430.5883334875107
1448.2000000476835,-437,135,-406,1430.5983334779737
1448.210000038147,-438,135,-406,1430.6083334684372
1448.2200000286102,-437,134,-406,1430.6183334589005
1448.2300000190735,-437,135,-404,1430.6283334493637
1448.2400000095367,-437,135,-402,1430.638333439827
1448.25,-436,135,-403,1430.6483334302902
1448.2599999904633,-436,134,-404,1430.6583334207535
1448.2699999809265,-436,133,-405,1430.6683334112167
1448.2799999713898,-436,132,-405,1430.67833340168
1448.289999961853,-436,132,-406,1430.6883333921432
1448.2999999523165,-436,131,-407,1430.6983333826067
1448.3099999427795,-436,132,-404,1430.7083333730698
1448.3199999332428,-436,132,-401,1430.718333363533
