t,x,y,z,time_from_sync
4360.619999885559,-508,475,-340,4334.000833312671
4360.629999876022,-508,474,-341,4334.010833303134
4360.639999866486,-507,474,-342,4334.020833293597
4360.650000095367,-508,474,-343,4334.030833522479
4360.660000085831,-508,473,-344,4334.040833512942
4360.670000076294,-508,472,-345,4334.050833503406
4360.680000066757,-509,472,-344,4334.060833493869
4360.6900000572205,-509,473,-341,4334.070833484332
4360.700000047684,-509,473,-339,4334.080833474795
4360.710000038147,-509,472,-340,4334.090833465259
4360.72000002861,-508,471,-341,4334.100833455722
4360.7300000190735,-508,470,-342,4334.110833446185
4360.740000009537,-508,470,-344,4334.120833436648
4360.75,-508,469,-344,4334.130833427112
4360.759999990463,-508,471,-341,4334.140833417575
4360.769999980927,-508,471,-339,4334.150833408039
4360.77999997139,-507,471,-340,4334.160833398501
4360.789999961853,-508,470,-341,4334.170833388965
4360.799999952316,-508,470,-342,4334.180833379428
4360.80999994278,-508,469,-343,4334.190833369892
4360.819999933243,-508,469,-343,4334.200833360354
4360.829999923706,-508,468,-344,4334.210833350818
4360.839999914169,-508,469,-341,4334.220833341281
4360.849999904633,-508,470,-339,4334.230833331744
4360.859999895096,-508,469,-341,4334.240833322207
4360.869999885559,-508,469,-343,4334.250833312671
4360.879999876022,-508,468,-344,4334.260833303134
4360.889999866486,-508,467,-345,4334.270833293597
4360.900000095367,-509,466,-346,4334.280833522479
4360.910000085831,-509,465,-347,4334.290833512942
4360.920000076294,-508,466,-345,4334.300833503406
4360.930000066757,-508,467,-343,4334.310833493869
4360.9400000572205,-508,465,-345,4334.320833484332
4360.950000047684,-508,465,-346,4334.330833474795
4360.960000038147,-508,464,-347,4334.340833465259
4360.97000002861,-509,463,-348,4334.350833455722
4360.9800000190735,-509,463,-349,4334.360833446185
4360.990000009537,-509,462,-349,4334.370833436648
4361.0,-509,463,-346,4334.380833427112
4361.009999990463,-508,464,-345,4334.390833417575
4361.019999980927,-508,463,-346,4334.400833408039
4361.02999997139,-508,462,-347,4334.410833398501
4361.039999961853,-508,461,-348,4334.420833388965
4361.049999952316,-508,460,-349,4334.430833379428
4361.05999994278,-509,459,-349,4334.440833369892
4361.069999933243,-509,461,-347,4334.450833360354
4361.079999923706,-509,461,-345,4334.460833350818
4361.089999914169,-509,460,-347,4334.470833341281
4361.099999904633,-509,459,-348,4334.480833331744
4361.109999895096,-510,458,-349,4334.490833322207
4361.119999885559,-510,457,-350,4334.500833312671
4361.129999876022,-510,456,-351,4334.510833303134
4361.139999866486,-510,456,-352,4334.520833293597
4361.150000095367,-510,456,-349,4334.530833522479
4361.160000085831,-510,456,-347,4334.540833512942
4361.170000076294,-510,456,-348,4334.550833503406
4361.180000066757,-510,455,-349,4334.560833493869
4361.1900000572205,-510,454,-350,4334.570833484332
4361.200000047684,-510,453,-351,4334.580833474795
4361.210000038147,-510,452,-351,4334.590833465259
4361.22000002861,-510,451,-353,4334.600833455722
4361.2300000190735,-510,453,-350,4334.610833446185
4361.240000009537,-510,454,-348,4334.620833436648
4361.25,-510,453,-350,4334.630833427112
4361.259999990463,-510,452,-352,4334.640833417575
4361.269999980927,-510,451,-353,4334.650833408039
4361.27999997139,-511,450,-353,4334.660833398501
4361.289999961853,-511,449,-354,4334.670833388965
4361.295000076294,-511,451,-351,4334.675833503406
4361.299999952316,-510,451,-350,4334.680833379428
4361.319999933243,-509,451,-348,4334.700833360354
4361.335000038147,-509,450,-348,4334.715833465259
4361.34500002861,-510,450,-350,4334.725833455722
4361.3550000190735,-510,449,-351,4334.735833446185
4361.365000009537,-511,449,-352,4334.745833436648
4361.375,-511,448,-353,4334.755833427112
4361.384999990463,-511,449,-351,4334.765833417575
4361.394999980927,-511,451,-349,4334.775833408039
4361.40499997139,-511,450,-350,4334.785833398501
4361.414999961853,-511,449,-351,4334.795833388965
4361.424999952316,-512,448,-352,4334.805833379428
4361.43499994278,-512,448,-353,4334.815833369892
4361.444999933243,-512,447,-354,4334.825833360354
4361.454999923706,-512,447,-354,4334.835833350818
4361.464999914169,-512,449,-352,4334.845833341281
4361.474999904633,-512,449,-350,4334.855833331744
4361.484999895096,-512,448,-352,4334.865833322207
4361.494999885559,-513,448,-353,4334.875833312671
4361.504999876022,-513,447,-355,4334.885833303134
4361.514999866486,-513,446,-355,4334.895833293597
4361.525000095367,-513,446,-355,4334.905833522479
4361.535000085831,-513,446,-355,4334.915833512942
4361.545000076294,-513,447,-352,4334.925833503406
4361.555000066757,-513,448,-350,4334.935833493869
4361.5650000572205,-513,447,-352,4334.945833484332
4361.575000047684,-513,447,-353,4334.955833474795
4361.585000038147,-513,446,-353,4334.965833465259
4361.59500002861,-513,446,-353,4334.975833455722
4361.6050000190735,-514,446,-353,4334.985833446185
4361.615000009537,-514,445,-353,4334.995833436648
4361.625,-514,446,-350,4335.005833427112
4361.634999990463,-514,447,-348,4335.015833417575
4361.644999980927,-514,446,-350,4335.025833408039
4361.65499997139,-514,446,-352,4335.035833398501
4361.664999961853,-514,446,-352,4335.045833388965
4361.674999952316,-514,446,-352,4335.055833379428
4361.68499994278,-515,445,-353,4335.065833369892
4361.694999933243,-515,446,-350,4335.075833360354
4361.704999923706,-514,447,-348,4335.085833350818
4361.714999914169,-514,446,-349,4335.095833341281
4361.724999904633,-515,445,-350,4335.105833331744
4361.734999895096,-515,444,-352,4335.115833322207
4361.744999885559,-515,444,-352,4335.125833312671
4361.754999876022,-515,444,-353,4335.135833303134
4361.764999866486,-515,444,-353,4335.145833293597
4361.775000095367,-515,445,-350,4335.155833522479
4361.785000085831,-515,446,-348,4335.165833512942
4361.795000076294,-515,446,-349,4335.175833503406
4361.805000066757,-515,445,-350,4335.185833493869
4361.8150000572205,-516,445,-351,4335.195833484332
4361.825000047684,-516,445,-352,4335.205833474795
4361.835000038147,-516,444,-352,4335.215833465259
4361.84500002861,-516,444,-353,4335.225833455722
4361.8550000190735,-516,446,-351,4335.235833446185
4361.865000009537,-516,447,-349,4335.245833436648
4361.875,-516,446,-350,4335.255833427112
4361.884999990463,-516,446,-351,4335.265833417575
4361.894999980927,-516,446,-351,4335.275833408039
4361.90499997139,-516,446,-352,4335.285833398501
4361.914999961853,-516,446,-352,4335.295833388965
4361.924999952316,-516,445,-353,4335.305833379428
4361.93499994278,-516,447,-350,4335.315833369892
4361.944999933243,-515,448,-349,4335.325833360354
4361.954999923706,-516,447,-350,4335.335833350818
4361.964999914169,-516,447,-352,4335.345833341281
4361.974999904633,-516,447,-352,4335.355833331744
4361.984999895096,-516,446,-353,4335.365833322207
4361.994999885559,-516,446,-354,4335.375833312671
4362.004999876022,-516,448,-351,4335.385833303134
4362.014999866486,-516,449,-349,4335.395833293597
4362.025000095367,-516,449,-349,4335.405833522479
4362.035000085831,-516,448,-350,4335.415833512942
4362.045000076294,-516,448,-351,4335.425833503406
4362.055000066757,-516,448,-352,4335.435833493869
4362.0650000572205,-516,448,-353,4335.445833484332
4362.075000047684,-516,448,-353,4335.455833474795
4362.085000038147,-516,450,-350,4335.465833465259
4362.09500002861,-516,451,-347,4335.475833455722
4362.1050000190735,-516,450,-348,4335.485833446185
4362.115000009537,-517,449,-350,4335.495833436648
4362.125,-517,449,-350,4335.505833427112
4362.134999990463,-517,449,-351,4335.515833417575
4362.144999980927,-518,450,-351,4335.525833408039
4362.15499997139,-518,450,-352,4335.535833398501
4362.164999961853,-518,452,-349,4335.545833388965
4362.174999952316,-517,453,-346,4335.555833379428
4362.18499994278,-517,452,-347,4335.565833369892
4362.194999933243,-518,451,-348,4335.575833360354
4362.204999923706,-518,451,-349,4335.585833350818
4362.214999914169,-518,450,-349,4335.595833341281
4362.224999904633,-518,450,-350,4335.605833331744
4362.234999895096,-518,450,-351,4335.615833322207
4362.244999885559,-518,452,-348,4335.625833312671
4362.254999876022,-517,453,-346,4335.635833303134
4362.264999866486,-516,452,-348,4335.645833293597
4362.275000095367,-517,451,-349,4335.655833522479
4362.285000085831,-517,451,-350,4335.665833512942
4362.295000076294,-517,451,-351,4335.675833503406
4362.299999952316,-517,452,-348,4335.680833379428
4362.305000066757,-517,452,-347,4335.685833493869
4362.325000047684,-517,453,-345,4335.705833474795
4362.34500002861,-517,453,-345,4335.725833455722
4362.3550000190735,-517,452,-346,4335.735833446185
4362.365000009537,-517,452,-347,4335.745833436648
4362.375,-517,453,-348,4335.755833427112
4362.384999990463,-517,453,-348,4335.765833417575
4362.394999980927,-517,453,-349,4335.775833408039
4362.40499997139,-518,455,-346,4335.785833398501
4362.414999961853,-517,456,-345,4335.795833388965
4362.424999952316,-517,456,-346,4335.805833379428
4362.43499994278,-517,455,-348,4335.815833369892
4362.444999933243,-517,454,-349,4335.825833360354
4362.454999923706,-517,454,-349,4335.835833350818
4362.464999914169,-516,454,-350,4335.845833341281
4362.474999904633,-516,454,-351,4335.855833331744
4362.484999895096,-516,455,-348,4335.865833322207
4362.494999885559,-516,456,-345,4335.875833312671
4362.504999876022,-516,456,-346,4335.885833303134
4362.514999866486,-516,455,-347,4335.895833293597
4362.525000095367,-516,455,-349,4335.905833522479
4362.535000085831,-516,455,-349,4335.915833512942
4362.545000076294,-516,455,-350,4335.925833503406
4362.555000066757,-516,455,-350,4335.935833493869
4362.5650000572205,-516,456,-347,4335.945833484332
4362.575000047684,-515,457,-345,4335.955833474795
4362.585000038147,-515,457,-347,4335.965833465259
4362.59500002861,-515,456,-348,4335.975833455722
4362.6050000190735,-515,455,-348,4335.985833446185
4362.615000009537,-515,455,-349,4335.995833436648
4362.625,-515,455,-349,4336.005833427112
4362.634999990463,-515,454,-350,4336.015833417575
4362.644999980927,-515,456,-347,4336.025833408039
4362.65499997139,-514,457,-345,4336.035833398501
4362.664999961853,-514,456,-346,4336.045833388965
4362.674999952316,-514,456,-348,4336.055833379428
4362.68499994278,-514,456,-349,4336.065833369892
4362.694999933243,-514,455,-350,4336.075833360354
4362.704999923706,-514,455,-351,4336.085833350818
4362.714999914169,-514,457,-349,4336.095833341281
4362.724999904633,-514,458,-347,4336.105833331744
4362.734999895096,-513,457,-348,4336.115833322207
4362.744999885559,-513,457,-349,4336.125833312671
4362.754999876022,-513,457,-350,4336.135833303134
4362.764999866486,-513,456,-351,4336.145833293597
4362.775000095367,-513,456,-352,4336.155833522479
4362.785000085831,-513,455,-352,4336.165833512942
4362.795000076294,-513,456,-349,4336.175833503406
4362.805000066757,-513,457,-347,4336.185833493869
4362.8150000572205,-513,456,-349,4336.195833484332
4362.825000047684,-513,456,-350,4336.205833474795
4362.835000038147,-513,455,-351,4336.215833465259
4362.84500002861,-513,455,-352,4336.225833455722
4362.8550000190735,-513,454,-352,4336.235833446185
4362.865000009537,-513,454,-353,4336.245833436648
4362.875,-513,455,-351,4336.255833427112
4362.884999990463,-512,457,-349,4336.265833417575
4362.894999980927,-513,456,-350,4336.275833408039
4362.90499997139,-513,456,-350,4336.285833398501
4362.914999961853,-513,456,-352,4336.295833388965
4362.924999952316,-513,455,-352,4336.305833379428
4362.93499994278,-513,455,-353,4336.315833369892
4362.944999933243,-513,454,-353,4336.325833360354
