Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.74508,-1.22568,-1,4.46,2023-12-12 13:52:36+00:00,gps,50.74507,-1.22564,47,8.0,1.45,76.350204,gps [GPS],00:00:01,1.6,0.0,,,,False,30 / 32,2424,22791.6,-,1.6,1.5,0.7,-,-,Ship,13:52:36 GMT,13:52:36.178,13:52:31.877,13:52:31.896,5.24,3.25,70,2290.001
50.74508,-1.22567,0,4.46,2023-12-12 13:52:37+00:00,gps,50.74508,-1.22563,48,8.0,1.61,52.814014,gps [GPS],00:00:01,1.2,0.0,,,,False,30 / 32,2425,22792.9,-,1.6,1.5,0.7,-,-,Ship,13:52:37 GMT,13:52:37.171,13:52:32.870,13:52:32.889,5.81,3.61,70,2291.001
50.74508,-1.22565,0,4.46,2023-12-12 13:52:38+00:00,gps,50.74509,-1.22562,48,8.0,2.29,39.870613,gps [GPS],00:00:01,1.3,0.0,,,,False,30 / 32,2426,22794.1,-,2.3,2.2,0.7,-,-,Ship,13:52:38 GMT,13:52:38.192,13:52:33.890,13:52:33.899,8.24,5.12,70,2292.001
50.74509,-1.22563,1,4.46,2023-12-12 13:52:39+00:00,gps,50.74512,-1.22559,49,8.0,2.54,39.95049,gps [GPS],00:00:01,1.8,0.0,,,,False,28 / 33,2427,22795.9,-,2.7,2.6,0.8,-,-,Ship,13:52:39 GMT,13:52:39.191,13:52:34.889,13:52:34.900,9.14,5.68,70,2293.001
50.74511,-1.22561,0,4.46,2023-12-12 13:52:40+00:00,gps,50.74514,-1.22557,49,8.0,3.01,39.0222,gps [GPS],00:00:01,2.1,0.0,,,,False,29 / 32,2428,22798.1,-,2.2,2.1,0.7,-,-,Ship,13:52:40 GMT,13:52:40.223,13:52:35.921,13:52:35.932,10.85,6.74,70,2294.001
50.74512,-1.22559,1,4.46,2023-12-12 13:52:41+00:00,gps,50.74516,-1.22554,49,8.0,3.28,38.3542,gps [GPS],00:00:01,2.5,0.0,,,,False,26 / 33,2429,22800.5,-,2.2,2.1,0.7,-,-,Ship,13:52:41 GMT,13:52:41.227,13:52:36.926,13:52:36.939,11.81,7.34,70,2295.001
50.74514,-1.22556,1,4.46,2023-12-12 13:52:42+00:00,gps,50.74519,-1.22551,49,8.0,3.4,41.30159,gps [GPS],00:00:01,2.9,0.0,,,,False,28 / 33,2430,22803.4,-,2.2,2.1,0.7,-,-,Ship,13:52:42 GMT,13:52:42.192,13:52:37.891,13:52:37.901,12.24,7.6,70,2296.001
50.74517,-1.22554,1,4.46,2023-12-12 13:52:43+00:00,gps,50.74522,-1.22548,49,8.0,3.71,42.026455,gps [GPS],00:00:01,3.1,0.0,,,,False,28 / 33,2431,22806.6,-,1.6,1.4,0.7,-,-,Ship,13:52:43 GMT,13:52:43.205,13:52:38.904,13:52:38.922,13.36,8.3,70,2297.001
50.74519,-1.22551,0,4.46,2023-12-12 13:52:44+00:00,gps,50.74524,-1.22545,49,8.0,3.84,42.595066,gps [GPS],00:00:01,3.3,0.0,,,,False,28 / 32,2432,22809.9,-,1.6,1.4,0.7,-,-,Ship,13:52:44 GMT,13:52:44.177,13:52:39.876,13:52:39.901,13.82,8.59,70,2298.001
50.74522,-1.22548,0,4.46,2023-12-12 13:52:45+00:00,gps,50.74527,-1.22541,48,8.0,4.16,42.920654,gps [GPS],00:00:01,3.6,0.0,,,,False,28 / 32,2433,22813.5,-,1.6,1.4,0.7,-,-,Ship,13:52:45 GMT,13:52:45.215,13:52:40.914,13:52:40.927,14.97,9.3,70,2299.001
50.74524,-1.22544,0,4.46,2023-12-12 13:52:46+00:00,gps,50.7453,-1.22537,49,8.0,4.13,43.614105,gps [GPS],00:00:01,3.9,0.0,,,,False,26 / 32,2434,22817.3,-,1.6,1.4,0.7,-,-,Ship,13:52:46 GMT,13:52:46.231,13:52:41.929,13:52:41.945,14.85,9.23,70,2300.001
50.74527,-1.22541,0,4.46,2023-12-12 13:52:47+00:00,gps,50.74534,-1.22532,49,8.0,4.46,44.427464,gps [GPS],00:00:01,4.2,0.0,,,,False,26 / 31,2435,22821.5,-,1.5,1.4,0.7,-,-,Ship,13:52:47 GMT,13:52:47.169,13:52:42.868,13:52:42.876,16.05,9.98,70,2301.001
50.7453,-1.22536,0,4.46,2023-12-12 13:52:48+00:00,gps,50.74537,-1.22527,48,8.0,4.75,44.98335,gps [GPS],00:00:01,4.6,0.0,,,,False,27 / 32,2436,22826.1,-,1.6,1.4,0.7,-,-,Ship,13:52:48 GMT,13:52:48.189,13:52:43.888,13:52:43.901,17.09,10.62,70,2302.001
50.74534,-1.22532,0,4.46,2023-12-12 13:52:49+00:00,gps,50.7454,-1.22521,49,8.0,4.89,45.292202,gps [GPS],00:00:01,4.8,0.0,,,,False,26 / 31,2437,22830.9,-,1.7,1.5,0.7,-,-,Ship,13:52:49 GMT,13:52:49.220,13:52:44.919,13:52:44.932,17.6,10.93,70,2303.001
50.74537,-1.22527,0,4.46,2023-12-12 13:52:50+00:00,gps,50.74544,-1.22516,48,8.0,5.16,48.815475,gps [GPS],00:00:01,5.0,0.0,,,,False,25 / 32,2437,22835.9,-,1.6,1.4,0.7,-,-,Ship,13:52:50 GMT,13:52:50.164,13:52:45.863,13:52:45.874,18.57,11.54,70,2304.001
50.7454,-1.22522,0,4.46,2023-12-12 13:52:51+00:00,gps,50.74547,-1.2251,49,8.0,5.26,50.151226,gps [GPS],00:00:01,5.2,0.0,,,,False,26 / 32,2438,22841.0,-,1.6,1.4,0.7,-,-,Ship,13:52:51 GMT,13:52:51.151,13:52:46.850,13:52:46.862,18.93,11.76,70,2305.001
50.74543,-1.22516,0,4.46,2023-12-12 13:52:52+00:00,gps,50.74551,-1.22503,49,8.0,5.53,50.964718,gps [GPS],00:00:01,5.5,0.0,,,,False,26 / 31,2439,22846.5,-,1.7,1.6,0.7,-,-,Ship,13:52:52 GMT,13:52:52.154,13:52:47.853,13:52:47.859,19.9,12.36,70,2306.001
50.74547,-1.2251,0,4.46,2023-12-12 13:52:53+00:00,gps,50.74554,-1.22496,49,8.0,5.44,52.3734,gps [GPS],00:00:01,5.6,0.0,,,,False,26 / 31,2441,22852.2,-,1.7,1.6,0.7,-,-,Ship,13:52:53 GMT,13:52:53.198,13:52:48.897,13:52:48.905,19.59,12.17,70,2307.001
50.7455,-1.22503,1,4.46,2023-12-12 13:52:54+00:00,gps,50.74557,-1.22489,49,8.0,5.68,56.500877,gps [GPS],00:00:01,5.7,0.0,,,,False,24 / 30,2442,22857.9,-,1.7,1.6,0.7,-,-,Ship,13:52:54 GMT,13:52:54.186,13:52:49.885,13:52:49.898,20.43,12.7,70,2308.001
50.74553,-1.22497,1,4.46,2023-12-12 13:52:55+00:00,gps,50.74559,-1.22482,50,8.0,5.88,58.513985,gps [GPS],00:00:01,5.8,0.0,,,,False,26 / 30,2443,22863.7,-,1.7,1.6,0.7,-,-,Ship,13:52:55 GMT,13:52:55.172,13:52:50.871,13:52:50.882,21.15,13.14,70,2309.001
50.74556,-1.22489,1,4.46,2023-12-12 13:52:56+00:00,gps,50.74562,-1.22473,49,8.0,5.98,60.188824,gps [GPS],00:00:01,6.1,0.0,,,,False,26 / 30,2444,22869.8,-,1.7,1.5,0.8,-,-,Ship,13:52:56 GMT,13:52:56.187,13:52:51.885,13:52:51.900,21.53,13.38,70,2310.001
50.74559,-1.22482,1,4.46,2023-12-12 13:52:57+00:00,gps,50.74566,-1.22465,50,8.0,6.31,59.06648,gps [GPS],00:00:01,6.3,0.0,,,,False,27 / 30,2445,22876.1,-,1.6,1.4,0.7,-,-,Ship,13:52:57 GMT,13:52:57.188,13:52:52.887,13:52:52.896,22.73,14.12,70,2311.001
50.74562,-1.22474,2,4.46,2023-12-12 13:52:58+00:00,gps,50.7457,-1.22457,51,8.0,6.58,53.79071,gps [GPS],00:00:01,6.6,0.0,,,,False,27 / 31,2446,22882.7,-,1.8,1.6,0.7,-,-,Ship,13:52:58 GMT,13:52:58.216,13:52:53.915,13:52:53.927,23.68,14.72,70,2312.001
50.74566,-1.22466,2,4.46,2023-12-12 13:52:59+00:00,gps,50.74574,-1.22448,51,8.0,7.39,47.817856,gps [GPS],00:00:01,7.0,0.0,,,,False,27 / 30,2447,22889.7,-,1.9,1.8,0.7,-,-,Ship,13:52:59 GMT,13:52:59.188,13:52:54.887,13:52:54.901,26.59,16.52,70,2313.001
50.7457,-1.22458,2,4.46,2023-12-12 13:53:00+00:00,gps,50.74579,-1.22439,50,8.0,7.3,46.60108,gps [GPS],00:00:01,7.3,0.0,,,,False,28 / 31,2447,22897.0,-,1.6,1.4,0.7,-,-,Ship,13:53:00 GMT,13:53:00.143,13:52:55.841,13:52:55.846,26.28,16.33,70,2314.001
50.74574,-1.22449,1,4.46,2023-12-12 13:53:01+00:00,gps,50.74584,-1.22431,49,8.0,7.04,46.23393,gps [GPS],00:00:01,7.6,0.0,,,,False,27 / 31,2449,22904.6,-,1.6,1.4,0.7,-,-,Ship,13:53:01 GMT,13:53:01.216,13:52:56.914,13:52:56.926,25.35,15.75,70,2315.001
50.74579,-1.22441,1,4.46,2023-12-12 13:53:02+00:00,gps,50.74588,-1.22423,49,8.0,7.31,38.42237,gps [GPS],00:00:01,7.5,0.0,,,,False,27 / 31,2450,22912.2,-,1.6,1.4,0.7,-,-,Ship,13:53:02 GMT,13:53:02.228,13:52:57.926,13:52:57.937,26.33,16.36,70,2316.001
50.74583,-1.22433,1,4.46,2023-12-12 13:53:03+00:00,gps,50.74593,-1.22416,49,8.0,7.74,33.154175,gps [GPS],00:00:01,7.6,0.0,,,,False,27 / 31,2451,22919.7,-,1.6,1.4,0.7,-,-,Ship,13:53:03 GMT,13:53:03.212,13:52:58.911,13:52:58.930,27.86,17.31,70,2317.001
50.74588,-1.22426,1,4.46,2023-12-12 13:53:04+00:00,gps,50.746,-1.2241,49,8.0,7.84,30.648882,gps [GPS],00:00:01,7.7,0.0,,,,False,26 / 31,2452,22927.4,-,1.6,1.4,0.7,-,-,Ship,13:53:04 GMT,13:53:04.175,13:52:59.874,13:52:59.882,28.22,17.54,70,2318.001
50.74594,-1.22419,1,4.46,2023-12-12 13:53:05+00:00,gps,50.74608,-1.22403,49,8.0,8.05,27.649727,gps [GPS],00:00:01,8.3,0.0,,,,False,26 / 31,2452,22935.7,-,1.6,1.4,0.7,-,-,Ship,13:53:05 GMT,13:53:05.165,13:53:00.863,13:53:00.868,28.97,18.0,70,2319.001
50.74601,-1.22413,1,4.46,2023-12-12 13:53:06+00:00,gps,50.74615,-1.22398,50,8.0,8.25,22.400839,gps [GPS],00:00:01,8.3,0.0,,,,False,28 / 31,2453,22944.0,-,2.2,2.1,0.7,-,-,Ship,13:53:06 GMT,13:53:06.168,13:53:01.867,13:53:01.875,29.69,18.45,70,2320.001
50.74607,-1.22407,2,4.46,2023-12-12 13:53:07+00:00,gps,50.74622,-1.22395,50,8.0,7.85,19.970026,gps [GPS],00:00:01,8.2,0.0,,,,False,30 / 33,2455,22952.2,-,2.2,2.1,0.7,-,-,Ship,13:53:07 GMT,13:53:07.190,13:53:02.888,13:53:02.897,28.27,17.57,70,2321.001
50.74614,-1.22402,2,4.46,2023-12-12 13:53:08+00:00,gps,50.74628,-1.22392,51,8.0,7.6,17.678846,gps [GPS],00:00:01,8.0,0.0,,,,False,28 / 32,2456,22960.3,-,2.2,2.1,0.7,-,-,Ship,13:53:08 GMT,13:53:08.174,13:53:03.872,13:53:03.886,27.38,17.01,70,2322.001
50.7462,-1.22398,3,4.46,2023-12-12 13:53:09+00:00,gps,50.74635,-1.2239,51,8.0,7.08,12.31502,gps [GPS],00:00:01,7.7,0.0,,,,False,26 / 30,2457,22968.0,-,2.2,2.1,0.7,-,-,Ship,13:53:09 GMT,13:53:09.216,13:53:04.914,13:53:04.924,25.49,15.84,70,2323.001
50.74627,-1.22395,3,4.46,2023-12-12 13:53:10+00:00,gps,50.74641,-1.22389,51,8.0,6.72,9.610766,gps [GPS],00:00:01,7.4,0.0,,,,False,27 / 30,2458,22975.4,-,1.6,1.4,0.7,-,-,Ship,13:53:10 GMT,13:53:10.203,13:53:05.902,13:53:05.910,24.19,15.03,70,2324.001
50.74633,-1.22393,2,4.46,2023-12-12 13:53:11+00:00,gps,50.74646,-1.22388,51,8.0,6.51,6.7946568,gps [GPS],00:00:01,7.0,0.0,,,,False,27 / 31,2459,22982.4,-,1.6,1.4,0.8,-,-,Ship,13:53:11 GMT,13:53:11.188,13:53:06.886,13:53:06.897,23.42,14.55,70,2325.001
50.74639,-1.22392,2,4.46,2023-12-12 13:53:12+00:00,gps,50.74652,-1.22388,50,8.0,6.38,359.1114,gps [GPS],00:00:01,6.8,0.0,,,,False,26 / 32,2459,22989.2,-,1.6,1.4,0.7,-,-,Ship,13:53:12 GMT,13:53:12.153,13:53:07.852,13:53:07.860,22.97,14.27,70,2326.001
50.74645,-1.22391,1,4.46,2023-12-12 13:53:13+00:00,gps,50.74657,-1.22389,50,8.0,5.84,354.3263,gps [GPS],00:00:01,6.4,0.0,,,,False,26 / 32,2461,22995.5,-,1.6,1.4,0.7,-,-,Ship,13:53:13 GMT,13:53:13.191,13:53:08.889,13:53:08.899,21.02,13.06,70,2327.001
50.7465,-1.22391,1,4.46,2023-12-12 13:53:14+00:00,gps,50.74661,-1.22391,50,8.0,5.68,346.10257,gps [GPS],00:00:01,5.8,0.0,,,,False,26 / 31,2462,23001.4,-,2.1,2.0,0.7,-,-,Ship,13:53:14 GMT,13:53:14.204,13:53:09.903,13:53:09.926,20.46,12.71,70,2328.001
50.74655,-1.22392,2,4.46,2023-12-12 13:53:15+00:00,gps,50.74667,-1.22394,50,8.0,5.33,341.21014,gps [GPS],00:00:01,5.9,0.0,,,,False,29 / 32,2463,23007.3,-,2.2,2.1,0.7,-,-,Ship,13:53:15 GMT,13:53:15.185,13:53:10.884,13:53:10.891,19.19,11.92,70,2329.001
50.7466,-1.22394,1,4.46,2023-12-12 13:53:16+00:00,gps,50.74672,-1.22398,49,8.0,5.52,331.63388,gps [GPS],00:00:01,6.0,0.0,,,,False,27 / 32,2464,23013.3,-,1.6,1.5,0.7,-,-,Ship,13:53:16 GMT,13:53:16.222,13:53:11.921,13:53:11.938,19.88,12.35,70,2330.001
50.74665,-1.22399,2,5.95,2023-12-12 13:53:19+00:00,gps,50.74681,-1.22416,50,12.0,4.78,307.6329,gps [GPS],00:00:03,6.9,0.0,,,,False,29 / 30,2467,23020.2,-,1.6,1.4,0.7,-,-,Ship,13:53:19 GMT,13:53:19.205,13:53:14.904,13:53:14.912,17.22,10.7,70,2333.001
50.7467,-1.22405,3,5.82,2023-12-12 13:53:20+00:00,gps,50.74684,-1.22423,51,12.0,5.06,304.21463,gps [GPS],00:00:01,6.2,0.0,,,,False,27 / 30,2468,23026.5,-,1.5,1.3,0.8,-,-,Ship,13:53:20 GMT,13:53:20.178,13:53:15.877,13:53:15.887,18.2,11.31,70,2334.001
50.74677,-1.22415,3,5.07,2023-12-12 13:53:21+00:00,gps,50.74687,-1.22431,51,8.0,5.22,303.49548,gps [GPS],00:00:01,10.7,0.0,,,,False,28 / 31,2469,23037.1,-,1.6,1.3,0.8,-,-,Ship,13:53:21 GMT,13:53:21.237,13:53:16.936,13:53:16.949,18.8,11.68,70,2335.001
50.74681,-1.22423,3,4.74,2023-12-12 13:53:22+00:00,gps,50.74689,-1.22438,51,8.0,5.02,300.11856,gps [GPS],00:00:01,7.4,0.0,,,,False,27 / 31,2470,23044.6,-,1.7,1.5,0.7,-,-,Ship,13:53:22 GMT,13:53:22.195,13:53:17.893,13:53:17.904,18.09,11.24,70,2336.001
50.74685,-1.2243,2,4.59,2023-12-12 13:53:23+00:00,gps,50.74691,-1.22445,51,8.0,5.13,297.88858,gps [GPS],00:00:01,6.2,0.0,,,,False,27 / 32,2470,23050.8,-,1.6,1.4,0.7,-,-,Ship,13:53:23 GMT,13:53:23.161,13:53:18.860,13:53:18.869,18.46,11.47,70,2337.001
50.74687,-1.22437,3,4.53,2023-12-12 13:53:24+00:00,gps,50.74693,-1.22452,51,8.0,5.07,295.20523,gps [GPS],00:00:01,5.8,0.0,,,,False,27 / 31,2472,23056.5,-,1.6,1.4,0.7,-,-,Ship,13:53:24 GMT,13:53:24.178,13:53:19.876,13:53:19.886,18.24,11.33,70,2338.001
50.7469,-1.22444,3,4.49,2023-12-12 13:53:25+00:00,gps,50.74696,-1.2246,51,8.0,5.19,294.31393,gps [GPS],00:00:01,5.9,0.0,,,,False,28 / 32,2473,23062.4,-,1.4,1.2,0.8,-,-,Ship,13:53:25 GMT,13:53:25.189,13:53:20.888,13:53:20.897,18.67,11.6,70,2339.001
50.74692,-1.22452,2,4.48,2023-12-12 13:53:26+00:00,gps,50.74698,-1.2247,51,8.0,5.68,290.26587,gps [GPS],00:00:01,6.2,0.0,,,,False,30 / 32,2474,23068.6,-,1.5,1.3,0.8,-,-,Ship,13:53:26 GMT,13:53:26.227,13:53:21.925,13:53:21.936,20.46,12.71,70,2340.001
50.74695,-1.22461,2,4.47,2023-12-12 13:53:27+00:00,gps,50.747,-1.2248,51,8.0,6.12,288.32034,gps [GPS],00:00:01,6.5,0.0,,,,False,26 / 32,2475,23075.1,-,1.6,1.3,0.8,-,-,Ship,13:53:27 GMT,13:53:27.175,13:53:22.874,13:53:22.882,22.02,13.68,70,2341.001
50.74697,-1.2247,1,4.47,2023-12-12 13:53:28+00:00,gps,50.74701,-1.2249,50,8.0,6.11,286.68,gps [GPS],00:00:01,6.7,0.0,,,,False,25 / 31,2475,23081.7,-,1.5,1.3,0.8,-,-,Ship,13:53:28 GMT,13:53:28.159,13:53:23.857,13:53:23.866,22.01,13.68,70,2342.001
50.74698,-1.22479,1,4.46,2023-12-12 13:53:29+00:00,gps,50.74702,-1.225,50,8.0,6.42,285.43515,gps [GPS],00:00:01,6.8,0.0,,,,False,25 / 31,2477,23088.6,-,1.5,1.3,0.8,-,-,Ship,13:53:29 GMT,13:53:29.202,13:53:24.901,13:53:24.914,23.1,14.35,70,2343.001
50.747,-1.22489,1,4.46,2023-12-12 13:53:30+00:00,gps,50.74704,-1.22511,49,8.0,6.97,285.48145,gps [GPS],00:00:01,7.1,0.0,,,,False,26 / 30,2478,23095.7,-,1.6,1.4,0.8,-,-,Ship,13:53:30 GMT,13:53:30.211,13:53:25.910,13:53:25.918,25.08,15.58,70,2344.001
50.74702,-1.22499,1,4.46,2023-12-12 13:53:31+00:00,gps,50.74705,-1.22521,49,8.0,7.0,284.92078,gps [GPS],00:00:01,7.3,0.0,,,,False,27 / 29,2479,23103.0,-,1.5,1.4,0.7,-,-,Ship,13:53:31 GMT,13:53:31.224,13:53:26.922,13:53:26.933,25.19,15.65,70,2345.001
50.74703,-1.22509,-3,4.46,2023-12-12 13:53:32+00:00,gps,50.74706,-1.22533,45,8.0,7.74,284.20517,gps [GPS],00:00:01,7.6,0.0,,,,False,24 / 29,2480,23110.6,-,1.6,1.3,0.8,-,-,Ship,13:53:32 GMT,13:53:32.171,13:53:27.870,13:53:27.878,27.87,17.32,70,2346.001
50.74705,-1.2252,-3,4.46,2023-12-12 13:53:33+00:00,gps,50.74708,-1.22544,46,8.0,7.79,283.6416,gps [GPS],00:00:01,7.8,0.0,,,,False,26 / 31,2481,23118.4,-,1.6,1.4,0.8,-,-,Ship,13:53:33 GMT,13:53:33.203,13:53:28.902,13:53:28.913,28.04,17.43,70,2347.001
