t,x,y,z,time_from_sync
2171.7699999809265,-6347,-2238,-370,2140.001666824023
2171.774999856949,-6344,-2240,-374,2140.006666700045
2171.7799999713898,-6343,-2246,-378,2140.011666814486
2171.784999847412,-6341,-2250,-383,2140.0166666905084
2171.789999961853,-6338,-2253,-389,2140.0216668049493
2171.794999837876,-6336,-2255,-395,2140.026666680972
2171.7999999523163,-6333,-2252,-400,2140.0316667954125
2171.8049998283386,-6331,-2250,-402,2140.036666671435
2171.8099999427795,-6331,-2249,-406,2140.041666785876
2171.814999818802,-6332,-2250,-409,2140.046666661898
2171.819999933243,-6332,-2250,-410,2140.051666776339
2171.824999809265,-6333,-2255,-413,2140.0566666523614
2171.829999923706,-6334,-2258,-413,2140.0616667668023
2171.8349997997284,-6333,-2259,-412,2140.0666666428247
2171.8399999141693,-6332,-2260,-410,2140.0716667572656
2171.844999790192,-6331,-2259,-408,2140.0766666332884
2171.849999904633,-6330,-2256,-409,2140.0816667477293
2171.854999780655,-6328,-2253,-409,2140.086666623751
2171.859999895096,-6326,-2250,-412,2140.091666738192
2171.864999771118,-6323,-2252,-413,2140.0966666142144
2171.869999885559,-6319,-2256,-413,2140.1016667286553
2171.875,-6317,-2258,-414,2140.1066668430963
2171.8799998760223,-6318,-2259,-414,2140.1116667191186
2171.8849999904637,-6319,-2259,-416,2140.11666683356
2171.8899998664856,-6320,-2261,-418,2140.121666709582
2171.8949999809265,-6321,-2267,-421,2140.126666824023
2171.899999856949,-6320,-2274,-425,2140.131666700045
2171.9049999713898,-6320,-2277,-426,2140.136666814486
2171.909999847412,-6319,-2277,-424,2140.1416666905084
2171.914999961853,-6320,-2276,-422,2140.1466668049493
2171.919999837876,-6318,-2277,-421,2140.151666680972
2171.9249999523163,-6317,-2281,-420,2140.1566667954125
2171.9299998283386,-6316,-2284,-421,2140.161666671435
2171.9349999427795,-6313,-2286,-423,2140.166666785876
2171.939999818802,-6312,-2286,-424,2140.171666661898
2171.944999933243,-6312,-2285,-426,2140.176666776339
2171.949999809265,-6314,-2284,-426,2140.1816666523614
2171.954999923706,-6315,-2285,-428,2140.1866667668023
2171.9599997997284,-6315,-2289,-429,2140.1916666428247
2171.9649999141693,-6317,-2290,-430,2140.1966667572656
2171.969999790192,-6316,-2295,-433,2140.2016666332884
2171.974999904633,-6316,-2299,-434,2140.2066667477293
2171.979999780655,-6313,-2305,-436,2140.211666623751
2171.984999895096,-6311,-2309,-437,2140.216666738192
2171.989999771118,-6310,-2313,-437,2140.2216666142144
2171.994999885559,-6310,-2317,-438,2140.2266667286553
2172.0,-6312,-2316,-439,2140.2316668430963
2172.0049998760223,-6313,-2311,-439,2140.2366667191186
2172.0099999904637,-6313,-2304,-440,2140.24166683356
2172.0149998664856,-6312,-2304,-441,2140.246666709582
2172.0199999809265,-6312,-2302,-440,2140.251666824023
2172.024999856949,-6311,-2305,-438,2140.256666700045
2172.0299999713898,-6311,-2308,-436,2140.261666814486
2172.034999847412,-6309,-2308,-434,2140.2666666905084
2172.039999961853,-6307,-2310,-431,2140.2716668049493
2172.044999837876,-6306,-2311,-428,2140.276666680972
2172.0499999523163,-6307,-2312,-425,2140.2816667954125
2172.0549998283386,-6308,-2313,-423,2140.286666671435
2172.0599999427795,-6308,-2314,-422,2140.291666785876
2172.064999818802,-6306,-2318,-423,2140.296666661898
2172.069999933243,-6306,-2322,-424,2140.301666776339
2172.074999809265,-6308,-2325,-424,2140.3066666523614
2172.079999923706,-6310,-2323,-423,2140.3116667668023
2172.0849997997284,-6313,-2322,-423,2140.3166666428247
2172.0899999141693,-6312,-2321,-422,2140.3216667572656
2172.094999790192,-6308,-2325,-423,2140.3266666332884
2172.099999904633,-6305,-2331,-424,2140.3316667477293
2172.104999780655,-6301,-2338,-424,2140.336666623751
2172.109999895096,-6300,-2344,-425,2140.341666738192
2172.114999771118,-6301,-2343,-424,2140.3466666142144
2172.119999885559,-6301,-2343,-422,2140.3516667286553
2172.125,-6302,-2343,-422,2140.3566668430963
2172.1299998760223,-6301,-2342,-422,2140.3616667191186
2172.1349999904637,-6301,-2339,-422,2140.36666683356
2172.1399998664856,-6302,-2337,-422,2140.371666709582
2172.1449999809265,-6303,-2335,-423,2140.376666824023
2172.149999856949,-6304,-2333,-421,2140.381666700045
2172.1549999713898,-6305,-2334,-421,2140.386666814486
2172.159999847412,-6305,-2336,-417,2140.3916666905084
2172.164999961853,-6305,-2339,-412,2140.3966668049493
2172.169999837876,-6304,-2347,-408,2140.401666680972
2172.1749999523163,-6306,-2350,-405,2140.4066667954125
2172.1799998283386,-6308,-2357,-402,2140.411666671435
2172.1849999427795,-6309,-2362,-400,2140.416666785876
2172.189999818802,-6311,-2367,-399,2140.421666661898
2172.194999933243,-6312,-2369,-397,2140.426666776339
2172.199999809265,-6312,-2366,-397,2140.4316666523614
2172.204999923706,-6313,-2365,-396,2140.4366667668023
2172.2099997997284,-6314,-2366,-395,2140.4416666428247
2172.2149999141693,-6315,-2367,-393,2140.4466667572656
2172.219999790192,-6316,-2369,-392,2140.4516666332884
2172.224999904633,-6317,-2367,-391,2140.4566667477293
2172.229999780655,-6317,-2365,-389,2140.461666623751
2172.234999895096,-6319,-2365,-387,2140.466666738192
2172.239999771118,-6321,-2363,-384,2140.4716666142144
2172.244999885559,-6323,-2365,-383,2140.4766667286553
2172.25,-6323,-2368,-383,2140.4816668430963
2172.2549998760223,-6325,-2370,-381,2140.4866667191186
2172.2599999904637,-6327,-2373,-379,2140.49166683356
2172.2649998664856,-6327,-2374,-376,2140.496666709582
2172.2699999809265,-6326,-2375,-373,2140.501666824023
2172.274999856949,-6327,-2376,-372,2140.506666700045
2172.2799999713898,-6327,-2378,-369,2140.511666814486
2172.284999847412,-6327,-2381,-366,2140.5166666905084
2172.289999961853,-6328,-2382,-363,2140.5216668049493
2172.294999837876,-6328,-2384,-358,2140.526666680972
2172.2999999523163,-6326,-2384,-355,2140.5316667954125
2172.3049998283386,-6323,-2384,-351,2140.536666671435
2172.3099999427795,-6320,-2388,-348,2140.541666785876
2172.314999818802,-6320,-2392,-344,2140.546666661898
2172.319999933243,-6321,-2398,-341,2140.551666776339
2172.324999809265,-6324,-2402,-339,2140.5566666523614
2172.329999923706,-6327,-2405,-336,2140.5616667668023
2172.3349997997284,-6328,-2407,-333,2140.5666666428247
2172.3399999141693,-6330,-2409,-328,2140.5716667572656
2172.344999790192,-6330,-2409,-324,2140.5766666332884
2172.349999904633,-6330,-2410,-319,2140.5816667477293
2172.354999780655,-6330,-2411,-313,2140.586666623751
2172.359999895096,-6331,-2409,-307,2140.591666738192
2172.364999771118,-6330,-2407,-303,2140.5966666142144
2172.369999885559,-6332,-2406,-298,2140.6016667286553
2172.375,-6334,-2407,-296,2140.6066668430963
2172.3799998760223,-6337,-2409,-293,2140.6116667191186
2172.3849999904637,-6342,-2413,-290,2140.61666683356
2172.3899998664856,-6344,-2417,-289,2140.621666709582
2172.3949999809265,-6346,-2421,-284,2140.626666824023
2172.399999856949,-6347,-2424,-280,2140.631666700045
2172.4049999713898,-6347,-2427,-273,2140.636666814486
2172.409999847412,-6346,-2428,-268,2140.6416666905084
2172.414999961853,-6346,-2429,-262,2140.6466668049493
2172.419999837876,-6345,-2429,-255,2140.651666680972
2172.4249999523163,-6346,-2427,-248,2140.6566667954125
2172.4299998283386,-6349,-2424,-237,2140.661666671435
2172.4349999427795,-6351,-2423,-230,2140.666666785876
2172.439999818802,-6353,-2422,-223,2140.671666661898
2172.444999933243,-6355,-2426,-216,2140.676666776339
2172.449999809265,-6357,-2435,-214,2140.6816666523614
2172.454999923706,-6358,-2440,-212,2140.6866667668023
2172.4599997997284,-6358,-2444,-210,2140.6916666428247
2172.4649999141693,-6358,-2445,-206,2140.6966667572656
2172.469999790192,-6358,-2448,-202,2140.7016666332884
2172.474999904633,-6361,-2456,-198,2140.7066667477293
2172.479999780655,-6364,-2463,-194,2140.711666623751
2172.484999895096,-6366,-2465,-191,2140.716666738192
2172.489999771118,-6369,-2466,-188,2140.7216666142144
2172.494999885559,-6371,-2467,-184,2140.7266667286553
2172.5,-6371,-2472,-180,2140.7316668430963
2172.5049998760223,-6372,-2477,-175,2140.7366667191186
2172.5099999904637,-6375,-2479,-170,2140.74166683356
2172.5149998664856,-6376,-2480,-165,2140.746666709582
2172.5199999809265,-6376,-2476,-161,2140.751666824023
2172.524999856949,-6376,-2471,-157,2140.756666700045
2172.5299999713898,-6373,-2469,-153,2140.761666814486
2172.534999847412,-6373,-2470,-149,2140.7666666905084
2172.539999961853,-6374,-2472,-144,2140.7716668049493
2172.544999837876,-6376,-2471,-140,2140.776666680972
2172.5499999523163,-6379,-2468,-134,2140.7816667954125
2172.5549998283386,-6381,-2463,-129,2140.786666671435
2172.5599999427795,-6381,-2460,-125,2140.791666785876
2172.564999818802,-6381,-2459,-121,2140.796666661898
2172.569999933243,-6382,-2461,-117,2140.801666776339
