Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.748,-1.24004,4,7.21,2023-12-12 13:50:52+00:00,gps,50.74786,-1.23993,52,12.0,2.82,142.37042,gps [GPS],00:00:02,9.5,0.0,,,,False,30 / 32,2320,21713.1,-,1.9,1.6,1.1,-,-,Ship,13:50:52 GMT,13:50:52.196,13:50:47.894,13:50:47.910,10.14,6.3,70,2186.001
50.74792,-1.23998,2,7.14,2023-12-12 13:50:55+00:00,gps,50.74779,-1.23987,51,12.0,2.81,141.42397,gps [GPS],00:00:03,9.4,0.0,,,,False,29 / 30,2323,21722.4,-,2.2,2.1,0.8,-,-,Ship,13:50:55 GMT,13:50:55.224,13:50:50.922,13:50:50.931,10.11,6.28,70,2189.001
50.74786,-1.23991,3,7.11,2023-12-12 13:50:58+00:00,gps,50.74774,-1.23978,51,12.0,3.43,129.70665,gps [GPS],00:00:03,8.8,0.0,,,,False,29 / 31,2326,21731.2,-,2.4,2.3,0.7,-,-,Ship,13:50:58 GMT,13:50:58.196,13:50:53.894,13:50:53.901,12.34,7.67,70,2192.001
50.74779,-1.23982,3,5.56,2023-12-12 13:50:59+00:00,gps,50.74772,-1.23973,51,8.0,3.63,130.95686,gps [GPS],00:00:01,9.7,0.0,,,,False,30 / 31,2326,21740.9,-,1.7,1.5,0.8,-,-,Ship,13:50:59 GMT,13:50:59.166,13:50:54.864,13:50:54.874,13.07,8.12,70,2193.001
50.74775,-1.23977,3,4.96,2023-12-12 13:51:00+00:00,gps,50.7477,-1.23969,51,8.0,3.73,130.4667,gps [GPS],00:00:01,5.4,0.0,,,,False,30 / 31,2328,21746.3,-,1.9,1.6,1.1,-,-,Ship,13:51:00 GMT,13:51:00.193,13:50:55.892,13:50:55.901,13.44,8.35,70,2194.001
50.74772,-1.23973,3,4.69,2023-12-12 13:51:01+00:00,gps,50.74767,-1.23964,51,8.0,3.86,130.57948,gps [GPS],00:00:01,4.6,0.0,,,,False,31 / 31,2329,21750.9,-,1.6,1.4,0.7,-,-,Ship,13:51:01 GMT,13:51:01.210,13:50:56.908,13:50:56.921,13.88,8.63,70,2195.001
50.7477,-1.23968,2,4.57,2023-12-12 13:51:02+00:00,gps,50.74765,-1.23958,51,8.0,4.04,129.63823,gps [GPS],00:00:01,4.3,0.0,,,,False,30 / 31,2330,21755.3,-,1.6,1.4,0.7,-,-,Ship,13:51:02 GMT,13:51:02.187,13:50:57.885,13:50:57.895,14.55,9.04,70,2196.001
50.74766,-1.2396,3,6.39,2023-12-12 13:51:06+00:00,gps,50.74756,-1.23941,51,12.0,4.62,128.55525,gps [GPS],00:00:04,6.9,0.0,,,,False,25 / 29,2334,21762.2,-,2.2,2.2,0.7,-,-,Ship,13:51:06 GMT,13:51:06.198,13:51:01.897,13:51:01.905,16.62,10.33,70,2200.001
50.74761,-1.23951,4,6.46,2023-12-12 13:51:08+00:00,gps,50.7475,-1.23928,52,12.0,5.78,129.57501,gps [GPS],00:00:02,8.3,0.0,,,,False,27 / 28,2336,21770.5,-,2.2,2.1,0.7,-,-,Ship,13:51:08 GMT,13:51:08.191,13:51:03.890,13:51:03.896,20.82,12.94,70,2202.001
50.74757,-1.23943,4,6.13,2023-12-12 13:51:09+00:00,gps,50.74746,-1.23922,53,12.0,6.01,128.04358,gps [GPS],00:00:01,7.0,0.0,,,,False,27 / 30,2337,21777.5,-,2.8,2.7,0.7,-,-,Ship,13:51:09 GMT,13:51:09.193,13:51:04.891,13:51:04.900,21.64,13.45,70,2203.001
50.74754,-1.23936,4,5.93,2023-12-12 13:51:10+00:00,gps,50.74742,-1.23915,52,12.0,6.46,127.84808,gps [GPS],00:00:01,6.4,0.0,,,,False,27 / 31,2338,21783.9,-,2.5,2.3,0.8,-,-,Ship,13:51:10 GMT,13:51:10.197,13:51:05.895,13:51:05.905,23.25,14.45,70,2204.001
50.74748,-1.23925,3,5.11,2023-12-12 13:51:11+00:00,gps,50.74739,-1.23908,51,8.0,6.77,127.808426,gps [GPS],00:00:01,10.6,0.0,,,,False,27 / 31,2339,21794.4,-,2.6,2.4,0.8,-,-,Ship,13:51:11 GMT,13:51:11.198,13:51:06.897,13:51:06.907,24.38,15.15,70,2205.001
50.74744,-1.23916,4,4.76,2023-12-12 13:51:12+00:00,gps,50.74736,-1.239,52,8.0,7.0,126.36648,gps [GPS],00:00:01,7.5,0.0,,,,False,27 / 30,2340,21802.0,-,2.6,2.4,0.8,-,-,Ship,13:51:12 GMT,13:51:12.186,13:51:07.885,13:51:07.896,25.18,15.65,70,2206.001
50.7474,-1.23908,4,4.6,2023-12-12 13:51:13+00:00,gps,50.74733,-1.23893,52,8.0,7.26,121.768585,gps [GPS],00:00:01,6.7,0.0,,,,False,26 / 31,2340,21808.6,-,2.6,2.4,0.8,-,-,Ship,13:51:13 GMT,13:51:13.153,13:51:08.852,13:51:08.861,26.13,16.23,70,2207.001
