t,x,y,z,time_from_sync
2215.6799998283386,-14.7601318359375,-86.2261962890625,-116.9879150390625,2185.0
2215.6849999427795,-14.7216796875,-86.2261962890625,-117.059326171875,2185.005000114441
2215.689999818802,-14.501953125,-86.231689453125,-117.301025390625,2185.0099999904633
2215.694999933243,-14.4744873046875,-86.2261962890625,-117.344970703125,2185.015000104904
2215.699999809265,-14.5294189453125,-86.2261962890625,-117.279052734375,2185.0199999809265
2215.704999923706,-14.4854736328125,-86.2261962890625,-117.2955322265625,2185.0250000953674
2215.7099997997284,-14.447021484375,-86.231689453125,-117.333984375,2185.0299999713898
2215.7149999141693,-14.271240234375,-86.231689453125,-117.509765625,2185.0350000858307
2215.719999790192,-14.1119384765625,-86.2371826171875,-117.6690673828125,2185.0399999618535
2215.724999904633,-14.1064453125,-86.2371826171875,-117.652587890625,2185.0450000762944
2215.729999780655,-14.1229248046875,-86.2371826171875,-117.6141357421875,2185.0499999523163
2215.734999895096,-14.0679931640625,-86.24267578125,-117.6800537109375,2185.055000066757
2215.739999771118,-14.051513671875,-86.24267578125,-117.718505859375,2185.0599999427795
2215.744999885559,-13.941650390625,-86.2481689453125,-117.861328125,2185.0650000572205
2215.75,-13.9306640625,-86.2481689453125,-117.8887939453125,2185.0700001716614
2215.7549998760223,-13.831787109375,-86.253662109375,-117.9986572265625,2185.0750000476837
2215.7599999904637,-13.7603759765625,-86.253662109375,-118.092041015625,2185.080000162125
2215.7649998664856,-13.7493896484375,-86.2591552734375,-118.0865478515625,2185.085000038147
2215.7699999809265,-13.53515625,-86.2646484375,-118.289794921875,2185.090000152588
2215.774999856949,-13.524169921875,-86.2701416015625,-118.333740234375,2185.0950000286102
2215.7799999713898,-13.480224609375,-86.2701416015625,-118.3612060546875,2185.100000143051
2215.784999847412,-13.436279296875,-86.275634765625,-118.421630859375,2185.1050000190735
2215.789999961853,-13.3978271484375,-86.275634765625,-118.4710693359375,2185.1100001335144
2215.794999837876,-13.2659912109375,-86.2811279296875,-118.63037109375,2185.115000009537
2215.7999999523163,-13.172607421875,-86.2811279296875,-118.751220703125,2185.1200001239777
2215.8049998283386,-13.2000732421875,-86.2811279296875,-118.7567138671875,2185.125
2215.8099999427795,-13.11767578125,-86.28662109375,-118.861083984375,2185.130000114441
2215.814999818802,-12.9364013671875,-86.2921142578125,-119.0643310546875,2185.1349999904633
2215.819999933243,-12.8594970703125,-86.2921142578125,-119.146728515625,2185.140000104904
2215.824999809265,-12.7276611328125,-86.297607421875,-119.28955078125,2185.1449999809265
