t,x,y,z,time_from_sync
2215.6799998283386,-6431,2637,218,2185.0
2215.6849999427795,-6427,2642,218,2185.005000114441
2215.689999818802,-6425,2647,218,2185.0099999904633
2215.694999933243,-6426,2654,217,2185.015000104904
2215.699999809265,-6431,2659,215,2185.0199999809265
2215.704999923706,-6436,2661,213,2185.0250000953674
2215.7099997997284,-6438,2665,211,2185.0299999713898
2215.7149999141693,-6439,2664,208,2185.0350000858307
2215.719999790192,-6437,2665,207,2185.0399999618535
2215.724999904633,-6435,2662,208,2185.0450000762944
2215.729999780655,-6434,2656,209,2185.0499999523163
2215.734999895096,-6433,2653,208,2185.055000066757
2215.739999771118,-6432,2653,206,2185.0599999427795
2215.744999885559,-6433,2652,205,2185.0650000572205
2215.75,-6435,2652,204,2185.0700001716614
2215.7549998760223,-6437,2655,203,2185.0750000476837
2215.7599999904637,-6441,2657,203,2185.080000162125
2215.7649998664856,-6442,2657,202,2185.085000038147
2215.7699999809265,-6439,2660,201,2185.090000152588
2215.774999856949,-6438,2662,201,2185.0950000286102
2215.7799999713898,-6437,2661,202,2185.100000143051
2215.784999847412,-6437,2659,203,2185.1050000190735
2215.789999961853,-6437,2658,205,2185.1100001335144
2215.794999837876,-6437,2654,206,2185.115000009537
2215.7999999523163,-6436,2653,205,2185.1200001239777
2215.8049998283386,-6434,2652,205,2185.125
2215.8099999427795,-6433,2650,204,2185.130000114441
2215.814999818802,-6431,2646,206,2185.1349999904633
2215.819999933243,-6434,2643,208,2185.140000104904
2215.824999809265,-6437,2641,210,2185.1449999809265
2215.829999923706,-6442,2638,211,2185.1500000953674
2215.8349997997284,-6444,2635,211,2185.1549999713898
2215.8399999141693,-6443,2633,212,2185.1600000858307
2215.844999790192,-6438,2628,214,2185.1649999618535
2215.849999904633,-6435,2623,217,2185.1700000762944
2215.854999780655,-6433,2617,221,2185.1749999523163
2215.859999895096,-6432,2615,223,2185.180000066757
2215.864999771118,-6430,2619,224,2185.1849999427795
2215.869999885559,-6427,2622,225,2185.1900000572205
2215.875,-6427,2627,225,2185.1950001716614
2215.8799998760223,-6428,2632,225,2185.2000000476837
2215.8849999904637,-6430,2636,225,2185.205000162125
2215.8899998664856,-6434,2636,226,2185.210000038147
2215.8949999809265,-6442,2637,227,2185.215000152588
2215.899999856949,-6448,2635,228,2185.2200000286102
2215.9049999713898,-6453,2633,230,2185.225000143051
2215.909999847412,-6454,2631,231,2185.2300000190735
2215.914999961853,-6454,2630,232,2185.2350001335144
2215.919999837876,-6450,2628,234,2185.240000009537
2215.9249999523163,-6446,2624,235,2185.2450001239777
2215.9299998283386,-6444,2623,234,2185.25
2215.9349999427795,-6441,2620,233,2185.255000114441
2215.939999818802,-6440,2614,234,2185.2599999904633
2215.944999933243,-6439,2609,233,2185.265000104904
2215.949999809265,-6439,2605,232,2185.2699999809265
2215.954999923706,-6438,2600,231,2185.2750000953674
2215.9599997997284,-6436,2599,228,2185.2799999713898
2215.9649999141693,-6431,2601,226,2185.2850000858307
2215.969999790192,-6428,2604,223,2185.2899999618535
2215.974999904633,-6427,2608,220,2185.2950000762944
2215.979999780655,-6426,2607,217,2185.2999999523163
2215.984999895096,-6428,2603,216,2185.305000066757
2215.989999771118,-6429,2603,218,2185.3099999427795
2215.994999885559,-6429,2603,219,2185.3150000572205
2216.0,-6433,2601,220,2185.3200001716614
2216.0049998760223,-6436,2599,221,2185.3250000476837
2216.0099999904637,-6438,2598,222,2185.330000162125
2216.0149998664856,-6439,2597,223,2185.335000038147
2216.0199999809265,-6439,2594,227,2185.340000152588
2216.024999856949,-6437,2593,230,2185.3450000286102
2216.0299999713898,-6437,2592,232,2185.350000143051
2216.034999847412,-6438,2592,234,2185.3550000190735
2216.039999961853,-6436,2594,235,2185.3600001335144
2216.044999837876,-6438,2592,235,2185.365000009537
2216.0499999523163,-6438,2590,235,2185.3700001239777
2216.0549998283386,-6439,2589,233,2185.375
2216.0599999427795,-6442,2589,232,2185.380000114441
2216.064999818802,-6444,2589,231,2185.3849999904633
2216.069999933243,-6445,2590,232,2185.390000104904
2216.074999809265,-6443,2591,234,2185.3949999809265
2216.079999923706,-6442,2592,237,2185.4000000953674
2216.0849997997284,-6440,2594,239,2185.4049999713898
2216.0899999141693,-6439,2593,241,2185.4100000858307
2216.094999790192,-6437,2594,243,2185.4149999618535
2216.099999904633,-6436,2594,245,2185.4200000762944
2216.104999780655,-6434,2594,245,2185.4249999523163
2216.109999895096,-6431,2594,246,2185.430000066757
2216.114999771118,-6429,2593,248,2185.4349999427795
2216.119999885559,-6426,2593,247,2185.4400000572205
2216.125,-6424,2593,246,2185.4450001716614
2216.1299998760223,-6423,2596,245,2185.4500000476837
2216.1349999904637,-6422,2599,243,2185.455000162125
2216.1399998664856,-6422,2603,242,2185.460000038147
2216.1449999809265,-6423,2606,241,2185.465000152588
2216.149999856949,-6431,2610,242,2185.4700000286102
2216.1549999713898,-6438,2610,242,2185.475000143051
2216.159999847412,-6443,2604,243,2185.4800000190735
2216.164999961853,-6445,2600,244,2185.4850001335144
2216.169999837876,-6446,2594,245,2185.490000009537
2216.1749999523163,-6444,2588,247,2185.4950001239777
2216.1799998283386,-6441,2585,250,2185.5
2216.1849999427795,-6438,2588,252,2185.505000114441
2216.189999818802,-6435,2587,253,2185.5099999904633
2216.194999933243,-6436,2589,253,2185.515000104904
2216.199999809265,-6439,2591,252,2185.5199999809265
2216.204999923706,-6443,2594,252,2185.5250000953674
2216.2099997997284,-6447,2600,250,2185.5299999713898
2216.2149999141693,-6451,2603,250,2185.5350000858307
2216.219999790192,-6456,2604,252,2185.5399999618535
2216.224999904633,-6458,2605,253,2185.5450000762944
2216.229999780655,-6460,2604,256,2185.5499999523163
2216.234999895096,-6458,2607,259,2185.555000066757
2216.239999771118,-6459,2608,261,2185.5599999427795
2216.244999885559,-6457,2609,262,2185.5650000572205
2216.25,-6455,2612,261,2185.5700001716614
2216.2549998760223,-6454,2613,261,2185.5750000476837
2216.2599999904637,-6453,2615,261,2185.580000162125
2216.2649998664856,-6449,2616,260,2185.585000038147
2216.2699999809265,-6446,2620,258,2185.590000152588
2216.274999856949,-6442,2623,257,2185.5950000286102
2216.2799999713898,-6439,2628,256,2185.600000143051
2216.284999847412,-6438,2630,257,2185.6050000190735
2216.289999961853,-6437,2629,257,2185.6100001335144
2216.294999837876,-6438,2627,259,2185.615000009537
2216.2999999523163,-6439,2629,260,2185.6200001239777
2216.3049998283386,-6439,2625,260,2185.625
2216.3099999427795,-6438,2624,259,2185.630000114441
2216.314999818802,-6435,2623,256,2185.6349999904633
2216.319999933243,-6434,2620,255,2185.640000104904
2216.324999809265,-6437,2617,255,2185.6449999809265
2216.329999923706,-6441,2618,256,2185.6500000953674
2216.3349997997284,-6444,2617,258,2185.6549999713898
2216.3399999141693,-6447,2616,259,2185.6600000858307
2216.344999790192,-6447,2618,260,2185.6649999618535
2216.349999904633,-6444,2615,263,2185.6700000762944
2216.354999780655,-6441,2617,264,2185.6749999523163
2216.359999895096,-6436,2618,265,2185.680000066757
2216.364999771118,-6433,2619,264,2185.6849999427795
2216.369999885559,-6430,2623,264,2185.6900000572205
2216.375,-6428,2624,266,2185.6950001716614
2216.3799998760223,-6425,2627,267,2185.7000000476837
2216.3849999904637,-6425,2631,269,2185.705000162125
2216.3899998664856,-6427,2635,270,2185.710000038147
2216.3949999809265,-6432,2637,271,2185.715000152588
2216.399999856949,-6435,2639,270,2185.7200000286102
2216.4049999713898,-6439,2637,269,2185.725000143051
2216.409999847412,-6439,2636,269,2185.7300000190735
2216.414999961853,-6439,2632,269,2185.7350001335144
2216.419999837876,-6437,2631,269,2185.740000009537
2216.4249999523163,-6434,2633,268,2185.7450001239777
2216.4299998283386,-6434,2633,267,2185.75
2216.4349999427795,-6433,2632,265,2185.755000114441
2216.439999818802,-6432,2625,265,2185.7599999904633
2216.444999933243,-6432,2621,264,2185.765000104904
2216.449999809265,-6432,2615,265,2185.7699999809265
2216.454999923706,-6434,2614,264,2185.7750000953674
2216.4599997997284,-6438,2616,265,2185.7799999713898
2216.4649999141693,-6438,2622,263,2185.7850000858307
2216.469999790192,-6437,2626,263,2185.7899999618535
2216.474999904633,-6436,2630,262,2185.7950000762944
2216.479999780655,-6435,2628,259,2185.7999999523163
2216.484999895096,-6435,2625,259,2185.805000066757
2216.489999771118,-6435,2620,257,2185.8099999427795
2216.494999885559,-6436,2613,258,2185.8150000572205
2216.5,-6438,2608,259,2185.8200001716614
2216.5049998760223,-6439,2603,260,2185.8250000476837
2216.5099999904637,-6442,2598,261,2185.830000162125
2216.5149998664856,-6445,2597,262,2185.835000038147
2216.5199999809265,-6446,2598,262,2185.840000152588
2216.524999856949,-6448,2600,261,2185.8450000286102
2216.5299999713898,-6452,2603,261,2185.850000143051
2216.534999847412,-6453,2604,261,2185.8550000190735
2216.539999961853,-6455,2604,263,2185.8600001335144
2216.544999837876,-6454,2605,265,2185.865000009537
2216.5499999523163,-6452,2603,267,2185.8700001239777
2216.5549998283386,-6452,2600,269,2185.875
2216.5599999427795,-6453,2599,270,2185.880000114441
2216.564999818802,-6455,2597,271,2185.8849999904633
2216.569999933243,-6455,2594,271,2185.890000104904
2216.574999809265,-6452,2597,270,2185.8949999809265
2216.579999923706,-6447,2602,269,2185.9000000953674
2216.5849997997284,-6446,2604,269,2185.9049999713898
2216.5899999141693,-6445,2607,269,2185.9100000858307
2216.594999790192,-6445,2606,269,2185.9149999618535
2216.599999904633,-6446,2603,270,2185.9200000762944
2216.604999780655,-6447,2600,272,2185.9249999523163
2216.609999895096,-6444,2596,274,2185.930000066757
2216.614999771118,-6442,2594,275,2185.9349999427795
2216.619999885559,-6441,2590,274,2185.9400000572205
2216.625,-6440,2591,274,2185.9450001716614
2216.6299998760223,-6439,2594,274,2185.9500000476837
2216.6349999904637,-6438,2597,274,2185.955000162125
2216.6399998664856,-6435,2601,275,2185.960000038147
2216.6449999809265,-6432,2603,273,2185.965000152588
2216.649999856949,-6433,2601,272,2185.9700000286102
2216.6549999713898,-6431,2596,270,2185.975000143051
2216.659999847412,-6432,2597,270,2185.9800000190735
2216.664999961853,-6435,2599,270,2185.9850001335144
2216.669999837876,-6436,2602,272,2185.990000009537
2216.6749999523163,-6439,2604,274,2185.9950001239777
