t,x,y,z,time_from_sync
2320.6799998283386,-6463,1218,2402,2290.0
2320.6849999427795,-6466,1219,2404,2290.005000114441
2320.689999818802,-6468,1220,2404,2290.0099999904633
2320.694999933243,-6471,1220,2406,2290.015000104904
2320.699999809265,-6472,1218,2407,2290.0199999809265
2320.704999923706,-6470,1215,2406,2290.0250000953674
2320.7099997997284,-6467,1211,2407,2290.0299999713898
2320.7149999141693,-6465,1211,2408,2290.0350000858307
2320.719999790192,-6463,1212,2408,2290.0399999618535
2320.724999904633,-6462,1214,2409,2290.0450000762944
2320.729999780655,-6460,1216,2409,2290.0499999523163
2320.734999895096,-6457,1218,2411,2290.055000066757
2320.739999771118,-6455,1219,2412,2290.0599999427795
2320.744999885559,-6455,1221,2413,2290.0650000572205
2320.75,-6455,1220,2413,2290.0700001716614
2320.7549998760223,-6455,1221,2413,2290.0750000476837
2320.7599999904637,-6455,1220,2413,2290.080000162125
2320.7649998664856,-6452,1223,2414,2290.085000038147
2320.7699999809265,-6451,1227,2416,2290.090000152588
2320.774999856949,-6449,1230,2416,2290.0950000286102
2320.7799999713898,-6447,1236,2417,2290.100000143051
2320.784999847412,-6448,1237,2416,2290.1050000190735
2320.789999961853,-6450,1241,2415,2290.1100001335144
2320.794999837876,-6451,1243,2417,2290.115000009537
2320.7999999523163,-6451,1247,2419,2290.1200001239777
2320.8049998283386,-6456,1249,2423,2290.125
2320.8099999427795,-6457,1252,2426,2290.130000114441
2320.814999818802,-6461,1252,2429,2290.1349999904633
2320.819999933243,-6461,1254,2433,2290.140000104904
2320.824999809265,-6460,1255,2436,2290.1449999809265
2320.829999923706,-6457,1255,2439,2290.1500000953674
2320.8349997997284,-6453,1258,2440,2290.1549999713898
2320.8399999141693,-6451,1257,2439,2290.1600000858307
2320.844999790192,-6448,1257,2436,2290.1649999618535
2320.849999904633,-6447,1257,2434,2290.1700000762944
2320.854999780655,-6445,1255,2432,2290.1749999523163
2320.859999895096,-6444,1252,2432,2290.180000066757
2320.864999771118,-6445,1250,2434,2290.1849999427795
2320.869999885559,-6446,1247,2434,2290.1900000572205
2320.875,-6449,1245,2434,2290.1950001716614
2320.8799998760223,-6448,1244,2432,2290.2000000476837
2320.8849999904637,-6445,1245,2432,2290.205000162125
2320.8899998664856,-6443,1248,2432,2290.210000038147
2320.8949999809265,-6439,1250,2433,2290.215000152588
2320.899999856949,-6438,1251,2434,2290.2200000286102
2320.9049999713898,-6440,1254,2435,2290.225000143051
2320.909999847412,-6444,1253,2437,2290.2300000190735
2320.914999961853,-6449,1253,2439,2290.2350001335144
2320.919999837876,-6453,1257,2441,2290.240000009537
2320.9249999523163,-6453,1260,2443,2290.2450001239777
2320.9299998283386,-6454,1263,2444,2290.25
2320.9349999427795,-6452,1266,2446,2290.255000114441
2320.939999818802,-6452,1270,2447,2290.2599999904633
2320.944999933243,-6452,1278,2447,2290.265000104904
2320.949999809265,-6451,1283,2448,2290.2699999809265
2320.954999923706,-6451,1287,2448,2290.2750000953674
2320.9599997997284,-6450,1287,2446,2290.2799999713898
2320.9649999141693,-6449,1289,2445,2290.2850000858307
2320.969999790192,-6447,1288,2445,2290.2899999618535
2320.974999904633,-6445,1287,2443,2290.2950000762944
2320.979999780655,-6446,1289,2442,2290.2999999523163
2320.984999895096,-6449,1290,2439,2290.305000066757
2320.989999771118,-6449,1292,2437,2290.3099999427795
2320.994999885559,-6454,1297,2436,2290.3150000572205
2321.0,-6461,1300,2436,2290.3200001716614
2321.0049998760223,-6464,1302,2438,2290.3250000476837
2321.0099999904637,-6465,1303,2441,2290.330000162125
2321.0149998664856,-6463,1306,2443,2290.335000038147
2321.0199999809265,-6457,1308,2446,2290.340000152588
2321.024999856949,-6454,1309,2449,2290.3450000286102
2321.0299999713898,-6450,1310,2448,2290.350000143051
2321.034999847412,-6449,1310,2448,2290.3550000190735
2321.039999961853,-6450,1310,2447,2290.3600001335144
2321.044999837876,-6449,1316,2444,2290.365000009537
2321.0499999523163,-6452,1322,2444,2290.3700001239777
2321.0549998283386,-6453,1327,2442,2290.375
2321.0599999427795,-6453,1326,2440,2290.380000114441
2321.064999818802,-6454,1324,2439,2290.3849999904633
2321.069999933243,-6455,1322,2439,2290.390000104904
2321.074999809265,-6455,1320,2442,2290.3949999809265
2321.079999923706,-6455,1322,2442,2290.4000000953674
2321.0849997997284,-6454,1325,2443,2290.4049999713898
2321.0899999141693,-6455,1331,2443,2290.4100000858307
2321.094999790192,-6456,1337,2444,2290.4149999618535
2321.099999904633,-6453,1343,2445,2290.4200000762944
2321.104999780655,-6452,1348,2444,2290.4249999523163
2321.109999895096,-6447,1351,2445,2290.430000066757
2321.114999771118,-6441,1352,2444,2290.4349999427795
2321.119999885559,-6436,1353,2444,2290.4400000572205
2321.125,-6429,1355,2444,2290.4450001716614
2321.1299998760223,-6425,1357,2444,2290.4500000476837
2321.1349999904637,-6421,1360,2444,2290.455000162125
2321.1399998664856,-6419,1359,2445,2290.460000038147
2321.1449999809265,-6417,1356,2446,2290.465000152588
2321.149999856949,-6422,1356,2448,2290.4700000286102
2321.1549999713898,-6427,1355,2451,2290.475000143051
2321.159999847412,-6432,1358,2453,2290.4800000190735
2321.164999961853,-6438,1361,2454,2290.4850001335144
2321.169999837876,-6443,1363,2455,2290.490000009537
2321.1749999523163,-6445,1366,2456,2290.4950001239777
2321.1799998283386,-6449,1369,2456,2290.5
2321.1849999427795,-6447,1371,2457,2290.505000114441
2321.189999818802,-6444,1373,2459,2290.5099999904633
2321.194999933243,-6439,1378,2459,2290.515000104904
2321.199999809265,-6435,1377,2461,2290.5199999809265
2321.204999923706,-6433,1376,2463,2290.5250000953674
2321.2099997997284,-6431,1374,2464,2290.5299999713898
2321.2149999141693,-6427,1375,2465,2290.5350000858307
2321.219999790192,-6422,1375,2467,2290.5399999618535
2321.224999904633,-6417,1379,2470,2290.5450000762944
2321.229999780655,-6415,1384,2471,2290.5499999523163
2321.234999895096,-6414,1386,2473,2290.555000066757
2321.239999771118,-6411,1391,2474,2290.5599999427795
2321.244999885559,-6410,1395,2476,2290.5650000572205
2321.25,-6408,1400,2477,2290.5700001716614
2321.2549998760223,-6404,1405,2475,2290.5750000476837
2321.2599999904637,-6401,1406,2475,2290.580000162125
2321.2649998664856,-6398,1408,2474,2290.585000038147
2321.2699999809265,-6396,1409,2474,2290.590000152588
2321.274999856949,-6398,1412,2475,2290.5950000286102
2321.2799999713898,-6401,1417,2476,2290.600000143051
2321.284999847412,-6405,1418,2475,2290.6050000190735
2321.289999961853,-6410,1417,2474,2290.6100001335144
2321.294999837876,-6411,1412,2471,2290.615000009537
2321.2999999523163,-6414,1412,2468,2290.6200001239777
2321.3049998283386,-6412,1413,2467,2290.625
2321.3099999427795,-6410,1412,2468,2290.630000114441
2321.314999818802,-6408,1414,2470,2290.6349999904633
2321.319999933243,-6406,1412,2474,2290.640000104904
2321.324999809265,-6404,1411,2477,2290.6449999809265
2321.329999923706,-6405,1418,2479,2290.6500000953674
2321.3349997997284,-6404,1424,2478,2290.6549999713898
2321.3399999141693,-6401,1430,2477,2290.6600000858307
2321.344999790192,-6396,1434,2475,2290.6649999618535
2321.349999904633,-6390,1434,2472,2290.6700000762944
2321.354999780655,-6384,1433,2470,2290.6749999523163
2321.359999895096,-6378,1436,2467,2290.680000066757
2321.364999771118,-6375,1439,2466,2290.6849999427795
2321.369999885559,-6377,1441,2466,2290.6900000572205
2321.375,-6380,1447,2467,2290.6950001716614
2321.3799998760223,-6384,1449,2469,2290.7000000476837
2321.3849999904637,-6387,1452,2471,2290.705000162125
2321.3899998664856,-6389,1456,2472,2290.710000038147
2321.3949999809265,-6390,1460,2472,2290.715000152588
2321.399999856949,-6393,1465,2473,2290.7200000286102
2321.4049999713898,-6393,1468,2472,2290.725000143051
2321.409999847412,-6392,1472,2471,2290.7300000190735
