t,x,y,z,time_from_sync
2473.914999961853,-1071,-9671,-2842,2440.0016667842865
2473.919999837876,-1071,-9670,-2845,2440.0066666603093
2473.9249999523163,-1068,-9669,-2848,2440.0116667747498
2473.9299998283386,-1070,-9668,-2854,2440.016666650772
2473.9349999427795,-1070,-9667,-2858,2440.021666765213
2473.939999818802,-1070,-9667,-2860,2440.0266666412354
2473.944999933243,-1073,-9669,-2862,2440.0316667556763
2473.949999809265,-1071,-9672,-2861,2440.0366666316986
2473.954999923706,-1072,-9675,-2859,2440.0416667461395
2473.9599997997284,-1075,-9676,-2858,2440.046666622162
2473.9649999141693,-1075,-9675,-2856,2440.051666736603
2473.969999790192,-1079,-9673,-2853,2440.0566666126256
2473.974999904633,-1081,-9672,-2850,2440.0616667270665
2473.979999780655,-1083,-9672,-2846,2440.0666666030884
2473.984999895096,-1085,-9673,-2841,2440.0716667175293
2473.989999771118,-1088,-9674,-2837,2440.0766665935516
2473.994999885559,-1091,-9674,-2832,2440.0816667079926
2474.0,-1090,-9673,-2831,2440.0866668224335
2474.0049998760223,-1092,-9673,-2830,2440.091666698456
2474.0099999904637,-1096,-9673,-2832,2440.096666812897
2474.0149998664856,-1104,-9675,-2833,2440.101666688919
2474.0199999809265,-1111,-9680,-2834,2440.10666680336
2474.024999856949,-1116,-9682,-2837,2440.1116666793823
2474.0299999713898,-1118,-9682,-2840,2440.1166667938232
2474.034999847412,-1117,-9681,-2842,2440.1216666698456
2474.039999961853,-1120,-9679,-2842,2440.1266667842865
2474.044999837876,-1123,-9679,-2842,2440.1316666603093
2474.0499999523163,-1127,-9677,-2842,2440.1366667747498
2474.0549998283386,-1133,-9677,-2845,2440.141666650772
2474.0599999427795,-1136,-9677,-2847,2440.146666765213
2474.064999818802,-1136,-9675,-2848,2440.1516666412354
2474.069999933243,-1137,-9673,-2845,2440.1566667556763
2474.074999809265,-1137,-9670,-2842,2440.1616666316986
2474.079999923706,-1137,-9668,-2839,2440.1666667461395
2474.0849997997284,-1136,-9665,-2835,2440.171666622162
2474.0899999141693,-1134,-9665,-2831,2440.176666736603
2474.094999790192,-1132,-9665,-2828,2440.1816666126256
2474.099999904633,-1134,-9665,-2822,2440.1866667270665
2474.104999780655,-1136,-9665,-2817,2440.1916666030884
2474.109999895096,-1140,-9664,-2817,2440.1966667175293
2474.114999771118,-1146,-9663,-2816,2440.2016665935516
2474.119999885559,-1150,-9662,-2817,2440.2066667079926
2474.125,-1152,-9664,-2822,2440.2116668224335
2474.1299998760223,-1158,-9663,-2820,2440.216666698456
2474.1349999904637,-1163,-9662,-2817,2440.221666812897
2474.1399998664856,-1167,-9665,-2813,2440.226666688919
2474.1449999809265,-1171,-9666,-2808,2440.23166680336
2474.149999856949,-1174,-9669,-2804,2440.2366666793823
2474.1549999713898,-1175,-9671,-2801,2440.2416667938232
2474.159999847412,-1174,-9671,-2798,2440.2466666698456
2474.164999961853,-1172,-9670,-2791,2440.2516667842865
2474.169999837876,-1170,-9670,-2789,2440.2566666603093
2474.1749999523163,-1167,-9670,-2791,2440.2616667747498
2474.1799998283386,-1166,-9670,-2796,2440.266666650772
2474.1849999427795,-1165,-9670,-2798,2440.271666765213
2474.189999818802,-1164,-9669,-2798,2440.2766666412354
2474.194999933243,-1163,-9665,-2795,2440.2816667556763
2474.199999809265,-1164,-9661,-2791,2440.2866666316986
2474.204999923706,-1166,-9659,-2788,2440.2916667461395
2474.2099997997284,-1169,-9660,-2789,2440.296666622162
2474.2149999141693,-1174,-9661,-2792,2440.301666736603
2474.219999790192,-1176,-9661,-2795,2440.3066666126256
2474.224999904633,-1180,-9660,-2801,2440.3116667270665
2474.229999780655,-1182,-9658,-2805,2440.3166666030884
2474.234999895096,-1181,-9657,-2809,2440.3216667175293
2474.239999771118,-1180,-9658,-2814,2440.3266665935516
2474.244999885559,-1176,-9659,-2816,2440.3316667079926
2474.25,-1174,-9657,-2817,2440.3366668224335
2474.2549998760223,-1172,-9657,-2818,2440.341666698456
2474.2599999904637,-1170,-9655,-2818,2440.346666812897
2474.2649998664856,-1169,-9654,-2818,2440.351666688919
2474.2699999809265,-1167,-9654,-2817,2440.35666680336
2474.274999856949,-1167,-9655,-2819,2440.3616666793823
2474.2799999713898,-1172,-9654,-2819,2440.3666667938232
2474.284999847412,-1177,-9655,-2820,2440.3716666698456
2474.289999961853,-1183,-9657,-2819,2440.3766667842865
2474.294999837876,-1186,-9659,-2815,2440.3816666603093
2474.2999999523163,-1184,-9661,-2808,2440.3866667747498
2474.3049998283386,-1183,-9663,-2798,2440.391666650772
2474.3099999427795,-1182,-9664,-2793,2440.396666765213
2474.314999818802,-1182,-9664,-2787,2440.4016666412354
2474.319999933243,-1185,-9662,-2784,2440.4066667556763
2474.324999809265,-1189,-9661,-2781,2440.4116666316986
2474.329999923706,-1189,-9659,-2778,2440.4166667461395
2474.3349997997284,-1191,-9660,-2778,2440.421666622162
2474.3399999141693,-1191,-9661,-2782,2440.426666736603
2474.344999790192,-1189,-9660,-2784,2440.4316666126256
2474.349999904633,-1191,-9661,-2788,2440.4366667270665
2474.354999780655,-1190,-9663,-2793,2440.4416666030884
2474.359999895096,-1187,-9665,-2795,2440.4466667175293
2474.364999771118,-1184,-9667,-2798,2440.4516665935516
2474.369999885559,-1183,-9670,-2797,2440.4566667079926
2474.375,-1186,-9669,-2789,2440.4616668224335
2474.3799998760223,-1192,-9670,-2781,2440.466666698456
2474.3849999904637,-1196,-9671,-2776,2440.471666812897
2474.3899998664856,-1202,-9671,-2775,2440.476666688919
2474.3949999809265,-1208,-9672,-2773,2440.48166680336
2474.399999856949,-1208,-9672,-2776,2440.4866666793823
2474.4049999713898,-1207,-9673,-2781,2440.4916667938232
2474.409999847412,-1201,-9675,-2783,2440.4966666698456
2474.414999961853,-1195,-9679,-2786,2440.5016667842865
2474.419999837876,-1191,-9683,-2790,2440.5066666603093
2474.4249999523163,-1188,-9687,-2792,2440.5116667747498
2474.4299998283386,-1186,-9690,-2792,2440.516666650772
2474.4349999427795,-1182,-9692,-2791,2440.521666765213
2474.439999818802,-1178,-9694,-2789,2440.5266666412354
2474.444999933243,-1178,-9695,-2783,2440.5316667556763
2474.449999809265,-1179,-9694,-2781,2440.5366666316986
2474.454999923706,-1183,-9692,-2783,2440.5416667461395
2474.4599997997284,-1184,-9691,-2790,2440.546666622162
2474.4649999141693,-1185,-9689,-2794,2440.551666736603
2474.469999790192,-1183,-9686,-2796,2440.5566666126256
2474.474999904633,-1178,-9684,-2791,2440.5616667270665
2474.479999780655,-1178,-9681,-2782,2440.5666666030884
2474.484999895096,-1178,-9681,-2776,2440.5716667175293
2474.489999771118,-1178,-9681,-2771,2440.5766665935516
2474.494999885559,-1178,-9682,-2769,2440.5816667079926
2474.5,-1172,-9685,-2767,2440.5866668224335
2474.5049998760223,-1166,-9688,-2768,2440.591666698456
2474.5099999904637,-1162,-9689,-2770,2440.596666812897
2474.5149998664856,-1155,-9691,-2771,2440.601666688919
2474.5199999809265,-1154,-9694,-2769,2440.60666680336
2474.524999856949,-1152,-9698,-2764,2440.6116666793823
2474.5299999713898,-1151,-9702,-2760,2440.6166667938232
2474.534999847412,-1145,-9703,-2754,2440.6216666698456
2474.539999961853,-1139,-9703,-2752,2440.6266667842865
2474.544999837876,-1134,-9704,-2750,2440.6316666603093
2474.5499999523163,-1131,-9704,-2749,2440.6366667747498
2474.5549998283386,-1129,-9705,-2751,2440.641666650772
2474.5599999427795,-1133,-9708,-2755,2440.646666765213
2474.564999818802,-1137,-9710,-2761,2440.6516666412354
2474.569999933243,-1142,-9713,-2765,2440.6566667556763
2474.574999809265,-1149,-9715,-2768,2440.6616666316986
2474.579999923706,-1151,-9717,-2765,2440.6666667461395
2474.5849997997284,-1157,-9720,-2760,2440.671666622162
2474.5899999141693,-1158,-9724,-2757,2440.676666736603
2474.594999790192,-1157,-9728,-2754,2440.6816666126256
2474.599999904633,-1157,-9728,-2753,2440.6866667270665
2474.604999780655,-1156,-9729,-2753,2440.6916666030884
2474.609999895096,-1155,-9729,-2754,2440.6966667175293
2474.614999771118,-1154,-9729,-2758,2440.7016665935516
2474.619999885559,-1149,-9729,-2756,2440.7066667079926
2474.625,-1141,-9728,-2757,2440.7116668224335
2474.6299998760223,-1135,-9727,-2757,2440.716666698456
2474.6349999904637,-1134,-9726,-2757,2440.721666812897
2474.6399998664856,-1140,-9725,-2757,2440.726666688919
2474.6449999809265,-1145,-9723,-2759,2440.73166680336
2474.649999856949,-1150,-9721,-2759,2440.7366666793823
2474.6549999713898,-1149,-9718,-2755,2440.7416667938232
2474.659999847412,-1144,-9716,-2754,2440.7466666698456
2474.664999961853,-1141,-9715,-2752,2440.7516667842865
2474.669999837876,-1137,-9714,-2753,2440.7566666603093
2474.6749999523163,-1136,-9715,-2756,2440.7616667747498
2474.6799998283386,-1133,-9715,-2759,2440.766666650772
2474.6849999427795,-1131,-9715,-2763,2440.771666765213
2474.689999818802,-1129,-9714,-2766,2440.7766666412354
2474.694999933243,-1127,-9713,-2767,2440.7816667556763
2474.699999809265,-1125,-9712,-2767,2440.7866666316986
2474.704999923706,-1121,-9713,-2765,2440.7916667461395
2474.7099997997284,-1119,-9715,-2761,2440.796666622162
2474.7149999141693,-1118,-9716,-2757,2440.801666736603
2474.719999790192,-1117,-9720,-2750,2440.8066666126256
2474.724999904633,-1119,-9723,-2744,2440.8116667270665
2474.729999780655,-1119,-9726,-2739,2440.8166666030884
2474.734999895096,-1118,-9730,-2735,2440.8216667175293
2474.739999771118,-1120,-9732,-2735,2440.8266665935516
2474.744999885559,-1120,-9734,-2736,2440.8316667079926
2474.75,-1119,-9735,-2740,2440.8366668224335
2474.7549998760223,-1116,-9738,-2746,2440.841666698456
2474.7599999904637,-1112,-9741,-2750,2440.846666812897
2474.7649998664856,-1108,-9742,-2753,2440.851666688919
2474.7699999809265,-1107,-9742,-2754,2440.85666680336
2474.774999856949,-1109,-9743,-2752,2440.8616666793823
2474.7799999713898,-1115,-9744,-2752,2440.8666667938232
2474.784999847412,-1122,-9750,-2753,2440.8716666698456
2474.789999961853,-1126,-9756,-2755,2440.8766667842865
2474.794999837876,-1128,-9763,-2759,2440.8816666603093
2474.7999999523163,-1128,-9768,-2759,2440.8866667747498
2474.8049998283386,-1130,-9770,-2756,2440.891666650772
2474.8099999427795,-1131,-9769,-2749,2440.896666765213
2474.814999818802,-1129,-9766,-2739,2440.9016666412354
2474.819999933243,-1126,-9762,-2731,2440.9066667556763
2474.824999809265,-1119,-9758,-2727,2440.9116666316986
2474.829999923706,-1118,-9755,-2726,2440.9166667461395
2474.8349997997284,-1117,-9754,-2727,2440.921666622162
2474.8399999141693,-1115,-9753,-2729,2440.926666736603
2474.844999790192,-1112,-9753,-2731,2440.9316666126256
2474.849999904633,-1111,-9755,-2735,2440.9366667270665
2474.854999780655,-1108,-9755,-2735,2440.9416666030884
2474.859999895096,-1105,-9756,-2736,2440.9466667175293
2474.864999771118,-1106,-9757,-2734,2440.9516665935516
2474.869999885559,-1102,-9756,-2731,2440.9566667079926
2474.875,-1098,-9756,-2732,2440.9616668224335
2474.8799998760223,-1094,-9754,-2730,2440.966666698456
2474.8849999904637,-1091,-9749,-2730,2440.971666812897
2474.8899998664856,-1088,-9746,-2729,2440.976666688919
2474.8949999809265,-1085,-9743,-2724,2440.98166680336
2474.899999856949,-1082,-9742,-2719,2440.9866666793823
2474.9049999713898,-1079,-9741,-2712,2440.9916667938232
2474.909999847412,-1077,-9742,-2708,2440.9966666698456
2474.914999961853,-1074,-9744,-2708,2441.0016667842865
2474.919999837876,-1072,-9746,-2708,2441.0066666603093
2474.9249999523163,-1068,-9749,-2712,2441.0116667747498
2474.9299998283386,-1065,-9751,-2717,2441.016666650772
2474.9349999427795,-1063,-9753,-2722,2441.021666765213
2474.939999818802,-1063,-9754,-2727,2441.0266666412354
2474.944999933243,-1067,-9754,-2731,2441.0316667556763
2474.949999809265,-1072,-9754,-2733,2441.0366666316986
2474.954999923706,-1079,-9752,-2734,2441.0416667461395
2474.9599997997284,-1081,-9751,-2735,2441.046666622162
2474.9649999141693,-1078,-9751,-2738,2441.051666736603
