t,x,y,z,time_from_sync
2457.609999895096,-127,357,-381,2440.008333325386
2457.619999885559,-127,356,-382,2440.0183333158493
2457.6299998760223,-127,356,-383,2440.0283333063126
2457.6399998664856,-127,358,-380,2440.038333296776
2457.6500000953674,-127,359,-378,2440.0483335256577
2457.6600000858307,-127,358,-379,2440.058333516121
2457.670000076294,-127,357,-380,2440.068333506584
2457.680000066757,-127,356,-381,2440.0783334970474
2457.6900000572205,-127,356,-381,2440.0883334875107
2457.700000047684,-127,356,-382,2440.0983334779744
2457.710000038147,-127,356,-382,2440.108333468437
2457.7200000286102,-127,358,-380,2440.1183334589005
2457.730000019073,-127,359,-378,2440.1283334493633
2457.7400000095367,-126,358,-380,2440.138333439827
2457.75,-126,357,-381,2440.14833343029
2457.7599999904637,-126,357,-381,2440.158333420754
2457.7699999809265,-126,356,-382,2440.1683334112167
2457.7799999713898,-127,356,-383,2440.17833340168
2457.789999961853,-127,355,-384,2440.1883333921432
2457.7999999523163,-126,357,-381,2440.1983333826065
2457.8099999427795,-126,357,-379,2440.2083333730698
2457.819999933243,-126,356,-381,2440.218333363533
2457.829999923706,-126,356,-382,2440.2283333539963
2457.8399999141693,-127,355,-383,2440.2383333444595
2457.849999904633,-127,354,-383,2440.2483333349232
2457.859999895096,-127,354,-384,2440.258333325386
2457.869999885559,-127,355,-381,2440.2683333158493
2457.8799998760223,-126,356,-378,2440.2783333063126
2457.8899998664856,-127,355,-380,2440.288333296776
2457.9000000953674,-127,355,-381,2440.2983335256577
2457.9100000858307,-126,354,-382,2440.308333516121
2457.920000076294,-126,353,-383,2440.318333506584
2457.930000066757,-126,353,-384,2440.3283334970474
2457.9400000572205,-126,352,-384,2440.3383334875107
2457.950000047684,-126,354,-382,2440.3483334779744
2457.954999923706,-126,354,-380,2440.3533333539963
2457.960000038147,-125,354,-379,2440.358333468437
2457.974999904633,-125,353,-377,2440.3733333349232
2457.984999895096,-125,353,-378,2440.383333325386
2457.994999885559,-125,352,-380,2440.3933333158493
2458.0049998760223,-125,351,-382,2440.4033333063126
2458.0149998664856,-125,351,-382,2440.413333296776
2458.0250000953674,-125,352,-379,2440.4233335256577
2458.0350000858307,-125,353,-378,2440.433333516121
2458.045000076294,-125,352,-380,2440.443333506584
2458.055000066757,-125,351,-381,2440.4533334970474
2458.0650000572205,-125,350,-382,2440.4633334875107
2458.075000047684,-125,349,-382,2440.4733334779744
2458.085000038147,-125,349,-382,2440.483333468437
2458.0950000286102,-125,348,-383,2440.4933334589005
2458.105000019073,-124,349,-379,2440.5033334493633
2458.1150000095367,-124,350,-377,2440.513333439827
2458.125,-125,350,-379,2440.52333343029
2458.1349999904637,-125,349,-380,2440.533333420754
2458.1449999809265,-125,348,-381,2440.5433334112167
2458.1549999713898,-124,347,-381,2440.55333340168
2458.164999961853,-124,347,-382,2440.5633333921432
2458.1749999523163,-125,348,-380,2440.5733333826065
2458.1849999427795,-124,349,-379,2440.5833333730698
2458.194999933243,-124,348,-381,2440.593333363533
2458.204999923706,-124,348,-382,2440.6033333539963
2458.2149999141693,-124,347,-383,2440.6133333444595
2458.224999904633,-124,347,-384,2440.6233333349232
2458.234999895096,-124,346,-384,2440.633333325386
2458.244999885559,-124,345,-385,2440.6433333158493
2458.2549998760223,-124,346,-382,2440.6533333063126
2458.2649998664856,-123,346,-380,2440.663333296776
2458.2750000953674,-123,345,-382,2440.6733335256577
2458.2850000858307,-123,345,-383,2440.683333516121
2458.295000076294,-124,343,-384,2440.693333506584
2458.305000066757,-124,343,-384,2440.7033334970474
2458.3150000572205,-124,342,-385,2440.7133334875107
2458.325000047684,-124,341,-386,2440.7233334779744
2458.335000038147,-124,343,-384,2440.733333468437
2458.3450000286102,-123,343,-382,2440.7433334589005
2458.355000019073,-123,342,-383,2440.7533334493633
2458.3650000095367,-124,341,-383,2440.763333439827
2458.375,-124,341,-384,2440.77333343029
2458.3849999904637,-125,340,-385,2440.783333420754
2458.3949999809265,-125,340,-386,2440.7933334112167
2458.4049999713898,-125,339,-386,2440.80333340168
2458.414999961853,-125,340,-383,2440.8133333921432
2458.4249999523163,-124,341,-381,2440.8233333826065
2458.4349999427795,-124,340,-383,2440.8333333730698
2458.444999933243,-124,339,-384,2440.843333363533
2458.454999923706,-124,339,-385,2440.8533333539963
2458.4649999141693,-124,338,-386,2440.8633333444595
2458.474999904633,-125,337,-387,2440.8733333349232
2458.484999895096,-125,338,-384,2440.883333325386
2458.494999885559,-124,339,-381,2440.8933333158493
2458.5049998760223,-124,338,-383,2440.9033333063126
2458.5149998664856,-124,337,-384,2440.913333296776
2458.5250000953674,-124,337,-384,2440.9233335256577
2458.5350000858307,-124,336,-385,2440.933333516121
2458.545000076294,-124,335,-385,2440.943333506584
2458.555000066757,-125,335,-386,2440.9533334970474
2458.5650000572205,-125,336,-383,2440.9633334875107
2458.575000047684,-125,338,-382,2440.9733334779744
2458.585000038147,-125,336,-383,2440.983333468437
2458.5950000286102,-125,335,-384,2440.9933334589005
2458.605000019073,-124,335,-385,2441.0033334493633
2458.6150000095367,-124,334,-386,2441.013333439827
2458.625,-124,333,-386,2441.02333343029
2458.6349999904637,-124,332,-387,2441.033333420754
