t,x,y,z,time_from_sync
1581.7699999809265,-6375,-2512,4810,1550.001666824023
1581.7749998569489,-6374,-2515,4810,1550.0066667000453
1581.7799999713898,-6372,-2518,4812,1550.0116668144863
1581.784999847412,-6368,-2521,4813,1550.0166666905086
1581.789999961853,-6367,-2521,4813,1550.0216668049495
1581.7949998378754,-6368,-2518,4814,1550.0266666809719
1581.7999999523165,-6370,-2515,4812,1550.031666795413
1581.8049998283386,-6372,-2511,4810,1550.0366666714351
1581.8099999427795,-6374,-2509,4809,1550.041666785876
1581.814999818802,-6376,-2509,4808,1550.0466666618986
1581.8199999332428,-6378,-2511,4807,1550.0516667763393
1581.8249998092651,-6377,-2511,4805,1550.0566666523616
1581.829999923706,-6377,-2512,4803,1550.0616667668025
1581.8349997997284,-6374,-2513,4801,1550.0666666428249
1581.8399999141693,-6373,-2517,4800,1550.0716667572658
1581.8449997901917,-6372,-2521,4801,1550.0766666332881
1581.8499999046326,-6372,-2522,4802,1550.081666747729
1581.854999780655,-6370,-2520,4804,1550.0866666237514
1581.8599998950958,-6369,-2518,4806,1550.0916667381923
1581.8649997711182,-6369,-2517,4806,1550.0966666142147
1581.869999885559,-6368,-2516,4806,1550.1016667286556
1581.875,-6367,-2514,4805,1550.1066668430965
1581.8799998760223,-6366,-2514,4805,1550.1116667191188
1581.8849999904633,-6365,-2514,4807,1550.1166668335597
1581.8899998664856,-6365,-2511,4809,1550.121666709582
1581.8949999809265,-6367,-2508,4812,1550.126666824023
1581.8999998569489,-6368,-2506,4814,1550.1316667000453
1581.9049999713898,-6368,-2507,4816,1550.1366668144863
1581.909999847412,-6368,-2509,4817,1550.1416666905086
1581.914999961853,-6367,-2512,4819,1550.1466668049495
1581.9199998378754,-6366,-2512,4821,1550.1516666809719
1581.9249999523165,-6366,-2509,4821,1550.156666795413
1581.9299998283386,-6367,-2503,4821,1550.1616666714351
1581.9349999427795,-6367,-2500,4819,1550.166666785876
1581.939999818802,-6368,-2500,4817,1550.1716666618986
1581.9449999332428,-6368,-2497,4817,1550.1766667763393
1581.9499998092651,-6366,-2493,4816,1550.1816666523616
1581.954999923706,-6365,-2488,4815,1550.1866667668025
1581.9599997997284,-6365,-2483,4814,1550.1916666428249
1581.9649999141693,-6366,-2481,4813,1550.1966667572658
1581.9699997901917,-6367,-2484,4812,1550.2016666332881
1581.9749999046326,-6366,-2485,4814,1550.206666747729
1581.979999780655,-6367,-2484,4815,1550.2116666237514
1581.9849998950958,-6368,-2481,4816,1550.2166667381923
1581.9899997711182,-6368,-2477,4816,1550.2216666142147
1581.994999885559,-6370,-2476,4816,1550.2266667286556
1582.0,-6371,-2474,4816,1550.2316668430965
1582.0049998760223,-6370,-2474,4818,1550.2366667191188
1582.0099999904633,-6371,-2477,4818,1550.2416668335597
1582.0149998664856,-6372,-2477,4820,1550.246666709582
1582.0199999809265,-6373,-2479,4821,1550.251666824023
1582.0249998569489,-6374,-2480,4819,1550.2566667000453
1582.0299999713898,-6374,-2482,4818,1550.2616668144863
1582.034999847412,-6376,-2482,4816,1550.2666666905086
1582.039999961853,-6376,-2482,4814,1550.2716668049495
1582.0449998378754,-6377,-2481,4814,1550.2766666809719
1582.0499999523165,-6377,-2481,4815,1550.281666795413
1582.0549998283386,-6376,-2484,4816,1550.2866666714351
1582.0599999427795,-6374,-2485,4816,1550.291666785876
1582.064999818802,-6373,-2485,4817,1550.2966666618986
1582.0699999332428,-6370,-2484,4818,1550.3016667763393
1582.0749998092651,-6368,-2481,4819,1550.3066666523616
1582.079999923706,-6368,-2482,4819,1550.3116667668025
1582.0849997997284,-6368,-2486,4819,1550.3166666428249
1582.0899999141693,-6367,-2490,4819,1550.3216667572658
1582.0949997901917,-6366,-2490,4819,1550.3266666332881
1582.0999999046326,-6365,-2488,4821,1550.331666747729
1582.104999780655,-6364,-2484,4822,1550.3366666237514
1582.1099998950958,-6363,-2483,4822,1550.3416667381923
1582.1149997711182,-6364,-2481,4823,1550.3466666142147
