Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.77201,-1.27344,0,4.46,2023-12-12 13:46:35.999000+00:00,gps,50.7718,-1.27314,48,8.0,13.49,135.94774,gps [GPS],00:00:01,14.0,0.0,,,,False,26 / 30,2064,18007.6,-,2.4,2.2,0.7,-,-,Ship,13:46:35 GMT,13:46:36.207,13:46:31.906,13:46:31.919,48.57,30.18,71,1930.0
50.77192,-1.27331,0,4.46,2023-12-12 13:46:36.999000+00:00,gps,50.77171,-1.27301,48,8.0,13.61,135.24025,gps [GPS],00:00:01,13.9,0.0,,,,False,27 / 29,2065,18021.5,-,1.8,1.7,0.7,-,-,Ship,13:46:36 GMT,13:46:37.205,13:46:32.904,13:46:32.915,49.0,30.44,71,1931.0
50.77183,-1.27317,0,4.46,2023-12-12 13:46:37.999000+00:00,gps,50.77162,-1.27287,49,8.0,13.61,134.69304,gps [GPS],00:00:01,13.9,0.0,,,,False,28 / 29,2066,18035.4,-,1.5,1.4,0.7,-,-,Ship,13:46:37 GMT,13:46:38.208,13:46:33.907,13:46:33.915,48.99,30.44,71,1932.0
50.77173,-1.27304,0,4.46,2023-12-12 13:46:38.999000+00:00,gps,50.77153,-1.27274,49,8.0,13.74,134.68895,gps [GPS],00:00:01,14.0,0.0,,,,False,27 / 29,2067,18049.4,-,1.6,1.4,0.7,-,-,Ship,13:46:38 GMT,13:46:39.178,13:46:34.876,13:46:34.885,49.45,30.73,71,1933.0
50.77164,-1.2729,0,4.46,2023-12-12 13:46:39.999000+00:00,gps,50.77144,-1.2726,48,8.0,13.82,134.69502,gps [GPS],00:00:01,14.0,0.0,,,,False,27 / 29,2068,18063.3,-,1.5,1.3,0.7,-,-,Ship,13:46:39 GMT,13:46:40.202,13:46:35.901,13:46:35.914,49.76,30.92,71,1934.0
50.77155,-1.27276,0,4.46,2023-12-12 13:46:40.999000+00:00,gps,50.77135,-1.27246,49,8.0,13.76,134.68547,gps [GPS],00:00:01,13.9,0.0,,,,False,24 / 29,2069,18077.2,-,1.5,1.3,0.7,-,-,Ship,13:46:40 GMT,13:46:41.214,13:46:36.913,13:46:36.934,49.55,30.79,71,1935.0
50.77146,-1.27263,0,4.46,2023-12-12 13:46:41.999000+00:00,gps,50.77127,-1.27233,49,8.0,13.75,134.76804,gps [GPS],00:00:01,13.8,0.0,,,,False,24 / 29,2070,18091.0,-,1.6,1.4,0.7,-,-,Ship,13:46:41 GMT,13:46:42.217,13:46:37.916,13:46:37.937,49.51,30.76,71,1936.0
50.77138,-1.27249,0,4.46,2023-12-12 13:46:42.999000+00:00,gps,50.77118,-1.27219,49,8.0,14.2,134.8896,gps [GPS],00:00:01,13.7,0.0,,,,False,24 / 28,2071,18104.8,-,2.2,2.1,0.7,-,-,Ship,13:46:42 GMT,13:46:43.204,13:46:38.913,13:46:38.925,51.12,31.76,71,1937.0
50.77129,-1.27236,0,4.46,2023-12-12 13:46:43.999000+00:00,gps,50.77109,-1.27205,49,8.0,13.87,134.83626,gps [GPS],00:00:01,13.7,0.0,,,,False,24 / 28,2072,18118.4,-,1.6,1.4,0.7,-,-,Ship,13:46:43 GMT,13:46:44.215,13:46:39.914,13:46:39.924,49.95,31.04,71,1938.0
50.7712,-1.27222,0,4.46,2023-12-12 13:46:44.999000+00:00,gps,50.77101,-1.27191,49,8.0,14.11,134.92365,gps [GPS],00:00:01,13.7,0.0,,,,False,24 / 28,2073,18132.2,-,1.6,1.4,0.7,-,-,Ship,13:46:44 GMT,13:46:45.184,13:46:40.883,13:46:40.894,50.81,31.57,71,1939.0
50.77111,-1.27208,1,4.46,2023-12-12 13:46:45.999000+00:00,gps,50.77092,-1.27177,49,8.0,14.08,134.94992,gps [GPS],00:00:01,13.8,0.0,,,,False,25 / 28,2074,18146.0,-,1.9,1.8,0.7,-,-,Ship,13:46:45 GMT,13:46:46.215,13:46:41.913,13:46:41.924,50.67,31.49,71,1940.0
50.77102,-1.27194,1,4.46,2023-12-12 13:46:46.999000+00:00,gps,50.77083,-1.27163,49,8.0,13.4,134.02057,gps [GPS],00:00:01,13.8,0.0,,,,False,26 / 28,2075,18159.7,-,1.6,1.5,0.7,-,-,Ship,13:46:46 GMT,13:46:47.220,13:46:42.918,13:46:42.929,48.25,29.98,71,1941.0
