t,x,y,z,time_from_sync
2878.0899999141693,-517,-1069,94,2839.023333311081
2878.170000076294,-517,-1067,94,2839.1033334732056
2878.244999885559,-518,-1066,94,2839.1783332824707
2878.325000047684,-518,-1066,94,2839.258333444596
2878.399999856949,-517,-1069,94,2839.3333332538605
2878.480000019073,-518,-1067,94,2839.4133334159847
2878.555000066757,-517,-1066,94,2839.488333463669
2878.6349999904637,-517,-1067,94,2839.5683333873753
2878.710000038147,-517,-1068,95,2839.6433334350586
2878.789999961853,-517,-1066,94,2839.7233333587646
2878.8650000095367,-517,-1067,95,2839.7983334064484
2878.944999933243,-517,-1067,95,2839.8783333301544
2879.0199999809265,-518,-1065,94,2839.953333377838
2879.099999904633,-518,-1066,94,2840.0333333015446
2879.1749999523163,-517,-1066,94,2840.108333349228
2879.2549998760223,-517,-1066,94,2840.188333272934
2879.329999923706,-517,-1068,95,2840.2633333206177
2879.4100000858307,-518,-1068,94,2840.3433334827423
2879.484999895096,-516,-1068,95,2840.4183332920074
2879.5650000572205,-516,-1067,94,2840.498333454132
2879.6399998664856,-518,-1066,94,2840.573333263397
2879.7200000286102,-517,-1067,94,2840.653333425522
2879.795000076294,-517,-1067,94,2840.7283334732056
2879.875,-517,-1068,95,2840.8083333969116
2879.950000047684,-517,-1066,95,2840.883333444596
2880.0299999713898,-517,-1067,94,2840.9633333683014
2880.105000019073,-517,-1066,95,2841.0383334159847
2880.1849999427795,-517,-1066,95,2841.118333339691
2880.2599999904637,-517,-1065,95,2841.1933333873753
2880.3399999141693,-517,-1066,94,2841.273333311081
2880.414999961853,-517,-1065,94,2841.3483333587646
2880.494999885559,-518,-1065,95,2841.4283332824707
2880.569999933243,-517,-1065,94,2841.5033333301544
2880.649999856949,-518,-1066,95,2841.5833332538605
2880.724999904633,-518,-1066,95,2841.6583333015446
2880.805000066757,-517,-1066,94,2841.738333463669
2880.8799998760223,-518,-1065,95,2841.813333272934
2880.960000038147,-518,-1066,95,2841.8933334350586
2881.0350000858307,-517,-1066,94,2841.9683334827423
2881.1150000095367,-517,-1068,95,2842.0483334064484
2881.1900000572205,-518,-1065,95,2842.123333454132
2881.2699999809265,-517,-1066,94,2842.203333377838
2881.3450000286102,-516,-1066,94,2842.278333425522
2881.4249999523163,-517,-1067,95,2842.358333349228
2881.5,-516,-1068,94,2842.4333333969116
2881.579999923706,-518,-1066,94,2842.5133333206177
2881.6549999713898,-517,-1066,94,2842.5883333683014
2881.734999895096,-517,-1067,94,2842.6683332920074
2881.8099999427795,-517,-1067,95,2842.743333339691
2881.8899998664856,-517,-1065,95,2842.823333263397
2881.9649999141693,-517,-1066,95,2842.898333311081
2882.045000076294,-518,-1066,95,2842.9783334732056
2882.119999885559,-517,-1066,94,2843.0533332824707
2882.200000047684,-517,-1066,94,2843.133333444596
2882.274999856949,-517,-1066,95,2843.2083332538605
2882.355000019073,-517,-1066,95,2843.2883334159847
2882.430000066757,-518,-1066,95,2843.363333463669
2882.5099999904637,-518,-1066,94,2843.4433333873753
2882.585000038147,-517,-1066,95,2843.5183334350586
2882.664999961853,-518,-1066,95,2843.5983333587646
2882.7400000095367,-517,-1066,95,2843.6733334064484
2882.819999933243,-517,-1065,95,2843.7533333301544
2882.8949999809265,-517,-1065,95,2843.828333377838
2882.974999904633,-517,-1066,95,2843.9083333015446
2883.0499999523163,-517,-1066,96,2843.983333349228
2883.1299998760223,-516,-1067,94,2844.063333272934
2883.204999923706,-517,-1066,96,2844.1383333206177
2883.2850000858307,-517,-1067,95,2844.2183334827423
2883.359999895096,-517,-1066,94,2844.2933332920074
2883.4400000572205,-517,-1067,95,2844.373333454132
2883.5149998664856,-516,-1069,96,2844.448333263397
2883.5950000286102,-516,-1067,96,2844.528333425522
2883.670000076294,-516,-1066,96,2844.6033334732056
2883.75,-516,-1067,96,2844.6833333969116
2883.825000047684,-517,-1065,96,2844.758333444596
2883.9049999713898,-516,-1066,97,2844.8383333683014
2883.980000019073,-516,-1065,97,2844.9133334159847
2884.0599999427795,-515,-1065,97,2844.993333339691
2884.1349999904637,-515,-1067,98,2845.0683333873753
2884.2149999141693,-515,-1065,99,2845.148333311081
2884.289999961853,-515,-1065,99,2845.2233333587646
2884.369999885559,-514,-1065,100,2845.3033332824707
2884.444999933243,-513,-1066,101,2845.3783333301544
2884.524999856949,-513,-1065,101,2845.4583332538605
2884.599999904633,-513,-1064,102,2845.5333333015446
2884.680000066757,-512,-1064,103,2845.613333463669
2884.7549998760223,-510,-1062,104,2845.688333272934
2884.835000038147,-510,-1062,104,2845.7683334350586
2884.9100000858307,-510,-1062,104,2845.8433334827423
2884.9900000095367,-510,-1061,105,2845.9233334064484
2885.0650000572205,-509,-1061,105,2845.998333454132
2885.1449999809265,-508,-1060,106,2846.078333377838
2885.2200000286102,-508,-1059,106,2846.153333425522
2885.2999999523163,-508,-1059,106,2846.233333349228
2885.375,-508,-1058,106,2846.3083333969116
2885.454999923706,-507,-1057,106,2846.3883333206177
2885.5299999713898,-506,-1059,106,2846.4633333683014
2885.609999895096,-507,-1057,105,2846.5433332920074
2885.6849999427795,-506,-1055,105,2846.618333339691
2885.7649998664856,-506,-1056,105,2846.698333263397
2885.8399999141693,-507,-1056,103,2846.773333311081
2885.920000076294,-507,-1057,103,2846.8533334732056
2885.994999885559,-507,-1055,101,2846.9283332824707
2886.075000047684,-507,-1055,101,2847.008333444596
2886.149999856949,-508,-1054,100,2847.0833332538605
2886.230000019073,-508,-1054,99,2847.1633334159847
2886.305000066757,-508,-1054,98,2847.238333463669
2886.3849999904637,-508,-1053,98,2847.3183333873753
2886.460000038147,-508,-1053,98,2847.3933334350586
2886.539999961853,-508,-1053,97,2847.4733333587646
2886.6150000095367,-509,-1052,97,2847.5483334064484
2886.694999933243,-509,-1051,97,2847.6283333301544
2886.7699999809265,-508,-1049,97,2847.703333377838
2886.849999904633,-508,-1049,97,2847.7833333015446
2886.9249999523163,-508,-1048,97,2847.858333349228
2887.0049998760223,-508,-1047,97,2847.938333272934
2887.079999923706,-509,-1045,98,2848.0133333206177
2887.1600000858307,-509,-1044,98,2848.0933334827423
2887.234999895096,-508,-1044,98,2848.1683332920074
2887.3150000572205,-509,-1042,99,2848.248333454132
2887.3899998664856,-509,-1041,99,2848.323333263397
2887.4700000286102,-510,-1043,100,2848.403333425522
2887.545000076294,-510,-1041,101,2848.4783334732056
2887.625,-509,-1040,100,2848.5583333969116
2887.700000047684,-510,-1040,100,2848.633333444596
2887.7799999713898,-511,-1038,100,2848.7133333683014
2887.855000019073,-510,-1038,101,2848.7883334159847
2887.9349999427795,-509,-1038,101,2848.868333339691
2888.0099999904637,-509,-1039,101,2848.9433333873753
2888.0899999141693,-508,-1040,102,2849.023333311081
2888.164999961853,-507,-1041,102,2849.0983333587646
2888.244999885559,-506,-1041,102,2849.1783332824707
2888.319999933243,-506,-1042,103,2849.2533333301544
2888.399999856949,-505,-1042,103,2849.3333332538605
2888.474999904633,-505,-1042,104,2849.4083333015446
2888.555000066757,-505,-1042,103,2849.488333463669
2888.6299998760223,-505,-1042,103,2849.563333272934
2888.710000038147,-504,-1043,103,2849.6433334350586
2888.7850000858307,-504,-1043,103,2849.7183334827423
2888.8650000095367,-503,-1044,103,2849.7983334064484
2888.9400000572205,-502,-1046,103,2849.873333454132
2889.0199999809265,-502,-1045,103,2849.953333377838
2889.0950000286102,-501,-1046,104,2850.028333425522
2889.1749999523163,-501,-1047,103,2850.108333349228
2889.25,-500,-1047,102,2850.1833333969116
2889.329999923706,-500,-1048,102,2850.2633333206177
2889.4049999713898,-499,-1048,103,2850.3383333683014
2889.484999895096,-498,-1048,102,2850.4183332920074
2889.5599999427795,-498,-1050,103,2850.493333339691
2889.6399998664856,-497,-1049,102,2850.573333263397
2889.7149999141693,-497,-1049,102,2850.648333311081
2889.795000076294,-496,-1049,101,2850.7283334732056
2889.869999885559,-495,-1050,100,2850.8033332824707
2889.950000047684,-494,-1049,101,2850.883333444596
2890.024999856949,-495,-1048,100,2850.9583332538605
2890.105000019073,-494,-1047,101,2851.0383334159847
2890.180000066757,-493,-1048,100,2851.113333463669
2890.2599999904637,-493,-1048,100,2851.1933333873753
2890.335000038147,-492,-1048,100,2851.2683334350586
2890.414999961853,-492,-1048,100,2851.3483333587646
2890.4900000095367,-491,-1048,100,2851.4233334064484
2890.569999933243,-491,-1047,99,2851.5033333301544
2890.6449999809265,-490,-1047,98,2851.578333377838
2890.724999904633,-490,-1047,99,2851.6583333015446
