Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.70417,-1.09357,3,4.46,2023-12-12 09:11:59.999000+00:00,gps,50.70417,-1.09332,51,8.0,7.82,78.30918,gps [GPS],00:00:01,7.9,0,,,,False,35 / 37,4607,7654.4,-,1.2,1.0,0.7,-,-,Ship,09:11:59 GMT,11:59.6,11:55.9,11:55.9,28.17,17.5,100,3411.999
50.70417,-1.09346,2,4.46,2023-12-12 09:12:00.999000+00:00,gps,50.70419,-1.09321,51,8.0,7.91,72.58327,gps [GPS],00:00:01,7.9,0,,,,False,36 / 36,4608,7662.3,-,1.3,1.0,0.7,-,-,Ship,09:12:00 GMT,12:00.6,11:56.8,11:56.9,28.46,17.68,100,3412.999
50.70419,-1.09335,2,4.46,2023-12-12 09:12:01.999000+00:00,gps,50.70421,-1.0931,50,8.0,7.73,66.565094,gps [GPS],00:00:01,7.9,0,,,,False,33 / 36,4609,7670.2,-,1.4,1.1,0.9,-,-,Ship,09:12:01 GMT,12:01.6,11:57.9,11:57.9,27.82,17.29,100,3413.999
50.70421,-1.09319,1,4.0,2023-12-12 09:12:02.999000+00:00,gps,50.70425,-1.093,49,6.0,8.1,60.600025,gps [GPS],00:00:01,11.3,0,,,,False,34 / 36,4610,7681.5,-,1.3,1.1,0.8,-,-,Ship,09:12:02 GMT,12:02.6,11:58.8,11:58.8,29.16,18.12,100,3414.999
50.70424,-1.09308,1,3.84,2023-12-12 09:12:03.999000+00:00,gps,50.70428,-1.09291,49,6.0,7.12,56.538006,gps [GPS],00:00:01,8.7,0,,,,False,35 / 37,4611,7690.2,-,1.3,1.0,0.7,-,-,Ship,09:12:03 GMT,12:03.6,11:59.8,11:59.8,25.63,15.93,100,3415.999
50.70426,-1.09301,1,4.16,2023-12-12 09:12:04.999000+00:00,gps,50.70432,-1.09282,49,8.0,6.84,54.000237,gps [GPS],00:00:01,5.4,0,,,,False,34 / 35,4612,7695.6,-,1.3,1.1,0.8,-,-,Ship,09:12:04 GMT,12:04.6,12:00.8,12:00.8,24.63,15.31,100,3416.999
50.70429,-1.09293,1,4.32,2023-12-12 09:12:05.999000+00:00,gps,50.70437,-1.09275,49,8.0,6.68,43.39868,gps [GPS],00:00:01,6.3,0,,,,False,34 / 36,4613,7701.9,-,1.3,1.1,0.8,-,-,Ship,09:12:05 GMT,12:05.6,12:01.9,12:01.9,24.04,14.94,100,3417.999
50.70433,-1.09286,1,4.39,2023-12-12 09:12:06.999000+00:00,gps,50.70441,-1.0927,49,8.0,6.56,36.977158,gps [GPS],00:00:01,6.3,0,,,,False,34 / 36,4614,7708.2,-,1.3,1.1,0.8,-,-,Ship,09:12:06 GMT,12:06.6,12:02.8,12:02.9,23.61,14.67,100,3418.999
50.70437,-1.0928,1,4.43,2023-12-12 09:12:07.999000+00:00,gps,50.70445,-1.09265,49,8.0,6.37,30.980549,gps [GPS],00:00:01,6.3,0,,,,False,34 / 35,4615,7714.5,-,1.2,1.0,0.7,-,-,Ship,09:12:07 GMT,12:07.6,12:03.8,12:03.9,22.93,14.25,100,3419.999
50.70441,-1.09274,1,4.45,2023-12-12 09:12:08.999000+00:00,gps,50.7045,-1.09261,49,8.0,6.25,23.636415,gps [GPS],00:00:01,6.0,0,,,,False,34 / 35,4615,7720.5,-,1.3,1.1,0.7,-,-,Ship,09:12:08 GMT,12:08.5,12:04.8,12:04.8,22.5,13.98,100,3420.999
