t,x,y,z,time_from_sync
3550.6849999427795,-6473,-1062,5133,3501.00166674455
3550.689999818802,-6474,-1066,5133,3501.0066666205726
3550.694999933243,-6474,-1068,5131,3501.0116667350135
3550.699999809265,-6477,-1067,5130,3501.016666611036
3550.704999923706,-6479,-1065,5126,3501.0216667254767
3550.7099997997284,-6481,-1061,5123,3501.026666601499
3550.7149999141693,-6482,-1060,5121,3501.03166671594
3550.719999790192,-6481,-1056,5117,3501.036666591963
3550.724999904633,-6480,-1056,5114,3501.0416667064037
3550.729999780655,-6480,-1055,5113,3501.0466665824256
3550.734999895096,-6480,-1050,5110,3501.0516666968665
3550.739999771118,-6479,-1045,5108,3501.056666572889
3550.744999885559,-6479,-1038,5106,3501.0616666873298
3550.75,-6477,-1032,5104,3501.0666668017707
3550.7549998760223,-6474,-1031,5103,3501.071666677793
3550.7599999904637,-6473,-1033,5103,3501.0766667922344
3550.7649998664856,-6470,-1036,5103,3501.0816666682563
3550.7699999809265,-6470,-1040,5103,3501.086666782697
3550.774999856949,-6472,-1043,5103,3501.0916666587195
3550.7799999713898,-6474,-1046,5103,3501.0966667731605
3550.784999847412,-6477,-1050,5101,3501.101666649183
3550.789999961853,-6479,-1052,5099,3501.1066667636237
3550.794999837876,-6479,-1054,5095,3501.1116666396465
3550.7999999523163,-6480,-1058,5093,3501.116666754087
3550.8049998283386,-6481,-1060,5091,3501.1216666301093
3550.8099999427795,-6482,-1062,5090,3501.12666674455
3550.814999818802,-6483,-1062,5088,3501.1316666205726
3550.819999933243,-6482,-1059,5086,3501.1366667350135
3550.824999809265,-6482,-1054,5086,3501.141666611036
3550.829999923706,-6481,-1054,5085,3501.1466667254767
3550.8349997997284,-6479,-1056,5085,3501.151666601499
3550.8399999141693,-6477,-1060,5086,3501.15666671594
3550.844999790192,-6474,-1065,5083,3501.161666591963
3550.849999904633,-6474,-1067,5082,3501.1666667064037
3550.854999780655,-6474,-1067,5082,3501.1716665824256
3550.859999895096,-6476,-1068,5082,3501.1766666968665
3550.864999771118,-6477,-1070,5079,3501.181666572889
3550.869999885559,-6478,-1070,5077,3501.1866666873298
3550.875,-6481,-1068,5075,3501.1916668017707
3550.8799998760223,-6483,-1070,5072,3501.196666677793
3550.8849999904637,-6484,-1071,5070,3501.2016667922344
3550.8899998664856,-6486,-1073,5069,3501.2066666682563
3550.8949999809265,-6485,-1077,5069,3501.211666782697
3550.899999856949,-6485,-1076,5068,3501.2166666587195
3550.9049999713898,-6484,-1079,5067,3501.2216667731605
3550.909999847412,-6486,-1082,5065,3501.226666649183
3550.914999961853,-6486,-1086,5063,3501.2316667636237
3550.919999837876,-6488,-1089,5064,3501.2366666396465
3550.9249999523163,-6489,-1093,5064,3501.241666754087
3550.9299998283386,-6491,-1095,5064,3501.2466666301093
3550.9349999427795,-6492,-1100,5062,3501.25166674455
3550.939999818802,-6493,-1104,5058,3501.2566666205726
3550.944999933243,-6491,-1106,5055,3501.2616667350135
3550.949999809265,-6488,-1110,5052,3501.266666611036
3550.954999923706,-6485,-1110,5050,3501.2716667254767
3550.9599997997284,-6483,-1110,5051,3501.276666601499
3550.9649999141693,-6484,-1109,5051,3501.28166671594
3550.969999790192,-6487,-1103,5052,3501.286666591963
3550.974999904633,-6491,-1099,5053,3501.2916667064037
3550.979999780655,-6492,-1098,5054,3501.2966665824256
3550.984999895096,-6493,-1097,5054,3501.3016666968665
3550.989999771118,-6493,-1095,5055,3501.306666572889
3550.994999885559,-6492,-1094,5056,3501.3116666873298
3551.0,-6493,-1094,5058,3501.3166668017707
3551.0049998760223,-6492,-1096,5060,3501.321666677793
3551.0099999904637,-6491,-1095,5062,3501.3266667922344
3551.0149998664856,-6491,-1093,5063,3501.3316666682563
3551.0199999809265,-6491,-1091,5064,3501.336666782697
3551.024999856949,-6492,-1088,5066,3501.3416666587195
3551.0299999713898,-6494,-1090,5068,3501.3466667731605
3551.034999847412,-6497,-1095,5069,3501.351666649183
3551.039999961853,-6498,-1099,5070,3501.3566667636237
3551.044999837876,-6498,-1104,5070,3501.3616666396465
3551.0499999523163,-6497,-1105,5070,3501.366666754087
3551.0549998283386,-6496,-1103,5070,3501.3716666301093
3551.0599999427795,-6497,-1103,5072,3501.37666674455
3551.064999818802,-6496,-1101,5073,3501.3816666205726
3551.069999933243,-6495,-1103,5075,3501.3866667350135
3551.074999809265,-6495,-1102,5078,3501.391666611036
3551.079999923706,-6494,-1099,5079,3501.3966667254767
3551.0849997997284,-6492,-1099,5079,3501.401666601499
3551.0899999141693,-6490,-1099,5078,3501.40666671594
3551.094999790192,-6487,-1098,5075,3501.411666591963
3551.099999904633,-6485,-1100,5072,3501.4166667064037
3551.104999780655,-6484,-1101,5069,3501.4216665824256
3551.109999895096,-6484,-1099,5067,3501.4266666968665
3551.114999771118,-6484,-1102,5066,3501.431666572889
3551.119999885559,-6484,-1105,5067,3501.4366666873298
3551.125,-6483,-1102,5071,3501.4416668017707
3551.1299998760223,-6481,-1098,5074,3501.446666677793
3551.1349999904637,-6480,-1093,5076,3501.4516667922344
3551.1399998664856,-6479,-1091,5078,3501.4566666682563
3551.1449999809265,-6479,-1088,5079,3501.461666782697
3551.149999856949,-6480,-1085,5083,3501.4666666587195
3551.1549999713898,-6481,-1083,5087,3501.4716667731605
3551.159999847412,-6483,-1082,5090,3501.476666649183
3551.164999961853,-6486,-1083,5093,3501.4816667636237
3551.169999837876,-6490,-1083,5095,3501.4866666396465
3551.1749999523163,-6492,-1089,5097,3501.491666754087
3551.1799998283386,-6494,-1093,5099,3501.4966666301093
3551.1849999427795,-6495,-1096,5101,3501.50166674455
3551.189999818802,-6493,-1098,5102,3501.5066666205726
3551.194999933243,-6492,-1095,5104,3501.5116667350135
3551.199999809265,-6490,-1095,5107,3501.516666611036
3551.204999923706,-6488,-1095,5109,3501.5216667254767
3551.2099997997284,-6488,-1099,5112,3501.526666601499
3551.2149999141693,-6486,-1103,5113,3501.53166671594
3551.219999790192,-6486,-1108,5114,3501.536666591963
3551.224999904633,-6484,-1114,5113,3501.5416667064037
3551.229999780655,-6483,-1120,5113,3501.5466665824256
3551.234999895096,-6482,-1127,5112,3501.5516666968665
3551.239999771118,-6482,-1128,5113,3501.556666572889
3551.244999885559,-6483,-1127,5116,3501.5616666873298
3551.25,-6482,-1121,5117,3501.5666668017707
3551.2549998760223,-6483,-1115,5118,3501.571666677793
3551.2599999904637,-6482,-1110,5121,3501.5766667922344
3551.2649998664856,-6477,-1111,5120,3501.5816666682563
3551.2699999809265,-6473,-1109,5120,3501.586666782697
3551.274999856949,-6470,-1111,5122,3501.5916666587195
3551.2799999713898,-6470,-1111,5125,3501.5966667731605
3551.284999847412,-6471,-1110,5130,3501.601666649183
3551.289999961853,-6471,-1109,5135,3501.6066667636237
3551.294999837876,-6474,-1104,5138,3501.6116666396465
3551.2999999523163,-6475,-1099,5140,3501.616666754087
3551.3049998283386,-6476,-1098,5142,3501.6216666301093
3551.3099999427795,-6476,-1100,5144,3501.62666674455
3551.314999818802,-6476,-1105,5146,3501.6316666205726
3551.319999933243,-6472,-1113,5149,3501.6366667350135
3551.324999809265,-6470,-1116,5150,3501.641666611036
3551.329999923706,-6467,-1118,5152,3501.6466667254767
3551.3349997997284,-6466,-1121,5155,3501.651666601499
3551.3399999141693,-6466,-1122,5159,3501.65666671594
3551.344999790192,-6464,-1125,5163,3501.661666591963
3551.349999904633,-6462,-1124,5167,3501.6666667064037
3551.354999780655,-6461,-1126,5171,3501.6716665824256
3551.359999895096,-6460,-1128,5175,3501.6766666968665
3551.364999771118,-6459,-1131,5179,3501.681666572889
3551.369999885559,-6458,-1133,5183,3501.6866666873298
3551.375,-6457,-1133,5188,3501.6916668017707
3551.3799998760223,-6454,-1129,5192,3501.696666677793
3551.3849999904637,-6452,-1122,5196,3501.7016667922344
3551.3899998664856,-6448,-1120,5198,3501.7066666682563
3551.3949999809265,-6446,-1118,5200,3501.711666782697
3551.399999856949,-6443,-1121,5202,3501.7166666587195
3551.4049999713898,-6441,-1125,5204,3501.7216667731605
3551.409999847412,-6438,-1126,5205,3501.726666649183
3551.414999961853,-6434,-1124,5206,3501.7316667636237
3551.419999837876,-6432,-1119,5209,3501.7366666396465
3551.4249999523163,-6428,-1110,5211,3501.741666754087
3551.4299998283386,-6427,-1107,5216,3501.7466666301093
3551.4349999427795,-6426,-1105,5218,3501.75166674455
3551.439999818802,-6428,-1103,5221,3501.7566666205726
3551.444999933243,-6430,-1105,5225,3501.7616667350135
3551.449999809265,-6432,-1104,5231,3501.766666611036
3551.454999923706,-6434,-1102,5235,3501.7716667254767
3551.4599997997284,-6432,-1101,5240,3501.776666601499
3551.4649999141693,-6429,-1098,5244,3501.78166671594
3551.469999790192,-6426,-1098,5248,3501.786666591963
3551.474999904633,-6422,-1100,5253,3501.7916667064037
3551.479999780655,-6420,-1105,5257,3501.7966665824256
3551.484999895096,-6419,-1110,5260,3501.8016666968665
3551.489999771118,-6417,-1115,5262,3501.806666572889
3551.494999885559,-6415,-1117,5263,3501.8116666873298
3551.5,-6412,-1114,5262,3501.8166668017707
3551.5049998760223,-6409,-1112,5265,3501.821666677793
3551.5099999904637,-6407,-1114,5267,3501.8266667922344
3551.5149998664856,-6406,-1114,5271,3501.8316666682563
3551.5199999809265,-6407,-1116,5276,3501.836666782697
3551.524999856949,-6405,-1117,5278,3501.8416666587195
3551.5299999713898,-6403,-1114,5280,3501.8466667731605
3551.534999847412,-6403,-1115,5281,3501.851666649183
3551.539999961853,-6401,-1116,5283,3501.8566667636237
3551.544999837876,-6400,-1116,5286,3501.8616666396465
3551.5499999523163,-6398,-1120,5290,3501.866666754087
3551.5549998283386,-6396,-1122,5293,3501.8716666301093
3551.5599999427795,-6395,-1123,5299,3501.87666674455
3551.564999818802,-6394,-1125,5304,3501.8816666205726
3551.569999933243,-6393,-1125,5308,3501.8866667350135
3551.574999809265,-6392,-1126,5310,3501.891666611036
3551.579999923706,-6391,-1125,5313,3501.8966667254767
3551.5849997997284,-6390,-1125,5315,3501.901666601499
3551.5899999141693,-6391,-1125,5318,3501.90666671594
3551.594999790192,-6391,-1124,5320,3501.911666591963
3551.599999904633,-6389,-1126,5321,3501.9166667064037
3551.604999780655,-6389,-1126,5321,3501.9216665824256
3551.609999895096,-6387,-1125,5319,3501.9266666968665
3551.614999771118,-6386,-1122,5318,3501.931666572889
3551.619999885559,-6387,-1114,5319,3501.9366666873298
3551.625,-6388,-1108,5320,3501.9416668017707
3551.6299998760223,-6389,-1106,5322,3501.946666677793
3551.6349999904637,-6388,-1110,5325,3501.9516667922344
3551.6399998664856,-6386,-1117,5328,3501.9566666682563
3551.6449999809265,-6384,-1123,5331,3501.961666782697
3551.649999856949,-6381,-1127,5335,3501.9666666587195
3551.6549999713898,-6378,-1127,5339,3501.9716667731605
3551.659999847412,-6376,-1124,5342,3501.976666649183
3551.664999961853,-6375,-1123,5345,3501.9816667636237
3551.669999837876,-6376,-1120,5349,3501.9866666396465
3551.6749999523163,-6377,-1116,5354,3501.991666754087
3551.6799998283386,-6376,-1115,5360,3501.9966666301093
3551.6849999427795,-6375,-1115,5366,3502.00166674455
3551.689999818802,-6375,-1113,5370,3502.0066666205726
3551.694999933243,-6375,-1115,5375,3502.0116667350135
3551.699999809265,-6375,-1119,5376,3502.016666611036
3551.704999923706,-6373,-1122,5378,3502.0216667254767
3551.7099997997284,-6370,-1124,5380,3502.026666601499
3551.7149999141693,-6368,-1118,5381,3502.03166671594
3551.719999790192,-6365,-1110,5382,3502.036666591963
3551.724999904633,-6363,-1103,5384,3502.0416667064037
3551.729999780655,-6363,-1099,5386,3502.0466665824256
3551.734999895096,-6360,-1098,5387,3502.0516666968665
3551.739999771118,-6358,-1101,5390,3502.056666572889
3551.744999885559,-6357,-1101,5393,3502.0616666873298
3551.75,-6354,-1099,5396,3502.0666668017707
3551.7549998760223,-6353,-1096,5399,3502.071666677793
3551.7599999904637,-6351,-1091,5402,3502.0766667922344
3551.7649998664856,-6349,-1089,5404,3502.0816666682563
3551.7699999809265,-6347,-1090,5406,3502.086666782697
3551.774999856949,-6346,-1095,5408,3502.0916666587195
3551.7799999713898,-6345,-1097,5410,3502.0966667731605
3551.784999847412,-6345,-1095,5413,3502.101666649183
3551.789999961853,-6345,-1092,5417,3502.1066667636237
3551.794999837876,-6343,-1089,5421,3502.1116666396465
3551.7999999523163,-6341,-1084,5424,3502.116666754087
3551.8049998283386,-6339,-1084,5425,3502.1216666301093
3551.8099999427795,-6336,-1083,5427,3502.12666674455
3551.814999818802,-6335,-1083,5428,3502.1316666205726
3551.819999933243,-6333,-1082,5428,3502.1366667350135
3551.824999809265,-6335,-1082,5430,3502.141666611036
3551.829999923706,-6336,-1079,5432,3502.1466667254767
3551.8349997997284,-6337,-1075,5434,3502.151666601499
3551.8399999141693,-6338,-1075,5437,3502.15666671594
3551.844999790192,-6338,-1073,5440,3502.161666591963
3551.849999904633,-6338,-1076,5444,3502.1666667064037
3551.854999780655,-6336,-1076,5447,3502.1716665824256
3551.859999895096,-6335,-1078,5450,3502.1766666968665
3551.864999771118,-6333,-1078,5453,3502.181666572889
3551.869999885559,-6331,-1082,5455,3502.1866666873298
3551.875,-6331,-1084,5456,3502.1916668017707
3551.8799998760223,-6330,-1086,5458,3502.196666677793
3551.8849999904637,-6328,-1088,5458,3502.2016667922344
3551.8899998664856,-6328,-1091,5458,3502.2066666682563
3551.8949999809265,-6328,-1095,5457,3502.211666782697
3551.899999856949,-6328,-1096,5457,3502.2166666587195
3551.9049999713898,-6330,-1096,5459,3502.2216667731605
3551.909999847412,-6331,-1095,5462,3502.226666649183
3551.914999961853,-6332,-1093,5464,3502.2316667636237
3551.919999837876,-6331,-1093,5466,3502.2366666396465
3551.9249999523163,-6328,-1094,5467,3502.241666754087
3551.9299998283386,-6325,-1094,5467,3502.2466666301093
3551.9349999427795,-6321,-1098,5466,3502.25166674455
3551.939999818802,-6316,-1101,5464,3502.2566666205726
3551.944999933243,-6314,-1105,5460,3502.2616667350135
3551.949999809265,-6312,-1110,5458,3502.266666611036
3551.954999923706,-6311,-1113,5456,3502.2716667254767
3551.9599997997284,-6312,-1115,5454,3502.276666601499
3551.9649999141693,-6310,-1114,5453,3502.28166671594
3551.969999790192,-6311,-1113,5451,3502.286666591963
3551.974999904633,-6311,-1110,5450,3502.2916667064037
3551.979999780655,-6311,-1110,5450,3502.2966665824256
3551.984999895096,-6311,-1111,5449,3502.3016666968665
3551.989999771118,-6311,-1112,5448,3502.306666572889
3551.994999885559,-6310,-1114,5446,3502.3116666873298
3552.0,-6311,-1117,5446,3502.3166668017707
3552.0049998760223,-6311,-1117,5446,3502.321666677793
3552.0099999904637,-6309,-1120,5447,3502.3266667922344
3552.0149998664856,-6309,-1118,5449,3502.3316666682563
3552.0199999809265,-6307,-1114,5450,3502.336666782697
3552.024999856949,-6308,-1107,5452,3502.3416666587195
3552.0299999713898,-6311,-1100,5454,3502.3466667731605
3552.034999847412,-6313,-1093,5454,3502.351666649183
3552.039999961853,-6315,-1091,5456,3502.3566667636237
3552.044999837876,-6316,-1092,5457,3502.3616666396465
3552.0499999523163,-6317,-1095,5459,3502.366666754087
3552.0549998283386,-6320,-1100,5461,3502.3716666301093
3552.0599999427795,-6321,-1100,5463,3502.37666674455
3552.064999818802,-6321,-1096,5464,3502.3816666205726
3552.069999933243,-6321,-1093,5464,3502.3866667350135
3552.074999809265,-6320,-1086,5464,3502.391666611036
3552.079999923706,-6318,-1079,5463,3502.3966667254767
3552.0849997997284,-6318,-1072,5463,3502.401666601499
