t,x,y,z,time_from_sync
3527.619999885559,-209,246,-397,3501.0008333126702
3527.6299998760223,-209,245,-397,3501.0108333031335
3527.6399998664856,-210,245,-398,3501.0208332935968
3527.6500000953674,-210,245,-398,3501.0308335224786
3527.6600000858307,-209,246,-395,3501.040833512942
3527.670000076294,-209,246,-394,3501.050833503405
3527.680000066757,-210,245,-395,3501.0608334938684
3527.6900000572205,-210,244,-395,3501.0708334843316
3527.700000047684,-210,244,-397,3501.0808334747953
3527.710000038147,-210,243,-397,3501.090833465258
3527.7200000286102,-211,243,-398,3501.1008334557214
3527.730000019073,-211,243,-399,3501.110833446184
3527.7400000095367,-211,244,-396,3501.120833436648
3527.75,-211,245,-395,3501.130833427111
3527.7599999904637,-211,244,-396,3501.140833417575
3527.7699999809265,-212,244,-397,3501.1508334080377
3527.7799999713898,-212,243,-398,3501.160833398501
3527.789999961853,-212,243,-399,3501.170833388964
3527.7999999523163,-212,243,-399,3501.1808333794274
3527.8099999427795,-213,244,-397,3501.1908333698907
3527.819999933243,-213,244,-394,3501.200833360354
3527.829999923706,-213,243,-395,3501.210833350817
3527.8399999141693,-213,242,-396,3501.2208333412805
3527.849999904633,-213,242,-396,3501.230833331744
3527.859999895096,-213,241,-397,3501.240833322207
3527.869999885559,-213,241,-398,3501.2508333126702
3527.8799998760223,-213,241,-398,3501.2608333031335
3527.8899998664856,-213,242,-395,3501.2708332935968
3527.9000000953674,-213,243,-394,3501.2808335224786
3527.9100000858307,-213,242,-395,3501.290833512942
3527.920000076294,-213,242,-396,3501.300833503405
3527.930000066757,-213,241,-397,3501.3108334938684
3527.9400000572205,-213,241,-398,3501.3208334843316
3527.950000047684,-213,240,-399,3501.3308334747953
3527.960000038147,-213,239,-400,3501.340833465258
3527.9700000286102,-213,241,-397,3501.3508334557214
3527.980000019073,-214,243,-395,3501.360833446184
3527.9900000095367,-214,242,-396,3501.370833436648
3528.0,-214,241,-396,3501.380833427111
3528.0099999904637,-214,240,-397,3501.390833417575
3528.0199999809265,-214,240,-398,3501.4008334080377
3528.0299999713898,-215,239,-399,3501.410833398501
3528.039999961853,-215,239,-399,3501.420833388964
3528.0499999523163,-215,241,-396,3501.4308333794274
3528.0599999427795,-214,242,-394,3501.4408333698907
3528.069999933243,-215,241,-395,3501.450833360354
3528.079999923706,-215,241,-397,3501.460833350817
3528.0899999141693,-215,240,-397,3501.4708333412805
3528.099999904633,-216,239,-398,3501.480833331744
3528.109999895096,-216,239,-398,3501.490833322207
3528.119999885559,-216,240,-395,3501.5008333126702
3528.1299998760223,-215,241,-393,3501.5108333031335
3528.1399998664856,-215,241,-394,3501.5208332935968
3528.1500000953674,-216,240,-395,3501.5308335224786
3528.1600000858307,-216,240,-397,3501.540833512942
3528.170000076294,-216,239,-398,3501.550833503405
3528.180000066757,-216,238,-399,3501.5608334938684
3528.1900000572205,-216,238,-399,3501.5708334843316
3528.200000047684,-216,239,-396,3501.5808334747953
3528.210000038147,-216,241,-394,3501.590833465258
3528.2200000286102,-216,240,-395,3501.6008334557214
3528.230000019073,-216,240,-396,3501.610833446184
3528.2400000095367,-216,239,-397,3501.620833436648
3528.25,-217,239,-399,3501.630833427111
3528.2599999904637,-217,239,-400,3501.640833417575
3528.2649998664856,-217,240,-397,3501.6458332935968
3528.2699999809265,-217,240,-396,3501.6508334080377
3528.289999961853,-216,239,-394,3501.670833388964
3528.2999999523163,-216,238,-396,3501.6808333794274
3528.3099999427795,-217,238,-397,3501.6908333698907
3528.319999933243,-217,238,-398,3501.700833360354
3528.329999923706,-217,238,-399,3501.710833350817
3528.3399999141693,-217,238,-399,3501.7208333412805
3528.349999904633,-218,238,-399,3501.730833331744
3528.359999895096,-218,240,-396,3501.740833322207
3528.369999885559,-217,241,-395,3501.7508333126702
3528.3799998760223,-217,240,-396,3501.7608333031335
3528.3899998664856,-218,240,-397,3501.7708332935968
3528.4000000953674,-218,240,-398,3501.7808335224786
3528.4100000858307,-218,239,-398,3501.790833512942
3528.420000076294,-218,239,-399,3501.800833503405
3528.430000066757,-218,240,-397,3501.8108334938684
3528.4400000572205,-218,241,-395,3501.8208334843316
3528.450000047684,-218,241,-397,3501.8308334747953
3528.460000038147,-218,240,-398,3501.840833465258
3528.4700000286102,-219,240,-399,3501.8508334557214
3528.480000019073,-219,240,-400,3501.860833446184
3528.4900000095367,-219,240,-400,3501.870833436648
3528.5,-219,240,-401,3501.880833427111
3528.5099999904637,-219,242,-398,3501.890833417575
3528.5199999809265,-219,243,-396,3501.9008334080377
3528.5299999713898,-219,242,-397,3501.910833398501
3528.539999961853,-219,242,-398,3501.920833388964
3528.5499999523163,-219,241,-400,3501.9308333794274
3528.5599999427795,-219,241,-400,3501.9408333698907
3528.569999933243,-219,241,-401,3501.950833360354
3528.579999923706,-219,241,-401,3501.960833350817
3528.5899999141693,-219,243,-398,3501.9708333412805
3528.599999904633,-219,244,-396,3501.980833331744
3528.609999895096,-219,243,-398,3501.990833322207
3528.619999885559,-219,242,-399,3502.0008333126702
3528.6299998760223,-219,242,-399,3502.0108333031335
3528.6399998664856,-219,241,-400,3502.0208332935968
3528.6500000953674,-219,241,-401,3502.0308335224786
3528.6600000858307,-219,241,-401,3502.040833512942
3528.670000076294,-220,243,-399,3502.050833503405
3528.680000066757,-220,244,-397,3502.0608334938684
3528.6900000572205,-219,243,-399,3502.0708334843316
3528.700000047684,-220,243,-400,3502.0808334747953
3528.710000038147,-220,243,-401,3502.090833465258
3528.7200000286102,-220,244,-401,3502.1008334557214
3528.730000019073,-220,243,-402,3502.110833446184
3528.7400000095367,-219,243,-403,3502.120833436648
3528.75,-219,245,-400,3502.130833427111
3528.7599999904637,-219,246,-397,3502.140833417575
3528.7699999809265,-219,246,-399,3502.1508334080377
3528.7799999713898,-219,246,-400,3502.160833398501
3528.789999961853,-219,245,-401,3502.170833388964
3528.7999999523163,-219,245,-401,3502.1808333794274
3528.8099999427795,-219,245,-401,3502.1908333698907
3528.819999933243,-220,247,-398,3502.200833360354
3528.829999923706,-219,247,-396,3502.210833350817
3528.8399999141693,-219,247,-398,3502.2208333412805
3528.849999904633,-219,246,-399,3502.230833331744
3528.859999895096,-219,246,-400,3502.240833322207
3528.869999885559,-219,246,-400,3502.2508333126702
3528.8799998760223,-219,246,-401,3502.2608333031335
3528.8899998664856,-219,246,-401,3502.2708332935968
