t,x,y,z,time_from_sync
2643.109999895096,-517,-1065,94,2604.0433332920074
2643.1900000572205,-517,-1066,93,2604.123333454132
2643.2649998664856,-517,-1066,94,2604.198333263397
2643.3450000286102,-516,-1066,94,2604.278333425522
2643.420000076294,-516,-1066,94,2604.3533334732056
2643.5,-516,-1066,94,2604.4333333969116
2643.575000047684,-516,-1067,93,2604.508333444596
2643.6549999713898,-516,-1066,94,2604.5883333683014
2643.730000019073,-516,-1068,94,2604.6633334159847
2643.8099999427795,-516,-1066,94,2604.743333339691
2643.8849999904637,-516,-1066,94,2604.8183333873753
2643.9649999141693,-516,-1066,94,2604.898333311081
2644.039999961853,-516,-1067,94,2604.9733333587646
2644.119999885559,-516,-1066,94,2605.0533332824707
2644.194999933243,-517,-1067,94,2605.1283333301544
2644.274999856949,-517,-1067,94,2605.2083332538605
2644.349999904633,-517,-1067,93,2605.2833333015446
2644.430000066757,-516,-1066,92,2605.363333463669
2644.5049998760223,-517,-1066,93,2605.438333272934
2644.585000038147,-517,-1067,93,2605.5183334350586
2644.6600000858307,-516,-1068,92,2605.5933334827423
2644.7400000095367,-516,-1067,93,2605.6733334064484
2644.8150000572205,-516,-1067,94,2605.748333454132
2644.8949999809265,-516,-1066,93,2605.828333377838
2644.9700000286102,-517,-1066,93,2605.903333425522
2645.0499999523163,-516,-1067,93,2605.983333349228
2645.125,-517,-1066,93,2606.0583333969116
2645.204999923706,-516,-1065,92,2606.1383333206177
2645.2799999713898,-516,-1065,92,2606.2133333683014
2645.359999895096,-516,-1066,92,2606.2933332920074
2645.4349999427795,-516,-1066,93,2606.368333339691
2645.5149998664856,-516,-1067,92,2606.448333263397
2645.5899999141693,-516,-1066,92,2606.523333311081
2645.670000076294,-517,-1066,92,2606.6033334732056
2645.744999885559,-515,-1067,94,2606.6783332824707
2645.825000047684,-516,-1065,92,2606.758333444596
2645.899999856949,-516,-1065,93,2606.8333332538605
2645.980000019073,-516,-1066,92,2606.9133334159847
2646.055000066757,-516,-1067,92,2606.988333463669
2646.1349999904637,-516,-1067,91,2607.0683333873753
2646.210000038147,-517,-1066,92,2607.1433334350586
2646.289999961853,-516,-1067,92,2607.2233333587646
2646.3650000095367,-517,-1067,93,2607.2983334064484
2646.444999933243,-517,-1066,92,2607.3783333301544
2646.5199999809265,-516,-1066,92,2607.453333377838
2646.599999904633,-516,-1066,93,2607.5333333015446
2646.6749999523163,-516,-1067,93,2607.608333349228
2646.7549998760223,-516,-1066,93,2607.688333272934
2646.829999923706,-516,-1066,93,2607.7633333206177
2646.9100000858307,-517,-1066,93,2607.8433334827423
2646.984999895096,-517,-1065,93,2607.9183332920074
2647.0650000572205,-517,-1066,93,2607.998333454132
2647.1399998664856,-517,-1066,93,2608.073333263397
2647.2200000286102,-517,-1068,94,2608.153333425522
2647.295000076294,-517,-1066,94,2608.2283334732056
2647.375,-517,-1067,93,2608.3083333969116
2647.450000047684,-517,-1066,93,2608.383333444596
2647.5299999713898,-517,-1066,92,2608.4633333683014
2647.605000019073,-517,-1065,94,2608.5383334159847
2647.6849999427795,-517,-1067,94,2608.618333339691
2647.7599999904637,-516,-1068,95,2608.6933333873753
2647.8399999141693,-516,-1069,94,2608.773333311081
2647.914999961853,-516,-1067,93,2608.8483333587646
2647.994999885559,-517,-1066,93,2608.9283332824707
2648.069999933243,-517,-1066,94,2609.0033333301544
2648.149999856949,-516,-1066,94,2609.0833332538605
2648.224999904633,-517,-1066,93,2609.1583333015446
2648.305000066757,-517,-1066,94,2609.238333463669
2648.3799998760223,-517,-1067,94,2609.313333272934
2648.460000038147,-517,-1068,94,2609.3933334350586
2648.5350000858307,-516,-1065,94,2609.4683334827423
2648.6150000095367,-516,-1067,94,2609.5483334064484
2648.6900000572205,-516,-1067,94,2609.623333454132
2648.7699999809265,-516,-1067,93,2609.703333377838
2648.8450000286102,-516,-1066,94,2609.778333425522
2648.9249999523163,-516,-1066,94,2609.858333349228
2649.0,-517,-1067,95,2609.9333333969116
2649.079999923706,-517,-1066,94,2610.0133333206177
2649.1549999713898,-517,-1066,94,2610.0883333683014
2649.234999895096,-517,-1066,94,2610.1683332920074
2649.3099999427795,-517,-1067,93,2610.243333339691
2649.3899998664856,-516,-1066,94,2610.323333263397
2649.4649999141693,-516,-1067,94,2610.398333311081
2649.545000076294,-516,-1067,94,2610.4783334732056
2649.619999885559,-516,-1068,95,2610.5533332824707
2649.700000047684,-516,-1068,94,2610.633333444596
2649.774999856949,-516,-1068,94,2610.7083332538605
2649.855000019073,-516,-1066,94,2610.7883334159847
2649.930000066757,-517,-1066,94,2610.863333463669
2650.0099999904637,-516,-1068,94,2610.9433333873753
2650.085000038147,-517,-1067,94,2611.0183334350586
2650.164999961853,-517,-1067,94,2611.0983333587646
2650.2400000095367,-516,-1068,94,2611.1733334064484
2650.319999933243,-517,-1067,94,2611.2533333301544
2650.3949999809265,-517,-1066,94,2611.328333377838
2650.474999904633,-517,-1066,94,2611.4083333015446
2650.5499999523163,-516,-1066,94,2611.483333349228
2650.6299998760223,-516,-1066,95,2611.563333272934
2650.704999923706,-516,-1068,94,2611.6383333206177
2650.7850000858307,-516,-1067,94,2611.7183334827423
2650.859999895096,-516,-1068,94,2611.7933332920074
2650.9400000572205,-516,-1067,94,2611.873333454132
2651.0149998664856,-516,-1066,94,2611.948333263397
