t,x,y,z,time_from_sync
4057.494999885559,-6103,-3338,-1400,4007.0
4057.5,-6104,-3342,-1400,4007.005000114441
4057.5049998760223,-6104,-3348,-1400,4007.0099999904633
4057.5099999904633,-6108,-3353,-1399,4007.015000104904
4057.5149998664856,-6112,-3357,-1398,4007.0199999809265
4057.5199999809274,-6114,-3358,-1397,4007.0250000953683
4057.524999856949,-6108,-3354,-1398,4007.0299999713898
4057.5299999713898,-6101,-3353,-1401,4007.0350000858307
4057.534999847412,-6095,-3350,-1403,4007.039999961853
4057.539999961853,-6089,-3348,-1405,4007.045000076294
4057.5449998378754,-6088,-3347,-1409,4007.0499999523163
4057.549999952316,-6088,-3348,-1411,4007.0550000667567
4057.5549998283386,-6090,-3350,-1411,4007.0599999427795
4057.55999994278,-6091,-3350,-1412,4007.065000057221
4057.564999818802,-6089,-3348,-1412,4007.069999933243
4057.569999933243,-6087,-3345,-1413,4007.0750000476837
4057.574999809265,-6085,-3342,-1414,4007.079999923706
4057.579999923706,-6083,-3338,-1414,4007.085000038147
4057.584999799728,-6084,-3338,-1414,4007.089999914169
4057.589999914169,-6084,-3338,-1415,4007.09500002861
4057.594999790192,-6084,-3341,-1415,4007.099999904633
4057.599999904633,-6082,-3342,-1417,4007.105000019074
4057.604999780655,-6082,-3345,-1419,4007.109999895096
4057.609999895096,-6079,-3348,-1422,4007.1150000095367
4057.614999771118,-6080,-3346,-1424,4007.119999885559
4057.619999885559,-6081,-3345,-1425,4007.125
4057.625,-6081,-3347,-1425,4007.130000114441
4057.6299998760223,-6080,-3346,-1425,4007.1349999904633
4057.6349999904633,-6080,-3347,-1425,4007.140000104904
4057.6399998664856,-6080,-3351,-1425,4007.1449999809265
4057.6449999809274,-6081,-3354,-1424,4007.1500000953683
4057.649999856949,-6085,-3356,-1425,4007.1549999713898
4057.6549999713898,-6086,-3357,-1425,4007.1600000858307
4057.659999847412,-6087,-3354,-1425,4007.164999961853
4057.664999961853,-6086,-3356,-1424,4007.170000076294
4057.6699998378754,-6086,-3357,-1422,4007.1749999523163
4057.674999952316,-6087,-3356,-1423,4007.1800000667567
4057.6799998283386,-6091,-3356,-1425,4007.1849999427795
4057.68499994278,-6093,-3353,-1428,4007.190000057221
4057.689999818802,-6093,-3352,-1432,4007.194999933243
4057.694999933243,-6094,-3350,-1435,4007.2000000476837
4057.699999809265,-6095,-3354,-1436,4007.204999923706
4057.704999923706,-6095,-3361,-1435,4007.210000038147
4057.709999799728,-6097,-3367,-1434,4007.214999914169
4057.714999914169,-6098,-3369,-1434,4007.22000002861
4057.719999790192,-6096,-3370,-1434,4007.224999904633
4057.724999904633,-6092,-3367,-1437,4007.230000019074
4057.729999780655,-6086,-3365,-1439,4007.234999895096
4057.734999895096,-6083,-3364,-1441,4007.2400000095367
4057.739999771118,-6079,-3363,-1443,4007.244999885559
4057.744999885559,-6076,-3364,-1445,4007.25
4057.75,-6077,-3367,-1447,4007.255000114441
4057.7549998760223,-6079,-3369,-1450,4007.2599999904633
4057.7599999904633,-6081,-3375,-1452,4007.265000104904
4057.7649998664856,-6084,-3380,-1453,4007.2699999809265
4057.7699999809274,-6082,-3383,-1453,4007.2750000953683
4057.774999856949,-6077,-3384,-1451,4007.2799999713898
4057.7799999713898,-6073,-3386,-1449,4007.2850000858307
4057.784999847412,-6068,-3387,-1448,4007.289999961853
4057.789999961853,-6065,-3390,-1447,4007.295000076294
4057.7949998378754,-6064,-3395,-1446,4007.2999999523163
4057.799999952316,-6065,-3398,-1445,4007.3050000667567
4057.8049998283386,-6065,-3398,-1446,4007.3099999427795
4057.80999994278,-6068,-3399,-1446,4007.315000057221
4057.814999818802,-6067,-3399,-1448,4007.319999933243
4057.819999933243,-6067,-3400,-1452,4007.3250000476837
4057.824999809265,-6065,-3402,-1454,4007.329999923706
4057.829999923706,-6060,-3403,-1456,4007.335000038147
4057.834999799728,-6055,-3403,-1457,4007.339999914169
4057.839999914169,-6052,-3402,-1458,4007.34500002861
4057.844999790192,-6047,-3401,-1459,4007.349999904633
4057.849999904633,-6048,-3401,-1460,4007.355000019074
4057.854999780655,-6050,-3403,-1463,4007.359999895096
4057.859999895096,-6056,-3404,-1463,4007.3650000095367
4057.864999771118,-6061,-3403,-1464,4007.369999885559
4057.869999885559,-6062,-3403,-1465,4007.375
4057.875,-6063,-3401,-1466,4007.380000114441
4057.8799998760223,-6061,-3400,-1467,4007.3849999904633
4057.8849999904633,-6060,-3402,-1468,4007.390000104904
4057.8899998664856,-6059,-3404,-1470,4007.3949999809265
4057.8949999809274,-6056,-3405,-1471,4007.4000000953683
4057.899999856949,-6055,-3407,-1472,4007.4049999713898
4057.9049999713898,-6053,-3407,-1473,4007.4100000858307
4057.909999847412,-6050,-3407,-1473,4007.414999961853
4057.914999961853,-6047,-3405,-1474,4007.420000076294
4057.9199998378754,-6045,-3408,-1476,4007.4249999523163
4057.924999952316,-6045,-3411,-1477,4007.4300000667567
4057.9299998283386,-6046,-3414,-1478,4007.4349999427795
4057.93499994278,-6050,-3418,-1477,4007.440000057221
4057.939999818802,-6054,-3420,-1476,4007.444999933243
4057.944999933243,-6058,-3416,-1475,4007.4500000476837
4057.949999809265,-6059,-3413,-1476,4007.454999923706
4057.954999923706,-6060,-3410,-1477,4007.460000038147
4057.959999799728,-6058,-3410,-1478,4007.464999914169
4057.964999914169,-6061,-3412,-1476,4007.47000002861
4057.969999790192,-6061,-3413,-1475,4007.474999904633
4057.974999904633,-6060,-3416,-1475,4007.480000019074
4057.979999780655,-6063,-3419,-1475,4007.484999895096
4057.984999895096,-6064,-3422,-1478,4007.4900000095367
4057.989999771118,-6067,-3428,-1479,4007.494999885559
4057.994999885559,-6070,-3431,-1481,4007.5
4058.0,-6062,-3435,-1485,4007.505000114441
4058.0049998760223,-6055,-3436,-1488,4007.5099999904633
4058.0099999904633,-6047,-3436,-1491,4007.515000104904
4058.0149998664856,-6039,-3434,-1495,4007.5199999809265
4058.0199999809274,-6034,-3434,-1497,4007.5250000953683
4058.024999856949,-6027,-3436,-1498,4007.5299999713898
4058.0299999713898,-6021,-3439,-1500,4007.5350000858307
4058.034999847412,-6019,-3445,-1499,4007.539999961853
4058.039999961853,-6017,-3450,-1497,4007.545000076294
4058.0449998378754,-6017,-3454,-1494,4007.5499999523163
4058.049999952316,-6021,-3457,-1492,4007.5550000667567
4058.0549998283386,-6024,-3460,-1490,4007.5599999427795
4058.05999994278,-6026,-3460,-1491,4007.565000057221
4058.064999818802,-6026,-3456,-1492,4007.569999933243
4058.069999933243,-6025,-3453,-1495,4007.5750000476837
4058.074999809265,-6025,-3451,-1496,4007.579999923706
4058.079999923706,-6024,-3451,-1498,4007.585000038147
4058.084999799728,-6023,-3451,-1499,4007.589999914169
4058.089999914169,-6023,-3452,-1499,4007.59500002861
4058.094999790192,-6022,-3451,-1499,4007.599999904633
4058.099999904633,-6022,-3450,-1499,4007.605000019074
4058.104999780655,-6022,-3446,-1499,4007.609999895096
4058.109999895096,-6022,-3443,-1500,4007.6150000095367
4058.114999771118,-6020,-3443,-1501,4007.619999885559
4058.119999885559,-6020,-3444,-1501,4007.625
4058.125,-6024,-3445,-1503,4007.630000114441
4058.1299998760223,-6028,-3444,-1504,4007.6349999904633
4058.1349999904633,-6029,-3445,-1506,4007.640000104904
4058.1399998664856,-6030,-3446,-1508,4007.6449999809265
4058.1449999809274,-6029,-3448,-1507,4007.6500000953683
4058.149999856949,-6031,-3453,-1507,4007.6549999713898
4058.1549999713898,-6032,-3456,-1506,4007.6600000858307
4058.159999847412,-6034,-3457,-1507,4007.664999961853
4058.164999961853,-6032,-3459,-1508,4007.670000076294
4058.1699998378754,-6028,-3461,-1508,4007.6749999523163
4058.174999952316,-6024,-3463,-1509,4007.6800000667567
4058.1799998283386,-6022,-3463,-1510,4007.6849999427795
4058.18499994278,-6022,-3464,-1511,4007.690000057221
4058.189999818802,-6019,-3466,-1512,4007.694999933243
4058.194999933243,-6019,-3468,-1512,4007.7000000476837
4058.199999809265,-6020,-3469,-1512,4007.704999923706
4058.204999923706,-6018,-3467,-1513,4007.710000038147
4058.209999799728,-6017,-3464,-1513,4007.714999914169
4058.214999914169,-6013,-3462,-1515,4007.72000002861
4058.219999790192,-6008,-3463,-1515,4007.724999904633
4058.224999904633,-6004,-3469,-1514,4007.730000019074
4058.229999780655,-6005,-3475,-1513,4007.734999895096
4058.234999895096,-6007,-3480,-1510,4007.7400000095367
4058.239999771118,-6011,-3483,-1508,4007.744999885559
4058.244999885559,-6014,-3482,-1506,4007.75
4058.25,-6018,-3480,-1504,4007.755000114441
4058.2549998760223,-6021,-3477,-1502,4007.7599999904633
4058.2599999904633,-6020,-3474,-1498,4007.765000104904
4058.2649998664856,-6019,-3472,-1495,4007.7699999809265
4058.2699999809274,-6018,-3468,-1491,4007.7750000953683
4058.274999856949,-6015,-3469,-1490,4007.7799999713898
4058.2799999713898,-6015,-3469,-1491,4007.7850000858307
4058.284999847412,-6016,-3469,-1492,4007.789999961853
4058.289999961853,-6016,-3470,-1495,4007.795000076294
4058.2949998378754,-6014,-3470,-1497,4007.7999999523163
4058.299999952316,-6010,-3469,-1499,4007.8050000667567
4058.3049998283386,-6009,-3470,-1499,4007.8099999427795
4058.30999994278,-6006,-3471,-1500,4007.815000057221
4058.314999818802,-6004,-3470,-1501,4007.819999933243
4058.319999933243,-6004,-3466,-1501,4007.8250000476837
4058.324999809265,-6002,-3464,-1499,4007.829999923706
4058.329999923706,-6001,-3459,-1498,4007.835000038147
4058.334999799728,-6005,-3457,-1496,4007.839999914169
4058.339999914169,-6012,-3455,-1496,4007.84500002861
4058.344999790192,-6015,-3456,-1496,4007.849999904633
4058.349999904633,-6014,-3461,-1498,4007.855000019074
4058.354999780655,-6012,-3465,-1498,4007.859999895096
4058.359999895096,-6009,-3468,-1498,4007.8650000095367
4058.364999771118,-6007,-3468,-1499,4007.869999885559
4058.369999885559,-6008,-3466,-1500,4007.875
4058.375,-6011,-3465,-1502,4007.880000114441
4058.3799998760223,-6011,-3466,-1504,4007.8849999904633
4058.3849999904633,-6010,-3468,-1506,4007.890000104904
4058.3899998664856,-6007,-3471,-1507,4007.8949999809265
