t,x,y,z,time_from_sync
2711.119999885559,1951,-8352,-3676,2604.0037500858307
2711.125,1949,-8351,-3676,2604.0087502002716
2711.1299998760223,1950,-8349,-3680,2604.013750076294
2711.1349999904637,1947,-8350,-3683,2604.0187501907353
2711.1399998664856,1948,-8352,-3684,2604.023750066757
2711.1449999809265,1947,-8354,-3685,2604.028750181198
2711.149999856949,1944,-8357,-3688,2604.0337500572205
2711.1549999713898,1946,-8358,-3691,2604.0387501716614
2711.159999847412,1945,-8358,-3690,2604.0437500476837
2711.164999961853,1946,-8355,-3694,2604.0487501621246
2711.169999837876,1946,-8352,-3694,2604.0537500381474
2711.1749999523163,1941,-8350,-3695,2604.058750152588
2711.1799998283386,1939,-8349,-3696,2604.0637500286102
2711.1849999427795,1937,-8349,-3691,2604.068750143051
2711.189999818802,1932,-8348,-3689,2604.0737500190735
2711.194999933243,1930,-8350,-3685,2604.0787501335144
2711.199999809265,1926,-8350,-3684,2604.0837500095367
2711.204999923706,1924,-8351,-3686,2604.0887501239777
2711.2099997997284,1922,-8352,-3686,2604.09375
2711.2149999141693,1919,-8351,-3684,2604.098750114441
2711.219999790192,1919,-8350,-3685,2604.1037499904637
2711.224999904633,1919,-8349,-3687,2604.1087501049046
2711.229999780655,1922,-8349,-3690,2604.1137499809265
2711.234999895096,1926,-8349,-3694,2604.1187500953674
2711.239999771118,1928,-8350,-3696,2604.1237499713898
2711.244999885559,1929,-8350,-3694,2604.1287500858307
2711.25,1927,-8349,-3694,2604.1337502002716
2711.2549998760223,1928,-8347,-3695,2604.138750076294
2711.2599999904637,1927,-8345,-3695,2604.1437501907353
2711.2649998664856,1925,-8346,-3696,2604.148750066757
2711.2699999809265,1924,-8347,-3696,2604.153750181198
2711.274999856949,1924,-8348,-3694,2604.1587500572205
2711.2799999713898,1924,-8350,-3696,2604.1637501716614
2711.284999847412,1926,-8352,-3699,2604.1687500476837
2711.289999961853,1929,-8353,-3701,2604.1737501621246
2711.294999837876,1931,-8357,-3702,2604.1787500381474
2711.2999999523163,1937,-8359,-3701,2604.183750152588
2711.3049998283386,1944,-8361,-3702,2604.1887500286102
2711.3099999427795,1951,-8362,-3702,2604.193750143051
2711.314999818802,1958,-8361,-3705,2604.1987500190735
2711.319999933243,1963,-8361,-3704,2604.2037501335144
2711.324999809265,1969,-8359,-3706,2604.2087500095367
2711.329999923706,1973,-8357,-3705,2604.2137501239777
2711.3349997997284,1979,-8355,-3705,2604.21875
2711.3399999141693,1986,-8355,-3706,2604.223750114441
2711.344999790192,1991,-8356,-3703,2604.2287499904637
2711.349999904633,1997,-8357,-3704,2604.2337501049046
2711.354999780655,1999,-8358,-3705,2604.2387499809265
2711.359999895096,2005,-8358,-3710,2604.2437500953674
2711.364999771118,2015,-8355,-3717,2604.2487499713898
2711.369999885559,2024,-8353,-3725,2604.2537500858307
2711.375,2031,-8349,-3726,2604.2587502002716
2711.3799998760223,2036,-8345,-3727,2604.263750076294
2711.3849999904637,2041,-8344,-3725,2604.2687501907353
2711.3899998664856,2053,-8344,-3728,2604.273750066757
2711.3949999809265,2067,-8342,-3730,2604.278750181198
2711.399999856949,2087,-8343,-3735,2604.2837500572205
2711.4049999713898,2106,-8342,-3740,2604.2887501716614
2711.409999847412,2122,-8342,-3740,2604.2937500476837
2711.414999961853,2140,-8341,-3742,2604.2987501621246
2711.419999837876,2155,-8340,-3741,2604.3037500381474
2711.4249999523163,2173,-8340,-3741,2604.308750152588
2711.4299998283386,2191,-8339,-3739,2604.3137500286102
2711.4349999427795,2206,-8339,-3737,2604.318750143051
2711.439999818802,2221,-8338,-3738,2604.3237500190735
2711.444999933243,2235,-8336,-3739,2604.3287501335144
2711.449999809265,2248,-8334,-3745,2604.3337500095367
2711.454999923706,2259,-8333,-3748,2604.3387501239777
2711.4599997997284,2269,-8333,-3746,2604.34375
2711.4649999141693,2280,-8334,-3746,2604.348750114441
2711.469999790192,2291,-8335,-3747,2604.3537499904637
2711.474999904633,2304,-8336,-3746,2604.3587501049046
2711.479999780655,2318,-8337,-3749,2604.3637499809265
2711.484999895096,2330,-8335,-3747,2604.3687500953674
2711.489999771118,2342,-8334,-3744,2604.3737499713898
2711.494999885559,2351,-8333,-3743,2604.3787500858307
2711.5,2360,-8332,-3742,2604.3837502002716
2711.5049998760223,2367,-8330,-3742,2604.388750076294
2711.5099999904637,2373,-8329,-3744,2604.3937501907353
2711.5149998664856,2375,-8328,-3747,2604.398750066757
2711.5199999809265,2377,-8326,-3748,2604.403750181198
2711.524999856949,2380,-8327,-3749,2604.4087500572205
2711.5299999713898,2384,-8327,-3747,2604.4137501716614
2711.534999847412,2389,-8328,-3746,2604.4187500476837
2711.539999961853,2392,-8330,-3747,2604.4237501621246
2711.544999837876,2394,-8331,-3751,2604.4287500381474
2711.5499999523163,2396,-8332,-3754,2604.433750152588
2711.5549998283386,2402,-8333,-3759,2604.4387500286102
2711.5599999427795,2409,-8332,-3762,2604.443750143051
2711.564999818802,2416,-8332,-3764,2604.4487500190735
2711.569999933243,2420,-8329,-3765,2604.4537501335144
2711.574999809265,2421,-8326,-3768,2604.4587500095367
2711.579999923706,2422,-8324,-3769,2604.4637501239777
2711.5849997997284,2422,-8321,-3765,2604.46875
2711.5899999141693,2425,-8319,-3761,2604.473750114441
2711.594999790192,2427,-8320,-3754,2604.4787499904637
2711.599999904633,2430,-8320,-3749,2604.4837501049046
2711.604999780655,2432,-8320,-3748,2604.4887499809265
2711.609999895096,2434,-8320,-3749,2604.4937500953674
2711.614999771118,2435,-8320,-3753,2604.4987499713898
2711.619999885559,2435,-8321,-3754,2604.5037500858307
2711.625,2436,-8324,-3753,2604.5087502002716
2711.6299998760223,2435,-8326,-3750,2604.513750076294
2711.6349999904637,2436,-8328,-3742,2604.5187501907353
2711.6399998664856,2441,-8328,-3736,2604.523750066757
2711.6449999809265,2444,-8328,-3730,2604.528750181198
2711.649999856949,2448,-8327,-3725,2604.5337500572205
2711.6549999713898,2449,-8325,-3721,2604.5387501716614
2711.659999847412,2450,-8323,-3719,2604.5437500476837
2711.664999961853,2452,-8321,-3721,2604.5487501621246
2711.669999837876,2456,-8321,-3722,2604.5537500381474
2711.6749999523163,2462,-8319,-3728,2604.558750152588
2711.6799998283386,2467,-8318,-3732,2604.5637500286102
2711.6849999427795,2470,-8317,-3730,2604.568750143051
2711.689999818802,2470,-8316,-3731,2604.5737500190735
2711.694999933243,2470,-8317,-3731,2604.5787501335144
2711.699999809265,2470,-8316,-3732,2604.5837500095367
2711.704999923706,2467,-8316,-3735,2604.5887501239777
2711.7099997997284,2462,-8317,-3738,2604.59375
2711.7149999141693,2456,-8318,-3740,2604.598750114441
2711.719999790192,2448,-8322,-3741,2604.6037499904637
2711.724999904633,2441,-8325,-3741,2604.6087501049046
2711.729999780655,2436,-8331,-3739,2604.6137499809265
2711.734999895096,2428,-8336,-3736,2604.6187500953674
2711.739999771118,2419,-8342,-3731,2604.6237499713898
2711.744999885559,2409,-8346,-3730,2604.6287500858307
2711.75,2398,-8349,-3737,2604.6337502002716
2711.7549998760223,2386,-8352,-3744,2604.638750076294
2711.7599999904637,2373,-8354,-3753,2604.6437501907353
2711.7649998664856,2357,-8356,-3760,2604.648750066757
2711.7699999809265,2341,-8358,-3763,2604.653750181198
2711.774999856949,2322,-8359,-3760,2604.6587500572205
2711.7799999713898,2300,-8361,-3757,2604.6637501716614
2711.784999847412,2277,-8363,-3753,2604.6687500476837
2711.789999961853,2254,-8363,-3749,2604.6737501621246
2711.794999837876,2229,-8362,-3746,2604.6787500381474
2711.7999999523163,2205,-8358,-3743,2604.683750152588
2711.8049998283386,2178,-8355,-3742,2604.6887500286102
2711.8099999427795,2149,-8353,-3740,2604.693750143051
2711.814999818802,2116,-8353,-3739,2604.6987500190735
2711.819999933243,2087,-8354,-3737,2604.7037501335144
2711.824999809265,2057,-8354,-3736,2604.7087500095367
2711.829999923706,2029,-8356,-3734,2604.7137501239777
2711.8349997997284,2004,-8358,-3732,2604.71875
2711.8399999141693,1979,-8358,-3729,2604.723750114441
2711.844999790192,1954,-8360,-3725,2604.7287499904637
2711.849999904633,1934,-8358,-3727,2604.7337501049046
2711.854999780655,1913,-8356,-3729,2604.7387499809265
2711.859999895096,1893,-8354,-3734,2604.7437500953674
2711.864999771118,1869,-8353,-3737,2604.7487499713898
2711.869999885559,1845,-8353,-3739,2604.7537500858307
2711.875,1819,-8354,-3732,2604.7587502002716
2711.8799998760223,1790,-8352,-3723,2604.763750076294
2711.8849999904637,1762,-8349,-3715,2604.7687501907353
2711.8899998664856,1733,-8347,-3707,2604.773750066757
2711.8949999809265,1703,-8346,-3704,2604.778750181198
2711.899999856949,1666,-8345,-3705,2604.7837500572205
2711.9049999713898,1631,-8344,-3707,2604.7887501716614
2711.909999847412,1596,-8340,-3705,2604.7937500476837
2711.914999961853,1563,-8336,-3705,2604.7987501621246
2711.919999837876,1530,-8331,-3705,2604.8037500381474
2711.9249999523163,1495,-8327,-3705,2604.808750152588
2711.9299998283386,1456,-8322,-3703,2604.8137500286102
2711.9349999427795,1417,-8316,-3700,2604.818750143051
2711.939999818802,1378,-8311,-3695,2604.8237500190735
2711.944999933243,1338,-8305,-3690,2604.8287501335144
2711.949999809265,1297,-8299,-3689,2604.8337500095367
2711.954999923706,1253,-8291,-3686,2604.8387501239777
2711.9599997997284,1207,-8284,-3684,2604.84375
2711.9649999141693,1159,-8276,-3683,2604.848750114441
