t,x,y,z,time_from_sync
4163.125,-489,-906,44,4124.058333396912
4163.200000047684,-489,-905,43,4124.133333444595
4163.27999997139,-490,-905,41,4124.213333368301
4163.3550000190735,-490,-904,40,4124.288333415985
4163.43499994278,-491,-904,38,4124.368333339692
4163.509999990463,-491,-904,36,4124.443333387375
4163.589999914169,-492,-903,33,4124.523333311081
4163.664999961853,-492,-902,30,4124.598333358765
4163.744999885559,-493,-903,28,4124.678333282471
4163.819999933243,-495,-902,26,4124.753333330154
4163.899999856949,-494,-903,25,4124.8333332538605
4163.974999904633,-496,-904,24,4124.908333301544
4164.055000066757,-496,-903,23,4124.988333463669
4164.129999876022,-496,-903,23,4125.063333272934
4164.210000038147,-496,-905,23,4125.143333435059
4164.285000085831,-497,-905,23,4125.218333482742
4164.365000009537,-497,-905,24,4125.298333406448
4164.4400000572205,-497,-905,25,4125.373333454132
4164.519999980927,-496,-905,25,4125.453333377839
4164.59500002861,-496,-905,25,4125.528333425522
4164.674999952316,-496,-905,24,4125.608333349228
4164.75,-496,-904,24,4125.683333396912
4164.829999923706,-496,-903,23,4125.763333320618
4164.90499997139,-495,-903,22,4125.838333368301
4164.984999895096,-495,-903,21,4125.918333292007
4165.05999994278,-494,-903,20,4125.993333339692
4165.139999866486,-494,-899,18,4126.073333263397
4165.214999914169,-494,-898,17,4126.148333311081
4165.295000076294,-493,-898,16,4126.228333473206
4165.369999885559,-493,-896,16,4126.303333282471
4165.450000047684,-493,-895,17,4126.383333444595
4165.524999856949,-492,-894,17,4126.4583332538605
4165.6050000190735,-491,-892,18,4126.538333415985
4165.680000066757,-491,-891,18,4126.613333463669
4165.759999990463,-491,-890,19,4126.693333387375
4165.835000038147,-489,-890,20,4126.768333435059
4165.914999961853,-489,-890,21,4126.848333358765
4165.990000009537,-489,-889,21,4126.923333406448
4166.069999933243,-488,-888,22,4127.003333330154
4166.144999980927,-487,-887,21,4127.078333377839
4166.224999904633,-486,-886,20,4127.158333301544
4166.299999952316,-486,-885,21,4127.233333349228
4166.379999876022,-485,-883,19,4127.313333272934
4166.454999923706,-484,-881,19,4127.388333320618
4166.535000085831,-484,-880,19,4127.468333482742
4166.609999895096,-483,-878,16,4127.543333292007
4166.6900000572205,-483,-876,14,4127.623333454132
4166.764999866486,-482,-876,13,4127.698333263397
4166.84500002861,-483,-875,12,4127.778333425522
4166.920000076294,-482,-874,10,4127.853333473206
4167.0,-482,-874,8,4127.933333396912
4167.075000047684,-482,-876,8,4128.008333444595
4167.15499997139,-483,-874,6,4128.088333368301
4167.2300000190735,-484,-875,3,4128.163333415985
4167.30999994278,-484,-875,3,4128.243333339692
4167.384999990463,-485,-875,1,4128.318333387375
