name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Ryde, England, United Kingdom",2023-12-12T00:00:00,10.9,10.9,10.4,96.36,0.113,100,rain,0,0,21.2,14.7,182,1004.8,100,9.9,0,0,0,,"Rain, Overcast",rain,"03862099999,03872099999,03761099999,C1734,03866099999,03749099999"
"Ryde, England, United Kingdom",2023-12-12T01:00:00,11.1,11.1,10.5,96,0.24,100,rain,0,0,25.2,17.4,180,1003.7,100,8.9,0,0,0,,"Rain, Overcast",rain,"03862099999,03872099999,03761099999,C1734,03866099999,03749099999"
"Ryde, England, United Kingdom",2023-12-12T02:00:00,11.2,11.2,10.5,95.61,0.158,100,rain,0,0,23.6,15.3,191,1003,100,11.5,0,0,0,,"Rain, Overcast",rain,"03862099999,03872099999,03761099999,C1734,03866099999,03749099999"
"Ryde, England, United Kingdom",2023-12-12T03:00:00,11.1,11.1,10.5,96,0.4,100,rain,0,0,25.4,16.6,201,1002.3,100,7.2,0,0,0,,"Rain, Overcast",rain,"03862099999,03872099999,C1734,03866099999,03749099999"
"Ryde, England, United Kingdom",2023-12-12T04:00:00,11.1,11.1,10.4,95.64,0.646,100,rain,0,0,26.9,19.5,211,1001.3,100,16.6,0,0,0,,"Rain, Overcast",rain,"03862099999,03872099999,03761099999,C1734,03866099999,03749099999"
"Ryde, England, United Kingdom",2023-12-12T05:00:00,10.6,10.6,9.8,94.56,0,0,,0,0,14.8,9.7,208,1000.2,100,11.1,0,0,0,,Overcast,cloudy,"03862099999,03746099999,03761099999,C1734,03749099999"
"Ryde, England, United Kingdom",2023-12-12T06:00:00,11.3,11.3,10.5,94.44,0.403,100,rain,0,0,26.1,20.8,237,1000.5,99,14.5,0,0,0,,"Rain, Overcast",rain,"03862099999,03872099999,03761099999,C1734,03866099999,03749099999"
"Ryde, England, United Kingdom",2023-12-12T07:00:00,11.2,11.2,10.1,93.11,0,0,,0,0,28.4,22.1,237,1000.2,91.1,11.2,0,0,0,,Overcast,cloudy,"03862099999,03872099999,03761099999,C1734,03866099999,03749099999"
"Ryde, England, United Kingdom",2023-12-12T08:00:00,10.9,10.9,9.8,92.48,0,0,,0,0,26.4,20,236,999.8,61,11.6,7,0,0,,Partially cloudy,partly-cloudy-day,"03862099999,03872099999,03761099999,C1734,03866099999,03749099999"
"Ryde, England, United Kingdom",2023-12-12T09:00:00,11.1,11.1,9.8,91.63,1.809,100,rain,0,0,27,20.9,229,999.4,96.7,10.1,69,0.2,1,,"Rain, Overcast",rain,"03862099999,03872099999,03761099999,C1734,03866099999,03749099999"
