t,x,y,z,time_from_sync
3270.0899999141693,-494,-969,127,3231.023333311081
3270.170000076294,-494,-969,127,3231.1033334732056
3270.244999885559,-494,-967,128,3231.1783332824707
3270.325000047684,-494,-967,129,3231.258333444596
3270.399999856949,-493,-966,130,3231.3333332538605
3270.480000019073,-493,-966,130,3231.4133334159847
3270.555000066757,-493,-963,129,3231.488333463669
3270.6349999904637,-493,-962,129,3231.5683333873753
3270.710000038147,-493,-961,129,3231.6433334350586
3270.789999961853,-493,-960,128,3231.7233333587646
3270.8650000095367,-494,-958,127,3231.7983334064484
3270.944999933243,-494,-957,127,3231.8783333301544
3271.0199999809265,-495,-956,127,3231.953333377838
3271.099999904633,-495,-956,127,3232.0333333015446
3271.1749999523163,-496,-957,125,3232.108333349228
3271.2549998760223,-496,-957,125,3232.188333272934
3271.329999923706,-497,-958,124,3232.2633333206177
3271.4100000858307,-497,-958,123,3232.3433334827423
3271.484999895096,-498,-958,123,3232.4183332920074
3271.5650000572205,-498,-959,122,3232.498333454132
3271.6399998664856,-498,-961,122,3232.573333263397
3271.7200000286102,-498,-960,122,3232.653333425522
3271.795000076294,-499,-960,123,3232.7283334732056
3271.875,-498,-961,122,3232.8083333969116
3271.950000047684,-499,-960,121,3232.883333444596
3272.0299999713898,-498,-960,122,3232.9633333683014
3272.105000019073,-498,-959,122,3233.0383334159847
3272.1849999427795,-498,-958,123,3233.118333339691
3272.2599999904637,-498,-955,124,3233.1933333873753
3272.3399999141693,-497,-955,124,3233.273333311081
3272.414999961853,-496,-955,125,3233.3483333587646
3272.494999885559,-497,-952,125,3233.4283332824707
3272.569999933243,-496,-950,123,3233.5033333301544
3272.649999856949,-496,-948,126,3233.5833332538605
3272.724999904633,-495,-947,125,3233.6583333015446
3272.805000066757,-495,-947,125,3233.738333463669
3272.8799998760223,-496,-946,125,3233.813333272934
3272.960000038147,-496,-945,125,3233.8933334350586
3273.0350000858307,-496,-945,125,3233.9683334827423
3273.1150000095367,-496,-947,125,3234.0483334064484
3273.1900000572205,-496,-947,125,3234.123333454132
3273.2699999809265,-497,-947,125,3234.203333377838
3273.3450000286102,-497,-948,125,3234.278333425522
3273.4249999523163,-496,-948,124,3234.358333349228
3273.5,-497,-949,124,3234.4333333969116
3273.579999923706,-497,-949,125,3234.5133333206177
3273.6549999713898,-496,-950,125,3234.5883333683014
3273.734999895096,-496,-949,125,3234.6683332920074
3273.8099999427795,-496,-947,125,3234.743333339691
3273.8899998664856,-496,-946,124,3234.823333263397
3273.9649999141693,-496,-946,125,3234.898333311081
3274.045000076294,-495,-944,124,3234.9783334732056
3274.119999885559,-496,-943,126,3235.0533332824707
3274.200000047684,-495,-941,125,3235.133333444596
3274.274999856949,-495,-942,126,3235.2083332538605
3274.355000019073,-495,-940,125,3235.2883334159847
3274.430000066757,-495,-940,126,3235.363333463669
3274.5099999904637,-495,-937,125,3235.4433333873753
3274.585000038147,-496,-935,125,3235.5183334350586
3274.664999961853,-495,-934,126,3235.5983333587646
3274.7400000095367,-495,-934,125,3235.6733334064484
3274.819999933243,-494,-932,125,3235.7533333301544
3274.8949999809265,-495,-932,125,3235.828333377838
3274.974999904633,-495,-929,125,3235.9083333015446
3275.0499999523163,-495,-929,124,3235.983333349228
3275.1299998760223,-495,-928,124,3236.063333272934
3275.204999923706,-495,-928,124,3236.1383333206177
3275.2850000858307,-495,-928,123,3236.2183334827423
3275.359999895096,-497,-930,123,3236.2933332920074
3275.4400000572205,-496,-930,122,3236.373333454132
3275.5149998664856,-496,-930,121,3236.448333263397
3275.5950000286102,-497,-930,121,3236.528333425522
3275.670000076294,-498,-930,120,3236.6033334732056
3275.75,-497,-930,120,3236.6833333969116
3275.825000047684,-497,-930,119,3236.758333444596
3275.9049999713898,-499,-927,118,3236.8383333683014
3275.980000019073,-500,-926,118,3236.9133334159847
3276.0599999427795,-498,-924,117,3236.993333339691
3276.1349999904637,-498,-923,116,3237.0683333873753
3276.2149999141693,-498,-919,117,3237.148333311081
3276.289999961853,-498,-917,117,3237.2233333587646
3276.369999885559,-498,-917,116,3237.3033332824707
3276.444999933243,-497,-917,117,3237.3783333301544
3276.524999856949,-497,-914,117,3237.4583332538605
3276.599999904633,-496,-913,117,3237.5333333015446
3276.680000066757,-497,-914,117,3237.613333463669
3276.7549998760223,-497,-914,118,3237.688333272934
3276.835000038147,-497,-914,118,3237.7683334350586
3276.9100000858307,-497,-913,117,3237.8433334827423
3276.9900000095367,-497,-914,118,3237.9233334064484
3277.0650000572205,-497,-915,119,3237.998333454132
