t,x,y,z,time_from_sync
4114.119999885559,1595,-8712,-2922,4007.0037500858307
4114.125,1639,-8716,-2922,4007.0087502002716
4114.129999876022,1682,-8717,-2922,4007.013750076294
4114.134999990463,1726,-8715,-2920,4007.018750190735
4114.139999866486,1774,-8714,-2921,4007.023750066757
4114.144999980927,1821,-8712,-2925,4007.028750181199
4114.149999856949,1868,-8711,-2929,4007.0337500572205
4114.15499997139,1918,-8710,-2938,4007.0387501716614
4114.159999847412,1972,-8707,-2949,4007.0437500476837
4114.164999961853,2026,-8703,-2958,4007.0487501621246
4114.169999837875,2082,-8700,-2969,4007.053750038147
4114.174999952316,2142,-8696,-2973,4007.058750152588
4114.179999828339,2204,-8692,-2981,4007.0637500286102
4114.18499994278,2266,-8691,-2990,4007.068750143052
4114.189999818802,2329,-8688,-2994,4007.0737500190735
4114.194999933243,2391,-8685,-2998,4007.0787501335144
4114.199999809265,2458,-8680,-2996,4007.0837500095367
4114.204999923706,2525,-8674,-2993,4007.0887501239777
4114.209999799728,2592,-8667,-2991,4007.09375
4114.214999914169,2655,-8663,-2991,4007.098750114441
4114.219999790192,2719,-8658,-2996,4007.1037499904633
4114.224999904633,2781,-8649,-3001,4007.108750104904
4114.229999780655,2843,-8640,-3006,4007.1137499809265
4114.234999895096,2906,-8628,-3008,4007.1187500953674
4114.239999771118,2967,-8615,-3008,4007.1237499713898
4114.244999885559,3030,-8605,-3008,4007.1287500858307
4114.25,3094,-8592,-3006,4007.1337502002716
4114.254999876022,3160,-8582,-3005,4007.138750076294
4114.259999990463,3229,-8570,-3005,4007.143750190735
4114.264999866486,3299,-8557,-3009,4007.148750066757
4114.269999980927,3369,-8542,-3016,4007.153750181199
4114.274999856949,3445,-8524,-3026,4007.1587500572205
4114.27999997139,3521,-8503,-3036,4007.1637501716614
4114.284999847412,3595,-8484,-3045,4007.1687500476837
4114.289999961853,3670,-8463,-3052,4007.1737501621246
4114.294999837875,3746,-8441,-3059,4007.178750038147
4114.299999952316,3823,-8419,-3067,4007.183750152588
4114.304999828339,3900,-8397,-3075,4007.1887500286102
4114.30999994278,3977,-8373,-3080,4007.193750143052
4114.314999818802,4050,-8350,-3085,4007.1987500190735
4114.319999933243,4125,-8325,-3087,4007.2037501335144
4114.324999809265,4207,-8295,-3088,4007.2087500095367
4114.329999923706,4289,-8262,-3089,4007.2137501239777
4114.334999799728,4370,-8229,-3089,4007.21875
4114.339999914169,4451,-8194,-3089,4007.223750114441
4114.344999790192,4527,-8160,-3091,4007.2287499904633
4114.349999904633,4609,-8123,-3096,4007.233750104904
4114.354999780655,4692,-8084,-3103,4007.2387499809265
4114.359999895096,4775,-8044,-3107,4007.2437500953674
4114.364999771118,4857,-8003,-3116,4007.2487499713898
4114.369999885559,4934,-7963,-3123,4007.2537500858307
4114.375,5013,-7921,-3129,4007.2587502002716
4114.379999876022,5092,-7878,-3139,4007.263750076294
4114.384999990463,5171,-7834,-3148,4007.268750190735
4114.389999866486,5250,-7787,-3152,4007.273750066757
4114.394999980927,5327,-7740,-3157,4007.278750181199
4114.399999856949,5406,-7688,-3159,4007.2837500572205
4114.40499997139,5484,-7636,-3161,4007.2887501716614
4114.409999847412,5564,-7583,-3169,4007.2937500476837
4114.414999961853,5644,-7530,-3173,4007.2987501621246
4114.419999837875,5722,-7477,-3176,4007.303750038147
4114.424999952316,5798,-7423,-3180,4007.308750152588
4114.429999828339,5874,-7367,-3182,4007.3137500286102
4114.43499994278,5949,-7312,-3185,4007.318750143052
4114.439999818802,6022,-7255,-3189,4007.3237500190735
4114.444999933243,6095,-7197,-3190,4007.3287501335144
4114.449999809265,6164,-7140,-3189,4007.3337500095367
4114.454999923706,6230,-7086,-3189,4007.3387501239777
4114.459999799728,6294,-7031,-3186,4007.34375
4114.464999914169,6357,-6976,-3178,4007.348750114441
4114.469999790192,6419,-6922,-3177,4007.3537499904633
4114.474999904633,6479,-6865,-3176,4007.358750104904
4114.479999780655,6537,-6809,-3180,4007.3637499809265
4114.484999895096,6591,-6757,-3184,4007.3687500953674
4114.489999771118,6645,-6707,-3188,4007.3737499713898
4114.494999885559,6696,-6658,-3188,4007.3787500858307
4114.5,6744,-6612,-3189,4007.3837502002716
4114.504999876022,6790,-6566,-3189,4007.388750076294
4114.509999990463,6831,-6524,-3187,4007.393750190735
4114.514999866486,6869,-6483,-3185,4007.398750066757
4114.519999980927,6903,-6444,-3183,4007.403750181199
4114.524999856949,6936,-6407,-3183,4007.4087500572205
4114.52999997139,6967,-6371,-3183,4007.4137501716614
4114.534999847412,6998,-6338,-3182,4007.4187500476837
4114.539999961853,7028,-6307,-3183,4007.4237501621246
4114.544999837875,7056,-6277,-3183,4007.428750038147
4114.549999952316,7082,-6249,-3180,4007.433750152588
4114.554999828339,7105,-6223,-3177,4007.4387500286102
4114.55999994278,7126,-6198,-3175,4007.443750143052
4114.564999818802,7142,-6176,-3172,4007.4487500190735
4114.569999933243,7157,-6157,-3170,4007.4537501335144
4114.574999809265,7171,-6140,-3165,4007.4587500095367
4114.579999923706,7182,-6125,-3163,4007.4637501239777
4114.584999799728,7192,-6113,-3164,4007.46875
4114.589999914169,7201,-6102,-3163,4007.473750114441
4114.594999790192,7210,-6092,-3162,4007.4787499904633
4114.599999904633,7218,-6084,-3163,4007.483750104904
4114.604999780655,7225,-6078,-3163,4007.4887499809265
4114.609999895096,7230,-6073,-3161,4007.4937500953674
4114.614999771118,7234,-6070,-3161,4007.4987499713898
4114.619999885559,7238,-6067,-3159,4007.5037500858307
4114.625,7243,-6063,-3154,4007.5087502002716
4114.629999876022,7249,-6060,-3153,4007.513750076294
4114.634999990463,7254,-6056,-3151,4007.518750190735
4114.639999866486,7258,-6055,-3148,4007.523750066757
4114.644999980927,7261,-6054,-3150,4007.528750181199
4114.649999856949,7263,-6056,-3152,4007.5337500572205
4114.65499997139,7264,-6056,-3154,4007.5387501716614
4114.659999847412,7266,-6055,-3157,4007.5437500476837
4114.664999961853,7267,-6052,-3157,4007.5487501621246
4114.669999837875,7268,-6049,-3157,4007.553750038147
4114.674999952316,7270,-6049,-3159,4007.558750152588
4114.679999828339,7271,-6052,-3162,4007.5637500286102
4114.68499994278,7273,-6054,-3167,4007.568750143052
4114.689999818802,7274,-6057,-3172,4007.5737500190735
4114.694999933243,7275,-6057,-3175,4007.5787501335144
4114.699999809265,7277,-6052,-3183,4007.5837500095367
4114.704999923706,7276,-6047,-3185,4007.5887501239777
4114.709999799728,7278,-6045,-3186,4007.59375
4114.714999914169,7280,-6042,-3182,4007.598750114441
4114.719999790192,7282,-6040,-3178,4007.6037499904633
4114.724999904633,7286,-6037,-3172,4007.608750104904
4114.729999780655,7291,-6031,-3172,4007.6137499809265
4114.734999895096,7296,-6023,-3174,4007.6187500953674
4114.739999771118,7302,-6014,-3175,4007.6237499713898
4114.744999885559,7307,-6004,-3177,4007.6287500858307
4114.75,7313,-5991,-3179,4007.6337502002716
4114.754999876022,7318,-5978,-3177,4007.638750076294
4114.759999990463,7325,-5962,-3175,4007.643750190735
4114.764999866486,7335,-5945,-3172,4007.648750066757
4114.769999980927,7348,-5926,-3169,4007.653750181199
4114.774999856949,7364,-5906,-3163,4007.6587500572205
4114.77999997139,7379,-5882,-3159,4007.6637501716614
4114.784999847412,7393,-5859,-3156,4007.6687500476837
4114.789999961853,7408,-5832,-3153,4007.6737501621246
4114.794999837875,7424,-5802,-3153,4007.678750038147
4114.799999952316,7442,-5769,-3155,4007.683750152588
4114.804999828339,7463,-5735,-3157,4007.6887500286102
4114.80999994278,7484,-5698,-3159,4007.693750143052
4114.814999818802,7508,-5660,-3165,4007.6987500190735
4114.819999933243,7531,-5619,-3167,4007.7037501335144
4114.824999809265,7556,-5575,-3164,4007.7087500095367
4114.829999923706,7579,-5529,-3161,4007.7137501239777
4114.834999799728,7600,-5485,-3155,4007.71875
4114.839999914169,7622,-5441,-3151,4007.723750114441
4114.844999790192,7645,-5395,-3148,4007.7287499904633
4114.849999904633,7670,-5347,-3147,4007.733750104904
4114.854999780655,7697,-5299,-3146,4007.7387499809265
4114.859999895096,7724,-5248,-3146,4007.7437500953674
4114.864999771118,7750,-5196,-3151,4007.7487499713898
4114.869999885559,7774,-5141,-3152,4007.7537500858307
4114.875,7797,-5080,-3150,4007.7587502002716
4114.879999876022,7820,-5019,-3147,4007.763750076294
4114.884999990463,7842,-4960,-3143,4007.768750190735
4114.889999866486,7863,-4904,-3139,4007.773750066757
4114.894999980927,7887,-4850,-3134,4007.778750181199
4114.899999856949,7911,-4795,-3134,4007.7837500572205
4114.90499997139,7935,-4741,-3136,4007.7887501716614
4114.909999847412,7956,-4685,-3138,4007.7937500476837
4114.914999961853,7976,-4629,-3141,4007.7987501621246
4114.919999837875,7995,-4573,-3141,4007.803750038147
4114.924999952316,8013,-4518,-3139,4007.808750152588
4114.929999828339,8030,-4463,-3137,4007.8137500286102
4114.93499994278,8048,-4407,-3138,4007.818750143052
4114.939999818802,8066,-4351,-3142,4007.8237500190735
4114.944999933243,8084,-4297,-3149,4007.8287501335144
4114.949999809265,8102,-4242,-3159,4007.8337500095367
4114.954999923706,8118,-4188,-3164,4007.8387501239777
4114.959999799728,8132,-4135,-3165,4007.84375
4114.964999914169,8146,-4084,-3162,4007.848750114441
4114.969999790192,8160,-4036,-3157,4007.8537499904633
4114.974999904633,8175,-3988,-3157,4007.858750104904
4114.979999780655,8188,-3940,-3158,4007.8637499809265
4114.984999895096,8201,-3894,-3155,4007.8687500953674
4114.989999771118,8210,-3849,-3151,4007.8737499713898
4114.994999885559,8219,-3805,-3149,4007.8787500858307
4115.0,8228,-3763,-3146,4007.8837502002716
4115.004999876022,8237,-3722,-3145,4007.888750076294
4115.009999990463,8245,-3684,-3145,4007.893750190735
4115.014999866486,8252,-3649,-3142,4007.898750066757
4115.019999980927,8260,-3618,-3138,4007.903750181199
4115.024999856949,8267,-3590,-3133,4007.9087500572205
4115.02999997139,8274,-3565,-3128,4007.9137501716614
4115.034999847412,8281,-3541,-3125,4007.9187500476837
4115.039999961853,8287,-3520,-3120,4007.9237501621246
4115.044999837875,8291,-3500,-3121,4007.928750038147
4115.049999952316,8295,-3482,-3119,4007.933750152588
4115.054999828339,8298,-3468,-3119,4007.9387500286102
4115.05999994278,8300,-3458,-3120,4007.943750143052
4115.064999818802,8301,-3449,-3120,4007.9487500190735
4115.069999933243,8303,-3443,-3124,4007.9537501335144
4115.074999809265,8303,-3440,-3128,4007.9587500095367
4115.079999923706,8303,-3438,-3133,4007.9637501239777
4115.084999799728,8303,-3436,-3139,4007.96875
4115.089999914169,8305,-3436,-3145,4007.973750114441
4115.094999790192,8307,-3441,-3149,4007.9787499904633
4115.099999904633,8308,-3451,-3152,4007.983750104904
4115.104999780655,8306,-3463,-3151,4007.9887499809265
4115.109999895096,8303,-3478,-3154,4007.9937500953674
4115.114999771118,8300,-3493,-3155,4007.9987499713898
4115.119999885559,8296,-3512,-3158,4008.0037500858307
4115.125,8292,-3535,-3158,4008.0087502002716
4115.129999876022,8287,-3561,-3155,4008.013750076294
4115.134999990463,8283,-3587,-3152,4008.018750190735
4115.139999866486,8277,-3615,-3148,4008.023750066757
4115.144999980927,8271,-3645,-3143,4008.028750181199
4115.149999856949,8267,-3677,-3141,4008.0337500572205
4115.15499997139,8260,-3709,-3142,4008.0387501716614
4115.159999847412,8253,-3738,-3143,4008.0437500476837
4115.164999961853,8246,-3767,-3146,4008.0487501621246
4115.169999837875,8238,-3795,-3149,4008.053750038147
4115.174999952316,8232,-3825,-3149,4008.058750152588
4115.179999828339,8226,-3854,-3149,4008.0637500286102
4115.18499994278,8221,-3880,-3147,4008.068750143052
4115.189999818802,8215,-3906,-3148,4008.0737500190735
4115.194999933243,8209,-3931,-3150,4008.0787501335144
4115.199999809265,8203,-3957,-3156,4008.0837500095367
4115.204999923706,8195,-3981,-3163,4008.0887501239777
4115.209999799728,8187,-4005,-3166,4008.09375
4115.214999914169,8180,-4031,-3161,4008.098750114441
4115.219999790192,8174,-4056,-3159,4008.1037499904633
4115.224999904633,8166,-4085,-3152,4008.108750104904
4115.229999780655,8158,-4114,-3149,4008.1137499809265
4115.234999895096,8149,-4145,-3148,4008.1187500953674
4115.239999771118,8137,-4176,-3147,4008.1237499713898
4115.244999885559,8125,-4209,-3147,4008.1287500858307
4115.25,8111,-4245,-3149,4008.1337502002716
4115.254999876022,8097,-4280,-3151,4008.138750076294
4115.259999990463,8083,-4319,-3153,4008.143750190735
4115.264999866486,8069,-4360,-3157,4008.148750066757
4115.269999980927,8054,-4402,-3161,4008.153750181199
4115.274999856949,8037,-4445,-3162,4008.1587500572205
4115.27999997139,8019,-4488,-3166,4008.1637501716614
4115.284999847412,8001,-4533,-3164,4008.1687500476837
4115.289999961853,7981,-4581,-3162,4008.1737501621246
4115.294999837875,7960,-4631,-3162,4008.178750038147
4115.299999952316,7937,-4685,-3160,4008.183750152588
4115.304999828339,7915,-4737,-3157,4008.1887500286102
4115.30999994278,7894,-4789,-3158,4008.193750143052
4115.314999818802,7872,-4843,-3156,4008.1987500190735
4115.319999933243,7848,-4900,-3158,4008.2037501335144
4115.324999809265,7823,-4959,-3159,4008.2087500095367
4115.329999923706,7795,-5018,-3158,4008.2137501239777
4115.334999799728,7764,-5078,-3156,4008.21875
4115.339999914169,7732,-5139,-3158,4008.223750114441
4115.344999790192,7698,-5201,-3160,4008.2287499904633
4115.349999904633,7665,-5261,-3163,4008.233750104904
4115.354999780655,7633,-5322,-3164,4008.2387499809265
4115.359999895096,7601,-5383,-3163,4008.2437500953674
4115.364999771118,7568,-5446,-3164,4008.2487499713898
4115.369999885559,7533,-5507,-3159,4008.2537500858307
4115.375,7492,-5573,-3157,4008.2587502002716
4115.379999876022,7454,-5635,-3156,4008.263750076294
4115.384999990463,7413,-5698,-3152,4008.268750190735
4115.389999866486,7373,-5761,-3150,4008.273750066757
4115.394999980927,7332,-5825,-3148,4008.278750181199
4115.399999856949,7288,-5891,-3146,4008.2837500572205
4115.40499997139,7244,-5954,-3147,4008.2887501716614
4115.409999847412,7202,-6014,-3149,4008.2937500476837
4115.414999961853,7159,-6074,-3149,4008.2987501621246
4115.419999837875,7114,-6133,-3146,4008.303750038147
4115.424999952316,7067,-6193,-3144,4008.308750152588
4115.429999828339,7018,-6253,-3142,4008.3137500286102
4115.43499994278,6970,-6311,-3141,4008.318750143052
4115.439999818802,6924,-6368,-3143,4008.3237500190735
4115.444999933243,6879,-6422,-3144,4008.3287501335144
4115.449999809265,6830,-6479,-3143,4008.3337500095367
4115.454999923706,6779,-6537,-3143,4008.3387501239777
4115.459999799728,6727,-6595,-3143,4008.34375
4115.464999914169,6676,-6651,-3142,4008.348750114441
4115.469999790192,6624,-6708,-3142,4008.3537499904633
4115.474999904633,6569,-6766,-3147,4008.358750104904
4115.479999780655,6512,-6822,-3149,4008.3637499809265
4115.484999895096,6455,-6876,-3153,4008.3687500953674
4115.489999771118,6396,-6929,-3154,4008.3737499713898
4115.494999885559,6340,-6979,-3157,4008.3787500858307
4115.5,6284,-7027,-3156,4008.3837502002716
4115.504999876022,6228,-7077,-3155,4008.388750076294
4115.509999990463,6172,-7127,-3153,4008.393750190735
4115.514999866486,6117,-7176,-3148,4008.398750066757
4115.519999980927,6061,-7224,-3145,4008.403750181199
4115.524999856949,6005,-7271,-3145,4008.4087500572205
4115.52999997139,5946,-7316,-3144,4008.4137501716614
4115.534999847412,5885,-7361,-3144,4008.4187500476837
4115.539999961853,5823,-7408,-3144,4008.4237501621246
4115.544999837875,5759,-7454,-3143,4008.428750038147
4115.549999952316,5691,-7503,-3136,4008.433750152588
4115.554999828339,5627,-7548,-3129,4008.4387500286102
4115.55999994278,5563,-7594,-3122,4008.443750143052
4115.564999818802,5499,-7639,-3115,4008.4487500190735
4115.569999933243,5433,-7683,-3111,4008.4537501335144
4115.574999809265,5368,-7724,-3112,4008.4587500095367
4115.579999923706,5301,-7762,-3111,4008.4637501239777
4115.584999799728,5233,-7799,-3113,4008.46875
4115.589999914169,5168,-7835,-3115,4008.473750114441
4115.594999790192,5101,-7872,-3117,4008.4787499904633
4115.599999904633,5028,-7914,-3118,4008.483750104904
4115.604999780655,4953,-7955,-3116,4008.4887499809265
4115.609999895096,4876,-7995,-3114,4008.4937500953674
4115.614999771118,4802,-8035,-3112,4008.4987499713898
4115.619999885559,4730,-8072,-3110,4008.5037500858307
4115.625,4658,-8107,-3106,4008.5087502002716
4115.629999876022,4584,-8140,-3098,4008.513750076294
4115.634999990463,4510,-8171,-3090,4008.518750190735
4115.639999866486,4433,-8201,-3082,4008.523750066757
4115.644999980927,4356,-8232,-3074,4008.528750181199
4115.649999856949,4277,-8261,-3069,4008.5337500572205
4115.65499997139,4198,-8290,-3063,4008.5387501716614
4115.659999847412,4118,-8319,-3059,4008.5437500476837
4115.664999961853,4036,-8347,-3055,4008.5487501621246
4115.669999837875,3950,-8373,-3051,4008.553750038147
4115.674999952316,3857,-8397,-3044,4008.558750152588
4115.679999828339,3764,-8418,-3037,4008.5637500286102
4115.68499994278,3674,-8439,-3035,4008.568750143052
4115.689999818802,3583,-8459,-3036,4008.5737500190735
4115.694999933243,3486,-8481,-3036,4008.5787501335144
4115.699999809265,3386,-8503,-3038,4008.5837500095367
4115.704999923706,3284,-8522,-3036,4008.5887501239777
4115.709999799728,3180,-8541,-3030,4008.59375
4115.714999914169,3075,-8557,-3025,4008.598750114441
4115.719999790192,2975,-8571,-3018,4008.6037499904633
4115.724999904633,2866,-8587,-3012,4008.608750104904
4115.729999780655,2756,-8601,-3005,4008.6137499809265
4115.734999895096,2645,-8615,-2999,4008.6187500953674
4115.739999771118,2532,-8628,-2993,4008.6237499713898
4115.744999885559,2422,-8635,-2985,4008.6287500858307
4115.75,2313,-8642,-2975,4008.6337502002716
4115.754999876022,2209,-8646,-2968,4008.638750076294
4115.759999990463,2105,-8648,-2961,4008.643750190735
4115.764999866486,2002,-8650,-2957,4008.648750066757
4115.769999980927,1898,-8649,-2954,4008.653750181199
4115.774999856949,1794,-8645,-2950,4008.6587500572205
4115.77999997139,1697,-8641,-2945,4008.6637501716614
4115.784999847412,1600,-8635,-2939,4008.6687500476837
4115.789999961853,1501,-8628,-2934,4008.6737501621246
4115.794999837875,1405,-8619,-2930,4008.678750038147
4115.799999952316,1302,-8607,-2920,4008.683750152588
4115.804999828339,1199,-8593,-2909,4008.6887500286102
4115.80999994278,1104,-8580,-2899,4008.693750143052
4115.814999818802,1008,-8566,-2890,4008.6987500190735
4115.819999933243,911,-8550,-2884,4008.7037501335144
4115.824999809265,809,-8530,-2880,4008.7087500095367
4115.829999923706,704,-8509,-2875,4008.7137501239777
4115.834999799728,601,-8484,-2867,4008.71875
4115.839999914169,501,-8455,-2857,4008.723750114441
4115.844999790192,407,-8428,-2848,4008.7287499904633
4115.849999904633,311,-8399,-2838,4008.733750104904
4115.854999780655,213,-8368,-2828,4008.7387499809265
4115.859999895096,114,-8338,-2821,4008.7437500953674
4115.864999771118,15,-8305,-2815,4008.7487499713898
4115.869999885559,-81,-8271,-2809,4008.7537500858307
4115.875,-188,-8232,-2804,4008.7587502002716
4115.879999876022,-297,-8189,-2800,4008.763750076294
4115.884999990463,-409,-8145,-2795,4008.768750190735
4115.889999866486,-518,-8101,-2787,4008.773750066757
4115.894999980927,-625,-8053,-2780,4008.778750181199
4115.899999856949,-737,-8000,-2776,4008.7837500572205
4115.90499997139,-844,-7949,-2772,4008.7887501716614
4115.909999847412,-951,-7895,-2767,4008.7937500476837
4115.914999961853,-1057,-7840,-2762,4008.7987501621246
4115.919999837875,-1161,-7782,-2754,4008.803750038147
4115.924999952316,-1262,-7725,-2745,4008.808750152588
4115.929999828339,-1359,-7667,-2735,4008.8137500286102
4115.93499994278,-1453,-7609,-2725,4008.818750143052
4115.939999818802,-1544,-7551,-2717,4008.8237500190735
4115.944999933243,-1628,-7496,-2710,4008.8287501335144
4115.949999809265,-1715,-7434,-2701,4008.8337500095367
4115.954999923706,-1802,-7370,-2696,4008.8387501239777
4115.959999799728,-1888,-7305,-2691,4008.84375
4115.964999914169,-1972,-7238,-2686,4008.848750114441
4115.969999790192,-2054,-7171,-2681,4008.8537499904633
4115.974999904633,-2134,-7104,-2676,4008.858750104904
4115.979999780655,-2214,-7035,-2671,4008.8637499809265
4115.984999895096,-2290,-6969,-2667,4008.8687500953674
4115.989999771118,-2363,-6900,-2663,4008.8737499713898
4115.994999885559,-2437,-6828,-2656,4008.8787500858307
4116.0,-2532,-6713,-2647,4008.8837502002716
4116.004999876022,-2621,-6601,-2640,4008.888750076294
4116.009999990463,-2707,-6490,-2632,4008.893750190735
4116.014999866486,-2787,-6385,-2626,4008.898750066757
4116.019999980927,-2864,-6280,-2618,4008.903750181199
4116.024999856949,-2941,-6168,-2611,4008.9087500572205
4116.02999997139,-3014,-6056,-2605,4008.9137501716614
4116.034999847412,-3083,-5944,-2598,4008.9187500476837
4116.039999961853,-3149,-5834,-2589,4008.9237501621246
4116.044999837875,-3212,-5726,-2577,4008.928750038147
4116.049999952316,-3272,-5617,-2564,4008.933750152588
4116.054999828339,-3331,-5509,-2552,4008.9387500286102
4116.05999994278,-3388,-5401,-2542,4008.943750143052
4116.064999818802,-3443,-5291,-2536,4008.9487500190735
