Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.73352,-1.15878,-5,4.45,2023-12-12 13:19:08+00:00,gps,50.73368,-1.15883,43,8.0,8.28,352.46738,gps [GPS],00:00:01,8.2,0.0,,,,False,31 / 33,416,126.6,-,1.5,1.2,0.8,-,-,Ship,13:19:08 GMT,13:19:08.197,13:19:03.896,13:19:03.904,29.81,18.52,78,282.001
50.7336,-1.1588,-5,4.46,2023-12-12 13:19:09+00:00,gps,50.73377,-1.15885,43,8.0,8.53,354.01526,gps [GPS],00:00:01,8.9,0.0,,,,False,31 / 35,416,135.4,-,1.3,1.1,0.8,-,-,Ship,13:19:09 GMT,13:19:09.147,13:19:04.846,13:19:04.852,30.72,19.09,78,283.001
50.73368,-1.15882,-5,4.46,2023-12-12 13:19:10+00:00,gps,50.73387,-1.15886,43,8.0,8.78,355.52396,gps [GPS],00:00:01,9.3,0.0,,,,False,33 / 35,417,144.8,-,1.4,1.1,0.8,-,-,Ship,13:19:10 GMT,13:19:10.138,13:19:05.836,13:19:05.869,31.59,19.63,78,284.001
50.73377,-1.15884,-6,4.46,2023-12-12 13:19:11+00:00,gps,50.73396,-1.15887,43,8.0,8.94,0.09795154,gps [GPS],00:00:01,9.5,0.0,,,,False,31 / 34,418,154.3,-,1.4,1.1,0.8,-,-,Ship,13:19:11 GMT,13:19:11.126,13:19:06.824,13:19:06.829,32.17,19.99,78,285.001
50.73385,-1.15885,-6,4.46,2023-12-12 13:19:12+00:00,gps,50.73405,-1.15887,43,8.0,9.18,3.2863305,gps [GPS],00:00:01,9.6,0.0,,,,False,31 / 34,419,163.9,-,1.4,1.1,0.8,-,-,Ship,13:19:12 GMT,13:19:12.128,13:19:07.826,13:19:07.832,33.04,20.53,78,286.001
50.73394,-1.15885,-5,4.46,2023-12-12 13:19:13+00:00,gps,50.73414,-1.15886,43,8.0,9.79,4.7756467,gps [GPS],00:00:01,9.9,0.0,,,,False,27 / 34,420,173.8,-,1.4,1.1,0.8,-,-,Ship,13:19:13 GMT,13:19:13.126,13:19:08.825,13:19:08.835,35.24,21.9,78,287.001
50.73404,-1.15885,-5,4.46,2023-12-12 13:19:14+00:00,gps,50.73424,-1.15884,44,8.0,10.58,6.279201,gps [GPS],00:00:01,10.4,0.0,,,,False,30 / 33,421,184.2,-,1.4,1.1,0.9,-,-,Ship,13:19:14 GMT,13:19:14.131,13:19:09.829,13:19:09.835,38.1,23.67,78,288.001
50.73413,-1.15884,-5,4.46,2023-12-12 13:19:15+00:00,gps,50.73434,-1.15881,44,8.0,10.84,8.103975,gps [GPS],00:00:01,10.6,0.0,,,,False,32 / 33,422,194.8,-,1.4,1.1,0.8,-,-,Ship,13:19:15 GMT,13:19:15.134,13:19:10.832,13:19:10.838,39.01,24.24,78,289.001
50.73423,-1.15882,-5,4.46,2023-12-12 13:19:16+00:00,gps,50.73444,-1.15877,43,8.0,11.2,11.050872,gps [GPS],00:00:01,10.9,0.0,,,,False,31 / 33,424,205.7,-,1.4,1.2,0.8,-,-,Ship,13:19:16 GMT,13:19:16.244,13:19:11.942,13:19:11.948,40.32,25.06,78,290.001
50.73433,-1.15879,-6,4.46,2023-12-12 13:19:17+00:00,gps,50.73454,-1.15873,43,8.0,11.39,13.424254,gps [GPS],00:00:01,11.0,0.0,,,,False,30 / 33,424,216.7,-,1.4,1.1,0.8,-,-,Ship,13:19:17 GMT,13:19:17.139,13:19:12.837,13:19:12.842,41.0,25.48,78,291.001
50.73443,-1.15875,-5,4.46,2023-12-12 13:19:18+00:00,gps,50.73465,-1.15867,43,8.0,11.66,13.797393,gps [GPS],00:00:01,11.5,0.0,,,,False,29 / 33,425,228.2,-,1.6,1.4,0.8,-,-,Ship,13:19:18 GMT,13:19:18.152,13:19:13.850,13:19:13.857,41.98,26.08,78,292.001
50.73453,-1.15871,-5,4.46,2023-12-12 13:19:19+00:00,gps,50.73476,-1.15862,43,8.0,11.99,14.39002,gps [GPS],00:00:01,11.9,0.0,,,,False,29 / 33,426,240.1,-,1.8,1.7,0.8,-,-,Ship,13:19:19 GMT,13:19:19.150,13:19:14.849,13:19:14.856,43.18,26.83,78,293.001
50.73464,-1.15866,-4,4.46,2023-12-12 13:19:20+00:00,gps,50.73487,-1.15856,44,8.0,12.2,15.153626,gps [GPS],00:00:01,12.3,0.0,,,,False,25 / 33,427,252.4,-,2.0,1.8,0.8,-,-,Ship,13:19:20 GMT,13:19:20.156,13:19:15.854,13:19:15.861,43.91,27.29,78,294.001
50.73475,-1.15861,-4,4.46,2023-12-12 13:19:21+00:00,gps,50.73499,-1.1585,45,8.0,12.29,16.244652,gps [GPS],00:00:01,12.5,0.0,,,,False,27 / 34,429,264.9,-,1.4,1.1,0.8,-,-,Ship,13:19:21 GMT,13:19:21.216,13:19:16.915,13:19:16.924,44.23,27.48,78,295.001
50.73485,-1.15856,-4,4.46,2023-12-12 13:19:22+00:00,gps,50.73509,-1.15844,45,8.0,12.48,16.995377,gps [GPS],00:00:01,12.6,0.0,,,,False,26 / 33,430,277.5,-,1.5,1.2,0.8,-,-,Ship,13:19:22 GMT,13:19:22.229,13:19:17.928,13:19:17.937,44.92,27.91,78,296.001
50.73496,-1.1585,-3,4.46,2023-12-12 13:19:23+00:00,gps,50.73519,-1.15837,45,8.0,12.71,18.453833,gps [GPS],00:00:01,12.6,0.0,,,,False,29 / 34,430,290.1,-,1.4,1.2,0.7,-,-,Ship,13:19:23 GMT,13:19:23.156,13:19:18.854,13:19:18.861,45.77,28.44,78,297.001
50.73507,-1.15843,-3,4.46,2023-12-12 13:19:24+00:00,gps,50.7353,-1.15829,46,8.0,13.09,20.230103,gps [GPS],00:00:01,12.7,0.0,,,,False,29 / 34,432,302.8,-,1.4,1.2,0.7,-,-,Ship,13:19:24 GMT,13:19:24.188,13:19:19.887,13:19:19.902,47.13,29.28,78,298.001
