t,x,y,z,time_from_sync
820.0800099850069,-475,-131,12,790.0841753324241
820.1550099850069,-475,-131,12,790.1591753324242
820.3500101566683,-471,-134,19,790.3541755040856
820.4250101566683,-471,-135,19,790.4291755040856
820.6200100899111,-476,-130,10,790.6241754373284
820.6950100899112,-476,-130,11,790.6991754373284
820.890010023154,-477,-124,15,790.8941753705712
820.965010023154,-477,-124,16,790.9691753705713
821.1600099563968,-478,-122,14,791.1641753038141
821.2350099563969,-478,-123,15,791.2391753038141
821.4250100136173,-477,-127,14,791.4291753610346
821.5000100136174,-477,-127,16,791.5041753610346
821.6950099468602,-476,-126,19,791.6991752942774
821.7700099468602,-475,-127,19,791.7741752942775
821.965009880103,-475,-124,15,791.9691752275203
822.0400098801031,-475,-124,16,792.0441752275203
822.2350100517644,-474,-129,26,792.2391753991817
822.3100100517645,-474,-130,26,792.3141753991817
822.500010108985,-473,-127,25,792.5041754564022
822.575010108985,-472,-127,27,792.5791754564023
822.7700102806464,-476,-128,17,792.7741756280636
822.8450102806464,-476,-128,18,792.8491756280637
823.0400102138892,-473,-127,31,793.0441755613065
823.1150102138893,-473,-127,31,793.1191755613065
823.3050102711097,-474,-126,25,793.309175618527
823.3800102711098,-474,-126,27,793.384175618527
823.5750104427711,-477,-130,19,793.5791757901884
823.6500104427712,-477,-130,20,793.6541757901884
823.845010376014,-475,-126,27,793.8491757234312
823.920010376014,-475,-127,28,793.9241757234313
824.1150103092568,-479,-118,25,794.1191756566741
824.1900103092569,-479,-119,25,794.1941756566741
824.3850102424997,-473,-120,33,794.3891755899169
824.4600102424997,-473,-121,34,794.464175589917
824.6550104141611,-477,-121,23,794.6591757615784
824.7300104141611,-477,-121,24,794.7341757615784
824.9250105858225,-474,-115,33,794.9291759332398
825.0000105858226,-474,-115,34,795.0041759332398
825.1950105190654,-475,-115,31,795.1991758664826
825.2700105190654,-475,-115,32,795.2741758664827
825.4650104523082,-473,-115,32,795.4691757997255
825.5400104523083,-473,-115,33,795.5441757997255
825.7300102711101,-467,-114,45,795.7341756185274
825.8050102711102,-467,-115,46,795.8091756185274
826.000010204353,-469,-114,44,796.0041755517702
826.075010204353,-469,-115,44,796.0791755517703
826.2700101375958,-468,-114,43,796.2741754850131
826.3450101375959,-467,-115,43,796.3491754850131
826.5400100708387,-482,-107,19,796.5441754182559
826.6150100708387,-482,-108,20,796.619175418256
826.8050101280592,-478,-97,37,796.8091754754764
826.8800101280592,-478,-98,38,796.8841754754765
827.075010061302,-485,-89,31,797.0791754087193
827.150010061302,-485,-89,31,797.1541754087193
827.3450102329634,-485,-85,33,797.3491755803807
827.4200102329635,-485,-86,34,797.4241755803807
827.6150104046249,-479,-82,47,797.6191757520421
827.6900104046249,-479,-83,48,797.6941757520422
827.8850103378677,-483,-81,41,797.889175685285
827.9600103378677,-483,-81,42,797.964175685285
828.1550102711105,-478,-82,47,798.1591756185278
828.2300102711106,-478,-82,48,798.2341756185278
828.4250102043534,-475,-90,49,798.4291755517706
828.5000102043534,-475,-90,50,798.5041755517707
828.6950103760148,-472,-88,54,798.6991757234321
828.7700103760149,-472,-89,55,798.7741757234321
828.9650105476762,-472,-88,54,798.9691758950935
829.0400105476763,-472,-88,55,799.0441758950935
829.2350104809191,-474,-87,48,799.2391758283363
829.3100104809191,-474,-87,48,799.3141758283364
829.5050104141619,-478,-86,43,799.5091757615792
829.580010414162,-478,-87,43,799.5841757615792
829.7700102329638,-475,-88,47,799.7741755803811
829.8450102329639,-475,-89,49,799.8491755803811
830.0350102901843,-475,-91,45,800.0391756376016
830.1100102901844,-475,-92,46,800.1141756376016
830.3050102234272,-475,-96,45,800.3091755708444
830.3800102234272,-474,-96,46,800.3841755708445
830.57501015667,-469,-98,54,800.5791755040873
830.6500101566701,-468,-99,55,800.6541755040873
830.8450100899129,-474,-97,45,800.8491754373301
830.9200100899129,-473,-98,46,800.9241754373302
831.1150100231557,-474,-100,45,801.119175370573
831.1900100231558,-474,-100,46,801.194175370573
831.3850101948171,-472,-98,46,801.3891755422344
831.4600101948172,-472,-99,47,801.4641755422344
831.65501012806,-471,-96,50,801.6591754754772
831.73001012806,-471,-97,51,801.7341754754773
831.9250100613028,-469,-99,53,801.9291754087201
832.0000100613029,-469,-99,54,802.0041754087201
832.1950099945457,-473,-105,44,802.1991753419629
832.2700099945457,-473,-105,44,802.274175341963
832.4650099277885,-473,-105,43,802.4691752752058
832.5400099277886,-473,-106,44,802.5441752752058
832.7350100994499,-472,-99,46,802.7391754468672
832.81001009945,-472,-100,47,802.8141754468672
833.0050100326928,-474,-96,45,803.00917538011
833.0800100326928,-474,-96,46,803.0841753801101
833.2750099659356,-470,-97,52,803.2791753133529
833.3500099659357,-470,-98,53,803.3541753133529
833.5450098991785,-468,-99,56,803.5491752465957
833.6200098991785,-468,-99,56,803.6241752465958
833.8150098324213,-465,-103,56,803.8191751798386
833.8900098324214,-465,-104,56,803.8941751798386
834.0850100040827,-471,-102,51,804.0891753515
834.1600100040828,-471,-102,51,804.1641753515
834.3550099373256,-471,-97,52,804.3591752847428
834.4300099373256,-471,-97,52,804.4341752847429
834.6250098705684,-470,-93,56,804.6291752179857
834.7000098705685,-470,-94,57,804.7041752179857
834.8950098038113,-465,-94,62,804.8991751512285
834.9700098038113,-465,-94,63,804.9741751512286
835.1650097370541,-476,-96,43,805.1691750844714
835.2400097370542,-476,-96,44,805.2441750844714
835.4350099087155,-472,-93,52,805.4391752561328
835.5100099087156,-472,-93,53,805.5141752561328
835.7050098419584,-472,-87,56,805.7091751893756
835.7800098419584,-471,-87,57,805.7841751893757
835.9750097752012,-473,-83,58,805.9791751226185
836.0500097752013,-473,-84,58,806.0541751226185
836.2450097084441,-471,-81,58,806.2491750558613
836.3200097084441,-471,-81,59,806.3241750558614
836.5150096416869,-468,-73,68,806.5191749891042
836.590009641687,-467,-73,69,806.5941749891042
836.7800096989074,-467,-66,69,806.7841750463247
836.8550096989075,-467,-66,71,806.8591750463247
837.0500096321502,-477,-65,60,807.0541749795675
837.1250096321503,-477,-66,61,807.1291749795676
837.3200098038117,-471,-59,71,807.3241751512289
837.3950098038117,-471,-59,71,807.399175151229
837.5900099754731,-476,-52,61,807.5941753228904
837.6650099754731,-476,-52,62,807.6691753228904
837.8600099087159,-471,-50,71,807.8641752561332
837.935009908716,-471,-50,72,807.9391752561332
838.1250099659364,-471,-47,74,808.1291753133537
838.2000099659365,-471,-47,75,808.2041753133537
838.3950098991793,-474,-43,69,808.3991752465965
838.4700098991793,-474,-43,69,808.4741752465966
838.6650098324221,-467,-48,81,808.6691751798394
838.7400098324222,-466,-49,82,808.7441751798394
838.935009765665,-462,-56,82,808.9391751130822
839.010009765665,-462,-57,83,809.0141751130823
839.2050096989078,-461,-54,84,809.2091750463251
839.2800096989079,-461,-54,84,809.2841750463251
839.4750098705692,-468,-53,77,809.4791752179865
839.5500098705693,-468,-53,77,809.5541752179865
839.7450098038121,-473,-51,68,809.7491751512293
839.8200098038121,-473,-52,69,809.8241751512294
840.0150097370549,-470,-47,69,810.0191750844722
840.090009737055,-470,-48,70,810.0941750844722
840.2850096702978,-470,-48,74,810.289175017715
