t,x,y,z,time_from_sync
950.0500102520576,-463,135,-74,920.0541755994749
950.1250102520578,-463,134,-72,920.129175599475
950.3150103092784,-465,133,-62,920.3191756566956
950.3900103092784,-465,132,-61,920.3941756566957
950.5800101280802,-464,135,-70,920.5841754754974
950.6550101280802,-464,134,-68,920.6591754754975
950.8450101853008,-464,135,-75,920.849175532718
950.9200101853008,-464,134,-74,920.9241755327181
951.1100102425212,-461,136,-71,921.1141755899384
951.1850102425212,-461,136,-70,921.1891755899385
951.3750102997416,-464,135,-52,921.3791756471588
951.4500102997416,-464,134,-50,921.4541756471589
951.6400101185436,-462,139,-39,921.6441754659609
951.7150101185435,-461,139,-38,921.7191754659608
951.905010175764,-456,142,-25,921.9091755231813
951.9800101757642,-456,142,-23,921.9841755231814
952.1750103474257,-456,143,-24,922.1791756948429
952.2500103474256,-456,142,-23,922.2541756948428
952.440010404646,-453,140,-2,922.4441757520633
952.515010404646,-453,140,-1,922.5191757520632
952.7050104618666,-457,137,-4,922.7091758092838
952.7800104618666,-457,136,-3,922.7841758092839
952.9700102806684,-456,133,4,922.9741756280856
953.0450102806684,-456,132,6,923.0491756280857
953.235010337889,-450,136,17,923.2391756853062
953.310010337889,-450,135,19,923.3141756853063
953.5000103951096,-451,136,6,923.5041757425269
953.5750103951096,-451,136,7,923.5791757425269
953.76501045233,-453,137,5,923.7691757997472
953.84001045233,-453,136,7,923.8441757997473
954.0300105095504,-450,138,11,924.0341758569676
954.1050105095504,-450,137,13,924.1091758569677
954.295010566771,-447,146,6,924.2991759141883
954.370010566771,-447,145,7,924.3741759141883
954.5600106239916,-447,147,7,924.5641759714089
954.6350106239915,-447,145,8,924.6391759714088
954.8250104427934,-450,143,0,924.8291757902107
954.9000104427936,-450,143,1,924.9041757902108
955.090010500014,-453,143,-10,925.0941758474313
955.165010500014,-453,142,-8,925.1691758474312
955.3550105572344,-452,146,-16,925.3591759046517
955.4300105572344,-451,145,-15,925.4341759046516
955.6200106144548,-456,143,-38,925.6241759618721
955.695010614455,-456,142,-37,925.6991759618722
955.8850104332568,-458,142,-52,925.889175780674
955.9600104332568,-458,142,-50,925.964175780674
956.1500104904774,-456,146,-49,926.1541758378946
956.2250104904774,-456,145,-47,926.2291758378947
956.415010547698,-456,145,-36,926.4191758951152
956.490010547698,-456,144,-34,926.4941758951153
956.6800103664998,-458,141,-38,926.684175713917
956.7550103664998,-458,140,-37,926.7591757139171
956.9450104237204,-454,147,-29,926.9491757711377
957.0200104237204,-454,146,-27,927.0241757711376
957.2100104809408,-454,146,-42,927.2141758283581
957.2850104809409,-454,146,-40,927.2891758283581
957.4750105381612,-460,139,-31,927.4791758855785
957.5500105381614,-460,138,-29,927.5541758855786
957.7400103569632,-456,144,-27,927.7441757043805
957.8150103569632,-455,144,-25,927.8191757043804
958.0050104141836,-456,146,-44,928.0091757616009
958.0800104141838,-456,146,-42,928.084175761601
958.2700104714042,-457,139,-34,928.2741758188215
958.3450104714044,-457,138,-32,928.3491758188217
958.5350102902062,-457,142,-29,928.5391756376234
958.6100102902062,-457,141,-27,928.6141756376235
958.805010223449,-456,139,-23,928.8091755708663
958.8800102234492,-456,139,-22,928.8841755708664
959.0700100422508,-457,141,-26,929.0741753896681
959.145010042251,-457,141,-24,929.1491753896682
959.3350100994714,-458,141,-33,929.3391754468887
959.4100100994716,-458,140,-31,929.4141754468889
959.600010156692,-456,139,-18,929.6041755041092
959.675010156692,-456,138,-16,929.6791755041093
959.8650102139125,-454,144,-31,929.8691755613297
959.9400102139124,-454,143,-29,929.9441755613296
960.1300100327144,-457,143,-39,930.1341753801316
960.2050100327144,-456,143,-37,930.2091753801317
960.3950100899348,-457,143,-45,930.399175437352
960.4700100899348,-456,142,-44,930.4741754373521
960.6600101471554,-456,143,-44,930.6641754945726
960.7350101471554,-456,143,-42,930.7391754945727
960.9250099659572,-458,141,-46,930.9291753133745
961.0000099659574,-458,140,-45,931.0041753133746
961.1950098992002,-457,141,-39,931.1991752466174
961.2700098992002,-456,141,-39,931.2741752466175
961.460009718002,-458,142,-35,931.4641750654192
961.535009718002,-458,142,-33,931.5391750654193
961.7300096512448,-457,138,-18,931.7341749986621
961.805009651245,-456,138,-17,931.8091749986622
962.0000095844878,-459,140,-49,932.004174931905
962.0750095844878,-459,139,-48,932.0791749319051
962.2700095177306,-462,134,-74,932.2741748651479
962.3450095177308,-462,134,-74,932.349174865148
962.5350095749512,-465,125,-91,932.5391749223685
962.6100095749512,-464,124,-90,932.6141749223684
962.805009508194,-469,108,-117,932.8091748556112
962.880009508194,-469,107,-117,932.8841748556113
963.0750096798554,-472,87,-137,933.0791750272726
963.1500096798554,-472,86,-136,933.1541750272727
963.3450096130982,-478,55,-148,933.3491749605155
963.4200096130984,-478,55,-147,933.4241749605156
963.6100096703188,-486,13,-156,933.6141750177361
963.6850096703188,-486,12,-154,933.689175017736
963.8800098419802,-484,-29,-162,933.8841751893974
963.9550098419802,-484,-30,-162,933.9591751893975
964.1450098992008,-484,-74,-147,934.149175246618
964.2200098992008,-484,-75,-145,934.2241752466181
964.4100099564212,-474,-112,-140,934.4141753038384
964.4850099564212,-474,-113,-138,934.4891753038385
964.6750097752232,-468,-137,-118,934.6791751226405
964.7500097752232,-468,-138,-116,934.7541751226405
964.945009708466,-470,-150,-91,934.9491750558833
965.020009708466,-470,-151,-90,935.0241750558832
965.2150096417088,-471,-157,-59,935.219174989126
965.2900096417088,-471,-158,-58,935.2941749891261
965.4850095749516,-462,-162,-5,935.4891749223689
965.5600095749516,-462,-162,-4,935.5641749223688
965.755009746613,-469,-137,22,935.7591750940303
965.8300097466132,-468,-138,23,935.8341750940305
966.0200098038335,-445,-95,97,936.0241751512508
966.0950098038336,-445,-96,99,936.0991751512508
966.290009975495,-446,-60,109,936.2941753229122
966.365009975495,-446,-60,110,936.3691753229123
966.5600099087378,-422,-16,137,936.5641752561551
966.635009908738,-421,-17,137,936.6391752561552
966.8300098419808,-457,33,86,936.834175189398
966.9050098419808,-458,33,87,936.9091751893981
967.1000097752236,-453,69,80,937.1041751226409
967.1750097752235,-453,69,80,937.1791751226408
967.3700097084665,-459,95,50,937.3741750558837
967.4450097084664,-458,95,50,937.4491750558836
967.6400098801278,-459,125,4,937.644175227545
967.7150098801278,-459,124,5,937.7191752275451
967.9100098133706,-454,142,-21,937.9141751607879
967.9850098133708,-454,141,-20,937.989175160788
968.1800097466136,-455,143,-57,938.1841750940308
968.2550097466136,-455,142,-57,938.2591750940309
968.445009803834,-462,134,-70,938.4491751512512
968.520009803834,-462,134,-68,938.5241751512513
968.7100098610543,-464,118,-108,938.7141752084716
968.7850098610544,-464,117,-106,938.7891752084716
968.975009918275,-458,108,-141,938.9791752656922
969.050009918275,-458,107,-139,939.0541752656923
969.2400097370768,-462,99,-145,939.244175084494
969.3150097370768,-462,98,-144,939.3191750844941
969.5100096703196,-462,90,-156,939.5141750177369
969.5850096703198,-462,89,-155,939.589175017737
969.7750094891215,-474,96,-119,939.7791748365388
969.8500094891216,-474,95,-117,939.8541748365388
970.0400095463422,-468,94,-136,940.0441748937594
970.1150095463422,-468,93,-134,940.1191748937595
970.3100097180036,-471,97,-130,940.3141750654208
970.3850097180036,-470,96,-129,940.3891750654209
970.575009775224,-471,103,-118,940.5791751226412
970.650009775224,-471,102,-116,940.6541751226413
970.8400098324446,-468,104,-122,940.8441751798618
970.9150098324446,-468,103,-121,940.9191751798619
971.1050096512464,-469,105,-119,941.1091749986637
971.1800096512466,-468,105,-117,941.1841749986638
971.3750095844894,-468,106,-118,941.3791749319066
971.4500095844894,-468,105,-117,941.4541749319067
971.6400094032912,-466,107,-124,941.6441747507084
971.7150094032912,-466,106,-122,941.7191747507085
971.9050094605118,-469,108,-111,941.909174807929
971.9800094605118,-469,107,-109,941.9841748079291
972.1750096321732,-470,100,-122,942.1791749795905
972.2500096321731,-469,100,-122,942.2541749795904
972.4400096893936,-469,98,-129,942.4441750368109
972.5150096893938,-469,97,-127,942.519175036811
972.7050097466142,-465,104,-132,942.7091750940315
972.7800097466144,-465,103,-130,942.7841750940316
972.970009565416,-465,99,-139,942.9741749128333
973.0450095654162,-465,98,-137,943.0491749128335
973.2350096226368,-472,89,-134,943.239174970054
973.3100096226368,-471,89,-132,943.3141749700541
973.5000096798572,-468,80,-152,943.5041750272744
973.5750096798572,-467,79,-150,943.5791750272745
973.7650097370775,-470,67,-154,943.7691750844948
973.8400097370776,-470,66,-152,943.8441750844949
974.0300097942982,-473,59,-158,944.0341751417154
974.1050097942982,-472,58,-156,944.1091751417155
974.2950098515188,-470,49,-166,944.299175198936
974.3700098515188,-469,48,-164,944.3741751989361
974.5600099087392,-482,40,-151,944.5641752561564
974.6350099087392,-481,39,-149,944.6391752561565
974.8250097275412,-485,42,-141,944.8291750749585
974.9000097275411,-485,42,-139,944.9041750749584
975.0900097847616,-479,45,-154,945.0941751321789
975.1650097847617,-478,44,-152,945.1691751321789
975.3600097180044,-479,37,-155,945.3641750654217
975.4350097180044,-479,37,-155,945.4391750654216
975.625009775225,-469,29,-177,945.6291751226422
975.700009775225,-468,29,-176,945.7041751226423
975.8950099468864,-472,27,-172,945.8991752943036
975.9700099468864,-472,27,-171,945.9741752943037
976.1650098801292,-471,18,-174,946.1691752275465
976.2400098801292,-471,18,-174,946.2441752275464
976.435009813372,-476,18,-168,946.4391751607892
976.510009813372,-476,17,-167,946.5141751607893
976.7050097466148,-477,18,-164,946.709175094032
976.780009746615,-477,18,-163,946.7841750940322
976.9700098038354,-478,16,-165,946.9741751512527
977.0450098038356,-478,15,-164,947.0491751512528
977.2350096226372,-475,18,-169,947.2391749700545
977.3100096226374,-475,18,-168,947.3141749700546
977.5050095558802,-481,18,-159,947.5091749032974
977.5800095558802,-481,17,-158,947.5841749032975
977.775009489123,-482,19,-156,947.7791748365403
977.8500094891232,-482,19,-156,947.8541748365404
978.045009422366,-478,23,-163,948.0491747697832
978.120009422366,-478,23,-162,948.1241747697833
978.3150095940272,-478,17,-163,948.3191749414444
978.3900095940272,-478,17,-162,948.3941749414445
978.5800096512478,-477,18,-167,948.584174998665
978.6550096512478,-477,18,-165,948.6591749986651
978.8500098229092,-481,21,-158,948.8541751703265
978.9250098229091,-481,20,-158,948.9291751703264
979.1150098801296,-481,21,-157,949.1191752275469
979.1900098801298,-481,21,-155,949.194175227547
979.3850098133726,-485,23,-149,949.3891751607898
979.4600098133726,-485,23,-148,949.4641751607899
979.6500098705932,-484,29,-148,949.6541752180104
979.7250098705932,-484,28,-146,949.7291752180105
979.920009803836,-484,32,-148,949.9241751512533
979.995009803836,-484,32,-147,949.9991751512532
980.1900099754972,-482,32,-154,950.1941753229145
980.2650099754974,-481,32,-154,950.2691753229146
980.4600101471588,-484,32,-148,950.464175494576
980.5350101471588,-483,31,-148,950.539175494576
980.7300100804016,-483,31,-150,950.7341754278189
980.8050100804016,-483,31,-149,950.8091754278189
980.995010137622,-477,29,-161,950.9991754850392
981.070010137622,-477,29,-159,951.0741754850393
981.2600101948426,-475,27,-164,951.2641755422599
981.3350101948428,-475,27,-162,951.33917554226
981.5250102520632,-475,26,-166,951.5291755994805
981.6000102520632,-475,25,-164,951.6041755994804
981.795010185306,-475,30,-164,951.7991755327232
981.870010185306,-475,30,-163,951.8741755327233
982.0650103569674,-479,33,-153,952.0691757043846
982.1400103569674,-479,33,-152,952.1441757043847
982.3350105286288,-485,38,-144,952.339175876046
982.4100105286288,-485,37,-143,952.4141758760461
982.6050104618716,-479,39,-151,952.6091758092889
982.6800104618716,-479,38,-150,952.6841758092888
982.8750103951144,-476,35,-160,952.8791757425316
