Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.74574,-1.2327,-3,4.46,2023-12-12 13:36:15.999000+00:00,gps,50.74572,-1.23274,45,8.0,1.41,208.57986,gps [GPS],00:00:01,1.7,0.0,,,,False,28 / 30,1444,11688.8,-,2.1,2.0,0.7,-,-,Ship,13:36:15 GMT,13:36:16.250,13:36:11.948,13:36:11.957,5.06,3.15,74,1310.0
50.74573,-1.23272,-3,4.46,2023-12-12 13:36:16.999000+00:00,gps,50.74571,-1.23275,46,8.0,1.08,208.32896,gps [GPS],00:00:01,1.6,0.0,,,,False,30 / 31,1445,11690.3,-,1.5,1.4,0.7,-,-,Ship,13:36:16 GMT,13:36:17.192,13:36:12.890,13:36:12.902,3.9,2.43,74,1311.0
50.74572,-1.23273,-3,4.46,2023-12-12 13:36:17.999000+00:00,gps,50.7457,-1.23276,46,8.0,0.99,217.51099,gps [GPS],00:00:01,1.4,0.0,,,,False,30 / 31,1446,11691.7,-,2.0,1.8,0.7,-,-,Ship,13:36:17 GMT,13:36:18.203,13:36:13.901,13:36:13.910,3.56,2.21,74,1312.0
50.74571,-1.23274,-3,4.46,2023-12-12 13:36:18.999000+00:00,gps,50.7457,-1.23276,45,8.0,1.1,213.80229,gps [GPS],00:00:01,1.1,0.0,,,,False,28 / 30,1447,11692.9,-,2.0,1.8,0.7,-,-,Ship,13:36:18 GMT,13:36:19.201,13:36:14.900,13:36:14.910,3.96,2.46,74,1313.0
50.74571,-1.23275,-3,4.46,2023-12-12 13:36:19.999000+00:00,gps,50.74569,-1.23277,45,8.0,1.07,211.25012,gps [GPS],00:00:01,1.0,0.0,,,,False,26 / 29,1448,11693.8,-,2.2,2.1,0.7,-,-,Ship,13:36:19 GMT,13:36:20.215,13:36:15.914,13:36:15.928,3.85,2.39,74,1314.0
50.7457,-1.23276,-3,4.46,2023-12-12 13:36:20.999000+00:00,gps,50.74568,-1.23278,46,8.0,1.14,207.5315,gps [GPS],00:00:01,1.1,0.0,,,,False,28 / 29,1449,11694.9,-,2.0,1.8,0.7,-,-,Ship,13:36:20 GMT,13:36:21.186,13:36:16.885,13:36:16.896,4.1,2.55,74,1315.0
50.74569,-1.23277,-3,4.0,2023-12-12 13:36:21.999000+00:00,gps,50.74568,-1.23278,46,6.0,0.83,206.14308,gps [GPS],00:00:01,1.5,0.0,,,,False,26 / 29,1450,11696.4,-,1.9,1.8,0.7,-,-,Ship,13:36:21 GMT,13:36:22.222,13:36:17.921,13:36:17.929,2.98,1.85,74,1316.0
50.74568,-1.23278,-3,3.84,2023-12-12 13:36:22.999000+00:00,gps,50.74568,-1.23278,46,6.0,0.0,206.14308,gps [GPS],00:00:01,0.7,0.0,,,,False,26 / 29,1451,11697.1,-,1.9,1.8,0.7,-,-,Ship,13:36:22 GMT,13:36:23.175,13:36:18.874,13:36:18.883,0.0,0.0,74,1317.0
50.74567,-1.23278,-3,3.78,2023-12-12 13:36:23.999000+00:00,gps,50.74566,-1.23279,46,6.0,0.83,195.70584,gps [GPS],00:00:01,1.0,0.0,,,,False,26 / 30,1452,11698.1,-,1.6,1.5,0.8,-,-,Ship,13:36:23 GMT,13:36:24.197,13:36:19.895,13:36:19.904,2.98,1.85,74,1318.0
50.74567,-1.23278,-3,3.76,2023-12-12 13:36:24.999000+00:00,gps,50.74566,-1.23279,46,6.0,0.0,195.70584,gps [GPS],00:00:01,0.6,0.0,,,,False,27 / 31,1453,11698.8,-,2.1,2.0,0.7,-,-,Ship,13:36:24 GMT,13:36:25.194,13:36:20.893,13:36:20.906,0.0,0.0,74,1319.0
50.74567,-1.23279,-3,4.12,2023-12-12 13:36:25.999000+00:00,gps,50.74566,-1.23279,46,8.0,0.0,195.70584,gps [GPS],00:00:01,0.2,0.0,,,,False,29 / 30,1454,11699.0,-,1.6,1.5,0.7,-,-,Ship,13:36:25 GMT,13:36:26.187,13:36:21.885,13:36:21.895,0.0,0.0,74,1320.0
