t,x,y,z,time_from_sync
1412.6799998283386,-6365,2514,-1079,1382.0
1412.6849999427795,-6365,2509,-1079,1382.005000114441
1412.689999818802,-6365,2505,-1079,1382.0099999904635
1412.6949999332428,-6365,2503,-1079,1382.0150001049042
1412.6999998092651,-6362,2504,-1078,1382.0199999809265
1412.704999923706,-6360,2508,-1076,1382.0250000953674
1412.7099997997284,-6357,2513,-1074,1382.0299999713898
1412.7149999141693,-6354,2518,-1074,1382.0350000858307
1412.7199997901917,-6352,2519,-1074,1382.039999961853
1412.7249999046326,-6349,2519,-1074,1382.045000076294
1412.729999780655,-6351,2518,-1075,1382.0499999523163
1412.7349998950958,-6352,2517,-1075,1382.0550000667572
1412.7399997711182,-6354,2516,-1073,1382.0599999427795
1412.744999885559,-6357,2511,-1071,1382.0650000572205
1412.75,-6359,2509,-1068,1382.0700001716614
1412.7549998760223,-6360,2511,-1065,1382.0750000476837
1412.7599999904633,-6358,2517,-1066,1382.0800001621246
1412.7649998664856,-6358,2522,-1067,1382.085000038147
1412.7699999809265,-6357,2527,-1068,1382.090000152588
1412.7749998569489,-6357,2529,-1068,1382.0950000286102
1412.7799999713898,-6357,2531,-1068,1382.1000001430511
1412.784999847412,-6357,2536,-1068,1382.1050000190735
1412.789999961853,-6358,2539,-1067,1382.1100001335144
1412.7949998378754,-6358,2545,-1067,1382.1150000095367
1412.7999999523165,-6364,2548,-1066,1382.120000123978
1412.8049998283386,-6365,2545,-1064,1382.125
1412.8099999427795,-6367,2543,-1062,1382.130000114441
1412.814999818802,-6366,2537,-1060,1382.1349999904635
1412.8199999332428,-6363,2532,-1057,1382.1400001049042
1412.8249998092651,-6364,2531,-1054,1382.1449999809265
1412.829999923706,-6366,2528,-1054,1382.1500000953674
1412.8349997997284,-6368,2526,-1053,1382.1549999713898
1412.8399999141693,-6369,2529,-1052,1382.1600000858307
1412.8449997901917,-6368,2530,-1052,1382.164999961853
1412.8499999046326,-6368,2533,-1049,1382.170000076294
1412.854999780655,-6369,2534,-1048,1382.1749999523163
1412.8599998950958,-6368,2531,-1047,1382.1800000667572
1412.8649997711182,-6367,2533,-1047,1382.1849999427795
1412.869999885559,-6365,2535,-1047,1382.1900000572205
1412.875,-6362,2537,-1046,1382.1950001716614
1412.8799998760223,-6360,2538,-1045,1382.2000000476837
1412.8849999904633,-6359,2538,-1045,1382.2050001621246
1412.8899998664856,-6360,2534,-1044,1382.210000038147
1412.8949999809265,-6362,2535,-1043,1382.215000152588
1412.8999998569489,-6363,2536,-1041,1382.2200000286102
1412.9049999713898,-6363,2533,-1039,1382.2250001430511
1412.909999847412,-6363,2533,-1038,1382.2300000190735
1412.914999961853,-6364,2528,-1037,1382.2350001335144
1412.9199998378754,-6368,2526,-1037,1382.2400000095367
1412.9249999523165,-6373,2528,-1037,1382.245000123978
1412.9299998283386,-6374,2526,-1036,1382.25
1412.9349999427795,-6376,2527,-1035,1382.255000114441
1412.939999818802,-6373,2526,-1033,1382.2599999904635
1412.9449999332428,-6372,2524,-1032,1382.2650001049042
