Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.74562,-1.23268,-8,4.46,2023-12-12 13:38:15.999000+00:00,gps,50.74564,-1.23274,41,8.0,1.45,266.697,gps [GPS],00:00:01,2.1,0.0,,,,False,26 / 30,1564,11905.4,-,1.5,1.3,0.7,-,-,Ship,13:38:15 GMT,13:38:16.197,13:38:11.896,13:38:11.905,5.21,3.24,74,1430.0
50.74563,-1.23271,-7,4.46,2023-12-12 13:38:16.999000+00:00,gps,50.74564,-1.23277,41,8.0,1.5,260.07217,gps [GPS],00:00:01,1.9,0.0,,,,False,27 / 30,1565,11907.4,-,1.6,1.4,0.7,-,-,Ship,13:38:16 GMT,13:38:17.198,13:38:12.897,13:38:12.907,5.42,3.37,74,1431.0
50.74563,-1.23273,-7,4.46,2023-12-12 13:38:17.999000+00:00,gps,50.74564,-1.23279,41,8.0,1.4,259.2232,gps [GPS],00:00:01,1.8,0.0,,,,False,28 / 30,1566,11909.2,-,1.6,1.4,0.7,-,-,Ship,13:38:17 GMT,13:38:18.204,13:38:13.902,13:38:13.912,5.03,3.12,74,1432.0
50.74563,-1.23276,-7,4.46,2023-12-12 13:38:18.999000+00:00,gps,50.74563,-1.23281,41,8.0,1.46,255.5159,gps [GPS],00:00:01,1.8,0.0,,,,False,26 / 30,1567,11911.0,-,1.4,1.3,0.7,-,-,Ship,13:38:18 GMT,13:38:19.219,13:38:14.918,13:38:14.931,5.27,3.27,74,1433.0
50.74563,-1.23278,-7,4.46,2023-12-12 13:38:19.999000+00:00,gps,50.74563,-1.23284,42,8.0,1.23,255.25179,gps [GPS],00:00:01,1.8,0.0,,,,False,26 / 30,1568,11912.8,-,1.4,1.3,0.7,-,-,Ship,13:38:19 GMT,13:38:20.174,13:38:15.872,13:38:15.881,4.43,2.75,74,1434.0
50.74563,-1.23281,-7,4.46,2023-12-12 13:38:20.999000+00:00,gps,50.74562,-1.23285,42,8.0,1.29,255.96109,gps [GPS],00:00:01,1.6,0.0,,,,False,26 / 31,1569,11914.3,-,1.5,1.3,0.7,-,-,Ship,13:38:20 GMT,13:38:21.197,13:38:16.895,13:38:16.905,4.65,2.89,74,1435.0
50.74563,-1.23282,-7,4.46,2023-12-12 13:38:21.999000+00:00,gps,50.74562,-1.23287,42,8.0,1.09,244.6934,gps [GPS],00:00:01,1.4,0.0,,,,False,26 / 30,1570,11915.7,-,1.4,1.2,0.7,-,-,Ship,13:38:21 GMT,13:38:22.197,13:38:17.896,13:38:17.904,3.91,2.43,74,1436.0
50.74562,-1.23284,-7,4.46,2023-12-12 13:38:22.999000+00:00,gps,50.74561,-1.23288,42,8.0,1.04,247.82915,gps [GPS],00:00:01,1.4,0.0,,,,False,26 / 30,1571,11917.1,-,1.4,1.2,0.7,-,-,Ship,13:38:22 GMT,13:38:23.187,13:38:18.886,13:38:18.896,3.75,2.33,74,1437.0
50.74562,-1.23286,-6,4.46,2023-12-12 13:38:23.999000+00:00,gps,50.74561,-1.23289,42,8.0,0.94,249.07541,gps [GPS],00:00:01,1.2,0.0,,,,False,25 / 30,1572,11918.3,-,1.6,1.5,0.7,-,-,Ship,13:38:23 GMT,13:38:24.200,13:38:19.899,13:38:19.908,3.38,2.1,74,1438.0
50.74561,-1.23287,-6,4.46,2023-12-12 13:38:24.999000+00:00,gps,50.7456,-1.2329,42,8.0,0.83,246.77716,gps [GPS],00:00:01,0.9,0.0,,,,False,25 / 30,1573,11919.2,-,1.6,1.4,0.7,-,-,Ship,13:38:24 GMT,13:38:25.182,13:38:20.881,13:38:20.893,2.98,1.85,74,1439.0
