t,x,y,z,time_from_sync
1668.020004892529,-472,-2,-170,1638.0241702399462
1668.095004892529,-472,-3,-169,1638.0991702399463
1668.2900048257718,-473,-5,-172,1638.294170173189
1668.3650048257718,-473,-6,-171,1638.369170173189
1668.5600047590146,-471,0,-174,1638.564170106432
1668.6350047590147,-470,-1,-173,1638.639170106432
1668.8300046922575,-474,0,-166,1638.8341700396747
1668.9050046922575,-474,0,-166,1638.9091700396748
1669.100004863919,-477,6,-163,1639.1041702113362
1669.175004863919,-477,6,-162,1639.1791702113362
1669.3700047971618,-476,0,-165,1639.374170144579
1669.4450047971618,-476,0,-164,1639.449170144579
1669.6400047304046,-473,1,-172,1639.6441700778219
1669.7150047304046,-472,1,-171,1639.719170077822
1669.9100046636474,-472,0,-171,1639.9141700110647
1669.9850046636475,-471,-1,-171,1639.9891700110647
1670.1800045968905,-475,0,-167,1640.1841699443078
1670.2550045968903,-474,0,-166,1640.2591699443076
1670.4500047685517,-476,5,-165,1640.454170115969
1670.5250047685518,-475,4,-165,1640.529170115969
1670.7200047017946,-472,1,-171,1640.7241700492118
1670.7950047017946,-472,0,-170,1640.7991700492119
1670.9900046350374,-475,2,-168,1640.9941699824547
1671.0650046350374,-475,1,-167,1641.0691699824547
1671.2600045682802,-473,2,-169,1641.2641699156975
1671.3350045682805,-473,2,-168,1641.3391699156978
1671.530004501523,-479,4,-161,1641.5341698489403
1671.6050045015231,-479,4,-160,1641.6091698489404
1671.8000046731845,-476,6,-166,1641.8041700206018
1671.8750046731843,-476,6,-166,1641.8791700206016
1672.0700046064271,-475,7,-166,1642.0741699538444
1672.1450046064274,-475,6,-165,1642.1491699538446
1672.3400045396702,-474,3,-170,1642.3441698870874
1672.4150045396702,-473,3,-170,1642.4191698870875
1672.610004472913,-472,2,-171,1642.6141698203303
1672.685004472913,-472,2,-170,1642.6891698203303
1672.880004406156,-473,4,-170,1642.8841697535734
1672.955004406156,-473,3,-170,1642.9591697535732
1673.1500045778173,-473,1,-169,1643.1541699252346
1673.2250045778171,-473,1,-168,1643.2291699252344
1673.42000451106,-476,3,-166,1643.4241698584772
1673.4950045110602,-475,2,-165,1643.4991698584774
1673.690004444303,-474,2,-168,1643.6941697917202
1673.765004444303,-474,2,-168,1643.7691697917203
1673.9600043775458,-472,-1,-174,1643.964169724963
1674.035004377546,-472,-1,-173,1644.0391697249634
1674.230004310789,-470,-9,-173,1644.2341696582062
1674.3050043107887,-470,-9,-172,1644.309169658206
1674.50000448245,-472,-8,-170,1644.5041698298674
1674.57500448245,-472,-9,-170,1644.5791698298672
1674.770004415693,-473,-8,-169,1644.7741697631102
1674.845004415693,-473,-8,-169,1644.8491697631102
1675.0400043489358,-477,-3,-165,1645.044169696353
1675.1150043489358,-477,-3,-164,1645.119169696353
1675.3100042821786,-475,-10,-168,1645.3141696295959
1675.385004282179,-475,-11,-167,1645.3891696295962
1675.5800042154217,-472,-11,-173,1645.584169562839
1675.6550042154215,-472,-12,-172,1645.6591695628388
1675.850004387083,-472,-12,-172,1645.8541697345001
1675.925004387083,-472,-12,-171,1645.9291697345002
1676.1200043203255,-473,-14,-167,1646.1241696677428
1676.1950043203258,-473,-15,-167,1646.199169667743
1676.3900042535686,-474,-8,-170,1646.3941696009858
1676.4650042535686,-474,-8,-169,1646.4691696009859
