t,x,y,z,time_from_sync
1854.6849999427795,-6422,-1901,-2232,1824.005000114441
1854.6899998188017,-6425,-1904,-2234,1824.009999990463
1854.6949999332428,-6427,-1907,-2235,1824.0150001049042
1854.699999809265,-6422,-1908,-2237,1824.0199999809263
1854.704999923706,-6415,-1910,-2238,1824.0250000953674
1854.7099997997284,-6410,-1912,-2239,1824.0299999713898
1854.7149999141693,-6407,-1915,-2239,1824.0350000858307
1854.719999790192,-6406,-1921,-2240,1824.0399999618535
1854.7249999046328,-6406,-1926,-2241,1824.0450000762942
1854.729999780655,-6404,-1931,-2244,1824.0499999523163
1854.734999895096,-6405,-1932,-2247,1824.0550000667574
1854.7399997711184,-6405,-1932,-2248,1824.0599999427798
1854.744999885559,-6404,-1932,-2250,1824.0650000572205
1854.75,-6399,-1935,-2249,1824.0700001716614
1854.7549998760223,-6399,-1937,-2247,1824.0750000476837
1854.7599999904637,-6394,-1939,-2245,1824.080000162125
1854.7649998664856,-6390,-1938,-2244,1824.085000038147
1854.7699999809265,-6390,-1938,-2242,1824.090000152588
1854.7749998569489,-6386,-1940,-2241,1824.0950000286102
1854.7799999713895,-6384,-1942,-2240,1824.100000143051
1854.784999847412,-6385,-1944,-2239,1824.1050000190735
1854.789999961853,-6382,-1945,-2239,1824.1100001335144
1854.7949998378756,-6383,-1945,-2239,1824.115000009537
1854.7999999523165,-6380,-1950,-2239,1824.120000123978
1854.8049998283384,-6376,-1956,-2238,1824.1249999999998
1854.8099999427795,-6372,-1966,-2238,1824.130000114441
1854.8149998188017,-6368,-1975,-2241,1824.134999990463
1854.8199999332428,-6367,-1984,-2242,1824.1400001049042
1854.824999809265,-6364,-1991,-2246,1824.1449999809263
1854.829999923706,-6361,-1994,-2248,1824.1500000953674
1854.8349997997284,-6359,-1999,-2249,1824.1549999713898
1854.8399999141693,-6356,-2003,-2250,1824.1600000858307
1854.844999790192,-6354,-2009,-2251,1824.1649999618535
1854.8499999046328,-6355,-2014,-2252,1824.1700000762942
1854.854999780655,-6356,-2016,-2251,1824.1749999523163
1854.859999895096,-6358,-2018,-2250,1824.1800000667574
1854.8649997711184,-6358,-2018,-2250,1824.1849999427798
1854.869999885559,-6359,-2021,-2250,1824.1900000572205
1854.875,-6360,-2025,-2251,1824.1950001716614
1854.8799998760223,-6362,-2028,-2252,1824.2000000476837
1854.8849999904637,-6363,-2031,-2252,1824.205000162125
1854.8899998664856,-6360,-2030,-2252,1824.210000038147
1854.8949999809265,-6357,-2028,-2252,1824.215000152588
1854.8999998569489,-6354,-2025,-2254,1824.2200000286102
1854.9049999713895,-6355,-2025,-2253,1824.225000143051
1854.909999847412,-6355,-2034,-2253,1824.2300000190735
1854.914999961853,-6353,-2042,-2251,1824.2350001335144
1854.9199998378756,-6348,-2054,-2248,1824.240000009537
1854.9249999523165,-6346,-2063,-2248,1824.245000123978
1854.9299998283384,-6343,-2069,-2248,1824.2499999999998
1854.9349999427795,-6343,-2071,-2250,1824.255000114441
1854.9399998188017,-6347,-2071,-2251,1824.259999990463
1854.9449999332428,-6350,-2071,-2252,1824.2650001049042
1854.949999809265,-6351,-2071,-2251,1824.2699999809263
1854.954999923706,-6348,-2074,-2251,1824.2750000953674
1854.9599997997284,-6342,-2077,-2251,1824.2799999713898
1854.9649999141693,-6334,-2078,-2251,1824.2850000858307
1854.969999790192,-6329,-2080,-2252,1824.2899999618535
1854.9749999046328,-6325,-2086,-2253,1824.2950000762942
1854.979999780655,-6324,-2092,-2252,1824.2999999523163
1854.984999895096,-6323,-2098,-2252,1824.3050000667574
1854.9899997711184,-6321,-2104,-2251,1824.3099999427798
1854.994999885559,-6319,-2108,-2250,1824.3150000572205
1855.0,-6317,-2111,-2250,1824.3200001716614
1855.0049998760223,-6314,-2114,-2251,1824.3250000476837
1855.0099999904637,-6315,-2120,-2251,1824.330000162125
1855.0149998664856,-6317,-2128,-2250,1824.335000038147
1855.0199999809265,-6316,-2137,-2248,1824.340000152588
1855.0249998569489,-6316,-2143,-2247,1824.3450000286102
1855.0299999713895,-6315,-2145,-2246,1824.350000143051
1855.034999847412,-6313,-2144,-2244,1824.3550000190735
1855.039999961853,-6310,-2140,-2242,1824.3600001335144
