t,x,y,z,time_from_sync
1947.609999895096,-461,469,-378,1930.0083333253863
1947.619999885559,-461,469,-378,1930.0183333158493
1947.6299998760223,-461,470,-375,1930.0283333063126
1947.6399998664856,-460,471,-373,1930.0383332967758
1947.6500000953677,-460,471,-375,1930.0483335256579
1947.6600000858307,-460,470,-377,1930.058333516121
1947.670000076294,-460,470,-378,1930.0683335065842
1947.6800000667567,-460,469,-378,1930.078333497047
1947.6900000572205,-459,468,-379,1930.0883334875107
1947.700000047684,-459,467,-379,1930.0983334779742
1947.710000038147,-459,469,-376,1930.1083334684372
1947.7200000286105,-460,470,-374,1930.1183334589007
1947.7300000190733,-460,470,-376,1930.1283334493635
1947.7400000095367,-460,470,-376,1930.138333439827
1947.75,-461,470,-377,1930.1483334302902
1947.7599999904637,-461,469,-378,1930.158333420754
1947.7699999809265,-462,469,-378,1930.1683334112167
1947.7799999713895,-462,469,-379,1930.1783334016798
1947.789999961853,-462,470,-376,1930.1883333921432
1947.795000076294,-462,470,-374,1930.1933335065842
1947.7999999523165,-462,470,-373,1930.1983333826067
1947.8199999332428,-462,470,-371,1930.218333363533
1947.829999923706,-462,470,-370,1930.2283333539963
1947.8399999141693,-462,470,-372,1930.2383333444595
1947.8499999046328,-462,469,-374,1930.248333334923
1947.859999895096,-463,469,-374,1930.2583333253863
1947.869999885559,-463,470,-372,1930.2683333158493
1947.8799998760223,-463,471,-370,1930.2783333063126
1947.8899998664856,-463,470,-372,1930.2883332967758
1947.9000000953677,-463,469,-373,1930.2983335256579
1947.9100000858307,-464,468,-374,1930.308333516121
1947.920000076294,-464,468,-375,1930.3183335065842
1947.9300000667567,-465,467,-376,1930.328333497047
1947.9400000572205,-464,468,-374,1930.3383334875107
1947.950000047684,-464,469,-373,1930.3483334779742
1947.960000038147,-464,469,-374,1930.3583334684372
1947.9700000286105,-464,468,-375,1930.3683334589007
1947.9800000190733,-464,467,-376,1930.3783334493635
1947.9900000095367,-465,467,-378,1930.388333439827
