t,x,y,z,time_from_sync
3898.119999885559,6605,-6252,-4115,3791.0037500858307
3898.125,6594,-6268,-4118,3791.0087502002716
3898.1299998760223,6582,-6286,-4123,3791.013750076294
3898.1349999904633,6571,-6304,-4129,3791.018750190735
3898.1399998664856,6557,-6322,-4130,3791.023750066757
3898.1449999809274,6540,-6340,-4130,3791.028750181199
3898.149999856949,6523,-6359,-4127,3791.0337500572205
3898.1549999713898,6507,-6377,-4123,3791.0387501716614
3898.159999847412,6492,-6395,-4122,3791.0437500476837
3898.164999961853,6478,-6414,-4124,3791.0487501621246
3898.1699998378754,6463,-6432,-4128,3791.053750038147
3898.174999952316,6446,-6450,-4133,3791.0587501525874
3898.1799998283386,6430,-6469,-4138,3791.0637500286102
3898.18499994278,6413,-6489,-4144,3791.0687501430516
3898.189999818802,6396,-6509,-4149,3791.0737500190735
3898.194999933243,6381,-6530,-4156,3791.0787501335144
3898.199999809265,6362,-6550,-4160,3791.0837500095367
3898.204999923706,6343,-6570,-4161,3791.0887501239777
3898.209999799728,6323,-6590,-4158,3791.0937499999995
3898.214999914169,6303,-6609,-4155,3791.0987501144405
3898.219999790192,6281,-6631,-4152,3791.1037499904637
3898.224999904633,6255,-6651,-4151,3791.1087501049046
3898.229999780655,6230,-6672,-4152,3791.1137499809265
3898.234999895096,6208,-6693,-4157,3791.1187500953674
3898.239999771118,6186,-6715,-4155,3791.1237499713898
3898.244999885559,6166,-6738,-4152,3791.1287500858307
3898.25,6146,-6760,-4150,3791.1337502002716
3898.2549998760223,6126,-6781,-4146,3791.138750076294
3898.2599999904633,6106,-6802,-4142,3791.143750190735
3898.2649998664856,6085,-6823,-4139,3791.148750066757
3898.2699999809274,6063,-6844,-4135,3791.153750181199
3898.274999856949,6039,-6866,-4133,3791.1587500572205
3898.2799999713898,6017,-6886,-4131,3791.1637501716614
3898.284999847412,5995,-6907,-4128,3791.1687500476837
3898.289999961853,5974,-6926,-4127,3791.1737501621246
3898.2949998378754,5953,-6944,-4125,3791.178750038147
3898.299999952316,5930,-6962,-4124,3791.1837501525874
3898.3049998283386,5906,-6979,-4127,3791.1887500286102
3898.30999994278,5883,-6995,-4130,3791.1937501430516
3898.314999818802,5861,-7011,-4134,3791.1987500190735
3898.319999933243,5838,-7026,-4138,3791.2037501335144
3898.324999809265,5816,-7041,-4138,3791.2087500095367
3898.329999923706,5796,-7055,-4137,3791.2137501239777
3898.334999799728,5777,-7068,-4137,3791.2187499999995
3898.339999914169,5758,-7083,-4136,3791.2237501144405
3898.344999790192,5740,-7095,-4136,3791.2287499904637
3898.349999904633,5724,-7108,-4133,3791.2337501049046
3898.354999780655,5708,-7119,-4130,3791.2387499809265
3898.359999895096,5694,-7129,-4125,3791.2437500953674
3898.364999771118,5680,-7139,-4119,3791.2487499713898
3898.369999885559,5666,-7148,-4117,3791.2537500858307
3898.375,5654,-7158,-4115,3791.2587502002716
3898.3799998760223,5642,-7167,-4112,3791.263750076294
3898.3849999904633,5632,-7176,-4111,3791.268750190735
3898.3899998664856,5624,-7182,-4110,3791.273750066757
3898.3949999809274,5615,-7189,-4111,3791.278750181199
3898.399999856949,5608,-7195,-4113,3791.2837500572205
3898.4049999713898,5601,-7204,-4114,3791.2887501716614
3898.409999847412,5592,-7212,-4115,3791.2937500476837
3898.414999961853,5586,-7219,-4114,3791.2987501621246
3898.4199998378754,5579,-7226,-4112,3791.303750038147
3898.424999952316,5572,-7232,-4110,3791.3087501525874
3898.4299998283386,5567,-7239,-4107,3791.3137500286102
3898.43499994278,5562,-7245,-4102,3791.3187501430516
3898.439999818802,5559,-7250,-4098,3791.3237500190735
3898.444999933243,5557,-7255,-4096,3791.3287501335144
3898.449999809265,5554,-7260,-4097,3791.3337500095367
3898.454999923706,5553,-7264,-4101,3791.3387501239777
3898.459999799728,5551,-7267,-4108,3791.3437499999995
3898.464999914169,5549,-7269,-4115,3791.3487501144405
3898.469999790192,5548,-7271,-4118,3791.3537499904637
3898.474999904633,5544,-7273,-4118,3791.3587501049046
3898.479999780655,5540,-7274,-4116,3791.3637499809265
3898.484999895096,5538,-7273,-4111,3791.3687500953674
3898.489999771118,5534,-7273,-4109,3791.3737499713898
3898.494999885559,5531,-7274,-4108,3791.3787500858307
3898.5,5529,-7274,-4105,3791.3837502002716
3898.5049998760223,5526,-7275,-4106,3791.388750076294
3898.5099999904633,5523,-7276,-4106,3791.393750190735
3898.5149998664856,5519,-7276,-4102,3791.398750066757
3898.5199999809274,5515,-7276,-4099,3791.403750181199
3898.524999856949,5512,-7277,-4100,3791.4087500572205
3898.5299999713898,5509,-7277,-4101,3791.4137501716614
3898.534999847412,5508,-7277,-4102,3791.4187500476837
3898.539999961853,5506,-7278,-4105,3791.4237501621246
3898.5449998378754,5505,-7278,-4105,3791.428750038147
3898.549999952316,5504,-7280,-4100,3791.4337501525874
3898.5549998283386,5501,-7281,-4097,3791.4387500286102
3898.55999994278,5498,-7284,-4095,3791.4437501430516
3898.564999818802,5496,-7286,-4098,3791.4487500190735
3898.569999933243,5494,-7286,-4103,3791.4537501335144
3898.574999809265,5495,-7287,-4107,3791.4587500095367
3898.579999923706,5496,-7287,-4110,3791.4637501239777
3898.584999799728,5497,-7287,-4113,3791.4687499999995
3898.589999914169,5497,-7289,-4114,3791.4737501144405
3898.594999790192,5496,-7291,-4113,3791.4787499904637
3898.599999904633,5494,-7292,-4116,3791.4837501049046
3898.604999780655,5493,-7294,-4117,3791.4887499809265
3898.609999895096,5493,-7295,-4116,3791.4937500953674
3898.614999771118,5491,-7298,-4116,3791.4987499713898
3898.619999885559,5490,-7300,-4115,3791.5037500858307
3898.625,5489,-7302,-4113,3791.5087502002716
3898.6299998760223,5488,-7305,-4111,3791.513750076294
3898.6349999904633,5487,-7307,-4108,3791.518750190735
3898.6399998664856,5486,-7309,-4104,3791.523750066757
3898.6449999809274,5483,-7310,-4100,3791.528750181199
3898.649999856949,5480,-7310,-4096,3791.5337500572205
3898.6549999713898,5479,-7310,-4096,3791.5387501716614
3898.659999847412,5478,-7310,-4093,3791.5437500476837
3898.664999961853,5478,-7311,-4091,3791.5487501621246
3898.6699998378754,5479,-7312,-4091,3791.553750038147
3898.674999952316,5478,-7315,-4091,3791.5587501525874
3898.6799998283386,5476,-7316,-4095,3791.5637500286102
3898.68499994278,5472,-7317,-4101,3791.5687501430516
3898.689999818802,5468,-7317,-4101,3791.5737500190735
3898.694999933243,5463,-7316,-4101,3791.5787501335144
3898.699999809265,5460,-7316,-4098,3791.5837500095367
3898.704999923706,5459,-7316,-4094,3791.5887501239777
3898.709999799728,5460,-7316,-4092,3791.5937499999995
3898.714999914169,5460,-7316,-4088,3791.5987501144405
3898.719999790192,5462,-7317,-4087,3791.6037499904637
3898.724999904633,5466,-7320,-4088,3791.6087501049046
3898.729999780655,5469,-7322,-4091,3791.6137499809265
3898.734999895096,5470,-7323,-4093,3791.6187500953674
3898.739999771118,5471,-7326,-4093,3791.6237499713898
3898.744999885559,5470,-7327,-4092,3791.6287500858307
3898.75,5470,-7329,-4093,3791.6337502002716
3898.7549998760223,5473,-7331,-4092,3791.638750076294
3898.7599999904633,5474,-7331,-4090,3791.643750190735
3898.7649998664856,5473,-7330,-4085,3791.648750066757
3898.7699999809274,5472,-7328,-4081,3791.653750181199
3898.774999856949,5469,-7328,-4081,3791.6587500572205
3898.7799999713898,5467,-7329,-4082,3791.6637501716614
3898.784999847412,5467,-7329,-4082,3791.6687500476837
3898.789999961853,5468,-7328,-4079,3791.6737501621246
3898.7949998378754,5469,-7327,-4079,3791.678750038147
3898.799999952316,5470,-7327,-4078,3791.6837501525874
3898.8049998283386,5470,-7326,-4077,3791.6887500286102
3898.80999994278,5471,-7326,-4079,3791.6937501430516
3898.814999818802,5475,-7327,-4082,3791.6987500190735
3898.819999933243,5478,-7328,-4081,3791.7037501335144
3898.824999809265,5481,-7331,-4081,3791.7087500095367
3898.829999923706,5482,-7332,-4079,3791.7137501239777
3898.834999799728,5481,-7333,-4079,3791.7187499999995
3898.839999914169,5478,-7333,-4077,3791.7237501144405
3898.844999790192,5475,-7332,-4074,3791.7287499904637
3898.849999904633,5473,-7329,-4072,3791.7337501049046
3898.854999780655,5473,-7326,-4067,3791.7387499809265
3898.859999895096,5472,-7324,-4067,3791.7437500953674
3898.864999771118,5471,-7323,-4066,3791.7487499713898
3898.869999885559,5471,-7324,-4065,3791.7537500858307
3898.875,5471,-7327,-4064,3791.7587502002716
3898.8799998760223,5472,-7330,-4061,3791.763750076294
3898.8849999904633,5471,-7330,-4058,3791.768750190735
3898.8899998664856,5469,-7329,-4054,3791.773750066757
3898.8949999809274,5467,-7325,-4049,3791.778750181199
3898.899999856949,5464,-7322,-4047,3791.7837500572205
3898.9049999713898,5464,-7321,-4044,3791.7887501716614
3898.909999847412,5464,-7322,-4043,3791.7937500476837
3898.914999961853,5464,-7324,-4047,3791.7987501621246
3898.9199998378754,5465,-7326,-4051,3791.803750038147
3898.924999952316,5466,-7329,-4053,3791.8087501525874
3898.9299998283386,5466,-7331,-4055,3791.8137500286102
3898.93499994278,5468,-7333,-4051,3791.8187501430516
3898.939999818802,5469,-7334,-4047,3791.8237500190735
3898.944999933243,5470,-7334,-4046,3791.8287501335144
3898.949999809265,5472,-7334,-4046,3791.8337500095367
3898.954999923706,5473,-7333,-4049,3791.8387501239777
3898.959999799728,5475,-7334,-4051,3791.8437499999995
3898.964999914169,5479,-7336,-4051,3791.8487501144405
3898.969999790192,5480,-7337,-4051,3791.8537499904637
3898.974999904633,5481,-7336,-4050,3791.8587501049046
3898.979999780655,5479,-7335,-4049,3791.8637499809265
3898.984999895096,5477,-7331,-4050,3791.8687500953674
3898.989999771118,5476,-7327,-4049,3791.8737499713898
3898.994999885559,5475,-7325,-4047,3791.8787500858307
3899.0,5476,-7323,-4049,3791.8837502002716
3899.0049998760223,5476,-7321,-4048,3791.888750076294
3899.0099999904633,5476,-7317,-4049,3791.893750190735
3899.0149998664856,5478,-7314,-4050,3791.898750066757
3899.0199999809274,5479,-7311,-4049,3791.903750181199
3899.024999856949,5480,-7310,-4051,3791.9087500572205
3899.0299999713898,5481,-7313,-4053,3791.9137501716614
3899.034999847412,5482,-7313,-4056,3791.9187500476837
3899.039999961853,5483,-7317,-4061,3791.9237501621246
3899.0449998378754,5483,-7319,-4061,3791.928750038147
3899.049999952316,5484,-7320,-4064,3791.9337501525874
3899.0549998283386,5483,-7322,-4067,3791.9387500286102
3899.05999994278,5482,-7322,-4069,3791.9437501430516
3899.064999818802,5482,-7323,-4075,3791.9487500190735
3899.069999933243,5483,-7324,-4076,3791.9537501335144
3899.074999809265,5486,-7325,-4078,3791.9587500095367
3899.079999923706,5488,-7325,-4081,3791.9637501239777
3899.084999799728,5489,-7326,-4082,3791.9687499999995
3899.089999914169,5489,-7325,-4082,3791.9737501144405
3899.094999790192,5488,-7325,-4079,3791.9787499904637
3899.099999904633,5487,-7326,-4072,3791.9837501049046
3899.104999780655,5489,-7326,-4069,3791.9887499809265
3899.109999895096,5492,-7325,-4068,3791.9937500953674
3899.114999771118,5495,-7323,-4068,3791.9987499713898
3899.119999885559,5498,-7320,-4072,3792.0037500858307
