t,x,y,z,time_from_sync
3817.619999885559,-395,104,-378,3791.0008333126702
3817.6299998760223,-395,106,-375,3791.0108333031335
3817.6399998664856,-395,107,-373,3791.0208332935968
3817.650000095368,-395,107,-375,3791.030833522479
3817.660000085831,-396,106,-376,3791.0408335129423
3817.670000076294,-396,106,-377,3791.050833503405
3817.680000066757,-396,106,-377,3791.0608334938684
3817.690000057221,-396,105,-378,3791.070833484332
3817.700000047684,-397,105,-378,3791.0808334747953
3817.710000038147,-397,107,-376,3791.090833465258
3817.72000002861,-396,108,-374,3791.100833455721
3817.7300000190735,-396,108,-376,3791.1108334461846
3817.7400000095367,-396,107,-377,3791.120833436648
3817.75,-397,107,-378,3791.130833427111
3817.7599999904633,-397,106,-379,3791.1408334175744
3817.7699999809274,-397,107,-379,3791.1508334080386
3817.7799999713898,-397,106,-380,3791.160833398501
3817.789999961853,-397,108,-377,3791.170833388964
3817.799999952316,-397,108,-375,3791.180833379427
3817.80999994278,-397,108,-376,3791.190833369891
3817.819999933243,-397,108,-378,3791.200833360354
3817.829999923706,-397,107,-379,3791.210833350817
3817.839999914169,-397,108,-379,3791.22083334128
3817.849999904633,-397,108,-380,3791.230833331744
3817.859999895096,-397,109,-378,3791.240833322207
3817.869999885559,-397,111,-376,3791.2508333126702
3817.8799998760223,-397,110,-377,3791.2608333031335
3817.8899998664856,-397,110,-378,3791.2708332935968
3817.900000095368,-398,110,-379,3791.280833522479
3817.910000085831,-398,109,-380,3791.2908335129423
3817.920000076294,-398,109,-380,3791.300833503405
3817.930000066757,-398,109,-380,3791.3108334938684
3817.940000057221,-397,110,-377,3791.320833484332
3817.950000047684,-397,112,-376,3791.3308334747953
3817.960000038147,-398,111,-377,3791.340833465258
3817.97000002861,-398,111,-378,3791.350833455721
3817.9800000190735,-398,111,-379,3791.3608334461846
3817.9900000095367,-399,110,-380,3791.370833436648
3818.0,-399,110,-381,3791.380833427111
3818.0099999904633,-399,110,-381,3791.3908334175744
3818.0199999809274,-399,111,-378,3791.4008334080386
3818.0299999713898,-399,113,-377,3791.410833398501
3818.039999961853,-399,112,-379,3791.420833388964
3818.049999952316,-399,112,-379,3791.430833379427
3818.05999994278,-399,113,-380,3791.440833369891
3818.069999933243,-399,112,-381,3791.450833360354
3818.079999923706,-399,112,-382,3791.460833350817
3818.089999914169,-399,112,-383,3791.47083334128
3818.099999904633,-399,113,-380,3791.480833331744
3818.109999895096,-399,114,-378,3791.490833322207
3818.119999885559,-399,114,-380,3791.5008333126702
3818.1299998760223,-399,113,-381,3791.5108333031335
3818.1399998664856,-398,113,-382,3791.5208332935968
3818.150000095368,-398,113,-383,3791.530833522479
3818.160000085831,-398,113,-383,3791.5408335129423
3818.170000076294,-399,114,-381,3791.550833503405
3818.180000066757,-398,115,-379,3791.5608334938684
3818.190000057221,-398,115,-381,3791.570833484332
3818.200000047684,-398,115,-381,3791.5808334747953
3818.210000038147,-398,114,-382,3791.590833465258
3818.22000002861,-398,114,-382,3791.600833455721
3818.2300000190735,-398,114,-383,3791.6108334461846
3818.2400000095367,-399,114,-383,3791.620833436648
3818.25,-399,115,-380,3791.630833427111
3818.2599999904633,-398,116,-379,3791.6408334175744
3818.2699999809274,-398,115,-380,3791.6508334080386
3818.2799999713898,-399,114,-381,3791.660833398501
3818.289999961853,-399,114,-381,3791.670833388964
3818.299999952316,-399,114,-381,3791.680833379427
3818.30999994278,-399,113,-382,3791.690833369891
3818.319999933243,-399,113,-382,3791.700833360354
3818.329999923706,-399,115,-380,3791.710833350817
3818.339999914169,-399,116,-378,3791.72083334128
3818.349999904633,-398,115,-380,3791.730833331744
3818.359999895096,-398,115,-381,3791.740833322207
3818.369999885559,-398,114,-382,3791.7508333126702
3818.3799998760223,-399,114,-383,3791.7608333031335
3818.3899998664856,-399,114,-384,3791.7708332935968
3818.400000095368,-399,114,-384,3791.780833522479
3818.410000085831,-399,116,-380,3791.7908335129423
3818.420000076294,-399,117,-378,3791.800833503405
3818.430000066757,-399,116,-379,3791.8108334938684
3818.440000057221,-399,115,-380,3791.820833484332
3818.450000047684,-399,115,-381,3791.8308334747953
3818.460000038147,-399,114,-382,3791.840833465258
3818.47000002861,-399,114,-383,3791.850833455721
3818.4800000190735,-399,114,-384,3791.8608334461846
3818.4900000095367,-399,115,-381,3791.870833436648
3818.5,-399,117,-379,3791.880833427111
3818.5099999904633,-399,117,-381,3791.8908334175744
3818.5199999809274,-399,116,-382,3791.9008334080386
3818.5299999713898,-399,115,-383,3791.910833398501
3818.535000085831,-399,116,-379,3791.9158335129423
3818.539999961853,-398,116,-379,3791.920833388964
3818.555000066757,-398,117,-377,3791.9358334938684
3818.569999933243,-398,118,-375,3791.950833360354
3818.579999923706,-398,118,-376,3791.960833350817
3818.589999914169,-398,117,-378,3791.97083334128
3818.599999904633,-398,117,-380,3791.980833331744
3818.609999895096,-398,116,-381,3791.990833322207
