t,x,y,z,time_from_sync
4046.099999904633,-477,-1140,-41,4007.0333333015446
4046.174999952316,-477,-1142,-43,4007.1083333492275
4046.2549998760223,-476,-1141,-44,4007.188333272934
4046.329999923706,-476,-1140,-45,4007.2633333206177
4046.410000085831,-476,-1141,-48,4007.3433334827428
4046.484999895096,-476,-1142,-50,4007.4183332920074
4046.565000057221,-476,-1143,-51,4007.4983334541325
4046.6399998664856,-475,-1142,-53,4007.573333263397
4046.72000002861,-474,-1144,-55,4007.6533334255214
4046.795000076294,-473,-1144,-57,4007.7283334732056
4046.875,-472,-1145,-58,4007.8083333969116
4046.950000047684,-472,-1144,-60,4007.883333444596
4047.0299999713898,-472,-1143,-61,4007.9633333683014
4047.1050000190735,-471,-1145,-62,4008.038333415985
4047.18499994278,-469,-1144,-63,4008.1183333396916
4047.2599999904633,-471,-1145,-65,4008.193333387375
4047.339999914169,-470,-1146,-66,4008.2733333110805
4047.414999961853,-470,-1145,-65,4008.3483333587646
4047.494999885559,-470,-1146,-65,4008.4283332824707
4047.569999933243,-471,-1145,-64,4008.5033333301544
4047.649999856949,-470,-1145,-64,4008.5833332538605
4047.724999904633,-470,-1146,-63,4008.6583333015446
4047.805000066757,-470,-1144,-62,4008.738333463669
4047.8799998760223,-470,-1144,-60,4008.813333272934
4047.960000038147,-471,-1145,-58,4008.8933334350586
4048.035000085831,-471,-1146,-57,4008.9683334827428
4048.1150000095367,-471,-1146,-56,4009.0483334064484
4048.190000057221,-471,-1147,-54,4009.1233334541325
4048.2699999809274,-472,-1146,-52,4009.203333377839
4048.34500002861,-471,-1145,-52,4009.2783334255214
4048.424999952316,-472,-1146,-51,4009.3583333492275
4048.5,-472,-1145,-49,4009.4333333969116
4048.579999923706,-473,-1146,-48,4009.5133333206177
4048.6549999713898,-473,-1146,-46,4009.5883333683014
4048.734999895096,-473,-1144,-45,4009.6683332920074
4048.80999994278,-473,-1144,-45,4009.7433333396916
4048.8899998664856,-473,-1144,-45,4009.823333263397
4048.964999914169,-475,-1144,-44,4009.8983333110805
4049.045000076294,-474,-1143,-44,4009.9783334732056
4049.119999885559,-474,-1143,-44,4010.0533332824707
4049.200000047684,-474,-1142,-44,4010.133333444596
4049.274999856949,-474,-1143,-45,4010.2083332538605
4049.3550000190735,-475,-1143,-46,4010.288333415985
4049.430000066757,-475,-1142,-46,4010.363333463669
4049.5099999904633,-475,-1143,-47,4010.443333387375
4049.585000038147,-475,-1144,-48,4010.5183334350586
4049.664999961853,-474,-1143,-48,4010.5983333587646
4049.7400000095367,-473,-1144,-50,4010.6733334064484
4049.819999933243,-472,-1145,-52,4010.7533333301544
4049.8949999809274,-471,-1146,-51,4010.828333377839
4049.974999904633,-471,-1147,-53,4010.9083333015446
4050.049999952316,-470,-1147,-54,4010.9833333492275
4050.1299998760223,-469,-1148,-55,4011.063333272934
4050.204999923706,-468,-1150,-55,4011.1383333206177
4050.285000085831,-468,-1150,-56,4011.2183334827428
4050.359999895096,-467,-1150,-58,4011.2933332920074
4050.440000057221,-467,-1151,-59,4011.3733334541325
4050.5149998664856,-467,-1151,-60,4011.448333263397
4050.59500002861,-466,-1151,-62,4011.5283334255214
4050.670000076294,-466,-1150,-61,4011.6033334732056
4050.75,-466,-1151,-62,4011.6833333969116
4050.825000047684,-467,-1149,-62,4011.758333444596
4050.9049999713898,-468,-1150,-62,4011.8383333683014
4050.9800000190735,-468,-1148,-61,4011.913333415985
4051.05999994278,-469,-1147,-60,4011.9933333396916
4051.1349999904633,-470,-1145,-58,4012.068333387375
4051.214999914169,-471,-1145,-59,4012.1483333110805
