t,x,y,z,time_from_sync
4373.144999980927,-124.2718505859375,-83.133544921875,-121.915283203125,4334.078333377839
4373.22000002861,-126.6009521484375,-83.4576416015625,-120.179443359375,4334.153333425522
4373.299999952316,-128.91357421875,-83.770751953125,-118.36669921875,4334.233333349228
4373.375,-131.4459228515625,-84.0673828125,-116.707763671875,4334.308333396912
4373.454999923706,-134.1705322265625,-84.3585205078125,-114.9224853515625,4334.388333320618
4373.52999997139,-135.46142578125,-84.638671875,-113.466796875,4334.463333368301
4373.609999895096,-135.6536865234375,-84.781494140625,-112.8900146484375,4334.543333292007
4373.68499994278,-135.87890625,-84.8748779296875,-113.0328369140625,4334.618333339692
4373.764999866486,-134.241943359375,-84.8638916015625,-114.4830322265625,4334.698333263397
4373.839999914169,-132.462158203125,-84.814453125,-116.0101318359375,4334.773333311081
4373.920000076294,-130.341796875,-84.671630859375,-119.0423583984375,4334.853333473206
4373.994999885559,-127.4359130859375,-84.375,-121.871337890625,4334.928333282471
4374.075000047684,-125.3485107421875,-84.04541015625,-124.508056640625,4335.008333444595
4374.149999856949,-122.8985595703125,-83.748779296875,-126.9085693359375,4335.0833332538605
4374.2300000190735,-121.3275146484375,-83.375244140625,-129.13330078125,4335.163333415985
4374.305000066757,-119.014892578125,-83.023681640625,-130.704345703125,4335.238333463669
4374.384999990463,-117.7734375,-82.68310546875,-132.3468017578125,4335.318333387375
4374.460000038147,-116.6912841796875,-82.386474609375,-133.6102294921875,4335.393333435059
4374.539999961853,-115.4827880859375,-82.11181640625,-134.2584228515625,4335.473333358765
4374.615000009537,-114.158935546875,-81.89208984375,-134.6319580078125,4335.548333406448
4374.694999933243,-112.7691650390625,-81.76025390625,-134.7418212890625,4335.628333330154
4374.769999980927,-111.9232177734375,-81.6339111328125,-135.032958984375,4335.703333377839
4374.849999904633,-111.6705322265625,-81.5679931640625,-135.164794921875,4335.783333301544
4374.924999952316,-112.510986328125,-81.507568359375,-135.4559326171875,4335.858333349228
4375.004999876022,-111.8902587890625,-81.5679931640625,-135.1263427734375,4335.938333272934
4375.079999923706,-111.697998046875,-81.7108154296875,-134.89013671875,4336.013333320618
4375.160000085831,-112.74169921875,-81.859130859375,-134.439697265625,4336.093333482742
4375.234999895096,-112.9559326171875,-82.0458984375,-133.6541748046875,4336.168333292007
4375.3150000572205,-112.7252197265625,-82.3809814453125,-132.4237060546875,4336.248333454132
4375.389999866486,-112.9449462890625,-82.760009765625,-131.099853515625,4336.323333263397
4375.47000002861,-113.763427734375,-83.0841064453125,-129.6331787109375,4336.403333425522
4375.545000076294,-115.64208984375,-83.4521484375,-128.2379150390625,4336.478333473206
4375.625,-117.1087646484375,-83.7872314453125,-126.0186767578125,4336.558333396912
4375.700000047684,-119.4268798828125,-84.056396484375,-124.2059326171875,4336.633333444595
4375.77999997139,-121.2835693359375,-84.2706298828125,-122.1295166015625,4336.713333368301
4375.8550000190735,-123.310546875,-84.3914794921875,-120.7012939453125,4336.788333415985
4375.93499994278,-125.4693603515625,-84.5452880859375,-119.2730712890625,4336.868333339692
4376.009999990463,-126.2054443359375,-84.57275390625,-118.3172607421875,4336.943333387375
4376.089999914169,-126.4581298828125,-84.4903564453125,-117.4383544921875,4337.023333311081
4376.164999961853,-127.3095703125,-84.3804931640625,-116.290283203125,4337.098333358765
4376.244999885559,-128.748779296875,-84.19921875,-115.675048828125,4337.178333282471
4376.319999933243,-128.067626953125,-84.0673828125,-115.587158203125,4337.253333330154
4376.399999856949,-128.6444091796875,-83.902587890625,-116.1639404296875,4337.3333332538605
4376.474999904633,-128.16650390625,-83.73779296875,-117.70751953125,4337.408333301544
4376.555000066757,-127.738037109375,-83.6279296875,-119.091796875,4337.488333463669
4376.629999876022,-126.7877197265625,-83.6224365234375,-120.5035400390625,4337.563333272934
4376.710000038147,-126.5679931640625,-83.4576416015625,-122.607421875,4337.643333435059
4376.785000085831,-125.474853515625,-83.3917236328125,-124.4970703125,4337.718333482742
4376.865000009537,-124.9200439453125,-83.3367919921875,-126.3262939453125,4337.798333406448
4376.9400000572205,-124.27734375,-83.2598876953125,-128.408203125,4337.873333454132
4377.019999980927,-123.2830810546875,-83.25439453125,-130.6878662109375,4337.953333377839
4377.09500002861,-122.2119140625,-83.2269287109375,-132.3687744140625,4338.028333425522
4377.174999952316,-121.409912109375,-83.3477783203125,-134.0167236328125,4338.108333349228
4377.25,-120.443115234375,-83.4796142578125,-135.2801513671875,4338.183333396912
4377.329999923706,-119.9542236328125,-83.551025390625,-136.768798828125,4338.263333320618
4377.40499997139,-120.3167724609375,-83.594970703125,-137.845458984375,4338.338333368301
4377.484999895096,-119.7674560546875,-83.69384765625,-138.0706787109375,4338.418333292007
4377.55999994278,-119.278564453125,-83.7542724609375,-138.5870361328125,4338.493333339692
4377.639999866486,-118.8775634765625,-83.9080810546875,-138.6639404296875,4338.573333263397
4377.714999914169,-119.59716796875,-84.056396484375,-138.570556640625,4338.648333311081
4377.795000076294,-120.2288818359375,-84.188232421875,-138.1585693359375,4338.728333473206
4377.869999885559,-120.684814453125,-84.22119140625,-137.977294921875,4338.803333282471
4377.950000047684,-121.563720703125,-84.26513671875,-137.515869140625,4338.883333444595
4378.024999856949,-122.091064453125,-84.2431640625,-137.120361328125,4338.9583332538605
4378.1050000190735,-121.937255859375,-84.19921875,-136.7962646484375,4339.038333415985
4378.180000066757,-122.7777099609375,-84.1058349609375,-136.7083740234375,4339.113333463669
4378.259999990463,-124.068603515625,-83.9630126953125,-136.60400390625,4339.193333387375
4378.335000038147,-124.95849609375,-83.84765625,-136.329345703125,4339.268333435059
4378.414999961853,-125.9033203125,-83.7432861328125,-136.4447021484375,4339.348333358765
4378.490000009537,-126.551513671875,-83.6883544921875,-136.7303466796875,4339.423333406448
4378.569999933243,-126.93603515625,-83.583984375,-136.6973876953125,4339.503333330154
4378.644999980927,-127.001953125,-83.5400390625,-137.0489501953125,4339.578333377839
4378.724999904633,-127.781982421875,-83.4796142578125,-137.296142578125,4339.658333301544
4378.799999952316,-128.0126953125,-83.4796142578125,-137.120361328125,4339.733333349228
4378.879999876022,-128.3148193359375,-83.5675048828125,-137.1807861328125,4339.813333272934
4378.954999923706,-128.858642578125,-83.6444091796875,-137.1917724609375,4339.888333320618
4379.035000085831,-128.7652587890625,-83.6553955078125,-137.3785400390625,4339.968333482742
4379.109999895096,-128.5675048828125,-83.7652587890625,-137.3565673828125,4340.043333292007
4379.1900000572205,-128.7103271484375,-83.8861083984375,-137.1038818359375,4340.123333454132
4379.264999866486,-128.408203125,-84.0234375,-137.2137451171875,4340.198333263397
4379.34500002861,-128.814697265625,-84.1827392578125,-137.0050048828125,4340.278333425522
4379.420000076294,-129.44091796875,-84.3035888671875,-137.120361328125,4340.353333473206
4379.5,-130.198974609375,-84.48486328125,-136.7578125,4340.433333396912
4379.575000047684,-130.2154541015625,-84.5947265625,-136.702880859375,4340.508333444595
4379.65499997139,-129.957275390625,-84.61669921875,-136.3677978515625,4340.588333368301
4379.7300000190735,-130.7867431640625,-84.6826171875,-135.8349609375,4340.663333415985
4379.80999994278,-130.869140625,-84.7210693359375,-135.6866455078125,4340.743333339692
4379.884999990463,-130.484619140625,-84.7265625,-136.07666015625,4340.818333387375
4379.964999914169,-130.264892578125,-84.7430419921875,-135.758056640625,4340.898333311081
4380.039999961853,-130.1715087890625,-84.7320556640625,-135.7196044921875,4340.973333358765
4380.119999885559,-129.759521484375,-84.6771240234375,-136.142578125,4341.053333282471
4380.194999933243,-129.2376708984375,-84.5947265625,-136.3897705078125,4341.128333330154
4380.274999856949,-128.353271484375,-84.517822265625,-136.878662109375,4341.2083332538605
4380.349999904633,-128.69384765625,-84.4134521484375,-137.1697998046875,4341.283333301544
