t,x,y,z,time_from_sync
4697.625,-370,118,-370,4671.005833427112
4697.634999990463,-370,117,-371,4671.015833417575
4697.644999980927,-370,117,-372,4671.025833408039
4697.65499997139,-371,117,-373,4671.035833398501
4697.664999961853,-370,118,-370,4671.045833388965
4697.674999952316,-370,119,-368,4671.055833379428
4697.68499994278,-369,119,-369,4671.065833369892
4697.694999933243,-369,118,-370,4671.075833360354
4697.704999923706,-370,118,-371,4671.085833350818
4697.714999914169,-370,118,-371,4671.095833341281
4697.724999904633,-370,117,-372,4671.105833331744
4697.734999895096,-370,116,-372,4671.115833322207
4697.744999885559,-369,118,-370,4671.125833312671
4697.754999876022,-369,119,-368,4671.135833303134
4697.764999866486,-369,119,-369,4671.145833293597
4697.775000095367,-369,118,-369,4671.155833522479
4697.785000085831,-369,118,-370,4671.165833512942
4697.795000076294,-369,117,-371,4671.175833503406
4697.805000066757,-370,117,-371,4671.185833493869
4697.8150000572205,-370,119,-367,4671.195833484332
4697.825000047684,-370,120,-365,4671.205833474795
4697.835000038147,-370,119,-367,4671.215833465259
4697.84500002861,-370,119,-368,4671.225833455722
4697.8550000190735,-371,119,-369,4671.235833446185
4697.865000009537,-371,119,-370,4671.245833436648
4697.875,-371,119,-371,4671.255833427112
4697.884999990463,-371,119,-371,4671.265833417575
4697.894999980927,-371,120,-368,4671.275833408039
4697.90499997139,-371,122,-366,4671.285833398501
4697.914999961853,-370,121,-367,4671.295833388965
4697.924999952316,-370,121,-369,4671.305833379428
4697.93499994278,-370,120,-370,4671.315833369892
4697.944999933243,-370,120,-371,4671.325833360354
4697.954999923706,-370,120,-372,4671.335833350818
4697.964999914169,-370,120,-372,4671.345833341281
4697.974999904633,-369,122,-369,4671.355833331744
4697.984999895096,-369,123,-367,4671.365833322207
4697.994999885559,-369,122,-368,4671.375833312671
4698.004999876022,-369,121,-369,4671.385833303134
4698.014999866486,-370,121,-370,4671.395833293597
4698.025000095367,-369,121,-371,4671.405833522479
4698.035000085831,-369,121,-372,4671.415833512942
4698.045000076294,-369,121,-372,4671.425833503406
4698.055000066757,-369,122,-369,4671.435833493869
4698.0650000572205,-369,123,-368,4671.445833484332
4698.075000047684,-368,123,-369,4671.455833474795
4698.085000038147,-368,122,-369,4671.465833465259
4698.09500002861,-368,122,-370,4671.475833455722
4698.1050000190735,-369,122,-371,4671.485833446185
4698.115000009537,-369,122,-371,4671.495833436648
4698.125,-369,123,-369,4671.505833427112
4698.134999990463,-369,124,-368,4671.515833417575
4698.144999980927,-369,123,-369,4671.525833408039
4698.15499997139,-369,123,-370,4671.535833398501
4698.164999961853,-369,122,-371,4671.545833388965
4698.174999952316,-369,122,-372,4671.555833379428
4698.18499994278,-369,122,-373,4671.565833369892
4698.194999933243,-369,122,-373,4671.575833360354
4698.204999923706,-369,124,-369,4671.585833350818
4698.214999914169,-369,125,-367,4671.595833341281
4698.224999904633,-369,124,-369,4671.605833331744
4698.234999895096,-370,124,-370,4671.615833322207
4698.244999885559,-370,124,-371,4671.625833312671
4698.254999876022,-371,123,-372,4671.635833303134
4698.264999866486,-371,123,-373,4671.645833293597
4698.275000095367,-371,123,-374,4671.655833522479
4698.285000085831,-371,124,-371,4671.665833512942
4698.295000076294,-370,125,-369,4671.675833503406
4698.305000066757,-371,125,-370,4671.685833493869
