Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync,aligned_time,time_diff_ms
50.74562,-1.23268,-8,4.46,2023-12-12 13:38:15.999000+00:00,gps,50.74564,-1.23274,41,8.0,1.45,266.697,gps [GPS],00:00:01,2.1,0.0,,,,False,26 / 30,1564,11905.4,-,1.5,1.3,0.7,-,-,Ship,13:38:15 GMT,13:38:16.197,13:38:11.896,13:38:11.905,5.21,3.24,74,1430.0,1430.0,0.0
50.74562,-1.23268,-8,4.46,2023-12-12 13:38:15.999000+00:00,gps,50.74564,-1.23274,41,8.0,1.45,266.697,gps [GPS],00:00:01,2.1,0.0,,,,False,26 / 30,1564,11905.4,-,1.5,1.3,0.7,-,-,Ship,13:38:15 GMT,13:38:16.197,13:38:11.896,13:38:11.905,5.21,3.24,74,1430.0,1430.005000114441,5.000114440917969
50.74562,-1.23268,-8,4.46,2023-12-12 13:38:15.999000+00:00,gps,50.74564,-1.23274,41,8.0,1.45,266.697,gps [GPS],00:00:01,2.1,0.0,,,,False,26 / 30,1564,11905.4,-,1.5,1.3,0.7,-,-,Ship,13:38:15 GMT,13:38:16.197,13:38:11.896,13:38:11.905,5.21,3.24,74,1430.0,1430.0099999904637,9.999990463711583
50.74562,-1.23268,-8,4.46,2023-12-12 13:38:15.999000+00:00,gps,50.74564,-1.23274,41,8.0,1.45,266.697,gps [GPS],00:00:01,2.1,0.0,,,,False,26 / 30,1564,11905.4,-,1.5,1.3,0.7,-,-,Ship,13:38:15 GMT,13:38:16.197,13:38:11.896,13:38:11.905,5.21,3.24,74,1430.0,1430.0150001049042,15.000104904174805
50.74562,-1.23268,-8,4.46,2023-12-12 13:38:15.999000+00:00,gps,50.74564,-1.23274,41,8.0,1.45,266.697,gps [GPS],00:00:01,2.1,0.0,,,,False,26 / 30,1564,11905.4,-,1.5,1.3,0.7,-,-,Ship,13:38:15 GMT,13:38:16.197,13:38:11.896,13:38:11.905,5.21,3.24,74,1430.0,1430.0199999809265,19.999980926513672
50.74563,-1.23271,-7,4.46,2023-12-12 13:38:16.999000+00:00,gps,50.74564,-1.23277,41,8.0,1.5,260.07217,gps [GPS],00:00:01,1.9,0.0,,,,False,27 / 30,1565,11907.4,-,1.6,1.4,0.7,-,-,Ship,13:38:16 GMT,13:38:17.198,13:38:12.897,13:38:12.907,5.42,3.37,74,1431.0,1430.9800000190735,19.999980926513672
50.74563,-1.23271,-7,4.46,2023-12-12 13:38:16.999000+00:00,gps,50.74564,-1.23277,41,8.0,1.5,260.07217,gps [GPS],00:00:01,1.9,0.0,,,,False,27 / 30,1565,11907.4,-,1.6,1.4,0.7,-,-,Ship,13:38:16 GMT,13:38:17.198,13:38:12.897,13:38:12.907,5.42,3.37,74,1431.0,1430.9850001335144,14.999866485595703
50.74563,-1.23271,-7,4.46,2023-12-12 13:38:16.999000+00:00,gps,50.74564,-1.23277,41,8.0,1.5,260.07217,gps [GPS],00:00:01,1.9,0.0,,,,False,27 / 30,1565,11907.4,-,1.6,1.4,0.7,-,-,Ship,13:38:16 GMT,13:38:17.198,13:38:12.897,13:38:12.907,5.42,3.37,74,1431.0,1430.9900000095367,9.999990463256836
50.74563,-1.23271,-7,4.46,2023-12-12 13:38:16.999000+00:00,gps,50.74564,-1.23277,41,8.0,1.5,260.07217,gps [GPS],00:00:01,1.9,0.0,,,,False,27 / 30,1565,11907.4,-,1.6,1.4,0.7,-,-,Ship,13:38:16 GMT,13:38:17.198,13:38:12.897,13:38:12.907,5.42,3.37,74,1431.0,1430.995000123978,4.9998760221114935
50.74563,-1.23271,-7,4.46,2023-12-12 13:38:16.999000+00:00,gps,50.74564,-1.23277,41,8.0,1.5,260.07217,gps [GPS],00:00:01,1.9,0.0,,,,False,27 / 30,1565,11907.4,-,1.6,1.4,0.7,-,-,Ship,13:38:16 GMT,13:38:17.198,13:38:12.897,13:38:12.907,5.42,3.37,74,1431.0,1431.0,0.0
50.74563,-1.23271,-7,4.46,2023-12-12 13:38:16.999000+00:00,gps,50.74564,-1.23277,41,8.0,1.5,260.07217,gps [GPS],00:00:01,1.9,0.0,,,,False,27 / 30,1565,11907.4,-,1.6,1.4,0.7,-,-,Ship,13:38:16 GMT,13:38:17.198,13:38:12.897,13:38:12.907,5.42,3.37,74,1431.0,1431.005000114441,5.000114440917969
50.74563,-1.23271,-7,4.46,2023-12-12 13:38:16.999000+00:00,gps,50.74564,-1.23277,41,8.0,1.5,260.07217,gps [GPS],00:00:01,1.9,0.0,,,,False,27 / 30,1565,11907.4,-,1.6,1.4,0.7,-,-,Ship,13:38:16 GMT,13:38:17.198,13:38:12.897,13:38:12.907,5.42,3.37,74,1431.0,1431.0099999904637,9.999990463711583
50.74563,-1.23271,-7,4.46,2023-12-12 13:38:16.999000+00:00,gps,50.74564,-1.23277,41,8.0,1.5,260.07217,gps [GPS],00:00:01,1.9,0.0,,,,False,27 / 30,1565,11907.4,-,1.6,1.4,0.7,-,-,Ship,13:38:16 GMT,13:38:17.198,13:38:12.897,13:38:12.907,5.42,3.37,74,1431.0,1431.0150001049042,15.000104904174805
50.74563,-1.23271,-7,4.46,2023-12-12 13:38:16.999000+00:00,gps,50.74564,-1.23277,41,8.0,1.5,260.07217,gps [GPS],00:00:01,1.9,0.0,,,,False,27 / 30,1565,11907.4,-,1.6,1.4,0.7,-,-,Ship,13:38:16 GMT,13:38:17.198,13:38:12.897,13:38:12.907,5.42,3.37,74,1431.0,1431.0199999809265,19.999980926513672
50.74563,-1.23273,-7,4.46,2023-12-12 13:38:17.999000+00:00,gps,50.74564,-1.23279,41,8.0,1.4,259.2232,gps [GPS],00:00:01,1.8,0.0,,,,False,28 / 30,1566,11909.2,-,1.6,1.4,0.7,-,-,Ship,13:38:17 GMT,13:38:18.204,13:38:13.902,13:38:13.912,5.03,3.12,74,1432.0,1431.9800000190735,19.999980926513672
50.74563,-1.23273,-7,4.46,2023-12-12 13:38:17.999000+00:00,gps,50.74564,-1.23279,41,8.0,1.4,259.2232,gps [GPS],00:00:01,1.8,0.0,,,,False,28 / 30,1566,11909.2,-,1.6,1.4,0.7,-,-,Ship,13:38:17 GMT,13:38:18.204,13:38:13.902,13:38:13.912,5.03,3.12,74,1432.0,1431.9850001335144,14.999866485595703
50.74563,-1.23273,-7,4.46,2023-12-12 13:38:17.999000+00:00,gps,50.74564,-1.23279,41,8.0,1.4,259.2232,gps [GPS],00:00:01,1.8,0.0,,,,False,28 / 30,1566,11909.2,-,1.6,1.4,0.7,-,-,Ship,13:38:17 GMT,13:38:18.204,13:38:13.902,13:38:13.912,5.03,3.12,74,1432.0,1431.9900000095367,9.999990463256836
50.74563,-1.23273,-7,4.46,2023-12-12 13:38:17.999000+00:00,gps,50.74564,-1.23279,41,8.0,1.4,259.2232,gps [GPS],00:00:01,1.8,0.0,,,,False,28 / 30,1566,11909.2,-,1.6,1.4,0.7,-,-,Ship,13:38:17 GMT,13:38:18.204,13:38:13.902,13:38:13.912,5.03,3.12,74,1432.0,1431.995000123978,4.9998760221114935
50.74563,-1.23273,-7,4.46,2023-12-12 13:38:17.999000+00:00,gps,50.74564,-1.23279,41,8.0,1.4,259.2232,gps [GPS],00:00:01,1.8,0.0,,,,False,28 / 30,1566,11909.2,-,1.6,1.4,0.7,-,-,Ship,13:38:17 GMT,13:38:18.204,13:38:13.902,13:38:13.912,5.03,3.12,74,1432.0,1432.0,0.0
50.74563,-1.23273,-7,4.46,2023-12-12 13:38:17.999000+00:00,gps,50.74564,-1.23279,41,8.0,1.4,259.2232,gps [GPS],00:00:01,1.8,0.0,,,,False,28 / 30,1566,11909.2,-,1.6,1.4,0.7,-,-,Ship,13:38:17 GMT,13:38:18.204,13:38:13.902,13:38:13.912,5.03,3.12,74,1432.0,1432.005000114441,5.000114440917969
