Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.73282,-1.15824,-1,3.75,2023-12-12 13:14:34.999000+00:00,gps,50.73282,-1.15824,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,21 / 29,142,10.2,-,1.6,1.4,0.8,-,-,Ship,13:14:34 GMT,13:14:34.999,13:14:30.836,13:14:30.844,0.0,0.0,79,9.0
50.73282,-1.15824,-1,3.75,2023-12-12 13:14:35.999000+00:00,gps,50.73282,-1.15824,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,21 / 28,143,10.2,-,1.6,1.4,0.8,-,-,Ship,13:14:35 GMT,13:14:35.999,13:14:31.818,13:14:31.827,0.0,0.0,79,10.0
50.73282,-1.15824,-1,3.75,2023-12-12 13:14:36.999000+00:00,gps,50.73282,-1.15824,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,23 / 28,144,10.2,-,1.6,1.4,0.8,-,-,Ship,13:14:36 GMT,13:14:36.999,13:14:32.824,13:14:32.832,0.0,0.0,79,11.0
50.73282,-1.15824,-1,3.75,2023-12-12 13:14:37.999000+00:00,gps,50.73282,-1.15824,48,6.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,22 / 29,145,10.2,-,1.6,1.4,0.8,-,-,Ship,13:14:37 GMT,13:14:37.999,13:14:33.821,13:14:33.829,0.0,0.0,79,12.0
50.73282,-1.15824,-1,3.75,2023-12-12 13:14:38.999000+00:00,gps,50.73281,-1.15824,48,6.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,25 / 31,146,10.4,-,1.6,1.4,0.8,-,-,Ship,13:14:38 GMT,13:14:38.999,13:14:34.852,13:14:34.866,0.0,0.0,79,13.0
50.73281,-1.15824,-1,3.75,2023-12-12 13:14:39.999000+00:00,gps,50.73281,-1.15823,48,6.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,27 / 32,148,10.5,-,1.6,1.4,0.8,-,-,Ship,13:14:39 GMT,13:14:39.999,13:14:35.873,13:14:35.883,0.0,0.0,79,14.0
50.73282,-1.15823,-1,3.75,2023-12-12 13:14:40.999000+00:00,gps,50.73282,-1.15823,48,6.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,29 / 32,149,10.6,-,1.5,1.3,0.8,-,-,Ship,13:14:40 GMT,13:14:40.999,13:14:36.889,13:14:36.898,0.0,0.0,79,15.0
50.73282,-1.15823,-1,3.75,2023-12-12 13:14:41.999000+00:00,gps,50.73282,-1.15823,48,6.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,29 / 32,150,10.7,-,1.5,1.3,0.8,-,-,Ship,13:14:41 GMT,13:14:41.999,13:14:38.613,13:14:38.617,0.0,0.0,79,16.0
50.73282,-1.15823,-1,3.75,2023-12-12 13:14:42.999000+00:00,gps,50.73282,-1.15823,48,6.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,28 / 32,150,10.8,-,1.4,1.2,0.7,-,-,Ship,13:14:42 GMT,13:14:42.999,13:14:38.830,13:14:38.835,0.0,0.0,79,17.0
50.73282,-1.15823,-1,3.75,2023-12-12 13:14:43.999000+00:00,gps,50.73282,-1.15823,48,6.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,25 / 30,151,10.8,-,1.5,1.3,0.7,-,-,Ship,13:14:43 GMT,13:14:43.999,13:14:39.855,13:14:39.866,0.0,0.0,79,18.0
50.73282,-1.15823,-1,3.75,2023-12-12 13:14:44.999000+00:00,gps,50.73282,-1.15823,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,21 / 27,153,10.9,-,1.6,1.4,0.8,-,-,Ship,13:14:44 GMT,13:14:44.999,13:14:40.897,13:14:40.918,0.0,0.0,79,19.0
50.73282,-1.15823,-1,3.75,2023-12-12 13:14:45.999000+00:00,gps,50.73282,-1.15823,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,20 / 25,154,10.9,-,1.7,1.5,0.9,-,-,Ship,13:14:45 GMT,13:14:45.999,13:14:41.905,13:14:41.916,0.0,0.0,79,20.0
50.73282,-1.15823,-1,3.75,2023-12-12 13:14:46.999000+00:00,gps,50.73282,-1.15823,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,18 / 26,155,11.0,-,1.9,1.8,0.8,-,-,Ship,13:14:46 GMT,13:14:46.999,13:14:42.921,13:14:42.935,0.0,0.0,79,21.0
50.73282,-1.15823,-1,3.75,2023-12-12 13:14:47.999000+00:00,gps,50.73282,-1.15823,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,19 / 25,156,11.0,-,1.6,1.4,0.8,-,-,Ship,13:14:47 GMT,13:14:47.999,13:14:43.914,13:14:43.923,0.0,0.0,79,22.0
50.73282,-1.15823,-1,3.75,2023-12-12 13:14:48.999000+00:00,gps,50.73282,-1.15823,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,19 / 25,157,11.1,-,1.6,1.4,0.8,-,-,Ship,13:14:48 GMT,13:14:48.999,13:14:44.919,13:14:44.950,0.0,0.0,79,23.0
50.73282,-1.15823,-1,3.75,2023-12-12 13:14:49.999000+00:00,gps,50.73282,-1.15823,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,19 / 27,158,11.2,-,1.6,1.4,0.8,-,-,Ship,13:14:49 GMT,13:14:49.999,13:14:45.869,13:14:45.879,0.0,0.0,79,24.0
50.73282,-1.15822,-1,3.75,2023-12-12 13:14:50.999000+00:00,gps,50.73282,-1.15821,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.4,0.0,,,,False,18 / 27,159,11.6,-,1.6,1.4,0.8,-,-,Ship,13:14:50 GMT,13:14:50.999,13:14:46.876,13:14:46.886,0.0,0.0,79,25.0
50.73282,-1.15822,-1,3.75,2023-12-12 13:14:51.999000+00:00,gps,50.73282,-1.15821,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.4,0.0,,,,False,18 / 27,160,12.0,-,1.6,1.4,0.8,-,-,Ship,13:14:51 GMT,13:14:51.999,13:14:47.910,13:14:47.931,0.0,0.0,79,26.0
50.73282,-1.15821,-2,3.75,2023-12-12 13:14:52.999000+00:00,gps,50.73282,-1.15821,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.3,0.0,,,,False,20 / 24,161,12.3,-,1.6,1.4,0.8,-,-,Ship,13:14:52 GMT,13:14:52.999,13:14:48.914,13:14:48.921,0.0,0.0,79,27.0
50.73282,-1.15821,-2,3.75,2023-12-12 13:14:53.999000+00:00,gps,50.73282,-1.15821,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.2,0.0,,,,False,20 / 24,162,12.4,-,1.6,1.4,0.8,-,-,Ship,13:14:53 GMT,13:14:53.999,13:14:49.896,13:14:49.922,0.0,0.0,79,28.0
50.73282,-1.15821,-2,3.75,2023-12-12 13:14:54.999000+00:00,gps,50.73282,-1.15821,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,20 / 25,163,12.5,-,1.6,1.4,0.8,-,-,Ship,13:14:54 GMT,13:14:54.999,13:14:50.923,13:14:50.958,0.0,0.0,79,29.0
50.73282,-1.15821,-2,3.75,2023-12-12 13:14:55.999000+00:00,gps,50.73282,-1.15821,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,19 / 25,164,12.5,-,1.6,1.4,0.9,-,-,Ship,13:14:55 GMT,13:14:55.999,13:14:51.909,13:14:51.921,0.0,0.0,79,30.0
50.73282,-1.15821,-2,3.75,2023-12-12 13:14:56.999000+00:00,gps,50.73282,-1.15821,47,6.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,21 / 26,164,12.5,-,1.6,1.4,0.9,-,-,Ship,13:14:56 GMT,13:14:56.999,13:14:52.863,13:14:52.871,0.0,0.0,79,31.0
