Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.73281,-1.15825,-3,4.46,2023-12-12 13:16:00.999000+00:00,gps,50.73281,-1.15825,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,18 / 22,229,18.2,-,1.5,1.2,0.8,-,-,Ship,13:16:00 GMT,13:16:00.999,13:15:56.929,13:15:56.943,0.0,0.0,79,95.0
50.73281,-1.15825,-3,4.46,2023-12-12 13:16:01.999000+00:00,gps,50.73281,-1.15825,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,18 / 24,230,18.3,-,1.5,1.2,0.8,-,-,Ship,13:16:01 GMT,13:16:01.999,13:15:57.896,13:15:57.904,0.0,0.0,79,96.0
50.73281,-1.15825,-3,4.46,2023-12-12 13:16:02.999000+00:00,gps,50.73281,-1.15825,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,18 / 25,231,18.3,-,1.5,1.2,0.8,-,-,Ship,13:16:02 GMT,13:16:02.999,13:15:58.932,13:15:58.950,0.0,0.0,79,97.0
50.73281,-1.15825,-4,4.46,2023-12-12 13:16:03.999000+00:00,gps,50.73281,-1.15825,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,19 / 25,232,18.4,-,1.4,1.2,0.8,-,-,Ship,13:16:03 GMT,13:16:03.999,13:15:59.913,13:15:59.936,0.0,0.0,79,98.0
50.73281,-1.15825,-4,4.46,2023-12-12 13:16:04.999000+00:00,gps,50.73281,-1.15825,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,19 / 25,233,18.5,-,1.6,1.3,0.9,-,-,Ship,13:16:04 GMT,13:16:04.999,13:16:00.906,13:16:00.928,0.0,0.0,79,99.0
50.73281,-1.15825,-4,4.46,2023-12-12 13:16:05.999000+00:00,gps,50.73281,-1.15824,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,19 / 25,234,18.6,-,1.4,1.2,0.8,-,-,Ship,13:16:05 GMT,13:16:05.999,13:16:01.897,13:16:01.913,0.0,0.0,79,100.0
50.73281,-1.15824,-4,4.46,2023-12-12 13:16:06.999000+00:00,gps,50.73281,-1.15824,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,19 / 25,235,18.7,-,1.5,1.2,0.8,-,-,Ship,13:16:06 GMT,13:16:06.999,13:16:02.908,13:16:02.928,0.0,0.0,79,101.0
50.73281,-1.15824,-4,4.46,2023-12-12 13:16:07.999000+00:00,gps,50.73281,-1.15824,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,16 / 24,236,18.7,-,1.6,1.4,0.9,-,-,Ship,13:16:07 GMT,13:16:07.999,13:16:03.945,13:16:03.955,0.0,0.0,79,102.0
50.73281,-1.15824,-3,4.46,2023-12-12 13:16:08.999000+00:00,gps,50.73281,-1.15824,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,16 / 24,237,18.8,-,1.6,1.4,0.9,-,-,Ship,13:16:08 GMT,13:16:08.999,13:16:04.885,13:16:04.896,0.0,0.0,79,103.0
50.73281,-1.15824,-3,4.46,2023-12-12 13:16:09.999000+00:00,gps,50.73281,-1.15824,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,19 / 21,238,18.8,-,1.5,1.2,0.8,-,-,Ship,13:16:09 GMT,13:16:09.999,13:16:05.887,13:16:05.903,0.0,0.0,79,104.0
50.73281,-1.15824,-3,4.46,2023-12-12 13:16:10.999000+00:00,gps,50.7328,-1.15825,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,19 / 21,239,18.9,-,1.5,1.2,0.8,-,-,Ship,13:16:10 GMT,13:16:10.999,13:16:06.916,13:16:06.938,0.0,0.0,79,105.0
50.73281,-1.15824,-4,4.46,2023-12-12 13:16:11.999000+00:00,gps,50.7328,-1.15825,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,18 / 22,240,18.9,-,1.6,1.4,0.8,-,-,Ship,13:16:11 GMT,13:16:11.999,13:16:07.885,13:16:07.896,0.0,0.0,79,106.0
50.7328,-1.15824,-4,4.46,2023-12-12 13:16:12.999000+00:00,gps,50.7328,-1.15824,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,18 / 22,241,18.9,-,1.5,1.2,0.8,-,-,Ship,13:16:12 GMT,13:16:12.999,13:16:08.884,13:16:08.896,0.0,0.0,79,107.0
50.7328,-1.15824,-4,4.46,2023-12-12 13:16:13.999000+00:00,gps,50.7328,-1.15824,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,18 / 21,241,19.0,-,1.5,1.2,0.8,-,-,Ship,13:16:13 GMT,13:16:13.999,13:16:09.865,13:16:09.874,0.0,0.0,79,108.0
50.7328,-1.15824,-4,4.46,2023-12-12 13:16:14.999000+00:00,gps,50.7328,-1.15824,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0.0,,,,False,18 / 21,243,19.0,-,1.5,1.2,0.8,-,-,Ship,13:16:14 GMT,13:16:14.999,13:16:10.896,13:16:10.909,0.0,0.0,79,109.0
50.7328,-1.15824,-4,4.46,2023-12-12 13:16:15.999000+00:00,gps,50.7328,-1.15824,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.1,0.0,,,,False,17 / 22,244,19.1,-,1.5,1.2,0.8,-,-,Ship,13:16:15 GMT,13:16:15.999,13:16:11.878,13:16:11.890,0.0,0.0,79,110.0
