t,x,y,z,time_from_sync
313.7699999809265,-6416,-3356,1214,282.00166682402295
313.77499985694885,-6416,-3360,1216,282.0066667000453
313.77999997138977,-6417,-3362,1218,282.0116668144862
313.7849998474121,-6418,-3362,1220,282.01666669050854
313.789999961853,-6419,-3360,1221,282.02166680494946
313.79499983787537,-6417,-3357,1220,282.0266666809718
313.7999999523163,-6413,-3357,1218,282.0316667954127
313.8049998283386,-6409,-3358,1217,282.03666667143506
313.80999994277954,-6406,-3356,1215,282.041666785876
313.8149998188019,-6405,-3353,1214,282.0466666618983
313.8199999332428,-6403,-3347,1213,282.05166677633923
313.82499980926514,-6403,-3341,1212,282.05666665236157
313.82999992370605,-6402,-3337,1211,282.0616667668025
313.8349997997284,-6402,-3334,1212,282.0666666428248
313.8399999141693,-6403,-3331,1211,282.07166675726575
313.84499979019165,-6403,-3330,1210,282.0766666332881
313.84999990463257,-6403,-3331,1209,282.081666747729
313.8549997806549,-6400,-3334,1207,282.08666662375134
313.8599998950958,-6398,-3339,1207,282.09166673819226
313.86499977111816,-6397,-3340,1207,282.0966666142146
313.8699998855591,-6397,-3342,1206,282.1016667286555
313.875,-6397,-3342,1204,282.10666684309643
313.87999987602234,-6396,-3343,1202,282.1116667191188
313.88499999046326,-6393,-3346,1201,282.1166668335597
313.8899998664856,-6394,-3350,1201,282.12166670958203
313.8949999809265,-6396,-3356,1202,282.12666682402295
313.89999985694885,-6399,-3356,1204,282.1316667000453
313.90499997138977,-6402,-3356,1204,282.1366668144862
313.9099998474121,-6404,-3356,1205,282.14166669050854
313.914999961853,-6406,-3356,1206,282.14666680494946
313.91999983787537,-6408,-3356,1206,282.1516666809718
313.9249999523163,-6412,-3358,1207,282.1566667954127
313.9299998283386,-6415,-3359,1207,282.16166667143506
313.93499994277954,-6417,-3360,1206,282.166666785876
313.9399998188019,-6417,-3358,1205,282.1716666618983
313.9449999332428,-6416,-3357,1204,282.17666677633923
313.94999980926514,-6415,-3356,1205,282.18166665236157
313.95499992370605,-6416,-3358,1205,282.1866667668025
313.9599997997284,-6414,-3357,1205,282.1916666428248
313.9649999141693,-6413,-3359,1203,282.19666675726575
313.96999979019165,-6413,-3359,1201,282.2016666332881
313.97499990463257,-6411,-3359,1201,282.206666747729
313.9799997806549,-6409,-3359,1201,282.21166662375134
313.9849998950958,-6409,-3358,1200,282.21666673819226
313.98999977111816,-6407,-3361,1200,282.2216666142146
313.9949998855591,-6405,-3364,1201,282.2266667286555
314.0,-6404,-3366,1199,282.23166684309643
314.00499987602234,-6403,-3368,1197,282.2366667191188
314.00999999046326,-6402,-3371,1196,282.2416668335597
314.0149998664856,-6401,-3376,1195,282.24666670958203
314.0199999809265,-6402,-3383,1195,282.25166682402295
314.02499985694885,-6402,-3391,1194,282.2566667000453
314.02999997138977,-6402,-3393,1193,282.2616668144862
314.0349998474121,-6401,-3392,1193,282.26666669050854
314.039999961853,-6401,-3392,1193,282.27166680494946
314.04499983787537,-6401,-3391,1194,282.2766666809718
314.0499999523163,-6404,-3397,1195,282.2816667954127
314.0549998283386,-6405,-3401,1197,282.28666667143506
314.05999994277954,-6405,-3402,1199,282.291666785876
314.0649998188019,-6402,-3398,1199,282.2966666618983
314.0699999332428,-6400,-3396,1200,282.30166677633923
314.07499980926514,-6400,-3395,1200,282.30666665236157
314.07999992370605,-6400,-3397,1199,282.3116667668025
314.0849997997284,-6399,-3397,1200,282.3166666428248
314.0899999141693,-6400,-3398,1200,282.32166675726575
314.09499979019165,-6400,-3399,1201,282.3266666332881
314.09999990463257,-6400,-3400,1201,282.331666747729
314.1049997806549,-6400,-3400,1202,282.33666662375134
314.1099998950958,-6400,-3398,1204,282.34166673819226
314.11499977111816,-6400,-3394,1205,282.3466666142146
314.1199998855591,-6399,-3392,1207,282.3516667286555
314.125,-6398,-3391,1207,282.35666684309643
314.12999987602234,-6397,-3392,1209,282.3616667191188
314.13499999046326,-6398,-3398,1211,282.3666668335597
314.1399998664856,-6399,-3405,1213,282.37166670958203
314.1449999809265,-6400,-3411,1216,282.37666682402295
314.14999985694885,-6399,-3415,1216,282.3816667000453
314.15499997138977,-6398,-3419,1217,282.3866668144862
314.1599998474121,-6398,-3419,1219,282.39166669050854
314.164999961853,-6398,-3417,1222,282.39666680494946
314.16999983787537,-6399,-3416,1224,282.4016666809718
314.1749999523163,-6399,-3411,1226,282.4066667954127
314.1799998283386,-6400,-3407,1227,282.41166667143506
314.18499994277954,-6400,-3404,1227,282.416666785876
314.1899998188019,-6399,-3400,1226,282.4216666618983
314.1949999332428,-6398,-3399,1224,282.42666677633923
314.19999980926514,-6397,-3403,1222,282.43166665236157
