t,x,y,z,time_from_sync
312.009999561303,-480,-152,-68,282.01416490872026
312.2049994945458,-482,-151,-58,282.20916484196306
312.2799994945458,-482,-151,-57,282.28416484196305
312.46999955176625,-479,-153,-47,282.4741648991835
312.54499955176624,-479,-154,-45,282.5491648991835
312.73999948500904,-477,-155,-44,282.7441648324263
312.814999485009,-477,-155,-43,282.8191648324263
313.0099994182518,-476,-154,-40,283.0141647656691
313.0849994182518,-476,-155,-40,283.08916476566907
313.2799995899132,-476,-158,-36,283.28416493733044
313.3549995899132,-476,-159,-36,283.35916493733043
313.549999523156,-474,-159,-27,283.55416487057323
313.624999523156,-473,-159,-26,283.6291648705733
313.8199994563988,-475,-156,-29,283.8241648038161
313.89499945639875,-475,-156,-29,283.899164803816
314.08999938964155,-477,-153,-38,284.0941647370588
314.16499938964154,-477,-153,-38,284.1691647370588
314.35999932288433,-479,-153,-39,284.3641646703016
314.4349993228843,-478,-153,-38,284.4391646703016
314.6299994945457,-479,-152,-33,284.63416484196296
314.7049994945457,-479,-152,-32,284.70916484196295
314.8999994277885,-474,-153,-14,284.90416477520574
314.9749994277885,-474,-154,-12,284.97916477520573
315.1699993610313,-469,-155,-1,285.17416470844853
315.24499936103126,-469,-156,0,285.2491647084485
315.43999929427406,-473,-155,-13,285.4441646416913
315.51499929427405,-473,-156,-13,285.5191646416913
315.70999922751685,-471,-155,-9,285.7141645749341
315.78499922751683,-471,-156,-8,285.7891645749341
315.9799993991782,-467,-158,-2,285.98416474659547
316.0549993991782,-467,-158,-1,286.05916474659546
316.24499945639866,-472,-156,-7,286.2491648038159
316.31999945639865,-472,-157,-6,286.3241648038159
316.51499962806,-471,-154,-2,286.5191649754773
316.58999962806,-471,-155,-1,286.59416497547727
316.7849995613028,-469,-154,4,286.78916490872007
316.8599995613028,-469,-154,5,286.86416490872006
317.0549994945456,-472,-149,-3,287.05916484196285
317.1299994945456,-472,-150,-2,287.13416484196284
317.31999955176605,-475,-149,-12,287.3241648991833
317.39499955176603,-475,-150,-10,287.3991648991833
317.58999948500883,-474,-151,-12,287.5941648324261
317.6649994850088,-474,-152,-11,287.6691648324261
317.8599994182516,-471,-153,-5,287.8641647656689
317.9349994182516,-471,-154,-4,287.93916476566886
318.1299993514944,-471,-153,-4,288.13416469891166
318.2049993514944,-471,-154,-3,288.20916469891165
318.39999952315577,-473,-152,-6,288.404164870573
318.47499952315576,-472,-153,-5,288.479164870573
318.66999969481714,-469,-152,0,288.6741650422344
318.7449996948171,-469,-153,1,288.7491650422344
318.9399996280599,-470,-152,-2,288.9441649754772
319.0149996280599,-470,-153,-1,289.01916497547717
319.2099995613027,-473,-150,-7,289.21416490871997
319.2849995613027,-473,-151,-6,289.28916490871995
319.4749993801046,-474,-151,-4,289.47916472752183
319.54999938010457,-474,-152,-2,289.5541647275218
319.74499931334736,-473,-152,-4,289.7491646607646
319.8199993133473,-472,-152,-3,289.82416466076455
320.0149992465901,-474,-151,-12,290.01916459400735
320.08999924659014,-474,-151,-12,290.0941645940074
320.28499917983294,-475,-152,-17,290.2891645272502
320.3599991798329,-475,-152,-17,290.3641645272502
320.5549993514943,-474,-152,-14,290.55916469891156
320.6299993514943,-474,-153,-14,290.63416469891155
320.8249992847371,-475,-153,-15,290.82916463215435
320.8999992847371,-475,-153,-14,290.90416463215433
321.0949992179799,-475,-152,-9,291.09916456539713
321.16999921797986,-475,-152,-9,291.1741645653971
321.36499915122266,-474,-152,-7,291.3691644986399
321.43999915122265,-474,-153,-6,291.4441644986399
321.63499908446545,-476,-152,-14,291.6391644318827
321.70999908446544,-476,-152,-14,291.7141644318827
321.9049992561268,-475,-154,-18,291.90916460354407
321.9799992561268,-475,-154,-18,291.98416460354406
322.1749991893696,-473,-156,-10,292.17916453678686
322.2499991893696,-473,-156,-9,292.25416453678685
322.4449991226124,-471,-155,-3,292.44916447002964
322.5199991226124,-471,-155,-3,292.52416447002963
322.7149990558552,-473,-152,-9,292.71916440327243
322.7899990558552,-473,-152,-8,292.7941644032725
322.984998989098,-475,-150,-17,292.9891643365153
323.05999898909795,-475,-150,-17,293.0641643365152
323.2549991607593,-475,-151,-13,293.2591645081766
323.3299991607593,-475,-151,-12,293.33416450817657
323.5249990940021,-474,-152,-4,293.52916444141937
323.5999990940021,-473,-153,-4,293.60416444141936
