t,x,y,z,time_from_sync
331.7699999809265,-6287,-3703,3256,300.00166682402295
331.77499985694885,-6287,-3706,3256,300.0066667000453
331.77999997138977,-6288,-3701,3256,300.0116668144862
331.7849998474121,-6287,-3698,3256,300.01666669050854
331.789999961853,-6287,-3693,3255,300.02166680494946
331.79499983787537,-6286,-3685,3255,300.0266666809718
331.7999999523163,-6287,-3683,3255,300.0316667954127
331.8049998283386,-6288,-3682,3257,300.03666667143506
331.80999994277954,-6290,-3684,3259,300.041666785876
331.8149998188019,-6292,-3686,3259,300.0466666618983
331.8199999332428,-6292,-3688,3260,300.05166677633923
331.82499980926514,-6291,-3690,3261,300.05666665236157
331.82999992370605,-6288,-3695,3259,300.0616667668025
331.8349997997284,-6286,-3699,3258,300.0666666428248
331.8399999141693,-6286,-3704,3257,300.07166675726575
331.84499979019165,-6288,-3709,3257,300.0766666332881
331.84999990463257,-6290,-3711,3257,300.081666747729
331.8549997806549,-6291,-3714,3257,300.08666662375134
331.8599998950958,-6290,-3714,3258,300.09166673819226
331.86499977111816,-6288,-3714,3261,300.0966666142146
331.8699998855591,-6287,-3714,3263,300.1016667286555
331.875,-6287,-3715,3264,300.10666684309643
331.87999987602234,-6286,-3715,3264,300.1116667191188
331.88499999046326,-6285,-3715,3266,300.1166668335597
331.8899998664856,-6284,-3714,3266,300.12166670958203
331.8949999809265,-6283,-3714,3266,300.12666682402295
331.89999985694885,-6282,-3712,3264,300.1316667000453
331.90499997138977,-6281,-3708,3263,300.1366668144862
331.9099998474121,-6282,-3706,3262,300.14166669050854
331.914999961853,-6283,-3707,3260,300.14666680494946
331.91999983787537,-6284,-3710,3260,300.1516666809718
331.9249999523163,-6284,-3714,3262,300.1566667954127
331.9299998283386,-6283,-3714,3263,300.16166667143506
331.93499994277954,-6283,-3709,3263,300.166666785876
331.9399998188019,-6281,-3705,3262,300.1716666618983
331.9449999332428,-6279,-3703,3261,300.17666677633923
331.94999980926514,-6275,-3702,3262,300.18166665236157
331.95499992370605,-6272,-3705,3264,300.1866667668025
331.9599997997284,-6271,-3706,3266,300.1916666428248
331.9649999141693,-6272,-3705,3267,300.19666675726575
331.96999979019165,-6274,-3706,3269,300.2016666332881
331.97499990463257,-6275,-3706,3271,300.206666747729
331.9799997806549,-6277,-3706,3272,300.21166662375134
331.9849998950958,-6277,-3708,3274,300.21666673819226
331.98999977111816,-6277,-3711,3276,300.2216666142146
331.9949998855591,-6277,-3714,3275,300.2266667286555
332.0,-6277,-3710,3275,300.23166684309643
332.00499987602234,-6277,-3708,3275,300.2366667191188
332.00999999046326,-6279,-3711,3275,300.2416668335597
332.0149998664856,-6281,-3714,3276,300.24666670958203
332.0199999809265,-6282,-3714,3278,300.25166682402295
332.02499985694885,-6283,-3712,3276,300.2566667000453
332.02999997138977,-6283,-3710,3276,300.2616668144862
332.0349998474121,-6283,-3709,3274,300.26666669050854
332.039999961853,-6283,-3710,3273,300.27166680494946
332.04499983787537,-6283,-3712,3273,300.2766666809718
332.0499999523163,-6282,-3711,3273,300.2816667954127
332.0549998283386,-6283,-3707,3272,300.28666667143506
332.05999994277954,-6284,-3705,3271,300.291666785876
332.0649998188019,-6286,-3701,3270,300.2966666618983
332.0699999332428,-6287,-3698,3269,300.30166677633923
332.07499980926514,-6287,-3697,3268,300.30666665236157
332.07999992370605,-6287,-3701,3268,300.3116667668025
332.0849997997284,-6285,-3703,3267,300.3166666428248
332.0899999141693,-6284,-3705,3267,300.32166675726575
332.09499979019165,-6284,-3706,3264,300.3266666332881
332.09999990463257,-6283,-3705,3259,300.331666747729
332.1049997806549,-6283,-3705,3256,300.33666662375134
332.1099998950958,-6283,-3709,3253,300.34166673819226
332.11499977111816,-6283,-3714,3252,300.3466666142146
332.1199998855591,-6282,-3719,3252,300.3516667286555
332.125,-6281,-3722,3251,300.35666684309643
332.12999987602234,-6279,-3722,3250,300.3616667191188
332.13499999046326,-6277,-3720,3248,300.3666668335597
332.1399998664856,-6276,-3717,3248,300.37166670958203
332.1449999809265,-6274,-3710,3248,300.37666682402295
332.14999985694885,-6272,-3702,3247,300.3816667000453
332.15499997138977,-6271,-3695,3245,300.3866668144862
332.1599998474121,-6271,-3693,3243,300.39166669050854
332.164999961853,-6271,-3694,3241,300.39666680494946
332.16999983787537,-6272,-3694,3238,300.4016666809718
332.1749999523163,-6273,-3693,3237,300.4066667954127
332.1799998283386,-6275,-3691,3235,300.41166667143506
332.18499994277954,-6277,-3691,3234,300.416666785876
332.1899998188019,-6280,-3691,3233,300.4216666618983
332.1949999332428,-6282,-3694,3233,300.42666677633923
332.19999980926514,-6283,-3698,3234,300.43166665236157
332.20499992370605,-6283,-3697,3234,300.4366667668025
332.2099997997284,-6283,-3696,3234,300.4416666428248
332.2149999141693,-6284,-3697,3233,300.44666675726575
332.21999979019165,-6285,-3696,3231,300.4516666332881
332.22499990463257,-6287,-3693,3228,300.456666747729
332.2299997806549,-6288,-3690,3226,300.46166662375134
332.2349998950958,-6289,-3685,3225,300.46666673819226
332.23999977111816,-6289,-3683,3224,300.4716666142146
332.2449998855591,-6290,-3682,3223,300.4766667286555
332.25,-6292,-3681,3220,300.48166684309643
