t,x,y,z,time_from_sync
820.6799998283386,-6439,-1634,-2249,790.0
820.6849999427795,-6435,-1629,-2249,790.0050001144409
820.6899998188019,-6434,-1625,-2249,790.0099999904633
820.6949999332428,-6431,-1620,-2250,790.0150001049042
820.6999998092651,-6430,-1615,-2251,790.0199999809265
820.704999923706,-6431,-1609,-2252,790.0250000953674
820.7099997997284,-6432,-1608,-2252,790.0299999713898
820.7149999141693,-6431,-1607,-2251,790.0350000858307
820.7199997901917,-6429,-1608,-2252,790.039999961853
820.7249999046326,-6429,-1613,-2254,790.045000076294
820.7299997806549,-6429,-1616,-2258,790.0499999523163
820.7349998950958,-6429,-1619,-2264,790.0550000667572
820.7399997711182,-6431,-1622,-2268,790.0599999427795
820.7449998855591,-6430,-1625,-2270,790.0650000572205
820.75,-6432,-1624,-2271,790.0700001716614
820.7549998760223,-6432,-1625,-2270,790.0750000476837
820.7599999904633,-6430,-1626,-2268,790.0800001621246
820.7649998664856,-6428,-1625,-2266,790.085000038147
820.7699999809265,-6422,-1625,-2266,790.0900001525879
820.7749998569489,-6417,-1623,-2265,790.0950000286102
820.7799999713898,-6418,-1619,-2266,790.1000001430511
820.7849998474121,-6421,-1616,-2267,790.1050000190735
820.789999961853,-6424,-1614,-2266,790.1100001335144
820.7949998378754,-6430,-1617,-2265,790.1150000095367
820.7999999523163,-6432,-1614,-2263,790.1200001239777
820.8049998283386,-6432,-1611,-2262,790.125
820.8099999427795,-6433,-1607,-2262,790.1300001144409
820.8149998188019,-6431,-1604,-2264,790.1349999904633
820.8199999332428,-6425,-1604,-2266,790.1400001049042
820.8249998092651,-6423,-1604,-2269,790.1449999809265
820.829999923706,-6422,-1602,-2271,790.1500000953674
820.8349997997284,-6422,-1600,-2272,790.1549999713898
820.8399999141693,-6423,-1600,-2271,790.1600000858307
820.8449997901917,-6424,-1599,-2269,790.164999961853
820.8499999046326,-6424,-1602,-2267,790.170000076294
820.8549997806549,-6423,-1606,-2268,790.1749999523163
820.8599998950958,-6425,-1609,-2270,790.1800000667572
820.8649997711182,-6424,-1615,-2272,790.1849999427795
820.8699998855591,-6425,-1619,-2274,790.1900000572205
820.875,-6424,-1621,-2275,790.1950001716614
820.8799998760223,-6424,-1625,-2274,790.2000000476837
820.8849999904633,-6425,-1624,-2273,790.2050001621246
820.8899998664856,-6428,-1624,-2273,790.210000038147
820.8949999809265,-6429,-1622,-2274,790.2150001525879
820.8999998569489,-6428,-1616,-2277,790.2200000286102
820.9049999713898,-6426,-1610,-2280,790.2250001430511
820.9099998474121,-6421,-1603,-2283,790.2300000190735
820.914999961853,-6418,-1601,-2286,790.2350001335144
820.9199998378754,-6415,-1597,-2286,790.2400000095367
820.9249999523163,-6415,-1592,-2285,790.2450001239777
820.9299998283386,-6417,-1589,-2284,790.25
820.9349999427795,-6417,-1583,-2284,790.2550001144409
820.9399998188019,-6419,-1579,-2283,790.2599999904633
820.9449999332428,-6421,-1577,-2282,790.2650001049042
820.9499998092651,-6423,-1577,-2281,790.2699999809265
820.954999923706,-6427,-1578,-2279,790.2750000953674
820.9599997997284,-6428,-1578,-2279,790.2799999713898
820.9649999141693,-6428,-1577,-2279,790.2850000858307
820.9699997901917,-6427,-1575,-2283,790.289999961853
820.9749999046326,-6426,-1572,-2287,790.295000076294
820.9799997806549,-6424,-1571,-2290,790.2999999523163
820.9849998950958,-6426,-1569,-2291,790.3050000667572
820.9899997711182,-6422,-1568,-2289,790.3099999427795
820.9949998855591,-6421,-1566,-2286,790.3150000572205
821.0,-6429,-1562,-2287,790.3200001716614
821.0049998760223,-6433,-1561,-2289,790.3250000476837
821.0099999904633,-6439,-1557,-2292,790.3300001621246
821.0149998664856,-6444,-1556,-2296,790.335000038147
821.0199999809265,-6446,-1554,-2298,790.3400001525879
821.0249998569489,-6446,-1548,-2300,790.3450000286102
821.0299999713898,-6441,-1542,-2302,790.3500001430511
821.0349998474121,-6439,-1537,-2304,790.3550000190735
821.039999961853,-6437,-1535,-2304,790.3600001335144
821.0449998378754,-6440,-1536,-2305,790.3650000095367
821.0499999523163,-6443,-1540,-2307,790.3700001239777
821.0549998283386,-6444,-1539,-2308,790.375
821.0599999427795,-6446,-1537,-2308,790.3800001144409
821.0649998188019,-6449,-1533,-2309,790.3849999904633
821.0699999332428,-6451,-1531,-2309,790.3900001049042
821.0749998092651,-6456,-1532,-2308,790.3949999809265
821.079999923706,-6459,-1529,-2308,790.4000000953674
821.0849997997284,-6462,-1524,-2308,790.4049999713898
821.0899999141693,-6460,-1518,-2308,790.4100000858307
821.0949997901917,-6458,-1509,-2308,790.414999961853
821.0999999046326,-6456,-1506,-2309,790.420000076294
821.1049997806549,-6451,-1500,-2309,790.4249999523163
821.1099998950958,-6448,-1496,-2309,790.4300000667572
821.1149997711182,-6445,-1492,-2309,790.4349999427795
821.1199998855591,-6439,-1489,-2312,790.4400000572205
821.125,-6436,-1488,-2315,790.4450001716614
821.1299998760223,-6435,-1488,-2318,790.4500000476837
821.1349999904633,-6437,-1488,-2319,790.4550001621246
821.1399998664856,-6434,-1491,-2318,790.460000038147
821.1449999809265,-6432,-1492,-2319,790.4650001525879
821.1499998569489,-6430,-1493,-2321,790.4700000286102
821.1549999713898,-6431,-1495,-2323,790.4750001430511
821.1599998474121,-6432,-1497,-2324,790.4800000190735
821.164999961853,-6433,-1500,-2324,790.4850001335144
821.1699998378754,-6432,-1500,-2325,790.4900000095367
821.1749999523163,-6430,-1497,-2326,790.4950001239777
821.1799998283386,-6428,-1489,-2327,790.5
821.1849999427795,-6429,-1480,-2328,790.5050001144409
821.1899998188019,-6432,-1473,-2329,790.5099999904633
821.1949999332428,-6434,-1467,-2330,790.5150001049042
821.1999998092651,-6441,-1464,-2330,790.5199999809265
821.204999923706,-6444,-1462,-2331,790.5250000953674
821.2099997997284,-6444,-1460,-2332,790.5299999713898
821.2149999141693,-6446,-1458,-2333,790.5350000858307
821.2199997901917,-6446,-1457,-2333,790.539999961853
821.2249999046326,-6447,-1455,-2335,790.545000076294
821.2299997806549,-6446,-1454,-2337,790.5499999523163
821.2349998950958,-6443,-1456,-2339,790.5550000667572
821.2399997711182,-6439,-1457,-2340,790.5599999427795
821.2449998855591,-6436,-1457,-2340,790.5650000572205
821.25,-6433,-1458,-2339,790.5700001716614
821.2549998760223,-6433,-1459,-2338,790.5750000476837
821.2599999904633,-6430,-1458,-2337,790.5800001621246
821.2649998664856,-6432,-1455,-2338,790.585000038147
821.2699999809265,-6432,-1445,-2339,790.5900001525879
821.2749998569489,-6433,-1433,-2341,790.5950000286102
821.2799999713898,-6434,-1421,-2344,790.6000001430511
821.2849998474121,-6435,-1414,-2344,790.6050000190735
821.289999961853,-6435,-1412,-2344,790.6100001335144
821.2949998378754,-6434,-1410,-2343,790.6150000095367
821.2999999523163,-6433,-1411,-2343,790.6200001239777
821.3049998283386,-6432,-1410,-2343,790.625
821.3099999427795,-6435,-1415,-2343,790.6300001144409
821.3149998188019,-6439,-1417,-2344,790.6349999904633
821.3199999332428,-6443,-1416,-2345,790.6400001049042
821.3249998092651,-6444,-1415,-2348,790.6449999809265
821.329999923706,-6443,-1415,-2351,790.6500000953674
821.3349997997284,-6442,-1413,-2354,790.6549999713898
821.3399999141693,-6442,-1415,-2358,790.6600000858307
