t,x,y,z,time_from_sync
953.914999961853,3148,-5369,-7157,920.0016667842865
953.9199998378754,3163,-5341,-7160,920.0066666603088
953.9249999523164,3180,-5311,-7164,920.0116667747499
953.9299998283386,3194,-5280,-7165,920.0166666507721
953.9349999427797,3208,-5251,-7166,920.0216667652131
953.939999818802,3223,-5222,-7167,920.0266666412355
953.9449999332428,3236,-5192,-7172,920.0316667556763
953.9499998092653,3248,-5162,-7179,920.0366666316987
953.954999923706,3258,-5131,-7187,920.0416667461395
953.9599997997284,3269,-5101,-7191,920.0466666221619
953.9649999141692,3282,-5071,-7191,920.0516667366027
953.9699997901917,3296,-5042,-7189,920.0566666126251
953.9749999046326,3310,-5012,-7185,920.061666727066
953.9799997806548,3325,-4982,-7183,920.0666666030883
953.9849998950958,3338,-4953,-7185,920.0716667175293
953.9899997711182,3351,-4924,-7190,920.0766665935516
953.9949998855592,3362,-4894,-7195,920.0816667079927
954.0,3372,-4857,-7201,920.0866668224335
954.0049998760225,3382,-4825,-7206,920.0916666984559
954.0099999904633,3391,-4793,-7209,920.0966668128967
954.0149998664856,3400,-4763,-7212,920.1016666889191
954.0199999809264,3407,-4731,-7213,920.1066668033599
954.0249998569489,3416,-4699,-7217,920.1116666793823
954.0299999713898,3424,-4668,-7221,920.1166667938232
954.034999847412,3434,-4637,-7225,920.1216666698455
954.039999961853,3442,-4607,-7229,920.1266667842865
954.0449998378754,3449,-4579,-7229,920.1316666603088
954.0499999523164,3456,-4552,-7230,920.1366667747499
954.0549998283386,3461,-4526,-7230,920.1416666507721
954.0599999427797,3466,-4501,-7231,920.1466667652131
954.064999818802,3471,-4476,-7237,920.1516666412355
954.0699999332428,3477,-4451,-7239,920.1566667556763
954.0749998092653,3483,-4426,-7237,920.1616666316987
954.079999923706,3488,-4400,-7232,920.1666667461395
954.0849997997284,3495,-4376,-7227,920.1716666221619
954.0899999141692,3499,-4353,-7226,920.1766667366027
954.0949997901917,3501,-4330,-7230,920.1816666126251
954.0999999046326,3501,-4309,-7229,920.186666727066
954.1049997806548,3500,-4290,-7230,920.1916666030883
954.1099998950958,3501,-4270,-7231,920.1966667175293
954.1149997711182,3502,-4251,-7230,920.2016665935516
954.1199998855592,3506,-4235,-7232,920.2066667079927
954.125,3510,-4218,-7232,920.2116668224335
954.1299998760225,3513,-4201,-7234,920.2166666984559
954.1349999904633,3517,-4182,-7235,920.2216668128967
954.1399998664856,3523,-4165,-7237,920.2266666889191
954.1449999809264,3530,-4148,-7236,920.2316668033599
954.1499998569489,3535,-4132,-7240,920.2366666793823
954.1549999713898,3539,-4117,-7243,920.2416667938232
954.159999847412,3543,-4103,-7251,920.2466666698455
954.164999961853,3546,-4090,-7259,920.2516667842865
954.1699998378754,3551,-4078,-7264,920.2566666603088
954.1749999523164,3557,-4066,-7267,920.2616667747499
954.1799998283386,3562,-4057,-7267,920.2666666507721
954.1849999427797,3565,-4047,-7264,920.2716667652131
954.189999818802,3567,-4037,-7261,920.2766666412355
954.1949999332428,3568,-4026,-7257,920.2816667556763
954.1999998092653,3568,-4012,-7255,920.2866666316987
954.204999923706,3567,-4000,-7253,920.2916667461395
954.2099997997284,3569,-3990,-7253,920.2966666221619
954.2149999141692,3570,-3982,-7254,920.3016667366027
954.2199997901917,3571,-3977,-7256,920.3066666126251
954.2249999046326,3570,-3972,-7261,920.311666727066
954.2299997806548,3569,-3969,-7265,920.3166666030883
954.2349998950958,3569,-3965,-7267,920.3216667175293
954.2399997711182,3570,-3963,-7270,920.3266665935516
954.2449998855592,3572,-3960,-7272,920.3316667079927
954.25,3575,-3958,-7270,920.3366668224335
954.2549998760225,3575,-3954,-7266,920.3416666984559
954.2599999904633,3576,-3951,-7261,920.3466668128967
954.2649998664856,3575,-3950,-7256,920.3516666889191
954.2699999809264,3576,-3950,-7254,920.3566668033599
954.2749998569489,3576,-3952,-7252,920.3616666793823
954.2799999713898,3577,-3954,-7249,920.3666667938232
954.284999847412,3577,-3956,-7245,920.3716666698455
954.289999961853,3578,-3959,-7243,920.3766667842865
954.2949998378754,3579,-3963,-7245,920.3816666603088
954.2999999523164,3580,-3970,-7246,920.3866667747499
954.3049998283386,3580,-3976,-7244,920.3916666507721
954.3099999427797,3578,-3982,-7242,920.3966667652131
954.314999818802,3577,-3988,-7237,920.4016666412355
954.3199999332428,3575,-3994,-7230,920.4066667556763
954.3249998092653,3574,-4000,-7227,920.4116666316987
954.329999923706,3574,-4004,-7223,920.4166667461395
954.3349997997284,3573,-4008,-7219,920.4216666221619
954.3399999141692,3572,-4012,-7216,920.4266667366027
954.3449997901917,3570,-4016,-7214,920.4316666126251
954.3499999046326,3566,-4022,-7218,920.436666727066
954.3549997806548,3564,-4029,-7222,920.4416666030883
954.3599998950958,3561,-4035,-7222,920.4466667175293
954.3649997711182,3558,-4041,-7220,920.4516665935516
954.3699998855592,3556,-4046,-7219,920.4566667079927
954.375,3554,-4049,-7218,920.4616668224335
954.3799998760225,3553,-4053,-7221,920.4666666984559
954.3849999904633,3553,-4059,-7224,920.4716668128967
954.3899998664856,3553,-4065,-7228,920.4766666889191
954.3949999809264,3554,-4072,-7231,920.4816668033599
954.3999998569489,3554,-4080,-7233,920.4866666793823
954.4049999713898,3552,-4086,-7236,920.4916667938232
954.409999847412,3550,-4092,-7241,920.4966666698455
954.414999961853,3546,-4098,-7246,920.5016667842865
954.4199998378754,3542,-4106,-7252,920.5066666603088
954.4249999523164,3537,-4116,-7255,920.5116667747499
954.4299998283386,3532,-4128,-7255,920.5166666507721
954.4349999427797,3527,-4138,-7255,920.5216667652131
954.439999818802,3523,-4149,-7256,920.5266666412355
954.4449999332428,3519,-4160,-7258,920.5316667556763
954.4499998092653,3517,-4169,-7261,920.5366666316987
954.454999923706,3513,-4179,-7261,920.5416667461395
954.4599997997284,3508,-4188,-7261,920.5466666221619
954.4649999141692,3505,-4196,-7262,920.5516667366027
954.4699997901917,3501,-4204,-7264,920.5566666126251
954.4749999046326,3499,-4209,-7266,920.561666727066
954.4799997806548,3497,-4214,-7269,920.5666666030883
954.4849998950958,3496,-4218,-7270,920.5716667175293
954.4899997711182,3495,-4223,-7271,920.5766665935516
954.4949998855592,3494,-4227,-7272,920.5816667079927
