t,x,y,z,time_from_sync
1158.914999961853,5459,-735,-4278,1125.0016667842865
1158.9199998378754,5458,-731,-4281,1125.0066666603088
1158.9249999523165,5458,-727,-4279,1125.01166677475
1158.9299998283386,5458,-724,-4279,1125.016666650772
1158.9349999427795,5459,-722,-4279,1125.021666765213
1158.939999818802,5458,-720,-4278,1125.0266666412356
1158.9449999332428,5457,-718,-4278,1125.0316667556763
1158.9499998092651,5455,-716,-4277,1125.0366666316986
1158.954999923706,5451,-713,-4275,1125.0416667461395
1158.9599997997284,5450,-709,-4274,1125.0466666221619
1158.9649999141693,5449,-704,-4273,1125.0516667366028
1158.9699997901917,5449,-700,-4269,1125.0566666126251
1158.9749999046326,5449,-699,-4267,1125.061666727066
1158.979999780655,5449,-699,-4265,1125.0666666030884
1158.9849998950958,5449,-699,-4265,1125.0716667175293
1158.9899997711182,5448,-700,-4271,1125.0766665935516
1158.994999885559,5448,-700,-4277,1125.0816667079926
1159.0,5449,-699,-4281,1125.0866668224335
1159.0049998760223,5450,-699,-4281,1125.0916666984558
1159.0099999904633,5452,-697,-4280,1125.0966668128967
1159.0149998664856,5453,-693,-4278,1125.101666688919
1159.0199999809265,5452,-691,-4272,1125.10666680336
1159.0249998569489,5452,-687,-4269,1125.1116666793823
1159.0299999713898,5451,-683,-4264,1125.1166667938232
1159.034999847412,5449,-679,-4262,1125.1216666698456
1159.039999961853,5448,-675,-4265,1125.1266667842865
1159.0449998378754,5446,-672,-4264,1125.1316666603088
1159.0499999523165,5444,-670,-4260,1125.13666677475
1159.0549998283386,5443,-668,-4257,1125.141666650772
1159.0599999427795,5443,-667,-4256,1125.146666765213
1159.064999818802,5443,-665,-4253,1125.1516666412356
1159.0699999332428,5441,-663,-4255,1125.1566667556763
1159.0749998092651,5439,-663,-4258,1125.1616666316986
1159.079999923706,5438,-662,-4259,1125.1666667461395
1159.0849997997284,5436,-659,-4262,1125.1716666221619
1159.0899999141693,5436,-657,-4263,1125.1766667366028
1159.0949997901917,5435,-654,-4262,1125.1816666126251
1159.0999999046326,5434,-652,-4263,1125.186666727066
1159.104999780655,5434,-650,-4264,1125.1916666030884
1159.1099998950958,5433,-647,-4267,1125.1966667175293
1159.1149997711182,5433,-645,-4271,1125.2016665935516
1159.119999885559,5429,-643,-4273,1125.2066667079926
1159.125,5428,-640,-4275,1125.2116668224335
1159.1299998760223,5425,-637,-4277,1125.2166666984558
1159.1349999904633,5423,-634,-4280,1125.2216668128967
1159.1399998664856,5423,-631,-4280,1125.226666688919
1159.1449999809265,5423,-629,-4280,1125.23166680336
1159.1499998569489,5422,-629,-4279,1125.2366666793823
1159.1549999713898,5421,-627,-4272,1125.2416667938232
1159.159999847412,5422,-625,-4267,1125.2466666698456
1159.164999961853,5421,-624,-4263,1125.2516667842865
1159.1699998378754,5421,-625,-4260,1125.2566666603088
1159.1749999523165,5421,-626,-4260,1125.26166677475
1159.1799998283386,5421,-628,-4260,1125.266666650772
1159.1849999427795,5418,-628,-4259,1125.271666765213
1159.189999818802,5416,-630,-4258,1125.2766666412356
1159.1949999332428,5415,-631,-4255,1125.2816667556763
1159.1999998092651,5416,-634,-4253,1125.2866666316986
1159.204999923706,5418,-638,-4255,1125.2916667461395
1159.2099997997284,5421,-643,-4255,1125.2966666221619
1159.2149999141693,5422,-647,-4253,1125.3016667366028
1159.2199997901917,5425,-650,-4251,1125.3066666126251
1159.2249999046326,5427,-655,-4249,1125.311666727066
1159.229999780655,5431,-660,-4248,1125.3166666030884
1159.2349998950958,5435,-666,-4249,1125.3216667175293
