t,x,y,z,time_from_sync
1155.0500144959433,-56.6070556640625,-83.682861328125,-81.024169921875,1125.0541798433605
1155.125014495943,-56.370849609375,-83.6773681640625,-81.068115234375,1125.1291798433604
1155.320014429186,-54.898681640625,-83.49609375,-82.650146484375,1125.3241797766032
1155.3950144291862,-54.5745849609375,-83.4906005859375,-82.63916015625,1125.3991797766034
1155.590014362429,-54.700927734375,-83.671875,-82.4688720703125,1125.5941797098462
1155.665014362429,-54.2669677734375,-83.671875,-82.5897216796875,1125.6691797098463
1155.8600145340904,-54.503173828125,-83.3642578125,-82.518310546875,1125.8641798815077
1155.9350145340904,-54.415283203125,-83.3697509765625,-82.3590087890625,1125.9391798815077
1156.1300147057518,-53.1024169921875,-83.2269287109375,-83.8037109375,1126.134180053169
1156.205014705752,-52.7947998046875,-83.2269287109375,-83.8037109375,1126.2091800531693
1156.400014638995,-52.119140625,-83.3697509765625,-83.0731201171875,1126.4041799864121
1156.4750146389947,-52.3004150390625,-83.3477783203125,-83.16650390625,1126.479179986412
1156.6700145722375,-52.4267578125,-83.529052734375,-81.03515625,1126.6741799196548
1156.7450145722376,-52.239990234375,-83.5345458984375,-81.0076904296875,1126.7491799196548
1156.9400145054803,-50.4107666015625,-83.3642578125,-81.9195556640625,1126.9441798528976
1157.0150145054804,-50.33935546875,-83.3587646484375,-81.947021484375,1127.0191798528977
1157.2100146771418,-46.8511962890625,-83.221435546875,-85.1385498046875,1127.214180024559
1157.2850146771418,-46.7083740234375,-83.232421875,-85.155029296875,1127.289180024559
1157.4800148488032,-50.3009033203125,-83.2763671875,-82.5677490234375,1127.4841801962204
1157.5550148488032,-50.4656982421875,-83.2708740234375,-82.7325439453125,1127.5591801962205
1157.750014782046,-49.559326171875,-83.5455322265625,-83.3258056640625,1127.7541801294633
1157.825014782046,-49.76806640625,-83.5455322265625,-83.3807373046875,1127.8291801294633
1158.0200147152889,-50.80078125,-83.243408203125,-83.43017578125,1128.0241800627061
1158.095014715289,-50.9765625,-83.243408203125,-83.3807373046875,1128.0991800627062
1158.2900146485315,-51.1138916015625,-83.419189453125,-82.034912109375,1128.2941799959488
1158.3650146485318,-50.877685546875,-83.4027099609375,-82.0953369140625,1128.369179995949
1158.5600148201931,-51.4434814453125,-83.3642578125,-80.7769775390625,1128.5641801676104
1158.6350148201932,-51.6357421875,-83.34228515625,-80.6671142578125,1128.6391801676104
1158.8300149918546,-50.60302734375,-82.913818359375,-82.08984375,1128.8341803392718
1158.9050149918546,-50.921630859375,-82.9193115234375,-82.0623779296875,1128.9091803392719
1159.1000149250974,-53.228759765625,-83.2598876953125,-81.2164306640625,1129.1041802725147
1159.1750149250977,-53.1353759765625,-83.2763671875,-80.9857177734375,1129.179180272515
1159.3700148583405,-51.7620849609375,-83.1719970703125,-81.353759765625,1129.3741802057577
1159.4450148583403,-51.8719482421875,-83.1719970703125,-81.54052734375,1129.4491802057576
1159.640014791583,-55.2227783203125,-83.4136962890625,-77.2283935546875,1129.6441801390004
1159.7150147915831,-55.56884765625,-83.4027099609375,-77.1514892578125,1129.7191801390004
1159.9100149632443,-49.10888671875,-82.9962158203125,-82.24365234375,1129.9141803106615
1159.9850149632446,-48.7957763671875,-82.979736328125,-82.3590087890625,1129.9891803106618
1160.180015134906,-50.8172607421875,-83.07861328125,-80.57373046875,1130.1841804823232
1160.255015134906,-50.6414794921875,-83.0621337890625,-80.595703125,1130.2591804823232
1160.4500150681488,-53.06396484375,-83.1005859375,-79.82666015625,1130.454180415566
1160.5250150681488,-52.9595947265625,-83.1060791015625,-79.7991943359375,1130.529180415566
1160.7200150013916,-54.085693359375,-83.1280517578125,-78.0303955078125,1130.7241803488089
1160.7950150013917,-54.1131591796875,-83.1280517578125,-78.0523681640625,1130.799180348809
1160.9900149346345,-54.20654296875,-83.0841064453125,-79.9859619140625,1130.9941802820517
1161.0650149346343,-54.239501953125,-83.111572265625,-79.87060546875,1131.0691802820515
1161.260015106296,-54.569091796875,-83.001708984375,-79.376220703125,1131.2641804537132
1161.335015106296,-54.525146484375,-82.9962158203125,-79.3267822265625,1131.3391804537132
1161.530015277957,-56.8487548828125,-83.3038330078125,-75.882568359375,1131.5341806253743
1161.6050152779574,-56.8048095703125,-83.3148193359375,-75.8551025390625,1131.6091806253746
1161.8000152112002,-54.305419921875,-83.03466796875,-78.7005615234375,1131.8041805586174
1161.8750152112002,-54.20654296875,-83.0401611328125,-78.662109375,1131.8791805586175
1162.070015144443,-56.810302734375,-83.1829833984375,-75.7562255859375,1132.0741804918603
1162.145015144443,-56.77734375,-83.1610107421875,-75.684814453125,1132.1491804918603
1162.3400150776858,-56.9586181640625,-83.0291748046875,-77.047119140625,1132.344180425103
1162.415015077686,-56.7498779296875,-83.0291748046875,-76.9921875,1132.4191804251031
1162.6100152493473,-56.326904296875,-82.803955078125,-77.783203125,1132.6141805967645
1162.685015249347,-56.5191650390625,-82.8094482421875,-77.838134765625,1132.6891805967643
1162.8800154210087,-57.7001953125,-83.1390380859375,-76.9097900390625,1132.884180768426
1162.9550154210087,-57.996826171875,-83.155517578125,-76.8218994140625,1132.959180768426
1163.1500153542515,-61.424560546875,-82.9302978515625,-74.4598388671875,1133.1541807016688
1163.2250153542516,-61.171875,-82.9248046875,-74.520263671875,1133.2291807016688
1163.4200152874944,-61.1883544921875,-83.3203125,-75.0421142578125,1133.4241806349116
1163.4950152874944,-61.2322998046875,-83.331298828125,-74.937744140625,1133.4991806349117
1163.6900152207372,-62.0343017578125,-83.1060791015625,-74.5257568359375,1133.6941805681545
1163.7650152207373,-61.962890625,-83.089599609375,-74.53125,1133.7691805681545
1163.9600153923986,-59.622802734375,-82.6885986328125,-76.35498046875,1133.964180739816
1164.0350153923987,-59.6612548828125,-82.694091796875,-76.431884765625,1134.039180739816
1164.23001556406,-60.99609375,-83.0072021484375,-74.7894287109375,1134.2341809114773
1164.30501556406,-61.0565185546875,-83.045654296875,-74.5257568359375,1134.3091809114774
1164.500015497303,-61.76513671875,-82.77099609375,-74.2401123046875,1134.5041808447202
1164.575015497303,-61.6058349609375,-82.7545166015625,-74.256591796875,1134.5791808447202
1164.7700154305458,-65.7916259765625,-82.7655029296875,-69.0875244140625,1134.774180777963
1164.8450154305458,-65.9234619140625,-82.79296875,-68.9501953125,1134.849180777963
1165.0400153637886,-65.159912109375,-82.6171875,-71.0870361328125,1135.0441807112059
1165.1150153637886,-65.5224609375,-82.63916015625,-71.0430908203125,1135.119180711206
1165.31001553545,-70.048828125,-82.529296875,-67.2802734375,1135.3141808828673
1165.38501553545,-69.58740234375,-82.50732421875,-67.4945068359375,1135.3891808828673
1165.5800157071114,-71.905517578125,-82.6556396484375,-64.9786376953125,1135.5841810545287
1165.6550157071115,-72.1856689453125,-82.6666259765625,-64.940185546875,1135.6591810545287
1165.8500156403545,-72.35595703125,-82.6446533203125,-66.3079833984375,1135.8541809877718
1165.9250156403543,-72.5701904296875,-82.650146484375,-66.3189697265625,1135.9291809877716
1166.1200155735971,-74.2840576171875,-82.474365234375,-64.8577880859375,1136.1241809210144
1166.1950155735972,-74.036865234375,-82.4798583984375,-64.8797607421875,1136.1991809210144
1166.39001550684,-75.7452392578125,-82.364501953125,-63.424072265625,1136.3941808542572
1166.46501550684,-75.8935546875,-82.3699951171875,-63.511962890625,1136.4691808542573
1166.6600156785014,-74.9871826171875,-82.650146484375,-64.2974853515625,1136.6641810259187
1166.7350156785014,-75.3662109375,-82.6611328125,-64.22607421875,1136.7391810259187
1166.9300158501628,-74.696044921875,-82.5457763671875,-63.402099609375,1136.93418119758
1167.0050158501629,-74.4818115234375,-82.5457763671875,-63.4075927734375,1137.0091811975801
1167.2000157834057,-74.4927978515625,-82.518310546875,-62.64404296875,1137.204181130823
1167.2750157834057,-74.70703125,-82.5347900390625,-62.7593994140625,1137.279181130823
1167.4700157166485,-74.4268798828125,-82.4908447265625,-63.74267578125,1137.4741810640658
1167.5450157166483,-74.4049072265625,-82.50732421875,-63.5284423828125,1137.5491810640656
1167.7400156498911,-74.7015380859375,-82.46337890625,-63.4185791015625,1137.7441809973084
1167.8150156498914,-74.4488525390625,-82.4578857421875,-63.3306884765625,1137.8191809973086
1168.0100158215528,-72.9327392578125,-82.5677490234375,-64.566650390625,1138.01418116897
1168.0850158215528,-73.1744384765625,-82.5677490234375,-64.4842529296875,1138.08918116897
1168.2800159932142,-76.168212890625,-83.0072021484375,-60.7818603515625,1138.2841813406314
1168.3550159932142,-76.0089111328125,-83.0181884765625,-60.6829833984375,1138.3591813406315
1168.550015926457,-74.5806884765625,-82.6336669921875,-61.885986328125,1138.5541812738743
1168.625015926457,-74.366455078125,-82.6336669921875,-61.8035888671875,1138.6291812738743
1168.8200158597,-77.552490234375,-82.847900390625,-58.150634765625,1138.8241812071174
1168.8950158597,-77.54150390625,-82.8533935546875,-58.29345703125,1138.8991812071172
1169.0900157929427,-72.8668212890625,-82.803955078125,-59.1119384765625,1139.09418114036
1169.1650157929428,-72.8009033203125,-82.8094482421875,-58.9031982421875,1139.16918114036
1169.360015964604,-72.1087646484375,-82.7490234375,-58.9910888671875,1139.3641813120212
1169.4350159646042,-71.74072265625,-82.72705078125,-59.139404296875,1139.4391813120214
1169.6300161362656,-73.861083984375,-82.781982421875,-57.06298828125,1139.6341814836828
1169.7050161362656,-73.7567138671875,-82.7984619140625,-57.23876953125,1139.7091814836829
