t,x,y,z,time_from_sync
1155.0500144959433,-473,2,-149,1125.0541798433605
1155.125014495943,-473,2,-149,1125.1291798433604
1155.320014429186,-475,4,-146,1125.3241797766032
1155.3950144291862,-475,4,-145,1125.3991797766034
1155.590014362429,-474,8,-147,1125.5941797098462
1155.665014362429,-474,8,-147,1125.6691797098463
1155.8600145340904,-472,8,-151,1125.8641798815077
1155.9350145340904,-472,8,-150,1125.9391798815077
1156.1300147057518,-475,12,-146,1126.134180053169
1156.205014705752,-475,11,-146,1126.2091800531693
1156.400014638995,-472,10,-150,1126.4041799864121
1156.4750146389947,-471,9,-150,1126.479179986412
1156.6700145722375,-472,11,-153,1126.6741799196548
1156.7450145722376,-471,10,-152,1126.7491799196548
1156.9400145054803,-471,12,-150,1126.9441798528976
1157.0150145054804,-470,12,-150,1127.0191798528977
1157.2100146771418,-470,12,-154,1127.214180024559
1157.2850146771418,-470,12,-153,1127.289180024559
1157.4800148488032,-470,12,-154,1127.4841801962204
1157.5550148488032,-470,11,-153,1127.5591801962205
1157.750014782046,-470,16,-154,1127.7541801294633
1157.825014782046,-470,15,-153,1127.8291801294633
1158.0200147152889,-473,15,-147,1128.0241800627061
1158.095014715289,-473,14,-146,1128.0991800627062
1158.2900146485315,-471,25,-148,1128.2941799959488
1158.3650146485318,-471,25,-147,1128.369179995949
1158.5600148201931,-474,32,-142,1128.5641801676104
1158.6350148201932,-473,32,-141,1128.6391801676104
1158.8300149918546,-471,41,-143,1128.8341803392718
1158.9050149918546,-471,40,-142,1128.9091803392719
1159.1000149250974,-469,46,-142,1129.1041802725147
1159.1750149250977,-469,46,-142,1129.179180272515
1159.3700148583405,-469,49,-140,1129.3741802057577
1159.4450148583403,-468,48,-139,1129.4491802057576
1159.640014791583,-468,56,-135,1129.6441801390004
1159.7150147915831,-468,56,-134,1129.7191801390004
1159.9100149632443,-467,57,-140,1129.9141803106615
1159.9850149632446,-467,56,-139,1129.9891803106618
1160.180015134906,-464,65,-140,1130.1841804823232
1160.255015134906,-464,65,-139,1130.2591804823232
1160.4500150681488,-468,71,-123,1130.454180415566
1160.5250150681488,-468,71,-122,1130.529180415566
1160.7200150013916,-468,83,-118,1130.7241803488089
1160.7950150013917,-468,82,-118,1130.799180348809
1160.9900149346345,-469,89,-103,1130.9941802820517
1161.0650149346343,-468,88,-102,1131.0691802820515
1161.260015106296,-465,96,-108,1131.2641804537132
1161.335015106296,-464,95,-108,1131.3391804537132
1161.530015277957,-465,102,-94,1131.5341806253743
1161.6050152779574,-465,102,-93,1131.6091806253746
1161.8000152112002,-467,102,-89,1131.8041805586174
1161.8750152112002,-466,101,-88,1131.8791805586175
1162.070015144443,-464,108,-87,1132.0741804918603
1162.145015144443,-463,107,-86,1132.1491804918603
1162.3400150776858,-464,112,-77,1132.344180425103
1162.415015077686,-464,111,-76,1132.4191804251031
1162.6100152493473,-459,118,-79,1132.6141805967645
1162.685015249347,-458,117,-78,1132.6891805967643
1162.8800154210087,-461,117,-71,1132.884180768426
1162.9550154210087,-461,116,-70,1132.959180768426
1163.1500153542515,-461,120,-62,1133.1541807016688
1163.2250153542516,-461,120,-61,1133.2291807016688
1163.4200152874944,-461,120,-61,1133.4241806349116
1163.4950152874944,-461,119,-61,1133.4991806349117
1163.6900152207372,-463,118,-68,1133.6941805681545
1163.7650152207373,-463,117,-67,1133.7691805681545
1163.9600153923986,-461,119,-68,1133.964180739816
1164.0350153923987,-460,118,-68,1134.039180739816
1164.23001556406,-460,116,-77,1134.2341809114773
1164.30501556406,-460,115,-76,1134.3091809114774
1164.500015497303,-465,111,-76,1134.5041808447202
1164.575015497303,-465,110,-76,1134.5791808447202
1164.7700154305458,-464,108,-84,1134.774180777963
1164.8450154305458,-464,108,-83,1134.849180777963
1165.0400153637886,-465,103,-92,1135.0441807112059
1165.1150153637886,-465,102,-92,1135.119180711206
1165.31001553545,-468,100,-91,1135.3141808828673
1165.38501553545,-467,100,-90,1135.3891808828673
1165.5800157071114,-468,93,-104,1135.5841810545287
1165.6550157071115,-468,92,-103,1135.6591810545287
1165.8500156403545,-468,89,-106,1135.8541809877718
1165.9250156403543,-468,89,-105,1135.9291809877716
1166.1200155735971,-468,91,-105,1136.1241809210144
1166.1950155735972,-468,90,-104,1136.1991809210144
1166.39001550684,-466,94,-106,1136.3941808542572
1166.46501550684,-466,93,-105,1136.4691808542573
1166.6600156785014,-465,96,-106,1136.6641810259187
1166.7350156785014,-465,96,-106,1136.7391810259187
1166.9300158501628,-465,95,-105,1136.93418119758
1167.0050158501629,-465,95,-104,1137.0091811975801
1167.2000157834057,-462,98,-110,1137.204181130823
1167.2750157834057,-462,98,-109,1137.279181130823
1167.4700157166485,-466,95,-107,1137.4741810640658
1167.5450157166483,-466,94,-106,1137.5491810640656
1167.7400156498911,-465,94,-108,1137.7441809973084
1167.8150156498914,-465,94,-107,1137.8191809973086
1168.0100158215528,-463,96,-113,1138.01418116897
1168.0850158215528,-463,95,-112,1138.08918116897
1168.2800159932142,-467,93,-106,1138.2841813406314
1168.3550159932142,-467,92,-106,1138.3591813406315
1168.550015926457,-466,94,-105,1138.5541812738743
1168.625015926457,-465,95,-104,1138.6291812738743
1168.8200158597,-464,98,-106,1138.8241812071174
1168.8950158597,-464,98,-106,1138.8991812071172
1169.0900157929427,-464,90,-118,1139.09418114036
1169.1650157929428,-464,90,-117,1139.16918114036
1169.360015964604,-467,91,-111,1139.3641813120212
1169.4350159646042,-467,90,-110,1139.4391813120214
1169.6300161362656,-466,93,-106,1139.6341814836828
1169.7050161362656,-466,92,-106,1139.7091814836829
1169.9000160695084,-467,94,-109,1139.9041814169257
1169.9750160695085,-467,93,-108,1139.9791814169257
1170.1700160027513,-466,92,-110,1140.1741813501685
1170.2450160027513,-466,91,-110,1140.2491813501686
1170.440015935994,-465,89,-115,1140.4441812834114
1170.515015935994,-465,89,-115,1140.5191812834112
1170.7100161076555,-470,92,-103,1140.7141814550728
1170.7850161076556,-469,92,-102,1140.7891814550728
1170.980016279317,-466,92,-112,1140.9841816267342
1171.055016279317,-466,92,-111,1141.0591816267342
1171.2450163365374,-468,93,-104,1141.2491816839547
1171.3200163365375,-468,93,-102,1141.3241816839547
1171.5150165081989,-469,95,-106,1141.5191818556161
1171.590016508199,-469,94,-105,1141.5941818556162
1171.7850164414417,-465,91,-116,1141.789181788859
1171.8600164414418,-465,90,-115,1141.864181788859
1172.0550163746846,-466,86,-120,1142.0591817221018
1172.1300163746846,-466,86,-119,1142.1341817221019
1172.3250163079274,-464,74,-136,1142.3291816553447
1172.4000163079274,-463,73,-135,1142.4041816553447
1172.5950162411702,-463,70,-145,1142.5991815885875
1172.6700162411703,-462,70,-144,1142.6741815885875
1172.8650164128317,-469,68,-131,1142.869181760249
1172.9400164128317,-469,68,-130,1142.944181760249
1173.1350163460745,-470,62,-137,1143.1391816934918
1173.2100163460746,-469,62,-136,1143.2141816934918
1173.4050162793174,-468,55,-142,1143.4091816267346
1173.4800162793174,-467,54,-141,1143.4841816267347
1173.6750162125602,-464,48,-154,1143.6791815599775
1173.7500162125602,-464,47,-153,1143.7541815599775
1173.945016145803,-468,42,-151,1143.9491814932203
1174.020016145803,-468,41,-150,1144.0241814932203
1174.2150163174645,-469,35,-150,1144.2191816648817
1174.2900163174645,-469,35,-149,1144.2941816648818
1174.4850162507073,-470,35,-148,1144.4891815981246
1174.5600162507071,-470,35,-148,1144.5641815981244
1174.75501618395,-467,24,-157,1144.7591815313672
1174.8300161839502,-467,23,-156,1144.8341815313674
1175.025016117193,-472,20,-150,1145.0291814646102
1175.100016117193,-472,19,-149,1145.1041814646103
1175.2950160504358,-470,17,-157,1145.299181397853
1175.370016050436,-469,17,-156,1145.3741813978534
1175.5650162220973,-472,9,-154,1145.5691815695145
1175.6400162220973,-471,9,-154,1145.6441815695146
1175.83501615534,-474,10,-150,1145.8391815027574
1175.91001615534,-473,10,-149,1145.9141815027572
1176.105016088583,-472,0,-157,1146.1091814360002
1176.180016088583,-472,0,-157,1146.1841814360002
1176.3750160218258,-473,0,-154,1146.379181369243
1176.4500160218258,-473,0,-153,1146.454181369243
1176.6450159550686,-474,0,-154,1146.6491813024859
1176.720015955069,-474,-1,-153,1146.7241813024862
1176.91501612673,-473,-9,-154,1146.9191814741473
1176.99001612673,-473,-10,-153,1146.9941814741474
