Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.74592,-1.2324,-8,4.46,2023-12-12 13:35:20.999000+00:00,gps,50.74587,-1.23253,40,8.0,4.82,243.28224,gps [GPS],00:00:01,5.0,0.0,,,,False,31 / 32,1389,11596.7,-,1.6,1.4,0.7,-,-,Ship,13:35:20 GMT,13:35:21.218,13:35:16.917,13:35:16.937,17.36,10.79,74,1255.0
50.7459,-1.23246,-8,4.46,2023-12-12 13:35:21.999000+00:00,gps,50.74586,-1.23258,40,8.0,4.4,244.1488,gps [GPS],00:00:01,4.7,0.0,,,,False,29 / 32,1390,11601.3,-,1.6,1.4,0.7,-,-,Ship,13:35:21 GMT,13:35:22.212,13:35:17.911,13:35:17.922,15.85,9.85,74,1256.0
50.74589,-1.23251,-8,4.46,2023-12-12 13:35:22.999000+00:00,gps,50.74585,-1.23263,40,8.0,3.71,244.89592,gps [GPS],00:00:01,4.2,0.0,,,,False,28 / 30,1391,11605.5,-,2.0,1.9,0.7,-,-,Ship,13:35:22 GMT,13:35:23.200,13:35:18.899,13:35:18.912,13.36,8.3,74,1257.0
50.74587,-1.23256,-7,4.46,2023-12-12 13:35:23.999000+00:00,gps,50.74584,-1.23267,41,8.0,3.12,252.49081,gps [GPS],00:00:01,3.8,0.0,,,,False,28 / 30,1392,11609.3,-,1.6,1.4,0.7,-,-,Ship,13:35:23 GMT,13:35:24.206,13:35:19.904,13:35:19.914,11.25,6.99,74,1258.0
50.74586,-1.2326,-6,4.46,2023-12-12 13:35:24.999000+00:00,gps,50.74584,-1.2327,42,8.0,2.52,248.5784,gps [GPS],00:00:01,3.3,0.0,,,,False,26 / 30,1393,11612.5,-,1.6,1.4,0.7,-,-,Ship,13:35:24 GMT,13:35:25.192,13:35:20.891,13:35:20.903,9.09,5.65,74,1259.0
50.74585,-1.23264,-6,4.46,2023-12-12 13:35:25.999000+00:00,gps,50.74583,-1.23273,42,8.0,2.11,248.71617,gps [GPS],00:00:01,3.0,0.0,,,,False,25 / 30,1394,11615.6,-,1.6,1.4,0.7,-,-,Ship,13:35:25 GMT,13:35:26.204,13:35:21.902,13:35:21.912,7.6,4.72,74,1260.0
50.74584,-1.23268,-6,4.46,2023-12-12 13:35:26.999000+00:00,gps,50.74583,-1.23275,43,8.0,1.6,243.87068,gps [GPS],00:00:01,2.6,0.0,,,,False,29 / 31,1395,11618.2,-,1.6,1.5,0.7,-,-,Ship,13:35:26 GMT,13:35:27.195,13:35:22.894,13:35:22.903,5.77,3.58,74,1261.0
50.74584,-1.2327,-6,4.46,2023-12-12 13:35:27.999000+00:00,gps,50.74582,-1.23276,43,8.0,1.56,240.00009,gps [GPS],00:00:01,2.1,0.0,,,,False,29 / 31,1396,11620.2,-,2.1,1.9,0.7,-,-,Ship,13:35:27 GMT,13:35:28.194,13:35:23.892,13:35:23.904,5.6,3.48,74,1262.0
50.74583,-1.23273,-6,4.46,2023-12-12 13:35:28.999000+00:00,gps,50.74582,-1.23278,43,8.0,1.48,235.33583,gps [GPS],00:00:01,1.7,0.0,,,,False,29 / 31,1397,11621.9,-,1.5,1.3,0.7,-,-,Ship,13:35:28 GMT,13:35:29.234,13:35:24.932,13:35:24.943,5.34,3.32,74,1263.0
50.74583,-1.23274,-6,4.46,2023-12-12 13:35:29.999000+00:00,gps,50.74581,-1.23278,43,8.0,1.38,235.9314,gps [GPS],00:00:01,1.3,0.0,,,,False,29 / 31,1398,11623.3,-,1.6,1.4,0.7,-,-,Ship,13:35:29 GMT,13:35:30.208,13:35:25.906,13:35:25.916,4.96,3.08,74,1264.0
50.74582,-1.23276,-6,4.46,2023-12-12 13:35:30.999000+00:00,gps,50.74581,-1.23279,42,8.0,1.37,236.40952,gps [GPS],00:00:01,1.2,0.0,,,,False,28 / 31,1399,11624.5,-,2.0,1.8,0.7,-,-,Ship,13:35:30 GMT,13:35:31.200,13:35:26.899,13:35:26.908,4.94,3.07,74,1265.0
50.74581,-1.23277,-6,4.46,2023-12-12 13:35:31.999000+00:00,gps,50.7458,-1.23281,43,8.0,1.37,234.09724,gps [GPS],00:00:01,1.3,0.0,,,,False,28 / 31,1400,11625.8,-,1.9,1.8,0.7,-,-,Ship,13:35:31 GMT,13:35:32.226,13:35:27.924,13:35:27.932,4.93,3.06,74,1266.0
50.74581,-1.23279,-6,4.46,2023-12-12 13:35:32.999000+00:00,gps,50.74579,-1.23282,42,8.0,1.32,234.70857,gps [GPS],00:00:01,1.2,0.0,,,,False,29 / 31,1401,11627.0,-,1.6,1.4,0.8,-,-,Ship,13:35:32 GMT,13:35:33.182,13:35:28.880,13:35:28.889,4.74,2.94,74,1267.0
50.7458,-1.2328,-6,4.46,2023-12-12 13:35:33.999000+00:00,gps,50.74579,-1.23284,42,8.0,1.41,236.3387,gps [GPS],00:00:01,1.2,0.0,,,,False,29 / 31,1402,11628.3,-,1.6,1.4,0.8,-,-,Ship,13:35:33 GMT,13:35:34.178,13:35:29.877,13:35:29.885,5.06,3.15,74,1268.0
50.7458,-1.23282,-6,4.46,2023-12-12 13:35:34.999000+00:00,gps,50.74579,-1.23285,42,8.0,1.38,236.6474,gps [GPS],00:00:01,1.1,0.0,,,,False,28 / 31,1402,11629.4,-,1.5,1.4,0.7,-,-,Ship,13:35:34 GMT,13:35:35.155,13:35:30.853,13:35:30.862,4.98,3.09,74,1269.0
50.7458,-1.23283,-6,4.46,2023-12-12 13:35:35.999000+00:00,gps,50.74579,-1.23286,42,8.0,1.16,234.38997,gps [GPS],00:00:01,0.9,0.0,,,,False,29 / 31,1403,11630.2,-,2.0,1.9,0.7,-,-,Ship,13:35:35 GMT,13:35:36.163,13:35:31.861,13:35:31.869,4.19,2.6,74,1270.0
50.74579,-1.23284,-6,4.46,2023-12-12 13:35:36.999000+00:00,gps,50.74579,-1.23287,42,8.0,1.4,233.5125,gps [GPS],00:00:01,0.9,0.0,,,,False,29 / 31,1405,11631.1,-,2.0,1.8,0.7,-,-,Ship,13:35:36 GMT,13:35:37.201,13:35:32.900,13:35:32.914,5.04,3.13,74,1271.0
50.74579,-1.23285,-6,4.46,2023-12-12 13:35:37.999000+00:00,gps,50.74578,-1.23288,42,8.0,1.41,228.54831,gps [GPS],00:00:01,0.9,0.0,,,,False,27 / 32,1406,11632.0,-,2.0,1.8,0.7,-,-,Ship,13:35:37 GMT,13:35:38.193,13:35:33.891,13:35:33.901,5.09,3.16,74,1272.0
50.74579,-1.23287,-6,4.46,2023-12-12 13:35:38.999000+00:00,gps,50.74578,-1.23289,42,8.0,1.38,231.59816,gps [GPS],00:00:01,1.0,0.0,,,,False,28 / 30,1407,11633.0,-,2.0,1.9,0.7,-,-,Ship,13:35:38 GMT,13:35:39.183,13:35:34.882,13:35:34.890,4.98,3.09,74,1273.0
50.74578,-1.23288,-7,4.46,2023-12-12 13:35:39.999000+00:00,gps,50.74578,-1.23291,41,8.0,1.37,239.87595,gps [GPS],00:00:01,1.0,0.0,,,,False,29 / 30,1408,11634.0,-,2.0,1.9,0.7,-,-,Ship,13:35:39 GMT,13:35:40.197,13:35:35.896,13:35:35.909,4.92,3.06,74,1274.0
50.74578,-1.2329,-7,4.46,2023-12-12 13:35:40.999000+00:00,gps,50.74577,-1.23293,42,8.0,1.28,244.77843,gps [GPS],00:00:01,1.2,0.0,,,,False,29 / 31,1408,11635.2,-,2.0,1.9,0.7,-,-,Ship,13:35:40 GMT,13:35:41.152,13:35:36.851,13:35:36.856,4.62,2.87,74,1275.0
50.74578,-1.23292,-6,4.46,2023-12-12 13:35:41.999000+00:00,gps,50.74577,-1.23296,42,8.0,0.9,255.42722,gps [GPS],00:00:01,1.4,0.0,,,,False,29 / 30,1410,11636.6,-,2.0,1.9,0.7,-,-,Ship,13:35:41 GMT,13:35:42.192,13:35:37.891,13:35:37.899,3.25,2.02,74,1276.0
50.74578,-1.23293,-6,4.46,2023-12-12 13:35:42.999000+00:00,gps,50.74577,-1.23296,42,8.0,0.0,255.42722,gps [GPS],00:00:01,0.9,0.0,,,,False,29 / 30,1411,11637.5,-,2.0,1.9,0.7,-,-,Ship,13:35:42 GMT,13:35:43.218,13:35:38.916,13:35:38.937,0.0,0.0,74,1277.0
50.74577,-1.23294,-6,4.46,2023-12-12 13:35:43.999000+00:00,gps,50.74577,-1.23296,43,8.0,0.0,255.42722,gps [GPS],00:00:01,0.7,0.0,,,,False,29 / 30,1412,11638.2,-,2.2,2.0,0.7,-,-,Ship,13:35:43 GMT,13:35:44.195,13:35:39.894,13:35:39.907,0.0,0.0,74,1278.0
50.74577,-1.23294,-6,4.46,2023-12-12 13:35:44.999000+00:00,gps,50.74577,-1.23296,42,8.0,0.0,255.42722,gps [GPS],00:00:01,0.5,0.0,,,,False,30 / 31,1413,11638.7,-,2.1,2.0,0.7,-,-,Ship,13:35:44 GMT,13:35:45.213,13:35:40.912,13:35:40.926,0.0,0.0,74,1279.0
