t,x,y,z,time_from_sync
1555.6799998283386,-31.739501953125,-88.61572265625,-52.3223876953125,1525.0
1555.6849999427795,-31.607666015625,-88.61572265625,-52.49267578125,1525.005000114441
1555.689999818802,-31.651611328125,-88.61572265625,-52.4871826171875,1525.0099999904635
1555.6949999332428,-31.146240234375,-88.626708984375,-53.0364990234375,1525.0150001049042
1555.6999998092651,-30.9759521484375,-88.626708984375,-53.250732421875,1525.0199999809265
1555.704999923706,-30.8111572265625,-88.6322021484375,-53.4539794921875,1525.0250000953674
1555.7099997997284,-30.8056640625,-88.6322021484375,-53.50341796875,1525.0299999713898
1555.7149999141693,-30.838623046875,-88.6322021484375,-53.470458984375,1525.0350000858307
1555.7199997901917,-30.7562255859375,-88.6322021484375,-53.602294921875,1525.039999961853
1555.7249999046326,-30.65185546875,-88.6376953125,-53.76708984375,1525.045000076294
1555.729999780655,-30.47607421875,-88.6376953125,-53.975830078125,1525.0499999523163
1555.7349998950958,-30.30029296875,-88.6376953125,-54.1680908203125,1525.0550000667572
1555.7399997711182,-30.0970458984375,-88.6431884765625,-54.3768310546875,1525.0599999427795
1555.744999885559,-29.9267578125,-88.6431884765625,-54.525146484375,1525.0650000572205
1555.75,-29.6575927734375,-88.6431884765625,-54.7613525390625,1525.0700001716614
1555.7549998760223,-29.4268798828125,-88.648681640625,-54.9810791015625,1525.0750000476837
1555.7599999904633,-29.234619140625,-88.648681640625,-55.096435546875,1525.0800001621246
1555.7649998664856,-29.1192626953125,-88.648681640625,-55.107421875,1525.085000038147
1555.7699999809265,-28.6468505859375,-88.6541748046875,-55.447998046875,1525.090000152588
1555.7749998569489,-28.465576171875,-88.6541748046875,-55.469970703125,1525.0950000286102
1555.7799999713898,-28.037109375,-88.65966796875,-55.7501220703125,1525.1000001430511
1555.784999847412,-28.0426025390625,-88.65966796875,-55.6842041015625,1525.1050000190735
1555.789999961853,-27.5537109375,-88.6651611328125,-55.9808349609375,1525.1100001335144
1555.7949998378754,-27.83935546875,-88.6651611328125,-55.6842041015625,1525.1150000095367
1555.7999999523165,-27.70751953125,-88.670654296875,-55.7171630859375,1525.120000123978
1555.8049998283386,-27.421875,-88.670654296875,-55.9808349609375,1525.125
1555.8099999427795,-27.235107421875,-88.6761474609375,-56.195068359375,1525.130000114441
1555.814999818802,-27.1197509765625,-88.6761474609375,-56.2884521484375,1525.1349999904635
1555.8199999332428,-27.1636962890625,-88.6761474609375,-56.18408203125,1525.1400001049042
1555.8249998092651,-27.0263671875,-88.681640625,-56.195068359375,1525.1449999809265
1555.829999923706,-26.9439697265625,-88.681640625,-56.217041015625,1525.1500000953674
1555.8349997997284,-26.82861328125,-88.681640625,-56.3214111328125,1525.1549999713898
1555.8399999141693,-26.806640625,-88.681640625,-56.3104248046875,1525.1600000858307
1555.8449997901917,-26.6802978515625,-88.681640625,-56.3543701171875,1525.164999961853
1555.8499999046326,-26.8231201171875,-88.681640625,-56.107177734375,1525.170000076294
1555.854999780655,-26.795654296875,-88.6871337890625,-56.1126708984375,1525.1749999523163
1555.8599998950958,-26.839599609375,-88.6871337890625,-56.0137939453125,1525.1800000667572
1555.8649997711182,-26.60888671875,-88.6871337890625,-56.22802734375,1525.1849999427795
1555.869999885559,-26.82861328125,-88.6871337890625,-56.019287109375,1525.1900000572205
1555.875,-27.333984375,-88.681640625,-55.5633544921875,1525.1950001716614
1555.8799998760223,-27.5042724609375,-88.681640625,-55.426025390625,1525.2000000476837
1555.8849999904633,-27.784423828125,-88.681640625,-55.1513671875,1525.2050001621246
1555.8899998664856,-27.7020263671875,-88.681640625,-55.2777099609375,1525.210000038147
1555.8949999809265,-27.9217529296875,-88.681640625,-55.140380859375,1525.215000152588
1555.8999998569489,-27.8997802734375,-88.681640625,-55.1568603515625,1525.2200000286102
1555.9049999713898,-28.2733154296875,-88.681640625,-54.7723388671875,1525.2250001430511
1555.909999847412,-28.49853515625,-88.681640625,-54.656982421875,1525.2300000190735
1555.914999961853,-28.8885498046875,-88.6761474609375,-54.42626953125,1525.2350001335144
1555.9199998378754,-29.0753173828125,-88.6761474609375,-54.38232421875,1525.2400000095367
1555.9249999523165,-29.35546875,-88.6761474609375,-54.2449951171875,1525.245000123978
1555.9299998283386,-29.6026611328125,-88.6761474609375,-54.11865234375,1525.25
1555.9349999427795,-29.8828125,-88.6761474609375,-53.96484375,1525.255000114441
1555.939999818802,-30.1190185546875,-88.6761474609375,-53.8385009765625,1525.2599999904635
1555.9449999332428,-30.4156494140625,-88.670654296875,-53.701171875,1525.2650001049042
1555.9499998092651,-30.8056640625,-88.670654296875,-53.4649658203125,1525.2699999809265
1555.954999923706,-30.91552734375,-88.670654296875,-53.4539794921875,1525.2750000953674
1555.9599997997284,-31.0418701171875,-88.670654296875,-53.41552734375,1525.2799999713898
1555.9649999141693,-31.322021484375,-88.6651611328125,-53.173828125,1525.2850000858307
1555.9699997901917,-31.563720703125,-88.6651611328125,-52.84423828125,1525.289999961853
1555.9749999046326,-31.3330078125,-88.6651611328125,-53.02001953125,1525.295000076294
1555.979999780655,-31.563720703125,-88.6651611328125,-52.7178955078125,1525.2999999523163
1555.9849998950958,-31.453857421875,-88.6651611328125,-52.7618408203125,1525.3050000667572
1555.9899997711182,-31.805419921875,-88.6541748046875,-52.294921875,1525.3099999427795
1555.994999885559,-31.83837890625,-88.6541748046875,-52.1685791015625,1525.3150000572205
1556.0,-32.113037109375,-88.648681640625,-51.8719482421875,1525.3200001716614
1556.0049998760223,-32.3822021484375,-88.6431884765625,-51.5863037109375,1525.3250000476837
1556.0099999904633,-32.6129150390625,-88.6376953125,-51.339111328125,1525.3300001621246
1556.0149998664856,-32.8436279296875,-88.6322021484375,-51.163330078125,1525.335000038147
1556.0199999809265,-32.947998046875,-88.6322021484375,-51.08642578125,1525.340000152588
1556.0249998569489,-33.2391357421875,-88.6212158203125,-50.8502197265625,1525.3450000286102
1556.0299999713898,-33.4698486328125,-88.61572265625,-50.6414794921875,1525.3500001430511
1556.034999847412,-33.585205078125,-88.61572265625,-50.526123046875,1525.3550000190735
1556.039999961853,-33.9093017578125,-88.604736328125,-50.196533203125,1525.3600001335144
1556.0449998378754,-33.85986328125,-88.604736328125,-50.240478515625,1525.3650000095367
1556.0499999523165,-33.870849609375,-88.5992431640625,-50.2459716796875,1525.370000123978
1556.0549998283386,-34.266357421875,-88.5882568359375,-49.8724365234375,1525.375
1556.0599999427795,-34.3597412109375,-88.582763671875,-49.7955322265625,1525.380000114441
1556.064999818802,-34.705810546875,-88.5772705078125,-49.46044921875,1525.3849999904635
1556.0699999332428,-35.0079345703125,-88.5662841796875,-49.141845703125,1525.3900001049042
1556.0749998092651,-35.15625,-88.560791015625,-49.02099609375,1525.3949999809265
1556.079999923706,-35.1397705078125,-88.560791015625,-49.0484619140625,1525.4000000953674
1556.0849997997284,-35.33203125,-88.5498046875,-48.8616943359375,1525.4049999713898
1556.0899999141693,-35.408935546875,-88.5443115234375,-48.7847900390625,1525.4100000858307
1556.0949997901917,-35.7989501953125,-88.5333251953125,-48.3892822265625,1525.414999961853
1556.0999999046326,-36.002197265625,-88.5223388671875,-48.1805419921875,1525.420000076294
