t,x,y,z,time_from_sync
1669.7699999809265,-6388,-1759,5185,1638.001666824023
1669.7749998569489,-6390,-1760,5183,1638.0066667000453
1669.7799999713898,-6390,-1762,5182,1638.0116668144863
1669.784999847412,-6391,-1765,5183,1638.0166666905086
1669.789999961853,-6390,-1772,5184,1638.0216668049495
1669.7949998378754,-6388,-1776,5185,1638.0266666809719
1669.7999999523165,-6386,-1780,5184,1638.031666795413
1669.8049998283386,-6387,-1784,5184,1638.0366666714351
1669.8099999427795,-6387,-1790,5186,1638.041666785876
1669.814999818802,-6387,-1796,5189,1638.0466666618986
1669.8199999332428,-6388,-1799,5192,1638.0516667763393
1669.8249998092651,-6388,-1803,5194,1638.0566666523616
1669.829999923706,-6388,-1800,5196,1638.0616667668025
1669.8349997997284,-6388,-1800,5198,1638.0666666428249
1669.8399999141693,-6387,-1799,5198,1638.0716667572658
1669.8449997901917,-6388,-1796,5196,1638.0766666332881
1669.8499999046326,-6388,-1796,5194,1638.081666747729
1669.854999780655,-6389,-1795,5193,1638.0866666237514
1669.8599998950958,-6391,-1795,5191,1638.0916667381923
1669.8649997711182,-6391,-1797,5190,1638.0966666142147
1669.869999885559,-6390,-1795,5187,1638.1016667286556
1669.875,-6388,-1794,5186,1638.1066668430965
1669.8799998760223,-6387,-1794,5185,1638.1116667191188
1669.8849999904633,-6386,-1793,5185,1638.1166668335597
1669.8899998664856,-6387,-1794,5185,1638.121666709582
1669.8949999809265,-6387,-1791,5185,1638.126666824023
1669.8999998569489,-6385,-1785,5186,1638.1316667000453
1669.9049999713898,-6383,-1782,5188,1638.1366668144863
1669.909999847412,-6382,-1782,5189,1638.1416666905086
1669.914999961853,-6380,-1782,5191,1638.1466668049495
1669.9199998378754,-6379,-1785,5194,1638.1516666809719
1669.9249999523165,-6379,-1788,5196,1638.156666795413
1669.9299998283386,-6376,-1788,5196,1638.1616666714351
1669.9349999427795,-6375,-1786,5197,1638.166666785876
1669.939999818802,-6374,-1783,5195,1638.1716666618986
1669.9449999332428,-6372,-1780,5193,1638.1766667763393
1669.9499998092651,-6370,-1782,5194,1638.1816666523616
1669.954999923706,-6369,-1785,5196,1638.1866667668025
1669.9599997997284,-6369,-1786,5196,1638.1916666428249
1669.9649999141693,-6370,-1784,5197,1638.1966667572658
1669.9699997901917,-6371,-1781,5198,1638.2016666332881
1669.9749999046326,-6373,-1777,5198,1638.206666747729
1669.979999780655,-6373,-1771,5199,1638.2116666237514
1669.9849998950958,-6372,-1766,5200,1638.2166667381923
1669.9899997711182,-6369,-1762,5200,1638.2216666142147
1669.994999885559,-6367,-1760,5201,1638.2266667286556
1670.0,-6366,-1764,5202,1638.2316668430965
1670.0049998760223,-6365,-1766,5202,1638.2366667191188
1670.0099999904633,-6364,-1770,5204,1638.2416668335597
1670.0149998664856,-6366,-1773,5204,1638.246666709582
1670.0199999809265,-6368,-1771,5205,1638.251666824023
1670.0249998569489,-6371,-1767,5206,1638.2566667000453
1670.0299999713898,-6372,-1765,5207,1638.2616668144863
1670.034999847412,-6371,-1761,5208,1638.2666666905086
1670.039999961853,-6371,-1760,5208,1638.2716668049495
1670.0449998378754,-6372,-1758,5210,1638.2766666809719
1670.0499999523165,-6375,-1756,5211,1638.281666795413
1670.0549998283386,-6377,-1756,5213,1638.2866666714351
1670.0599999427795,-6378,-1754,5215,1638.291666785876
1670.064999818802,-6379,-1752,5216,1638.2966666618986
1670.0699999332428,-6379,-1752,5217,1638.3016667763393
1670.0749998092651,-6381,-1758,5217,1638.3066666523616
1670.079999923706,-6383,-1767,5216,1638.3116667668025
1670.0849997997284,-6384,-1774,5217,1638.3166666428249
1670.0899999141693,-6385,-1776,5220,1638.3216667572658
1670.0949997901917,-6384,-1775,5221,1638.3266666332881
1670.0999999046326,-6383,-1775,5223,1638.331666747729
1670.104999780655,-6381,-1776,5223,1638.3366666237514
1670.1099998950958,-6379,-1774,5221,1638.3416667381923
1670.1149997711182,-6379,-1772,5220,1638.3466666142147
1670.119999885559,-6378,-1769,5218,1638.3516667286556
1670.125,-6375,-1765,5217,1638.3566668430965
1670.1299998760223,-6372,-1765,5217,1638.3616667191188
1670.1349999904633,-6370,-1767,5218,1638.3666668335597
1670.1399998664856,-6367,-1768,5218,1638.371666709582
1670.1449999809265,-6365,-1768,5219,1638.376666824023
1670.1499998569489,-6367,-1771,5219,1638.3816667000453
1670.1549999713898,-6369,-1771,5219,1638.3866668144863
1670.159999847412,-6374,-1772,5221,1638.3916666905086
1670.164999961853,-6377,-1774,5220,1638.3966668049495
1670.1699998378754,-6379,-1774,5221,1638.4016666809719
1670.1749999523165,-6380,-1776,5219,1638.406666795413
1670.1799998283386,-6378,-1778,5218,1638.4116666714351
1670.1849999427795,-6375,-1780,5217,1638.416666785876
1670.189999818802,-6372,-1782,5217,1638.4216666618986
1670.1949999332428,-6368,-1785,5215,1638.4266667763393
1670.1999998092651,-6365,-1791,5214,1638.4316666523616
1670.204999923706,-6365,-1793,5211,1638.4366667668025
1670.2099997997284,-6365,-1793,5212,1638.4416666428249
1670.2149999141693,-6366,-1793,5212,1638.4466667572658
1670.2199997901917,-6366,-1793,5212,1638.4516666332881
1670.2249999046326,-6366,-1796,5213,1638.456666747729
1670.229999780655,-6364,-1799,5213,1638.4616666237514
1670.2349998950958,-6365,-1801,5213,1638.4666667381923
1670.2399997711182,-6364,-1802,5213,1638.4716666142147
1670.244999885559,-6362,-1801,5213,1638.4766667286556
1670.25,-6361,-1799,5213,1638.4816668430965
1670.2549998760223,-6361,-1796,5213,1638.4866667191188
1670.2599999904633,-6363,-1792,5214,1638.4916668335597
1670.2649998664856,-6362,-1788,5214,1638.496666709582
1670.2699999809265,-6364,-1784,5214,1638.501666824023
1670.2749998569489,-6364,-1779,5215,1638.5066667000453
1670.2799999713898,-6365,-1774,5215,1638.5116668144863
1670.284999847412,-6367,-1771,5214,1638.5166666905086
1670.289999961853,-6368,-1771,5213,1638.5216668049495
1670.2949998378754,-6370,-1772,5213,1638.5266666809719
1670.2999999523165,-6371,-1778,5212,1638.531666795413
1670.3049998283386,-6371,-1781,5212,1638.5366666714351
1670.3099999427795,-6371,-1785,5211,1638.541666785876
1670.314999818802,-6371,-1786,5212,1638.5466666618986
1670.3199999332428,-6371,-1784,5213,1638.5516667763393
1670.3249998092651,-6372,-1784,5213,1638.5566666523616
1670.329999923706,-6373,-1784,5214,1638.5616667668025
1670.3349997997284,-6373,-1785,5213,1638.5666666428249
1670.3399999141693,-6374,-1786,5212,1638.5716667572658
1670.3449997901917,-6374,-1783,5213,1638.5766666332881
1670.3499999046326,-6375,-1780,5215,1638.581666747729
1670.354999780655,-6376,-1781,5217,1638.5866666237514
1670.3599998950958,-6377,-1783,5220,1638.5916667381923
1670.3649997711182,-6378,-1787,5222,1638.5966666142147
1670.369999885559,-6378,-1788,5223,1638.6016667286556
1670.375,-6378,-1783,5224,1638.6066668430965
1670.3799998760223,-6378,-1781,5227,1638.6116667191188
1670.3849999904633,-6377,-1780,5227,1638.6166668335597
1670.3899998664856,-6375,-1783,5227,1638.621666709582
1670.3949999809265,-6373,-1787,5228,1638.626666824023
1670.3999998569489,-6372,-1790,5227,1638.6316667000453
1670.4049999713898,-6371,-1796,5227,1638.6366668144863
1670.409999847412,-6371,-1800,5228,1638.6416666905086
1670.414999961853,-6368,-1802,5229,1638.6466668049495
1670.4199998378754,-6367,-1803,5229,1638.6516666809719
1670.4249999523165,-6364,-1801,5230,1638.656666795413
1670.4299998283386,-6362,-1799,5230,1638.6616666714351
1670.4349999427795,-6360,-1798,5231,1638.666666785876
1670.439999818802,-6357,-1799,5232,1638.6716666618986
1670.4449999332428,-6357,-1802,5231,1638.6766667763393
1670.4499998092651,-6358,-1805,5229,1638.6816666523616
1670.454999923706,-6359,-1809,5227,1638.6866667668025
1670.4599997997284,-6362,-1809,5227,1638.6916666428249
1670.4649999141693,-6364,-1807,5227,1638.6966667572658
1670.4699997901917,-6365,-1807,5229,1638.7016666332881
1670.4749999046326,-6364,-1808,5230,1638.706666747729
1670.479999780655,-6363,-1812,5230,1638.7116666237514
1670.4849998950958,-6360,-1814,5231,1638.7166667381923
1670.4899997711182,-6359,-1819,5232,1638.7216666142147
1670.494999885559,-6360,-1819,5233,1638.7266667286556
1670.5,-6362,-1820,5234,1638.7316668430965
1670.5049998760223,-6366,-1819,5234,1638.7366667191188
1670.5099999904633,-6369,-1818,5235,1638.7416668335597
1670.5149998664856,-6372,-1818,5237,1638.746666709582
1670.5199999809265,-6372,-1817,5235,1638.751666824023
1670.5249998569489,-6371,-1819,5235,1638.7566667000453
1670.5299999713898,-6369,-1820,5236,1638.7616668144863
1670.534999847412,-6368,-1815,5236,1638.7666666905086
1670.539999961853,-6367,-1813,5239,1638.7716668049495
1670.5449998378754,-6366,-1810,5240,1638.7766666809719
1670.5499999523165,-6365,-1806,5238,1638.781666795413
1670.5549998283386,-6364,-1804,5238,1638.7866666714351
1670.5599999427795,-6365,-1802,5236,1638.791666785876
1670.564999818802,-6366,-1801,5237,1638.7966666618986
1670.5699999332428,-6365,-1803,5236,1638.8016667763393
1670.5749998092651,-6364,-1805,5236,1638.8066666523616
1670.579999923706,-6362,-1809,5236,1638.8116667668025
1670.5849997997284,-6362,-1812,5239,1638.8166666428249
1670.5899999141693,-6362,-1814,5242,1638.8216667572658
1670.5949997901917,-6363,-1816,5244,1638.8266666332881
1670.5999999046326,-6361,-1818,5247,1638.831666747729
1670.604999780655,-6360,-1818,5247,1638.8366666237514
1670.6099998950958,-6357,-1816,5246,1638.8416667381923
1670.6149997711182,-6354,-1810,5245,1638.8466666142147
1670.619999885559,-6352,-1804,5243,1638.8516667286556
1670.625,-6350,-1797,5241,1638.8566668430965
1670.6299998760223,-6349,-1793,5239,1638.8616667191188
1670.6349999904633,-6349,-1791,5239,1638.8666668335597
1670.6399998664856,-6348,-1792,5238,1638.871666709582
1670.6449999809265,-6350,-1793,5237,1638.876666824023
1670.6499998569489,-6353,-1795,5234,1638.8816667000453
1670.6549999713898,-6356,-1796,5232,1638.8866668144863
1670.659999847412,-6358,-1793,5230,1638.8916666905086
1670.664999961853,-6360,-1792,5229,1638.8966668049495
1670.6699998378754,-6362,-1786,5229,1638.9016666809719
1670.6749999523165,-6362,-1788,5229,1638.906666795413
1670.6799998283386,-6359,-1794,5230,1638.9116666714351
1670.6849999427795,-6356,-1804,5231,1638.916666785876
1670.689999818802,-6355,-1811,5231,1638.9216666618986
1670.6949999332428,-6354,-1813,5230,1638.9266667763393
1670.6999998092651,-6357,-1811,5229,1638.9316666523616
1670.704999923706,-6360,-1809,5228,1638.9366667668025
1670.7099997997284,-6361,-1805,5228,1638.9416666428249
1670.7149999141693,-6362,-1803,5228,1638.9466667572658
1670.7199997901917,-6361,-1803,5231,1638.9516666332881
1670.7249999046326,-6360,-1803,5233,1638.956666747729
1670.729999780655,-6357,-1806,5233,1638.9616666237514
1670.7349998950958,-6356,-1814,5234,1638.9666667381923
1670.7399997711182,-6355,-1820,5232,1638.9716666142147
1670.744999885559,-6352,-1825,5233,1638.9766667286556
1670.75,-6351,-1825,5235,1638.9816668430965
1670.7549998760223,-6351,-1821,5236,1638.9866667191188
1670.7599999904633,-6351,-1817,5238,1638.9916668335597
1670.7649998664856,-6353,-1813,5240,1638.996666709582
1670.7699999809265,-6356,-1812,5240,1639.001666824023
1670.7749998569489,-6359,-1812,5241,1639.0066667000453
1670.7799999713898,-6359,-1809,5242,1639.0116668144863
1670.784999847412,-6360,-1812,5243,1639.0166666905086
1670.789999961853,-6359,-1810,5244,1639.0216668049495
1670.7949998378754,-6360,-1808,5244,1639.0266666809719
1670.7999999523165,-6362,-1808,5242,1639.031666795413
1670.8049998283386,-6360,-1807,5241,1639.0366666714351
1670.8099999427795,-6357,-1807,5242,1639.041666785876
1670.814999818802,-6354,-1807,5244,1639.0466666618986
1670.8199999332428,-6349,-1809,5247,1639.0516667763393
1670.8249998092651,-6346,-1811,5249,1639.0566666523616
1670.829999923706,-6343,-1811,5250,1639.0616667668025
1670.8349997997284,-6342,-1816,5251,1639.0666666428249
1670.8399999141693,-6340,-1821,5252,1639.0716667572658
1670.8449997901917,-6339,-1825,5254,1639.0766666332881
1670.8499999046326,-6338,-1829,5256,1639.081666747729
1670.854999780655,-6339,-1830,5256,1639.0866666237514
1670.8599998950958,-6339,-1830,5256,1639.0916667381923
1670.8649997711182,-6339,-1828,5256,1639.0966666142147
1670.869999885559,-6339,-1830,5258,1639.1016667286556
1670.875,-6339,-1832,5259,1639.1066668430965
1670.8799998760223,-6339,-1838,5259,1639.1116667191188
1670.8849999904633,-6340,-1844,5258,1639.1166668335597
1670.8899998664856,-6342,-1850,5258,1639.121666709582
