t,x,y,z,time_from_sync
1655.6050000190735,-167,167,-400,1638.0033334493637
1655.6150000095367,-167,166,-401,1638.013333439827
1655.625,-167,166,-401,1638.0233334302902
1655.6349999904633,-166,168,-398,1638.0333334207535
1655.6449999809265,-166,168,-396,1638.0433334112167
1655.6549999713898,-165,168,-397,1638.05333340168
1655.664999961853,-166,167,-398,1638.0633333921432
1655.6749999523165,-166,167,-398,1638.0733333826067
1655.6849999427795,-166,166,-399,1638.0833333730698
1655.6949999332428,-165,166,-399,1638.093333363533
1655.704999923706,-165,165,-400,1638.1033333539963
1655.7149999141693,-165,167,-397,1638.1133333444595
1655.7249999046326,-164,168,-395,1638.1233333349228
1655.7349998950958,-164,167,-396,1638.133333325386
1655.7400000095367,-164,168,-393,1638.138333439827
1655.744999885559,-164,168,-394,1638.1433333158493
1655.7649998664856,-163,168,-394,1638.1633332967758
1655.7750000953674,-163,168,-394,1638.1733335256577
1655.7850000858307,-162,169,-392,1638.183333516121
1655.795000076294,-162,170,-391,1638.1933335065842
1655.8050000667572,-162,169,-393,1638.2033334970474
1655.8150000572205,-163,168,-394,1638.2133334875107
1655.8250000476835,-163,167,-395,1638.2233334779737
1655.835000038147,-163,167,-397,1638.2333334684372
1655.8450000286102,-164,166,-397,1638.2433334589005
1655.8550000190735,-164,165,-398,1638.2533334493637
1655.8650000095367,-164,167,-395,1638.263333439827
1655.875,-164,167,-393,1638.2733334302902
1655.8849999904633,-163,167,-394,1638.2833334207535
1655.8949999809265,-163,166,-395,1638.2933334112167
1655.9049999713898,-163,166,-396,1638.30333340168
1655.914999961853,-164,165,-397,1638.3133333921432
1655.9249999523165,-164,165,-398,1638.3233333826067
1655.9349999427795,-164,165,-399,1638.3333333730698
1655.9449999332428,-164,166,-397,1638.343333363533
1655.954999923706,-164,166,-396,1638.3533333539963
1655.9649999141693,-164,166,-397,1638.3633333444595
1655.9749999046326,-164,165,-397,1638.3733333349228
1655.9849998950958,-164,165,-398,1638.383333325386
1655.994999885559,-164,164,-399,1638.3933333158493
1656.0049998760223,-163,164,-399,1638.4033333063126
1656.0149998664856,-163,164,-400,1638.4133332967758
1656.0250000953674,-163,165,-397,1638.4233335256577
1656.0350000858307,-163,165,-395,1638.433333516121
1656.045000076294,-163,165,-396,1638.4433335065842
1656.0550000667572,-163,164,-397,1638.4533334970474
1656.0650000572205,-163,163,-397,1638.4633334875107
1656.0750000476835,-163,163,-398,1638.4733334779737
1656.085000038147,-163,163,-399,1638.4833334684372
1656.0950000286102,-163,164,-396,1638.4933334589005
1656.1050000190735,-163,165,-395,1638.5033334493637
1656.1150000095367,-163,164,-396,1638.513333439827
1656.125,-163,163,-398,1638.5233334302902
1656.1349999904633,-163,163,-398,1638.5333334207535
1656.1449999809265,-163,162,-399,1638.5433334112167
1656.1549999713898,-164,162,-399,1638.55333340168
1656.164999961853,-164,161,-399,1638.5633333921432
1656.1749999523165,-164,163,-397,1638.5733333826067
1656.1849999427795,-164,164,-395,1638.5833333730698
1656.1949999332428,-164,163,-396,1638.593333363533
1656.204999923706,-164,163,-397,1638.6033333539963
1656.2149999141693,-165,163,-397,1638.6133333444595
1656.2249999046326,-165,162,-397,1638.6233333349228
1656.2349998950958,-165,161,-398,1638.633333325386
1656.244999885559,-165,161,-398,1638.6433333158493
1656.2549998760223,-165,162,-395,1638.6533333063126
1656.2649998664856,-165,163,-394,1638.6633332967758
1656.2750000953674,-165,162,-396,1638.6733335256577
1656.2850000858307,-165,161,-397,1638.683333516121
1656.295000076294,-165,161,-397,1638.6933335065842
1656.3050000667572,-165,161,-398,1638.7033334970474
1656.3150000572205,-165,160,-399,1638.7133334875107
