Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.76891,-1.28194,4,5.64,2023-12-12 13:44:49.999000+00:00,gps,50.76909,-1.28256,53,12.0,13.47,298.0914,gps [GPS],00:00:01,13.6,0.0,,,,False,28 / 31,1958,16587.2,-,1.8,1.6,0.8,-,-,Ship,13:44:49 GMT,13:44:50.203,13:44:45.902,13:44:45.922,48.5,30.13,72,1824.0
50.76896,-1.28211,4,5.64,2023-12-12 13:44:50.999000+00:00,gps,50.76914,-1.28272,53,12.0,13.46,300.12082,gps [GPS],00:00:01,13.5,0.0,,,,False,27 / 31,1959,16600.7,-,1.7,1.5,0.8,-,-,Ship,13:44:50 GMT,13:44:51.183,13:44:46.882,13:44:46.896,48.45,30.11,72,1825.0
50.76902,-1.28228,5,5.64,2023-12-12 13:44:51.999000+00:00,gps,50.76921,-1.28288,53,12.0,13.22,303.0015,gps [GPS],00:00:01,13.4,0.0,,,,False,27 / 31,1959,16614.1,-,1.7,1.5,0.8,-,-,Ship,13:44:51 GMT,13:44:52.160,13:44:47.858,13:44:47.868,47.59,29.57,72,1826.0
50.76907,-1.28245,4,5.64,2023-12-12 13:44:52.999000+00:00,gps,50.76928,-1.28304,52,12.0,13.17,305.7337,gps [GPS],00:00:01,13.4,0.0,,,,False,28 / 31,1961,16627.5,-,1.7,1.6,0.8,-,-,Ship,13:44:52 GMT,13:44:53.189,13:44:48.887,13:44:48.897,47.4,29.45,72,1827.0
50.76914,-1.28261,3,5.64,2023-12-12 13:44:53.999000+00:00,gps,50.76936,-1.28319,52,12.0,12.94,307.8666,gps [GPS],00:00:01,13.5,0.0,,,,False,27 / 31,1962,16641.0,-,1.8,1.5,0.8,-,-,Ship,13:44:53 GMT,13:44:54.194,13:44:49.893,13:44:49.902,46.57,28.94,72,1828.0
50.76921,-1.28277,2,5.64,2023-12-12 13:44:54.999000+00:00,gps,50.76945,-1.28333,51,12.0,12.68,310.1734,gps [GPS],00:00:01,13.5,0.0,,,,False,28 / 31,1963,16654.5,-,1.8,1.5,0.8,-,-,Ship,13:44:54 GMT,13:44:55.212,13:44:50.911,13:44:50.928,45.63,28.35,72,1829.0
50.76928,-1.28292,1,5.64,2023-12-12 13:44:55.999000+00:00,gps,50.76953,-1.28346,50,12.0,12.75,312.74908,gps [GPS],00:00:01,13.4,0.0,,,,False,25 / 31,1964,16667.9,-,1.8,1.6,0.8,-,-,Ship,13:44:55 GMT,13:44:56.185,13:44:51.883,13:44:51.898,45.91,28.53,72,1830.0
50.76935,-1.28307,0,5.64,2023-12-12 13:44:56.999000+00:00,gps,50.76961,-1.2836,49,12.0,12.48,313.45096,gps [GPS],00:00:01,13.3,0.0,,,,False,25 / 31,1965,16681.2,-,1.6,1.3,1.0,-,-,Ship,13:44:56 GMT,13:44:57.218,13:44:52.916,13:44:52.935,44.94,27.92,72,1831.0
50.76943,-1.28321,0,5.64,2023-12-12 13:44:57.999000+00:00,gps,50.7697,-1.28372,49,12.0,12.63,317.82004,gps [GPS],00:00:01,13.2,0.0,,,,False,27 / 32,1966,16694.4,-,1.7,1.6,0.7,-,-,Ship,13:44:57 GMT,13:44:58.199,13:44:53.898,13:44:53.908,45.48,28.26,72,1832.0
50.76951,-1.28335,-1,5.64,2023-12-12 13:44:58.999000+00:00,gps,50.76978,-1.28383,48,12.0,12.4,320.45987,gps [GPS],00:00:01,12.9,0.0,,,,False,28 / 31,1967,16707.3,-,1.7,1.5,0.8,-,-,Ship,13:44:58 GMT,13:44:59.230,13:44:54.929,13:44:54.942,44.65,27.75,72,1833.0
50.76959,-1.28348,-1,5.64,2023-12-12 13:44:59.999000+00:00,gps,50.76986,-1.28393,48,12.0,12.54,322.99875,gps [GPS],00:00:01,12.5,0.0,,,,False,27 / 31,1968,16719.9,-,1.8,1.7,0.8,-,-,Ship,13:44:59 GMT,13:45:00.224,13:44:55.923,13:44:55.933,45.14,28.05,72,1834.0
50.76967,-1.2836,-1,5.64,2023-12-12 13:45:00.999000+00:00,gps,50.76996,-1.28402,47,12.0,12.59,327.1585,gps [GPS],00:00:01,12.5,0.0,,,,False,27 / 31,1969,16732.3,-,1.8,1.6,0.8,-,-,Ship,13:45:00 GMT,13:45:01.196,13:44:56.895,13:44:56.905,45.32,28.16,72,1835.0
50.76975,-1.28371,-1,5.64,2023-12-12 13:45:01.999000+00:00,gps,50.77006,-1.28411,47,12.0,12.52,331.2505,gps [GPS],00:00:01,12.5,0.0,,,,False,27 / 29,1970,16744.9,-,1.8,1.6,0.8,-,-,Ship,13:45:01 GMT,13:45:02.188,13:44:57.886,13:44:57.896,45.08,28.01,72,1836.0
50.76985,-1.28382,-1,5.64,2023-12-12 13:45:02.999000+00:00,gps,50.77017,-1.28419,47,12.0,13.07,334.10706,gps [GPS],00:00:01,12.6,0.0,,,,False,26 / 30,1971,16757.5,-,1.7,1.5,0.8,-,-,Ship,13:45:02 GMT,13:45:03.175,13:44:58.874,13:44:58.885,47.04,29.23,72,1837.0
50.76994,-1.28391,-2,5.64,2023-12-12 13:45:03.999000+00:00,gps,50.77028,-1.28426,47,12.0,13.19,335.74567,gps [GPS],00:00:01,12.7,0.0,,,,False,25 / 30,1972,16770.2,-,1.7,1.6,0.8,-,-,Ship,13:45:03 GMT,13:45:04.192,13:44:59.890,13:44:59.899,47.48,29.51,72,1838.0
50.77004,-1.28401,-2,5.64,2023-12-12 13:45:04.999000+00:00,gps,50.77039,-1.28435,46,12.0,13.18,336.83038,gps [GPS],00:00:01,13.0,0.0,,,,False,25 / 30,1973,16783.2,-,1.7,1.6,0.8,-,-,Ship,13:45:04 GMT,13:45:05.234,13:45:00.932,13:45:00.942,47.45,29.48,72,1839.0
50.77014,-1.2841,-3,5.64,2023-12-12 13:45:05.999000+00:00,gps,50.77051,-1.28442,46,12.0,13.03,339.40628,gps [GPS],00:00:01,13.0,0.0,,,,False,27 / 30,1973,16796.2,-,2.0,1.8,0.9,-,-,Ship,13:45:05 GMT,13:45:06.156,13:45:01.855,13:45:01.863,46.91,29.15,72,1840.0
50.77025,-1.28419,-3,5.64,2023-12-12 13:45:06.999000+00:00,gps,50.77062,-1.28448,46,12.0,12.99,343.29575,gps [GPS],00:00:01,13.2,0.0,,,,False,29 / 31,1975,16809.4,-,2.0,1.8,0.9,-,-,Ship,13:45:06 GMT,13:45:07.228,13:45:02.927,13:45:02.943,46.76,29.05,72,1841.0
50.77036,-1.28426,-2,5.64,2023-12-12 13:45:07.999000+00:00,gps,50.77075,-1.28452,46,12.0,13.51,345.40262,gps [GPS],00:00:01,13.4,0.0,,,,False,30 / 32,1976,16822.8,-,2.3,2.1,0.8,-,-,Ship,13:45:07 GMT,13:45:08.218,13:45:03.916,13:45:03.957,48.65,30.23,72,1842.0
50.77048,-1.28432,-1,5.64,2023-12-12 13:45:08.999000+00:00,gps,50.77088,-1.28455,47,12.0,14.18,348.2892,gps [GPS],00:00:01,13.5,0.0,,,,False,30 / 31,1977,16836.3,-,2.3,2.1,0.8,-,-,Ship,13:45:08 GMT,13:45:09.194,13:45:04.892,13:45:04.906,51.06,31.73,72,1843.0
50.77059,-1.28438,-1,5.64,2023-12-12 13:45:09.999000+00:00,gps,50.771,-1.28457,48,12.0,14.2,350.04953,gps [GPS],00:00:01,13.5,0.0,,,,False,30 / 32,1978,16849.8,-,1.8,1.6,0.8,-,-,Ship,13:45:09 GMT,13:45:10.169,13:45:05.868,13:45:05.875,51.12,31.76,72,1844.0
50.77071,-1.28442,0,5.64,2023-12-12 13:45:10.999000+00:00,gps,50.77113,-1.28458,48,12.0,13.99,353.33353,gps [GPS],00:00:01,13.6,0.0,,,,False,28 / 32,1979,16863.4,-,1.8,1.6,0.8,-,-,Ship,13:45:10 GMT,13:45:11.190,13:45:06.888,13:45:06.903,50.35,31.29,72,1845.0
50.77083,-1.28446,0,5.64,2023-12-12 13:45:11.999000+00:00,gps,50.77125,-1.28459,49,12.0,13.89,356.25388,gps [GPS],00:00:01,13.5,0.0,,,,False,29 / 32,1980,16876.9,-,1.8,1.6,0.8,-,-,Ship,13:45:11 GMT,13:45:12.170,13:45:07.869,13:45:07.878,49.99,31.06,72,1846.0
50.77095,-1.28449,2,5.64,2023-12-12 13:45:12.999000+00:00,gps,50.77138,-1.28459,50,12.0,14.02,359.3319,gps [GPS],00:00:01,13.6,0.0,,,,False,27 / 32,1981,16890.5,-,1.6,1.4,0.8,-,-,Ship,13:45:12 GMT,13:45:13.171,13:45:08.869,13:45:08.877,50.47,31.36,72,1847.0
50.77107,-1.28451,1,5.64,2023-12-12 13:45:13.999000+00:00,gps,50.77151,-1.28459,50,12.0,13.61,1.5776902,gps [GPS],00:00:01,13.7,0.0,,,,False,28 / 33,1982,16904.2,-,1.8,1.6,0.8,-,-,Ship,13:45:13 GMT,13:45:14.197,13:45:09.896,13:45:09.913,48.99,30.44,72,1848.0
50.7712,-1.28453,2,5.64,2023-12-12 13:45:14.999000+00:00,gps,50.77164,-1.28458,50,12.0,13.92,1.1110624,gps [GPS],00:00:01,13.8,0.0,,,,False,31 / 32,1983,16918.1,-,1.8,1.6,0.8,-,-,Ship,13:45:14 GMT,13:45:15.194,13:45:10.892,13:45:10.909,50.11,31.14,72,1849.0
50.77132,-1.28454,3,5.64,2023-12-12 13:45:15.999000+00:00,gps,50.77177,-1.28456,52,12.0,14.07,4.7880273,gps [GPS],00:00:01,14.0,0.0,,,,False,31 / 33,1983,16932.1,-,2.4,2.3,0.8,-,-,Ship,13:45:15 GMT,13:45:16.139,13:45:11.837,13:45:11.845,50.64,31.47,72,1850.0
50.77145,-1.28453,4,5.64,2023-12-12 13:45:16.999000+00:00,gps,50.77189,-1.28453,52,12.0,13.97,7.5771422,gps [GPS],00:00:01,14.0,0.0,,,,False,31 / 31,1985,16946.1,-,1.8,1.6,0.8,-,-,Ship,13:45:16 GMT,13:45:17.213,13:45:12.912,13:45:12.927,50.3,31.26,72,1851.0
50.77157,-1.28452,4,5.64,2023-12-12 13:45:17.999000+00:00,gps,50.77201,-1.28449,52,12.0,14.06,10.185837,gps [GPS],00:00:01,13.7,0.0,,,,False,30 / 31,1986,16959.8,-,1.8,1.6,0.8,-,-,Ship,13:45:17 GMT,13:45:18.184,13:45:13.883,13:45:13.895,50.62,31.45,72,1852.0
50.7717,-1.2845,4,5.64,2023-12-12 13:45:18.999000+00:00,gps,50.77213,-1.28443,52,12.0,14.09,11.614118,gps [GPS],00:00:01,13.7,0.0,,,,False,29 / 31,1986,16973.5,-,1.8,1.6,0.8,-,-,Ship,13:45:18 GMT,13:45:19.149,13:45:14.847,13:45:14.856,50.73,31.52,72,1853.0
50.77182,-1.28448,3,5.64,2023-12-12 13:45:19.999000+00:00,gps,50.77226,-1.28438,52,12.0,13.81,13.033561,gps [GPS],00:00:01,13.9,0.0,,,,False,28 / 31,1987,16987.4,-,1.8,1.6,0.8,-,-,Ship,13:45:19 GMT,13:45:20.137,13:45:15.836,13:45:15.841,49.7,30.89,72,1854.0
50.77194,-1.28444,4,5.64,2023-12-12 13:45:20.999000+00:00,gps,50.77237,-1.28432,53,12.0,13.63,15.640054,gps [GPS],00:00:01,13.8,0.0,,,,False,27 / 32,1988,17001.2,-,1.6,1.4,0.8,-,-,Ship,13:45:20 GMT,13:45:21.119,13:45:16.817,13:45:16.822,49.08,30.5,72,1855.0
50.77206,-1.2844,4,5.64,2023-12-12 13:45:21.999000+00:00,gps,50.77249,-1.28425,53,12.0,13.58,17.959835,gps [GPS],00:00:01,13.8,0.0,,,,False,27 / 32,1990,17015.1,-,1.8,1.6,0.8,-,-,Ship,13:45:21 GMT,13:45:22.177,13:45:17.876,13:45:17.884,48.87,30.37,72,1856.0
50.77218,-1.28435,5,5.64,2023-12-12 13:45:22.999000+00:00,gps,50.77261,-1.28418,53,12.0,13.57,19.716146,gps [GPS],00:00:01,13.8,0.0,,,,False,26 / 32,1991,17028.8,-,1.7,1.5,0.8,-,-,Ship,13:45:22 GMT,13:45:23.189,13:45:18.887,13:45:18.899,48.84,30.35,72,1857.0
50.7723,-1.28429,5,5.64,2023-12-12 13:45:23.999000+00:00,gps,50.77273,-1.28409,54,12.0,13.64,22.439396,gps [GPS],00:00:01,14.0,0.0,,,,False,27 / 31,1992,17042.8,-,1.7,1.5,0.8,-,-,Ship,13:45:23 GMT,13:45:24.173,13:45:19.871,13:45:19.882,49.09,30.5,72,1858.0
50.77242,-1.28423,5,5.64,2023-12-12 13:45:24.999000+00:00,gps,50.77284,-1.28401,53,12.0,13.58,25.773039,gps [GPS],00:00:01,13.9,0.0,,,,False,27 / 31,1993,17056.7,-,1.7,1.5,0.8,-,-,Ship,13:45:24 GMT,13:45:25.185,13:45:20.884,13:45:20.894,48.88,30.37,72,1859.0
50.77254,-1.28417,5,5.64,2023-12-12 13:45:25.999000+00:00,gps,50.77294,-1.28393,54,12.0,13.47,29.19377,gps [GPS],00:00:01,13.6,0.0,,,,False,27 / 29,1993,17070.3,-,1.7,1.6,0.8,-,-,Ship,13:45:25 GMT,13:45:26.150,13:45:21.848,13:45:21.860,48.5,30.14,72,1860.0
50.77265,-1.28409,5,5.64,2023-12-12 13:45:26.999000+00:00,gps,50.77305,-1.28385,53,12.0,13.57,30.291117,gps [GPS],00:00:01,13.4,0.0,,,,False,26 / 31,1995,17083.7,-,1.7,1.6,0.8,-,-,Ship,13:45:26 GMT,13:45:27.176,13:45:22.874,13:45:22.881,48.84,30.35,72,1861.0
50.77276,-1.28402,5,5.64,2023-12-12 13:45:27.999000+00:00,gps,50.77315,-1.28375,53,12.0,13.77,33.306255,gps [GPS],00:00:01,13.3,0.0,,,,False,26 / 30,1995,17097.1,-,1.6,1.4,0.8,-,-,Ship,13:45:27 GMT,13:45:28.160,13:45:23.859,13:45:23.868,49.57,30.8,72,1862.0
50.77287,-1.28394,4,5.64,2023-12-12 13:45:28.999000+00:00,gps,50.77325,-1.28364,52,12.0,13.62,36.082336,gps [GPS],00:00:01,13.4,0.0,,,,False,28 / 31,1997,17110.4,-,1.7,1.5,0.8,-,-,Ship,13:45:28 GMT,13:45:29.177,13:45:24.875,13:45:24.885,49.02,30.46,72,1863.0
50.77297,-1.28385,3,5.64,2023-12-12 13:45:29.999000+00:00,gps,50.77335,-1.28353,52,12.0,13.2,37.54545,gps [GPS],00:00:01,13.4,0.0,,,,False,27 / 32,1998,17123.8,-,1.7,1.5,0.8,-,-,Ship,13:45:29 GMT,13:45:30.178,13:45:25.876,13:45:25.884,47.5,29.52,72,1864.0
50.77307,-1.28375,3,5.64,2023-12-12 13:45:30.999000+00:00,gps,50.77343,-1.28341,51,12.0,12.96,38.54229,gps [GPS],00:00:01,13.1,0.0,,,,False,27 / 31,1999,17136.9,-,1.7,1.5,0.8,-,-,Ship,13:45:30 GMT,13:45:31.168,13:45:26.867,13:45:26.877,46.66,28.99,72,1865.0
50.77317,-1.28365,4,5.64,2023-12-12 13:45:31.999000+00:00,gps,50.77352,-1.28329,52,12.0,12.83,40.651066,gps [GPS],00:00:01,13.0,0.0,,,,False,27 / 31,2000,17149.9,-,1.8,1.6,0.8,-,-,Ship,13:45:31 GMT,13:45:32.191,13:45:27.889,13:45:27.900,46.18,28.7,72,1866.0
50.77327,-1.28354,4,5.64,2023-12-12 13:45:32.999000+00:00,gps,50.7736,-1.28315,52,12.0,12.69,41.62819,gps [GPS],00:00:01,13.0,0.0,,,,False,28 / 31,2000,17162.9,-,1.7,1.5,0.8,-,-,Ship,13:45:32 GMT,13:45:33.167,13:45:28.866,13:45:28.876,45.67,28.38,72,1867.0
50.77336,-1.28343,5,5.64,2023-12-12 13:45:33.999000+00:00,gps,50.77369,-1.28303,53,12.0,12.53,42.771656,gps [GPS],00:00:01,13.0,0.0,,,,False,28 / 30,2002,17175.9,-,1.8,1.6,0.8,-,-,Ship,13:45:33 GMT,13:45:34.186,13:45:29.884,13:45:29.912,45.11,28.03,72,1868.0
50.77345,-1.28332,6,5.64,2023-12-12 13:45:34.999000+00:00,gps,50.77378,-1.28292,54,12.0,12.17,44.12235,gps [GPS],00:00:01,13.0,0.0,,,,False,31 / 31,2003,17188.9,-,1.7,1.6,0.8,-,-,Ship,13:45:34 GMT,13:45:35.213,13:45:30.912,13:45:30.923,43.83,27.23,72,1869.0
50.77354,-1.2832,6,5.64,2023-12-12 13:45:35.999000+00:00,gps,50.77387,-1.28278,54,12.0,12.06,44.28479,gps [GPS],00:00:01,13.1,0.0,,,,False,30 / 30,2004,17202.1,-,2.3,2.2,0.7,-,-,Ship,13:45:35 GMT,13:45:36.200,13:45:31.898,13:45:31.916,43.42,26.98,72,1870.0
50.77363,-1.28308,5,5.64,2023-12-12 13:45:36.999000+00:00,gps,50.77393,-1.28265,53,12.0,11.56,46.19919,gps [GPS],00:00:01,12.7,0.0,,,,False,30 / 30,2005,17214.8,-,1.7,1.5,0.8,-,-,Ship,13:45:36 GMT,13:45:37.174,13:45:32.873,13:45:32.882,41.61,25.86,72,1871.0
50.77371,-1.28295,4,5.64,2023-12-12 13:45:37.999000+00:00,gps,50.774,-1.2825,53,12.0,11.65,47.950085,gps [GPS],00:00:01,12.8,0.0,,,,False,30 / 30,2006,17227.6,-,2.3,2.1,0.7,-,-,Ship,13:45:37 GMT,13:45:38.197,13:45:33.896,13:45:33.913,41.93,26.05,72,1872.0
50.77379,-1.28282,5,5.64,2023-12-12 13:45:38.999000+00:00,gps,50.77406,-1.28238,53,12.0,11.53,51.53239,gps [GPS],00:00:01,12.3,0.0,,,,False,29 / 30,2007,17239.9,-,1.7,1.6,0.7,-,-,Ship,13:45:38 GMT,13:45:39.207,13:45:34.905,13:45:34.929,41.5,25.79,72,1873.0
50.77386,-1.28269,5,5.64,2023-12-12 13:45:39.999000+00:00,gps,50.77412,-1.28224,54,12.0,11.67,54.7733,gps [GPS],00:00:01,12.1,0.0,,,,False,29 / 30,2008,17252.0,-,1.7,1.5,0.7,-,-,Ship,13:45:39 GMT,13:45:40.204,13:45:35.902,13:45:35.918,42.01,26.11,72,1874.0
50.77393,-1.28256,5,5.64,2023-12-12 13:45:40.999000+00:00,gps,50.77417,-1.28209,54,12.0,11.82,57.724464,gps [GPS],00:00:01,12.1,0.0,,,,False,29 / 30,2009,17264.1,-,2.0,1.7,0.9,-,-,Ship,13:45:40 GMT,13:45:41.218,13:45:36.916,13:45:36.924,42.56,26.45,72,1875.0
50.77399,-1.28242,6,5.64,2023-12-12 13:45:41.999000+00:00,gps,50.77422,-1.28193,55,12.0,11.89,61.833702,gps [GPS],00:00:01,12.2,0.0,,,,False,30 / 30,2010,17276.3,-,1.8,1.6,0.8,-,-,Ship,13:45:41 GMT,13:45:42.196,13:45:37.895,13:45:37.914,42.82,26.61,72,1876.0
50.77405,-1.28228,7,5.64,2023-12-12 13:45:42.999000+00:00,gps,50.77427,-1.28178,56,12.0,11.97,65.37405,gps [GPS],00:00:01,12.0,0.0,,,,False,29 / 30,2011,17288.3,-,2.0,1.7,0.9,-,-,Ship,13:45:42 GMT,13:45:43.203,13:45:38.902,13:45:38.922,43.1,26.78,72,1877.0
50.77411,-1.28213,7,5.64,2023-12-12 13:45:43.999000+00:00,gps,50.77431,-1.28162,55,12.0,12.06,67.82468,gps [GPS],00:00:01,12.0,0.0,,,,False,29 / 30,2012,17300.3,-,2.0,1.7,0.9,-,-,Ship,13:45:43 GMT,13:45:44.197,13:45:39.896,13:45:39.926,43.4,26.97,72,1878.0
