t,x,y,z,time_from_sync
1854.050005960676,-460,-43,71,1824.0541713080931
1854.2450058939185,-464,-32,67,1824.2491712413357
1854.3200058939185,-464,-32,67,1824.3241712413358
1854.5150058271613,-464,-23,69,1824.5191711745786
1854.5900058271611,-464,-24,70,1824.5941711745784
1854.7850059988227,-463,-11,70,1824.78917134624
1854.8600059988228,-463,-12,71,1824.86417134624
1855.0550059320656,-458,0,79,1825.0591712794828
1855.1300059320656,-458,-1,79,1825.1341712794829
1855.3250058653084,-455,1,81,1825.3291712127257
1855.4000058653085,-455,1,82,1825.4041712127257
1855.590005922529,-456,4,80,1825.5941712699462
1855.665005922529,-456,3,82,1825.6691712699462
1855.860005855772,-457,15,78,1825.8641712031892
1855.935005855772,-457,14,79,1825.9391712031893
1856.1250059129925,-459,37,74,1826.1291712604097
1856.2000059129923,-459,36,75,1826.2041712604096
1856.395005846235,-460,48,68,1826.3991711936524
1856.4700058462352,-459,48,69,1826.4741711936524
1856.665005779478,-458,47,69,1826.6691711268952
1856.740005779478,-457,46,70,1826.7441711268953
1856.9350057127208,-459,38,72,1826.939171060138
1857.0100057127208,-459,38,72,1827.014171060138
1857.2000055315227,-452,28,82,1827.20417087894
1857.2750055315228,-452,27,83,1827.27917087894
1857.4700054647656,-453,27,78,1827.4741708121828
1857.5450054647656,-453,26,78,1827.5491708121829
1857.7400053980084,-455,26,78,1827.7441707454257
1857.8150053980085,-455,26,79,1827.8191707454257
1858.0100055696696,-457,31,77,1828.0141709170869
1858.0850055696696,-457,31,77,1828.089170917087
1858.2800057413317,-455,34,74,1828.284171088749
1858.3550057413315,-455,34,75,1828.3591710887488
1858.550005674574,-455,36,76,1828.5541710219914
1858.625005674574,-455,36,77,1828.6291710219912
1858.820005607817,-457,36,75,1828.8241709552342
1858.895005607817,-457,35,76,1828.8991709552342
1859.0850054266189,-458,42,72,1829.0891707740361
1859.160005426619,-458,41,74,1829.1641707740362
1859.3500054838396,-462,45,66,1829.3541708312569
1859.4250054838396,-462,44,68,1829.429170831257
1859.6200054170824,-459,41,70,1829.6241707644997
1859.6950054170825,-459,40,71,1829.6991707644997
1859.890005350325,-463,40,64,1829.8941706977423
1859.965005350325,-463,40,65,1829.9691706977424
1860.160005283568,-461,32,71,1830.1641706309852
1860.235005283568,-461,32,71,1830.2391706309852
1860.4300052168107,-456,28,74,1830.434170564228
1860.5050052168108,-455,28,75,1830.509170564228
1860.700005388472,-457,28,74,1830.7041707358892
1860.775005388472,-457,27,75,1830.7791707358892
1860.970005321715,-461,25,70,1830.9741706691323
1861.045005321715,-461,25,71,1831.0491706691323
1861.2400052549576,-461,41,66,1831.2441706023749
1861.315005254958,-461,40,67,1831.3191706023752
1861.5100051882007,-463,36,64,1831.514170535618
1861.5850051882007,-463,36,65,1831.589170535618
1861.7800051214435,-459,38,68,1831.7841704688608
1861.855005121444,-459,37,69,1831.8591704688613
1862.050005293105,-464,52,61,1832.0541706405222
1862.125005293105,-464,52,61,1832.1291706405223
1862.320005226348,-461,55,65,1832.3241705737653
1862.395005226348,-460,54,65,1832.3991705737653
1862.5900051595904,-459,54,66,1832.5941705070077
1862.6650051595907,-459,53,67,1832.669170507008
1862.8600050928333,-460,43,69,1832.8641704402505
1862.9350050928333,-460,42,70,1832.9391704402506
1863.1300050260763,-456,40,74,1833.1341703734936
1863.2050050260764,-456,40,75,1833.2091703734936
1863.3950050832968,-447,35,87,1833.399170430714
1863.4700050832969,-446,34,89,1833.4741704307141
1863.6600049020988,-464,66,53,1833.664170249516
1863.7350049020988,-464,66,55,1833.739170249516
1863.9250049593195,-466,76,45,1833.9291703067368
1864.0000049593195,-466,75,47,1834.0041703067368
1864.1950051309807,-465,83,41,1834.199170478398
1864.2700051309807,-465,83,43,1834.274170478398
1864.4600051882007,-452,96,57,1834.464170535618
1864.5350051882008,-451,95,58,1834.539170535618
1864.7300053598624,-455,99,47,1834.7341707072796
1864.805005359863,-455,99,48,1834.8091707072801
1864.9950054170831,-454,105,43,1834.9991707645004
1865.0700054170832,-454,105,45,1835.0741707645004
1865.260005474304,-453,116,36,1835.2641708217213
1865.335005474304,-453,115,38,1835.3391708217212
1865.5250052931056,-452,129,29,1835.5291706405228
1865.6000052931056,-452,128,31,1835.6041706405229
1865.790005350326,-456,138,10,1835.7941706977433
1865.865005350326,-456,137,11,1835.8691706977434
1866.0550054075463,-459,149,-14,1836.0591707549636
1866.1300054075464,-459,148,-13,1836.1341707549636
1866.3200052263485,-462,157,-42,1836.3241705737657
1866.3950052263483,-462,157,-40,1836.3991705737656
1866.585005283569,-463,159,-58,1836.5891706309862
1866.660005283569,-463,158,-56,1836.6641706309863
1866.8500053407893,-465,158,-67,1836.8541706882065
1866.9250053407893,-465,158,-65,1836.9291706882066
1867.120005512451,-464,158,-62,1837.1241708598682
1867.195005512451,-464,158,-61,1837.1991708598682
1867.3850055696716,-461,161,-51,1837.389170917089
1867.4600055696717,-461,161,-49,1837.464170917089
1867.650005626892,-460,160,-46,1837.6541709743092
1867.725005626892,-460,159,-44,1837.7291709743092
1867.9200055601348,-460,158,-35,1837.924170907552
1867.9950055601348,-459,157,-34,1837.999170907552
1868.1850053789367,-455,151,-4,1838.189170726354
1868.2600053789367,-455,150,-2,1838.264170726354
1868.4500054361567,-453,146,6,1838.454170783574
1868.5250054361568,-453,145,8,1838.529170783574
1868.7150054933777,-447,142,26,1838.719170840795
1868.7900054933775,-447,141,28,1838.7941708407948
1868.9850056650391,-441,139,34,1838.9891710124564
1869.0600056650392,-441,138,35,1839.0641710124564
1869.25000572226,-434,140,33,1839.2541710696773
1869.32500572226,-434,139,35,1839.3291710696772
1869.520005893921,-453,144,6,1839.5241712413383
1869.595005893921,-453,143,6,1839.5991712413384
1869.7850059511416,-458,151,-18,1839.7891712985588
1869.8600059511416,-458,150,-16,1839.8641712985589
1870.0500057699437,-462,153,-31,1840.054171117361
1870.1250057699435,-462,153,-29,1840.1291711173608
1870.315005827164,-458,157,-33,1840.3191711745812
1870.390005827164,-458,156,-31,1840.3941711745813
1870.5850057604068,-455,156,-15,1840.589171107824
1870.6600057604069,-455,155,-14,1840.6641711078241
1870.8500058176276,-452,158,-16,1840.8541711650448
1870.9250058176276,-452,158,-14,1840.9291711650449
1871.115005874848,-452,167,-39,1841.1191712222653
1871.190005874848,-452,166,-37,1841.1941712222654
1871.3800059320683,-458,165,-73,1841.3841712794856
1871.4550059320684,-458,165,-71,1841.4591712794856
1871.6450057508705,-457,167,-75,1841.6491710982878
1871.7200057508703,-456,166,-74,1841.7241710982876
1871.9100058080908,-453,171,-58,1841.914171155508
1871.9850058080908,-452,171,-56,1841.989171155508
1872.180005979752,-451,166,-46,1842.1841713271692
1872.255005979752,-451,166,-45,1842.2591713271693
1872.4450060369727,-442,162,-14,1842.44917138439
1872.5200060369727,-442,162,-12,1842.52417138439
1872.7100060941927,-472,154,33,1842.71417144161
1872.7850060941928,-472,154,35,1842.78917144161
1872.9750059129951,-444,142,28,1842.9791712604124
1873.0500059129952,-444,142,30,1843.0541712604124
1873.240005970216,-452,138,22,1843.2441713176333
1873.315005970216,-452,138,24,1843.3191713176332
1873.505006027436,-425,130,12,1843.5091713748532
1873.580006027436,-424,129,14,1843.5841713748532
1873.7700060846569,-453,160,18,1843.7741714320741
1873.8450060846567,-453,159,20,1843.849171432074
1874.0350061418767,-459,190,-6,1844.039171489294
1874.1100061418767,-459,190,-4,1844.114171489294
1874.3000061990977,-458,177,-1,1844.304171546515
1874.3750061990977,-458,176,0,1844.379171546515
1874.5650062563184,-432,170,-16,1844.5691716037356
1874.6400062563184,-431,169,-14,1844.6441716037357
1874.835006189561,-438,161,-30,1844.8391715369783
1874.910006189561,-438,161,-30,1844.9141715369783
1875.1000062467813,-444,156,-21,1845.1041715941985
1875.175006246781,-444,155,-20,1845.1791715941984
1875.3650060655837,-442,157,-4,1845.369171413001
1875.4400060655837,-442,157,-3,1845.444171413001
1875.630006122804,-414,157,26,1845.6341714702212
1875.705006122804,-414,156,28,1845.7091714702212
1875.8950061800244,-364,132,58,1845.8991715274417
1875.9700061800245,-363,132,60,1845.9741715274417
1876.1600059988264,-363,88,72,1846.1641713462436
1876.2350059988264,-363,87,74,1846.2391713462437
1876.4250060560469,-404,71,76,1846.4291714034641
1876.500006056047,-404,70,78,1846.5041714034642
1876.6900061132676,-415,68,82,1846.6941714606849
1876.7650061132676,-415,67,84,1846.769171460685
1876.9600062849288,-432,73,83,1846.964171632346
1877.0350062849288,-432,73,83,1847.039171632346
1877.2250063421493,-454,80,78,1847.2291716895666
1877.3000063421491,-453,79,80,1847.3041716895664
1877.4950065138107,-462,78,82,1847.499171861228
1877.5700065138108,-462,78,83,1847.574171861228
1877.765006685472,-480,80,83,1847.7691720328892
1877.840006685472,-480,80,84,1847.8441720328892
1878.035006618715,-519,94,70,1848.0391719661322
1878.110006618715,-519,93,71,1848.1141719661323
1878.3000066759355,-538,121,28,1848.3041720233527
1878.3750066759355,-538,120,29,1848.3791720233528
1878.5700066091783,-515,135,-17,1848.5741719565956
1878.6450066091784,-515,135,-16,1848.6491719565956
1878.8400065424207,-509,146,-26,1848.844171889838
1878.9150065424208,-509,146,-26,1848.919171889838
1879.105006361223,-512,147,-33,1849.1091717086404
1879.1800063612231,-512,146,-31,1849.1841717086404
1879.375006294466,-512,145,-31,1849.3791716418832
1879.450006294466,-512,145,-31,1849.4541716418832
1879.6450062277088,-513,144,-34,1849.649171575126
1879.7200062277088,-513,144,-33,1849.724171575126
1879.915006160952,-512,144,-32,1849.9191715083693
1879.990006160952,-512,143,-32,1849.9941715083692
1880.185006332613,-511,142,-37,1850.1891716800303
1880.260006332613,-511,142,-36,1850.2641716800304
1880.4500063898336,-511,143,-37,1850.4541717372508
1880.5250063898336,-511,142,-35,1850.5291717372509
1880.715006447054,-513,137,-39,1850.7191717944713
1880.790006447054,-513,136,-37,1850.7941717944714
1880.9800065042743,-512,142,-38,1850.9841718516916
1881.0550065042744,-512,141,-36,1851.0591718516916
1881.245006561495,-513,139,-37,1851.2491719089123
1881.3200065614951,-513,138,-35,1851.3241719089124
1881.5150067331565,-513,138,-39,1851.5191720805738
1881.5900067331563,-513,138,-38,1851.5941720805736
1881.7850066663996,-513,139,-37,1851.7891720138168
1881.8600066663996,-513,138,-36,1851.8641720138169
1882.05000672362,-512,139,-38,1852.0541720710373
1882.12500672362,-512,139,-37,1852.1291720710371
1882.3150067808403,-513,138,-38,1852.3191721282576
1882.3900067808404,-513,138,-37,1852.3941721282577
1882.5800068380609,-513,140,-37,1852.584172185478
1882.655006838061,-513,140,-36,1852.6591721854782
1882.8450068952811,-513,139,-38,1852.8491722426984
1882.9200068952812,-512,138,-36,1852.9241722426984
1883.1100069525016,-513,139,-40,1853.114172299919
1883.185006952502,-513,138,-38,1853.1891722999192
1883.3750070097224,-512,137,-38,1853.3791723571396
1883.4500070097224,-512,137,-36,1853.4541723571397
1883.6400068285243,-513,140,-38,1853.6441721759415
1883.7150068285243,-512,139,-36,1853.7191721759416
1883.9050068857448,-513,139,-38,1853.909172233162
1883.9800068857448,-513,139,-37,1853.984172233162
1884.1700069429653,-513,139,-40,1854.1741722903826
1884.2450069429651,-513,138,-38,1854.2491722903824
1884.4400071146267,-514,139,-40,1854.444172462044
1884.5150071146268,-514,139,-39,1854.519172462044
1884.7050071718472,-513,140,-39,1854.7091725192645
1884.7800071718475,-513,139,-37,1854.7841725192648
1884.9700069906487,-513,139,-38,1854.974172338066
1885.0450069906487,-513,138,-37,1855.049172338066
1885.2350070478697,-514,138,-38,1855.239172395287
1885.3100070478697,-514,137,-36,1855.314172395287
1885.5000071050904,-512,139,-39,1855.5041724525076
1885.5750071050904,-512,138,-37,1855.5791724525077
1885.770007276752,-513,139,-39,1855.7741726241693
1885.845007276752,-513,139,-38,1855.8491726241693
1886.035007333972,-513,139,-38,1856.0391726813893
1886.110007333972,-513,139,-36,1856.1141726813892
