t,x,y,z,time_from_sync
2173.914999961853,-559,-7765,-6297,2140.0016667842865
2173.919999837876,-519,-7774,-6302,2140.0066666603093
2173.9249999523163,-478,-7782,-6309,2140.0116667747498
2173.9299998283386,-436,-7789,-6314,2140.016666650772
2173.9349999427795,-394,-7793,-6316,2140.021666765213
2173.939999818802,-351,-7797,-6321,2140.0266666412354
2173.944999933243,-310,-7799,-6327,2140.0316667556763
2173.949999809265,-269,-7801,-6332,2140.0366666316986
2173.954999923706,-227,-7803,-6337,2140.0416667461395
2173.9599997997284,-186,-7805,-6340,2140.046666622162
2173.9649999141693,-144,-7806,-6338,2140.051666736603
2173.969999790192,-102,-7808,-6339,2140.0566666126256
2173.974999904633,-62,-7812,-6341,2140.0616667270665
2173.979999780655,-25,-7815,-6341,2140.0666666030884
2173.984999895096,10,-7818,-6343,2140.0716667175293
2173.989999771118,42,-7820,-6346,2140.0766665935516
2173.994999885559,72,-7821,-6348,2140.0816667079926
2174.0,111,-7821,-6358,2140.0866668224335
2174.0049998760223,145,-7821,-6365,2140.091666698456
2174.0099999904637,179,-7820,-6367,2140.096666812897
2174.0149998664856,212,-7820,-6362,2140.101666688919
2174.0199999809265,242,-7819,-6358,2140.10666680336
2174.024999856949,273,-7820,-6360,2140.1116666793823
2174.0299999713898,302,-7820,-6361,2140.1166667938232
2174.034999847412,328,-7820,-6362,2140.1216666698456
2174.039999961853,354,-7819,-6363,2140.1266667842865
2174.044999837876,378,-7815,-6367,2140.1316666603093
2174.0499999523163,399,-7814,-6369,2140.1366667747498
2174.0549998283386,420,-7813,-6377,2140.141666650772
2174.0599999427795,437,-7812,-6384,2140.146666765213
2174.064999818802,450,-7812,-6389,2140.1516666412354
2174.069999933243,463,-7812,-6393,2140.1566667556763
2174.074999809265,472,-7814,-6390,2140.1616666316986
2174.079999923706,480,-7817,-6386,2140.1666667461395
2174.0849997997284,487,-7820,-6384,2140.171666622162
2174.0899999141693,493,-7823,-6384,2140.176666736603
2174.094999790192,498,-7825,-6385,2140.1816666126256
2174.099999904633,502,-7826,-6390,2140.1866667270665
2174.104999780655,507,-7826,-6391,2140.1916666030884
2174.109999895096,511,-7827,-6389,2140.1966667175293
2174.114999771118,515,-7828,-6383,2140.2016665935516
2174.119999885559,518,-7828,-6375,2140.2066667079926
2174.125,518,-7828,-6373,2140.2116668224335
2174.1299998760223,517,-7829,-6370,2140.216666698456
2174.1349999904637,514,-7830,-6370,2140.221666812897
2174.1399998664856,512,-7830,-6374,2140.226666688919
2174.1449999809265,508,-7830,-6375,2140.23166680336
2174.149999856949,503,-7831,-6376,2140.2366666793823
2174.1549999713898,498,-7831,-6376,2140.2416667938232
2174.159999847412,491,-7832,-6376,2140.2466666698456
2174.164999961853,484,-7832,-6376,2140.2516667842865
2174.169999837876,475,-7832,-6376,2140.2566666603093
2174.1749999523163,466,-7835,-6375,2140.2616667747498
2174.1799998283386,457,-7836,-6374,2140.266666650772
2174.1849999427795,447,-7837,-6370,2140.271666765213
2174.189999818802,438,-7838,-6365,2140.2766666412354
2174.194999933243,429,-7839,-6360,2140.2816667556763
2174.199999809265,419,-7839,-6362,2140.2866666316986
2174.204999923706,409,-7841,-6363,2140.2916667461395
2174.2099997997284,400,-7842,-6367,2140.296666622162
2174.2149999141693,393,-7843,-6373,2140.301666736603
2174.219999790192,384,-7844,-6374,2140.3066666126256
2174.224999904633,377,-7846,-6376,2140.3116667270665
2174.229999780655,369,-7847,-6374,2140.3166666030884
2174.234999895096,362,-7848,-6372,2140.3216667175293
2174.239999771118,356,-7850,-6372,2140.3266665935516
2174.244999885559,352,-7851,-6373,2140.3316667079926
2174.25,349,-7851,-6374,2140.3366668224335
2174.2549998760223,344,-7854,-6375,2140.341666698456
2174.2599999904637,341,-7856,-6379,2140.346666812897
2174.2649998664856,336,-7859,-6380,2140.351666688919
2174.2699999809265,332,-7861,-6383,2140.35666680336
2174.274999856949,326,-7863,-6383,2140.3616666793823
2174.2799999713898,320,-7864,-6381,2140.3666667938232
2174.284999847412,313,-7865,-6377,2140.3716666698456
2174.289999961853,305,-7867,-6370,2140.3766667842865
2174.294999837876,298,-7869,-6364,2140.3816666603093
2174.2999999523163,291,-7870,-6359,2140.3866667747498
2174.3049998283386,287,-7871,-6358,2140.391666650772
2174.3099999427795,282,-7872,-6358,2140.396666765213
2174.314999818802,275,-7873,-6358,2140.4016666412354
2174.319999933243,268,-7875,-6357,2140.4066667556763
2174.324999809265,262,-7877,-6356,2140.4116666316986
2174.329999923706,255,-7879,-6357,2140.4166667461395
2174.3349997997284,251,-7882,-6360,2140.421666622162
2174.3399999141693,247,-7883,-6363,2140.426666736603
2174.344999790192,242,-7884,-6362,2140.4316666126256
2174.349999904633,238,-7886,-6356,2140.4366667270665
2174.354999780655,232,-7887,-6348,2140.4416666030884
2174.359999895096,226,-7888,-6345,2140.4466667175293
2174.364999771118,217,-7889,-6344,2140.4516665935516
2174.369999885559,209,-7890,-6343,2140.4566667079926
2174.375,202,-7889,-6349,2140.4616668224335
2174.3799998760223,196,-7890,-6347,2140.466666698456
2174.3849999904637,194,-7889,-6343,2140.471666812897
2174.3899998664856,191,-7888,-6338,2140.476666688919
2174.3949999809265,186,-7888,-6331,2140.48166680336
2174.399999856949,178,-7885,-6329,2140.4866666793823
2174.4049999713898,169,-7884,-6327,2140.4916667938232
2174.409999847412,160,-7886,-6326,2140.4966666698456
2174.414999961853,147,-7885,-6323,2140.5016667842865
2174.419999837876,135,-7885,-6321,2140.5066666603093
2174.4249999523163,125,-7885,-6320,2140.5116667747498
2174.4299998283386,114,-7885,-6324,2140.516666650772
2174.4349999427795,105,-7885,-6326,2140.521666765213
2174.439999818802,95,-7887,-6324,2140.5266666412354
2174.444999933243,85,-7889,-6321,2140.5316667556763
2174.449999809265,74,-7891,-6314,2140.5366666316986
2174.454999923706,65,-7893,-6309,2140.5416667461395
2174.4599997997284,58,-7894,-6308,2140.546666622162
2174.4649999141693,48,-7895,-6306,2140.551666736603
2174.469999790192,38,-7892,-6303,2140.5566666126256
2174.474999904633,27,-7888,-6298,2140.5616667270665
2174.479999780655,16,-7883,-6298,2140.5666666030884
2174.484999895096,7,-7880,-6297,2140.5716667175293
2174.489999771118,0,-7880,-6299,2140.5766665935516
2174.494999885559,-8,-7880,-6304,2140.5816667079926
2174.5,-15,-7880,-6308,2140.5866668224335
2174.5049998760223,-24,-7878,-6313,2140.591666698456
2174.5099999904637,-35,-7878,-6315,2140.596666812897
2174.5149998664856,-49,-7875,-6312,2140.601666688919
2174.5199999809265,-65,-7875,-6305,2140.60666680336
2174.524999856949,-79,-7875,-6298,2140.6116666793823
2174.5299999713898,-95,-7876,-6289,2140.6166667938232
2174.534999847412,-115,-7876,-6286,2140.6216666698456
2174.539999961853,-134,-7877,-6286,2140.6266667842865
2174.544999837876,-151,-7879,-6287,2140.6316666603093
2174.5499999523163,-166,-7878,-6288,2140.6366667747498
2174.5549998283386,-178,-7878,-6286,2140.641666650772
2174.5599999427795,-188,-7877,-6280,2140.646666765213
2174.564999818802,-204,-7877,-6276,2140.6516666412354
2174.569999933243,-226,-7876,-6271,2140.6566667556763
2174.574999809265,-253,-7873,-6268,2140.6616666316986
2174.579999923706,-280,-7870,-6269,2140.6666667461395
2174.5849997997284,-302,-7867,-6268,2140.671666622162
2174.5899999141693,-323,-7864,-6272,2140.676666736603
2174.594999790192,-343,-7862,-6276,2140.6816666126256
2174.599999904633,-360,-7861,-6278,2140.6866667270665
2174.604999780655,-378,-7859,-6280,2140.6916666030884
